date,population,active,rate,new,band
2022/1/1,191723,1838,762.08,285,5.4
2022/1/2,191723,1792,725.9,253,5.4
2022/1/3,191723,1792,725.9,253,5.4
2022/1/4,191723,1634,665.26,181,5.4
2022/1/5,191723,1625,658.14,239,5.4
2022/1/6,191723,1846,746.76,279,5.4
2022/1/7,191723,1802,763.02,264,5.4
2022/1/8,191723,1478,752.02,248,5.4
2022/1/9,191723,1533,649.6,148,5.4
2022/1/10,191723,1466,602.92,183,5.4
2022/1/11,191723,1417,590.7,240,5.4
2022/1/12,191723,1453,656.48,291,5.4
2022/1/13,191723,1474,689.18,292,5.4
2022/1/14,191723,1470,702.5,247,5.4
2022/1/15,191723,1481,712.96,228,5.8
2022/1/16,191723,1480,717.38,170,5.8
2022/1/17,191723,1478,719.68,178,5.8
2022/1/18,191723,2023,899.84,304,5.8
2022/1/19,191723,2086,903.98,373,5.8
2022/1/20,191723,1976,850.72,294,5.8
2022/1/21,191723,1971,837.78,373,5.8
2022/1/22,191723,1980,840.04,358,5.8
2022/1/23,191723,1932,831.94,314,5.8
2022/1/24,191723,1948,851.5,316,5.8
2022/1/25,191723,2002,876.78,308,5.8
2022/1/26,191723,1886,831.96,254,5.8
2022/1/27,191723,1813,790.52,294,5.8
2022/1/28,191723,1781,788.96,336,5.8
2022/1/29,191723,1808,834.92,389,5.8
2022/1/30,191723,1090,538.16,139,5.8
2022/1/31,191723,1039,537.52,108,5.8
2022/2/1,191723,962,481.92,116,5.6
2022/2/2,191723,910,464.96,146,5.6
2022/2/3,191723,890,458.56,147,5.6
2022/2/4,191723,1816,886.64,321,6.2
2022/2/5,191723,2057,1121.92,251,6.6
2022/2/6,191723,1964,1048.86,209,6.6
2022/2/7,191723,1920,1043.96,262,6.6
2022/2/8,191723,1880,963.82,321,6.4
2022/2/9,191723,1825,908.96,352,6.2
2022/2/10,191723,1816,886.64,321,6.2
2022/2/11,191723,1886,887.32,320,6.4
2022/2/12,191723,1931,884.26,281,6.4
2022/2/13,191723,1924,872.14,227,6.4
2022/2/14,191723,1952,856.38,314,6.4
2022/2/15,191723,1926,844.06,313,6.4
2022/2/16,191723,2020,885.4,402,6.4
2022/2/17,191723,2083,911.2,392,6.4
2022/2/18,191723,2089,885.32,288,6.4
2022/2/19,191723,2067,886.98,251,6.4
2022/2/20,191723,2031,869.18,229,6.2
2022/2/21,191723,2035,875.44,275,6.4
2022/2/22,191723,2175,919.9,335,6.6
2022/2/23,191723,1886,805.36,307,6
2022/2/24,191723,1867,779.16,316,5.8
2022/2/25,191723,1936,823.14,334,6.2
2022/2/26,191723,1920,827.02,263,6.4
2022/2/27,191723,1912,827.62,238,6.2
2022/2/28,191723,1898,815.46,253,6.2
2022/3/1,191723,1890,801.66,317,6.2
2022/3/2,191723,1888,784.72,323,6.2
2022/3/3,191723,1838,762.08,285,6
2022/3/4,191723,1792,725.9,253,5.8
2022/3/5,191723,1792,725.9,253,5.8
2022/3/6,191723,1634,665.26,181,5.8
2022/3/7,191723,1625,658.14,239,5.8
2022/3/8,191723,1846,746.76,279,6
2022/3/9,191723,1529,626.74,257,5.6
2022/3/10,191723,1547,642.66,307,5.6
2022/3/11,191723,1802,763.02,264,6.2
2022/3/12,191723,1478,752.02,248,6
2022/3/13,191723,1533,649.6,148,5.8
2022/3/14,191723,1466,602.92,183,5.8
2022/3/15,191723,1417,590.7,240,5.8
2022/3/16,191723,1453,656.48,291,6
2022/3/17,191723,1474,689.18,292,6
2022/3/18,191723,1470,702.5,247,6
2022/3/19,191723,1481,712.96,228,6
2022/3/20,191723,1480,717.38,170,6
2022/3/21,191723,1478,719.68,178,6
2022/3/22,191723,1478,752.02,248,6
2022/3/23,191723,1428,721.8,264,6
2022/3/24,191723,1424,712.2,274,6
2022/3/25,191723,1472,754.82,270,6
2022/3/26,191723,1490,774.02,235,6.2
2022/3/27,191723,1497,785.52,180,6.2
2022/3/28,191723,1574,833.76,267,6.2
2022/3/29,191723,1655,887.24,328,6.2
2022/3/30,191723,1700,907.18,330,6.2
2022/3/31,191723,1716,907.02,306,6
2022/4/1,191723,1835,957.28,344,6.4
2022/4/2,191723,1817,934.5,214,6.2
2022/4/3,191723,1849,945.38,241,6.2
2022/4/4,191723,1824,900.26,295,6.2
2022/4/5,191723,1792,870.66,342,6
2022/4/6,191723,1948,851.5,316,6
2022/4/7,191723,1802,827.14,360,6.2
2022/4/8,191723,1916,868.92,379,6.2
2022/4/9,191723,1962,886.52,301,6.2
2022/4/10,191723,2023,899.84,304,6.4
2022/4/11,191723,2086,903.98,373,6.2
2022/4/12,191723,1976,850.72,294,6.2
2022/4/13,191723,1971,837.78,373,6.2
2022/4/14,191723,1980,840.04,358,6.2
2022/4/15,191723,1932,831.94,314,6.2
2022/4/16,191723,1948,851.5,316,6
2022/4/17,191723,2002,876.78,308,6.4
2022/4/18,191723,1886,831.96,254,6.2
2022/4/19,191723,1813,790.52,294,6.2
2022/4/20,191723,1781,788.96,336,6.2
2022/4/21,191723,1808,834.92,389,6.2
2022/4/22,191723,1761,816.76,269,6.2
2022/4/23,191723,1776,814.66,240,6.2
2022/4/24,191723,1657,771.62,188,6
2022/4/25,191723,1649,769.1,260,6
2022/4/26,191723,1619,757.1,291,6
2022/4/27,191723,1581,715.62,319,5.8
2022/4/28,191723,1574,701.9,312,5.8
2022/4/29,191723,1625,726.82,330,6
2022/4/30,191723,1687,730.22,276,6
2022/5/1,191723,1710,764.66,229,6
2022/5/2,191723,2662,1217.8,576,6.8
2022/5/3,191723,1809,805.42,325,6.2
2022/5/4,191723,1836,819.12,354,6.2
2022/5/5,191723,1844,845.62,346,6.2
2022/5/6,191723,1926,906,368,6.2
2022/5/7,191723,2023,956.16,342,6.4
2022/5/8,191723,2048,951.74,275,6.4
2022/5/9,191723,2143,1013.62,369,6.6
2022/5/10,191723,2240,1057.46,480,6.8
2022/5/11,191723,3424,1556.12,555,7
2022/5/12,191723,2662,1217.8,576,6.8
2022/5/13,191723,3233,1460.22,347,7
2022/5/14,191723,3054,1363.2,501,6.6
2022/5/15,191723,3117,1404.22,390,7
2022/5/16,191723,1926,906,368,6.2
2022/5/17,191723,3137,1435.88,549,7
2022/5/18,191723,2999,1333.72,345,7
2022/5/19,191723,3305,1516.66,586,7
2022/5/20,191723,3332,1549.1,561,7
2022/5/21,191723,3424,1556.12,555,7
2022/5/22,191723,3392,1538.5,397,7
2022/5/23,191723,3233,1460.22,347,7
2022/5/24,191723,3054,1363.2,501,6.6
2022/5/25,191723,3152,1415.32,636,7
2022/5/26,191723,1926,906,368,6.2
2022/5/27,191723,3153,1401.96,542,7
2022/5/28,191723,2999,1333.72,345,7
2022/5/29,191723,2909,1266.22,333,6.8
2022/5/30,191723,2791,1228.28,360,6.8
2022/5/31,191723,2540,1112.6,346,6.8
2022/6/1,191723,2413,1059.14,421,6.6
2022/6/2,191723,2270,1034.8,358,6.4
2022/6/3,191723,1946,963.38,212,6.6
2022/6/4,191723,2098,1011.58,294,6.6
2022/6/5,191723,1946,963.38,212,6.6
2022/6/6,191723,1246,645.36,235,6
2022/6/7,191723,1807,895.36,395,6.4
2022/6/8,191723,1267,637.98,191,6
2022/6/9,191723,1265,637.38,156,6
2022/6/10,191723,1834,951.82,311,6.4
2022/6/11,191723,1703,891.16,175,6.2
2022/6/12,191723,1316,619.62,254,5.8
2022/6/13,191723,1326,617.22,234,5.8
2022/6/14,191723,1367,654.76,250,5.8
2022/6/15,191723,1294,688.02,261,6
2022/6/16,191723,1246,645.36,235,6
2022/6/17,191723,1261,635.44,222,5.8
2022/6/18,191723,1267,637.98,191,6
2022/6/19,191723,1265,637.38,156,6
2022/6/20,191723,1287,654.58,183,6
2022/6/21,191723,1341,644.18,272,5.8
2022/6/22,191723,1316,619.62,254,5.8
2022/6/23,191723,1326,617.22,234,5.8
2022/6/24,191723,1367,654.76,250,5.8
2022/6/25,191723,1376,660.54,182,5.8
2022/6/26,191723,1365,658.08,156,5.8
2022/6/27,191723,1346,640.22,197,5.8
2022/6/28,191723,1331,651.02,240,5.8
2022/6/29,191723,1429,727.84,325,5.8
2022/6/30,191723,1438,688.64,318,5.8
2022/7/1,191723,1427,683.02,276,5.8
2022/7/2,191723,1457,691.84,216,6
2022/7/3,191723,1480,686.04,215,5.8
2022/7/4,191723,1482,667.58,198,5.8
2022/7/5,191723,1482,666.4,243,5.8
2022/7/6,191723,1492,674.18,290,5.8
2022/7/7,191723,1476,664.16,283,5.8
2022/7/8,191723,1486,670.84,274,5.8
2022/7/9,191723,1537,697.62,250,5.8
2022/7/10,191723,2381,1155.28,501,6.6
2022/7/11,191723,1645,777.7,248,6
2022/7/12,191723,2496,1183.28,396,7
2022/7/13,191723,2513,1193.28,364,6.8
2022/7/14,191723,1828,867.24,356,6.2
2022/7/15,191723,1919,906.48,352,6.2
2022/7/16,191723,2023,936.94,354,6.2
2022/7/17,191723,2139,977.86,370,6.4
2022/7/18,191723,2223,1000.36,351,6.4
2022/7/19,191723,2251,1065.82,380,6.6
2022/7/20,191723,2381,1155.28,501,6.6
2022/7/21,191723,2485,1193.44,467,7
2022/7/22,191723,2496,1183.28,396,7
2022/7/23,191723,2513,1193.28,364,6.8
2022/7/24,191723,2407,1159.7,280,6.8
2022/7/25,191723,2391,1183.52,317,6.8
2022/7/26,191723,2306,1094.12,354,6.6
2022/7/27,191723,2139,977.86,370,6.4
2022/7/28,191723,2163,1038.58,362,6.6
2022/7/29,191723,2187,1083.6,361,6.6
2022/7/30,191723,2105,1056.02,267,6.6
2022/7/31,191723,2043,1022.92,232,6.6
2022/8/1,191723,1980,975.78,264,6.4
2022/8/2,191723,1194,572.18,209,5.8
2022/8/3,191723,1779,901.52,257,6
2022/8/4,191723,1700,880.06,272,6.2
2022/8/5,191723,1625,809.82,239,6
2022/8/6,191723,1097,526.56,196,5.6
2022/8/7,191723,1108,525.94,209,5.4
2022/8/8,191723,1322,651.06,147,6
2022/8/9,191723,1291,621.28,251,5.8
2022/8/10,191723,1245,602.96,209,5.8
2022/8/11,191723,1041,477.56,122,5.6
2022/8/12,191723,1194,572.18,209,5.8
2022/8/13,191723,921,423.66,165,5.2
2022/8/14,191723,864,391.84,136,5
2022/8/15,191723,1120,522.76,158,5.6
2022/8/16,191723,1097,526.56,196,5.6
2022/8/17,191723,1108,525.94,209,5.4
2022/8/18,191723,701,300.88,78,4.6
2022/8/19,191723,1064,486.06,189,5.4
2022/8/20,191723,646,276.84,100,4.4
2022/8/21,191723,1041,477.56,122,5.6
2022/8/22,191723,975,458.62,94,5.2
2022/8/23,191723,921,423.66,165,5.2
2022/8/24,191723,864,391.84,136,5
2022/8/25,191723,828,375.24,121,4.8
2022/8/26,191723,763,332.2,119,4.8
2022/8/27,191723,464,209.28,88,4.6
2022/8/28,191723,701,300.88,78,4.6
2022/8/29,191723,688,289.56,96,4.4
2022/8/30,191723,646,276.84,100,4.4
2022/8/31,191723,617,263.92,103,4.4
2022/9/1,191723,600,258,107,4.4
2022/9/2,191723,557,249.38,69,4.6
2022/9/3,191723,497,218.48,88,4.6
2022/9/4,191723,514,233.56,54,4.4
2022/9/5,191723,511,234.28,75,4.6
2022/9/6,191723,490,213.28,92,4.6
2022/9/7,191723,464,209.28,88,4.6
2022/9/8,191723,474,209.18,102,4.4
2022/9/9,191723,497,218.48,88,4.6
2022/9/10,191723,497,218.48,88,4.6
2022/9/11,191723,497,218.48,88,4.6
2022/9/12,191723,497,218.48,88,4.6
2022/9/13,191723,497,218.48,88,4.6
2022/9/14,191723,497,218.48,88,4.6
2022/9/15,191723,497,218.48,88,4.6
2022/9/16,191723,364,152.5,67,4.2
