region,Type 2 diabete ratio (%),"Two, or more, chronic diseases ration (%)",Chronic heart disease ratio (%),Obesity rate (%),Prevalence of respiratory system diseases (%),Asthma (ever diagnosed) ratio (%),Daily smoker (%),Vaccines 1 (%),Vaccines 2 (%),Vaccines 3 (%),Ratio of Employed people for Hospitals,Median weekly household income (AUD),Median age
Region 1,7,31,6,22.4,11,21,11,95,95,66.9,4.5,1918,34
Region 2,7,24,6,22.5,10.2,16,15,95,95,68.4,3.1,2023,32
Region 3,5,24,7,23.6,12.8,21,14,95,95,78.4,5.8,1592,39
Region 4,8,29,10,22.5,10.3,17,17,95,95,59.2,4..9,1373,45
Region 5,6,28,7,22.7,10.4,19,18,95,95,65.4,4.6,1768,35
Region 6,7,26,6,22.3,10.9,18,19,95,95,65.5,3.6,1887,33
Region 7,3,18,5,19.8,8.4,15,4,95,93.3,76,4.3,1901,37
Region 8,3.8,21.2,7,20.38,8.88,20.4,8,94.2,94.28,79.78,4.5,2162.6,39.8
Region 9,4.25,25,4.5,20.925,9.425,21.5,10.75,92.05,91.525,79.9,5.5,"2,151",38.25
Region 10,5.8,26,7.6,22.06,10.1,20.2,11.6,94,93.44,74.88,4.2,1886,37
Region 11,5,22.42857143,5.142857143,21.07142857,9.528571429,18.85714286,9.142857143,95,95,78.14285714,4.457142857,1952.857143,39.85714286
Region 12,6.333333333,25.33333333,7,22.93333333,11.56666667,20,18,95,95,72.7,4.233333333,1553.666667,41
Region 13,5.8,31,6.4,24.62,13.44,20.8,16.4,95,95,75.88,4.76,1411.6,43.4
Region 14,6,27.5,6.5,25.4,14.1,18,12.5,95,95,75.15,5.15,1191,48
Region 15,4.25,26.375,6.375,24.325,13.0125,20.375,10,95,95,77.2375,5.1875,1445.25,47.5
Region 16,5.2,28.2,7.4,24.48,13.1,23.8,16.8,95,95,77.6,4.98,1488.4,44.4
Region 17,5.166666667,32.16666667,7.166666667,25.85,14.68333333,25.66666667,16.66666667,95,94.91666667,79.38333333,8.716666667,1204.166667,48.16666667
Region 18,5,27.5,7,24.46666667,13.5,23.33333333,13.16666667,95,95,77.46666667,5.45,1380.333333,46.66666667
Region 19,5.454545455,31.63636364,7.818181818,24.69090909,13.47272727,23.72727273,14.63636364,95,95,76.5,4.709090909,1355,46.36363636
Region 20,5.6,32.2,7,25.94,14.6,25.6,17.6,95,94.96,74.22,5.08,1183.6,46.8
