date,population,active,rate,new,band
2022/1/1,26890,293,1089.6,47,7
2022/1/2,26890,302,1123.1,48,7
2022/1/3,26890,312,1160.3,41,7
2022/1/4,26890,333,1238.4,54,7
2022/1/5,26890,350,1301.6,73,7
2022/1/6,26890,355,1320.2,70,7
2022/1/7,26890,342,1271.8,51,7
2022/1/8,26890,331,1230.9,45,7
2022/1/9,26890,318,1182.6,36,7
2022/1/10,26890,321,1193.8,48,7
2022/1/11,26890,320,1190,53,7
2022/1/12,26890,333,1238.4,77,7
2022/1/13,26890,298,1108.2,41,7
2022/1/14,26890,341,1268.1,62,7
2022/1/15,26890,366,1361.1,67,7
2022/1/16,26890,368,1368.5,61,7
2022/1/17,26890,381,1416.9,55,7
2022/1/18,26890,358,1331.3,46,7
2022/1/19,26890,342,1271.8,51,7
2022/1/20,26890,344,1279.3,65,7
2022/1/21,26890,328,1219.8,49,7
2022/1/22,26890,320,1190,53,7
2022/1/23,26890,298,1108.2,41,7
2022/1/24,26890,289,1074.7,37,7
2022/1/25,26890,272,1011.5,31,7
2022/1/26,26890,158,587.6,41,6
2022/1/27,26890,158,587.6,41,6
2022/1/28,26890,158,587.6,41,6
2022/1/29,26890,158,587.6,41,6
2022/1/30,26890,152,565.3,16,6
2022/1/31,26890,137,509.5,10,6
2022/2/1,26890,137,509.5,29,6
2022/2/2,26890,141,524.4,27,6
2022/2/3,26890,143,531.8,28,6
2022/2/4,26890,254,944.6,41,6
2022/2/5,26890,267,992.9,32,6
2022/2/6,26890,264,981.8,33,6
2022/2/7,26890,247,918.6,33,6
2022/2/8,26890,251,933.4,47,6
2022/2/9,26890,259,963.2,55,6
2022/2/10,26890,254,944.6,41,6
2022/2/11,26890,262,974.3,37,6
2022/2/12,26890,257,955.7,36,6
2022/2/13,26890,254,944.6,29,6
2022/2/14,26890,236,877.6,24,6
2022/2/15,26890,220,818.1,35,6
2022/2/16,26890,197,732.6,20,6
2022/2/17,26890,211,784.7,43,6
2022/2/18,26890,199,740.1,34,6
2022/2/19,26890,201,747.5,31,6
2022/2/20,26890,197,732.6,17,6
2022/2/21,26890,197,732.6,24,6
2022/2/22,26890,210,781,39,6
2022/2/23,26890,193,717.7,25,6
2022/2/24,26890,176,654.5,28,6
2022/2/25,26890,169,628.5,16,6
2022/2/26,26890,156,580.1,16,6
2022/2/27,26890,143,531.8,12,6
2022/2/28,26890,138,513.2,18,6
2022/3/1,26890,133,494.6,29,5
2022/3/2,26890,131,487.2,29,5
2022/3/3,26890,143,531.8,31,6
2022/3/4,26890,152,565.3,20,6
2022/3/5,26890,167,621,24,6
2022/3/6,26890,176,654.5,39,6
2022/3/7,26890,164,609.9,37,6
2022/3/8,26890,169,628.5,23,6
2022/3/9,26890,162,602.5,36,6
2022/3/10,26890,169,628.5,31,6
2022/3/11,26890,195,725.2,26,6
2022/3/12,26890,235,873.9,53,6
2022/3/13,26890,174,647.1,21,6
2022/3/14,26890,167,621,24,6
2022/3/15,26890,176,654.5,39,6
2022/3/16,26890,183,680.6,38,6
2022/3/17,26890,194,721.5,39,6
2022/3/18,26890,206,766.1,38,6
2022/3/19,26890,214,795.8,41,6
2022/3/20,26890,224,833,34,6
2022/3/21,26890,226,840.5,27,6
2022/3/22,26890,235,873.9,53,6
2022/3/23,26890,254,944.6,54,6
2022/3/24,26890,287,1067.3,70,7
2022/3/25,26890,293,1089.6,47,7
2022/3/26,26890,302,1123.1,48,7
2022/3/27,26890,312,1160.3,41,7
2022/3/28,26890,333,1238.4,54,7
2022/3/29,26890,350,1301.6,73,7
2022/3/30,26890,355,1320.2,70,7
2022/3/31,26890,342,1271.8,51,7
2022/4/1,26890,331,1230.9,45,7
2022/4/2,26890,318,1182.6,36,7
