date,population,active,rate,new,band
2022/1/1,12814,108,842.8,24,6
2022/1/2,12814,107,835,18,6
2022/1/3,12814,98,764.8,17,6
2022/1/4,12814,90,702.4,17,6
2022/1/5,12814,96,749.2,24,6
2022/1/6,12814,94,733.6,9,6
2022/1/7,12814,90,702.4,16,6
2022/1/8,12814,84,655.5,16,6
2022/1/9,12814,81,632.1,16,6
2022/1/10,12814,79,616.5,13,6
2022/1/11,12814,84,655.5,20,6
2022/1/12,12814,77,600.9,13,6
2022/1/13,12814,85,663.3,14,6
2022/1/14,12814,78,608.7,6,6
2022/1/15,12814,75,585.3,8,5
2022/1/16,12814,45,351.2,6,5
2022/1/17,12814,41,320,4,5
2022/1/18,12814,46,359,7,5
2022/1/19,12814,36,280.9,4,5
2022/1/20,12814,38,296.6,6,5
2022/1/21,12814,41,320,4,5
2022/1/22,12814,93,725.8,13,5
2022/1/23,12814,41,320,13,5
2022/1/24,12814,38,296.6,4,5
2022/1/25,12814,54,421.4,23,5
2022/1/26,12814,62,483.8,11,5
2022/1/27,12814,78,608.7,22,5
2022/1/28,12814,91,710.2,18,5
2022/1/29,12814,94,733.6,12,5
2022/1/30,12814,102,796,17,5
2022/1/31,12814,101,788.2,7,5
2022/2/1,12814,93,725.8,13,5
2022/2/2,12814,80,624.3,7,5
2022/2/3,12814,33,257.5,2,5
2022/2/4,12814,90,702.4,17,6
2022/2/5,12814,104,811.6,12,6
2022/2/6,12814,105,819.4,15,6
2022/2/7,12814,108,842.8,24,6
2022/2/8,12814,107,835,18,6
2022/2/9,12814,98,764.8,17,6
2022/2/10,12814,90,702.4,17,6
2022/2/11,12814,96,749.2,24,6
2022/2/12,12814,94,733.6,9,6
2022/2/13,12814,90,702.4,16,6
2022/2/14,12814,84,655.5,16,6
2022/2/15,12814,81,632.1,16,6
2022/2/16,12814,79,616.5,13,6
2022/2/17,12814,84,655.5,20,6
2022/2/18,12814,77,600.9,13,6
2022/2/19,12814,85,663.3,14,6
2022/2/20,12814,78,608.7,6,6
2022/2/21,12814,75,585.3,8,6
2022/2/22,12814,79,616.5,12,6
2022/2/23,12814,75,585.3,13,6
2022/2/24,12814,70,546.3,8,6
2022/2/25,12814,64,499.5,7,5
2022/2/26,12814,63,491.6,8,5
2022/2/27,12814,59,460.4,5,5
2022/2/28,12814,58,452.6,8,5
2022/3/1,12814,53,413.6,7,5
2022/3/2,12814,46,359,7,5
2022/3/3,12814,47,366.8,9,5
2022/3/4,12814,47,366.8,3,5
2022/3/5,12814,47,366.8,3,5
2022/3/6,12814,45,351.2,6,5
2022/3/7,12814,41,320,4,5
2022/3/8,12814,46,359,7,5
2022/3/9,12814,36,280.9,4,5
2022/3/10,12814,38,296.6,6,5
2022/3/11,12814,41,320,4,5
2022/3/12,12814,93,725.8,13,6
2022/3/13,12814,41,320,13,5
2022/3/14,12814,38,296.6,4,5
2022/3/15,12814,54,421.4,23,5
2022/3/16,12814,62,483.8,11,5
2022/3/17,12814,78,608.7,22,6
2022/3/18,12814,91,710.2,18,6
2022/3/19,12814,94,733.6,12,6
2022/3/20,12814,102,796,17,6
2022/3/21,12814,101,788.2,7,6
2022/3/22,12814,93,725.8,13,6
2022/3/23,12814,80,624.3,7,6
2022/3/24,12814,72,561.9,13,6
2022/3/25,12814,71,554.1,14,6
2022/3/26,12814,67,522.9,12,6
2022/3/27,12814,77,600.9,17,6
2022/3/28,12814,79,616.5,11,6
2022/3/29,12814,88,686.7,21,6
