date,population,active,rate,new,band
2022/1/1,11845,32,270.2,8,5
2022/1/2,11845,99,835.8,32,5
2022/1/3,11845,92,776.7,10,5
2022/1/4,11845,89,751.4,8,5
2022/1/5,11845,94,793.6,16,5
2022/1/6,11845,94,793.6,11,5
2022/1/7,11845,90,759.8,17,5
2022/1/8,11845,99,835.8,32,5
2022/1/9,11845,102,861.1,16,5
2022/1/10,11845,104,878,13,5
2022/1/11,11845,111,937.1,16,5
2022/1/12,11845,102,861.1,9,5
2022/1/13,11845,104,878,11,5
2022/1/14,11845,98,827.4,19,5
2022/1/15,11845,82,692.3,9,5
2022/1/16,11845,79,666.9,10,5
2022/1/17,11845,58,489.7,12,5
2022/1/18,11845,58,489.7,12,5
2022/1/19,11845,66,557.2,5,5
2022/1/20,11845,67,565.6,9,5
2022/1/21,11845,70,591,15,5
2022/1/22,11845,68,574.1,9,5
2022/1/23,11845,64,540.3,9,5
2022/1/24,11845,64,540.3,9,5
2022/1/25,11845,53,447.4,4,5
2022/1/26,11845,58,489.7,11,5
2022/1/27,11845,63,531.9,7,5
2022/1/28,11845,57,481.2,15,5
2022/1/29,11845,58,489.7,12,5
2022/1/30,11845,56,472.8,4,5
2022/1/31,11845,47,396.8,2,5
2022/2/1,11845,39,329.3,2,5
2022/2/2,11845,34,287,4,5
2022/2/3,11845,32,270.2,8,5
2022/2/4,11845,99,835.8,32,6
2022/2/5,11845,92,776.7,10,6
2022/2/6,11845,89,751.4,8,6
2022/2/7,11845,94,793.6,16,6
2022/2/8,11845,94,793.6,11,6
2022/2/9,11845,90,759.8,17,6
2022/2/10,11845,99,835.8,32,6
2022/2/11,11845,102,861.1,16,6
2022/2/12,11845,104,878,13,6
2022/2/13,11845,111,937.1,16,6
2022/2/14,11845,102,861.1,9,6
2022/2/15,11845,104,878,11,6
2022/2/16,11845,98,827.4,19,6
2022/2/17,11845,82,692.3,9,6
2022/2/18,11845,79,666.9,10,6
2022/2/19,11845,65,548.8,2,6
2022/2/20,11845,65,548.8,9,6
2022/2/21,11845,55,464.3,4,5
2022/2/22,11845,52,439,4,5
2022/2/23,11845,39,329.3,9,5
2022/2/24,11845,43,363,11,5
2022/2/25,11845,46,388.3,11,5
2022/2/26,11845,53,447.4,12,5
2022/2/27,11845,63,531.9,14,6
2022/2/28,11845,66,557.2,5,6
2022/3/1,11845,67,565.6,9,6
2022/3/2,11845,70,591,15,6
2022/3/3,11845,68,574.1,9,6
2022/3/4,11845,64,540.3,9,6
2022/3/5,11845,64,540.3,9,6
2022/3/6,11845,53,447.4,4,5
2022/3/7,11845,58,489.7,11,5
2022/3/8,11845,63,531.9,7,6
2022/3/9,11845,57,481.2,15,5
2022/3/10,11845,63,531.9,17,6
2022/3/11,11845,66,557.2,3,6
2022/3/12,11845,50,422.1,8,5
2022/3/13,11845,61,515,8,6
2022/3/14,11845,64,540.3,9,6
2022/3/15,11845,66,557.2,10,6
2022/3/16,11845,50,422.1,10,5
2022/3/17,11845,46,388.3,7,5
2022/3/18,11845,49,413.7,9,5
2022/3/19,11845,49,413.7,9,5
2022/3/20,11845,48,405.2,8,5
2022/3/21,11845,51,430.6,7,5
2022/3/22,11845,50,422.1,8,5
2022/3/23,11845,57,481.2,16,5
2022/3/24,11845,58,489.7,8,5
2022/3/25,11845,60,506.5,9,6
2022/3/26,11845,58,489.7,8,5
2022/3/27,11845,53,447.4,4,5
2022/3/28,11845,49,413.7,7,5
2022/3/29,11845,50,422.1,8,5
2022/3/30,11845,43,363,9,5
2022/3/31,11845,52,439,15,5
2022/4/1,11845,51,430.6,7,5
2022/4/2,11845,53,447.4,10,5
2022/4/3,11845,55,464.3,8,5
2022/4/4,11845,56,472.8,9,5
2022/4/5,11845,57,481.2,8,5
2022/4/6,11845,79,666.9,16,6
2022/4/7,11845,51,430.6,8,5
2022/4/8,11845,55,464.3,11,5
2022/4/9,11845,58,489.7,13,5
2022/4/10,11845,62,523.4,10,6
2022/4/11,11845,67,565.6,13,6
2022/4/12,11845,69,582.5,15,6
2022/4/13,11845,76,641.6,14,6
2022/4/14,11845,73,616.3,19,6
2022/4/15,11845,78,658.5,14,6
2022/4/16,11845,79,666.9,16,6
2022/4/17,11845,82,692.3,13,6
2022/4/18,11845,73,616.3,4,6
2022/4/19,11845,71,599.4,12,6
2022/4/20,11845,78,658.5,19,6
2022/4/21,11845,82,692.3,24,6
2022/4/22,11845,95,802,22,6
2022/4/23,11845,96,810.5,21,6
2022/4/24,11845,104,878,12,6
2022/4/25,11845,121,1021.5,23,7
2022/4/26,11845,120,1013.1,12,7
2022/4/27,11845,110,928.7,16,6
2022/4/28,11845,111,937.1,26,6
2022/4/29,11845,118,996.2,23,6
2022/4/30,11845,107,903.3,18,6
2022/5/1,11845,118,996.2,17,6
2022/5/2,11845,134,1131.3,37,7
2022/5/3,11845,117,987.8,18,6
2022/5/4,11845,108,911.8,18,6
2022/5/5,11845,109,920.2,25,6
2022/5/6,11845,109,920.2,14,6
2022/5/7,11845,109,920.2,10,6
2022/5/8,11845,115,970.9,19,6
2022/5/9,11845,115,970.9,18,6
2022/5/10,11845,117,987.8,26,6
2022/5/11,11845,134,1131.3,11,7
2022/5/12,11845,134,1131.3,37,7
2022/5/13,11845,114,962.4,9,6
2022/5/14,11845,154,1300.1,28,7
2022/5/15,11845,185,1561.8,41,7
2022/5/16,11845,109,920.2,14,6
2022/5/17,11845,177,1494.3,19,7
2022/5/18,11845,109,920.2,21,6
2022/5/19,11845,171,1443.6,24,7
2022/5/20,11845,164,1384.6,25,7
2022/5/21,11845,134,1131.3,11,7
2022/5/22,11845,128,1080.6,15,7
2022/5/23,11845,114,962.4,9,6
2022/5/24,11845,154,1300.1,28,7
2022/5/25,11845,97,818.9,22,6
2022/5/26,11845,109,920.2,14,6
2022/5/27,11845,97,818.9,22,6
2022/5/28,11845,109,920.2,21,6
2022/5/29,11845,101,852.7,9,6
2022/5/30,11845,97,818.9,8,6
2022/5/31,11845,99,835.8,13,6
2022/6/1,11845,101,852.7,21,6
2022/6/2,11845,103,869.6,23,6
2022/6/3,11845,117,987.8,28,6
2022/6/4,11845,104,878,22,6
2022/6/5,11845,117,987.8,28,6
2022/6/6,11845,40,337.7,8,5
2022/6/7,11845,119,1004.6,21,7
2022/6/8,11845,42,354.6,11,5
2022/6/9,11845,41,346.1,3,5
2022/6/10,11845,95,802,15,6
2022/6/11,11845,76,641.6,8,6
2022/6/12,11845,44,371.5,7,5
2022/6/13,11845,44,371.5,6,5
2022/6/14,11845,35,295.5,6,5
2022/6/15,11845,43,363,5,5
2022/6/16,11845,40,337.7,8,5
2022/6/17,11845,42,354.6,10,5
2022/6/18,11845,42,354.6,11,5
2022/6/19,11845,41,346.1,3,5
2022/6/20,11845,43,363,6,5
2022/6/21,11845,44,371.5,4,5
2022/6/22,11845,44,371.5,7,5
2022/6/23,11845,44,371.5,6,5
2022/6/24,11845,35,295.5,6,5
2022/6/25,11845,37,312.4,9,5
