date,population,active,rate,new,band
2022/1/1,109505,1010,922.3,153,6
2022/1/2,109505,1029,939.7,182,6
2022/1/3,109505,1035,945.2,217,6
2022/1/4,109505,1051,959.8,211,6
2022/1/5,109505,1121,1023.7,184,6
2022/1/6,109505,1172,1070.3,185,6
2022/1/7,109505,1178,1075.7,134,6
2022/1/8,109505,1218,1112.3,207,6
2022/1/9,109505,1211,1105.9,188,6
2022/1/10,109505,1261,1151.5,255,6
2022/1/11,109505,1313,1199,265,6
2022/1/12,109505,1352,1234.6,193,6
2022/1/13,109505,1321,1206.3,153,6
2022/1/14,109505,1287,1175.3,131,6
2022/1/15,109505,1275,1164.3,174,6
2022/1/16,109505,1390,1269.3,220,6
2022/1/17,109505,1186,1083.1,189,6
2022/1/18,109505,1190,1086.7,224,6
2022/1/19,109505,1258,1148.8,214,6
2022/1/20,109505,1274,1163.4,238,6
2022/1/21,109505,1241,1133.3,179,6
2022/1/22,109505,1202,1097.7,164,6
2022/1/23,109505,1202,1097.7,164,6
2022/1/24,109505,1112,1015.5,129,6
2022/1/25,109505,1108,1011.8,167,6
2022/1/26,109505,1254,1145.2,180,6
2022/1/27,109505,1021,932.4,167,6
2022/1/28,109505,1031,941.5,197,6
2022/1/29,109505,1192,1088.5,164,6
2022/1/30,109505,845,771.7,122,6
2022/1/31,109505,1004,916.9,96,6
2022/2/1,109505,555,506.8,66,6
2022/2/2,109505,505,461.2,64,5
2022/2/3,109505,492,449.3,78,5
2022/2/4,109505,1051,959.8,211,6
2022/2/5,109505,1071,978,128,6
2022/2/6,109505,1027,937.9,105,6
2022/2/7,109505,1010,922.3,153,6
2022/2/8,109505,1029,939.7,182,6
2022/2/9,109505,1035,945.2,217,6
2022/2/10,109505,1051,959.8,211,6
2022/2/11,109505,1121,1023.7,184,7
2022/2/12,109505,1172,1070.3,185,7
2022/2/13,109505,1178,1075.7,134,7
2022/2/14,109505,1218,1112.3,207,7
2022/2/15,109505,1211,1105.9,188,7
2022/2/16,109505,1261,1151.5,255,7
2022/2/17,109505,1313,1199,265,7
2022/2/18,109505,1352,1234.6,193,7
2022/2/19,109505,1321,1206.3,153,7
2022/2/20,109505,1287,1175.3,131,7
2022/2/21,109505,1275,1164.3,174,7
2022/2/22,109505,1390,1269.3,220,7
2022/2/23,109505,1186,1083.1,189,7
2022/2/24,109505,1190,1086.7,224,7
2022/2/25,109505,1242,1134.2,230,7
2022/2/26,109505,1234,1126.9,165,7
2022/2/27,109505,1239,1131.5,164,7
2022/2/28,109505,1250,1141.5,172,7
2022/3/1,109505,1258,1148.8,214,7
2022/3/2,109505,1274,1163.4,238,7
2022/3/3,109505,1241,1133.3,179,7
2022/3/4,109505,1202,1097.7,164,7
2022/3/5,109505,1202,1097.7,164,7
2022/3/6,109505,1112,1015.5,129,7
2022/3/7,109505,1108,1011.8,167,7
2022/3/8,109505,1254,1145.2,180,7
2022/3/9,109505,1021,932.4,167,6
2022/3/10,109505,1031,941.5,197,6
2022/3/11,109505,1192,1088.5,164,7
2022/3/12,109505,845,771.7,122,6
2022/3/13,109505,1004,916.9,96,6
2022/3/14,109505,969,884.9,124,6
2022/3/15,109505,923,842.9,153,6
2022/3/16,109505,917,837.4,167,6
2022/3/17,109505,918,838.3,176,6
2022/3/18,109505,901,822.8,139,6
2022/3/19,109505,893,815.5,140,6
2022/3/20,109505,886,809.1,99,6
2022/3/21,109505,883,806.4,107,6
2022/3/22,109505,845,771.7,122,6
2022/3/23,109505,811,740.6,145,6
2022/3/24,109505,809,738.8,155,6
2022/3/25,109505,811,740.6,141,6
2022/3/26,109505,808,737.9,127,6
2022/3/27,109505,802,732.4,92,6
2022/3/28,109505,850,776.2,135,6
2022/3/29,109505,890,812.7,173,6
2022/3/30,109505,919,839.2,185,6
2022/3/31,109505,938,856.6,174,6
2022/4/1,109505,1014,926,197,6
2022/4/2,109505,1021,932.4,133,6
2022/4/3,109505,1044,953.4,144,6
2022/4/4,109505,1059,967.1,173,6
2022/4/5,109505,1070,977.1,201,6
2022/4/6,109505,1271,1160.7,198,7
2022/4/7,109505,1130,1031.9,225,7
2022/4/8,109505,1220,1114.1,250,7
2022/4/9,109505,1239,1131.5,183,7
2022/4/10,109505,1290,1178,195,7
2022/4/11,109505,1361,1242.9,261,7
2022/4/12,109505,1288,1176.2,189,7
2022/4/13,109505,1305,1191.7,260,7
2022/4/14,109505,1305,1191.7,241,7
2022/4/15,109505,1262,1152.5,190,7
2022/4/16,109505,1271,1160.7,198,7
2022/4/17,109505,1304,1190.8,198,7
2022/4/18,109505,1234,1126.9,174,7
2022/4/19,109505,1189,1085.8,195,7
2022/4/20,109505,1154,1053.8,196,7
2022/4/21,109505,1149,1049.3,241,7
2022/4/22,109505,1116,1019.1,173,7
2022/4/23,109505,1126,1028.3,153,7
2022/4/24,109505,1041,950.6,106,6
2022/4/25,109505,1037,947,174,6
2022/4/26,109505,1008,920.5,178,6
2022/4/27,109505,1007,919.6,202,6
2022/4/28,109505,1019,930.6,202,6
2022/4/29,109505,1051,959.8,224,6
2022/4/30,109505,1113,1016.4,189,7
2022/5/1,109505,1103,1007.3,129,7
2022/5/2,109505,1775,1620.9,389,7
2022/5/3,109505,1183,1080.3,208,7
2022/5/4,109505,1195,1091.3,223,7
2022/5/5,109505,1192,1088.5,227,7
2022/5/6,109505,1216,1110.5,217,7
2022/5/7,109505,1274,1163.4,223,7
2022/5/8,109505,1316,1201.8,185,7
2022/5/9,109505,1364,1245.6,226,7
2022/5/10,109505,1442,1316.8,330,7
2022/5/11,109505,2214,2021.8,345,7
2022/5/12,109505,1775,1620.9,389,7
2022/5/13,109505,2083,1902.2,230,7
2022/5/14,109505,2046,1868.4,319,7
2022/5/15,109505,2083,1902.2,250,7
2022/5/16,109505,1216,1110.5,217,7
2022/5/17,109505,2056,1877.5,348,7
2022/5/18,109505,1939,1770.7,216,7
2022/5/19,109505,2150,1963.4,376,7
2022/5/20,109505,2148,1961.6,361,7
2022/5/21,109505,2214,2021.8,345,7
2022/5/22,109505,2181,1991.7,247,7
2022/5/23,109505,2083,1902.2,230,7
2022/5/24,109505,2046,1868.4,319,7
2022/5/25,109505,2015,1840.1,429,7
2022/5/26,109505,1216,1110.5,217,7
2022/5/27,109505,2035,1858.4,337,7
2022/5/28,109505,1939,1770.7,216,7
2022/5/29,109505,1913,1747,225,7
2022/5/30,109505,1826,1667.5,231,7
2022/5/31,109505,1661,1516.8,220,7
2022/6/1,109505,1566,1430.1,257,7
2022/6/2,109505,1464,1336.9,235,7
2022/6/3,109505,1214,1108.6,132,7
2022/6/4,109505,1319,1204.5,167,7
2022/6/5,109505,1214,1108.6,132,7
2022/6/6,109505,720,657.5,144,6
2022/6/7,109505,1117,1020,242,7
2022/6/8,109505,754,688.6,110,6
2022/6/9,109505,752,686.7,89,6
2022/6/10,109505,1073,979.9,165,6
2022/6/11,109505,984,898.6,94,6
2022/6/12,109505,790,721.4,143,6
2022/6/13,109505,823,751.6,163,6
2022/6/14,109505,833,760.7,147,6
2022/6/15,109505,739,674.9,150,6
2022/6/16,109505,720,657.5,144,6
2022/6/17,109505,758,692.2,146,6
2022/6/18,109505,754,688.6,110,6
2022/6/19,109505,752,686.7,89,6
2022/6/20,109505,760,694,101,6
2022/6/21,109505,815,744.3,179,6
2022/6/22,109505,790,721.4,143,6
2022/6/23,109505,823,751.6,163,6
2022/6/24,109505,833,760.7,147,6
2022/6/25,109505,841,768,108,6
2022/6/26,109505,830,758,90,6
2022/6/27,109505,820,748.8,115,6
2022/6/28,109505,801,731.5,145,6
2022/6/29,109505,841,768,188,6
2022/6/30,109505,856,781.7,187,6
2022/7/1,109505,857,782.6,165,6
2022/7/2,109505,888,810.9,125,6
2022/7/3,109505,906,827.4,135,6
2022/7/4,109505,927,846.5,129,6
2022/7/5,109505,916,836.5,144,6
2022/7/6,109505,922,842,172,6
2022/7/7,109505,918,838.3,180,6
2022/7/8,109505,926,845.6,162,6
2022/7/9,109505,951,868.5,139,6
2022/7/10,109505,1520,1388.1,319,7
2022/7/11,109505,997,910.5,153,6
2022/7/12,109505,1613,1473,270,7
2022/7/13,109505,1629,1487.6,247,7
2022/7/14,109505,1140,1041,230,7
2022/7/15,109505,1210,1105,223,7
2022/7/16,109505,1300,1187.2,239,7
2022/7/17,109505,1398,1276.7,251,7
2022/7/18,109505,1458,1331.4,216,7
2022/7/19,109505,1444,1318.7,216,7
2022/7/20,109505,1520,1388.1,319,7
2022/7/21,109505,1602,1462.9,308,7
2022/7/22,109505,1613,1473,270,7
2022/7/23,109505,1629,1487.6,247,7
2022/7/24,109505,1556,1420.9,182,7
2022/7/25,109505,1543,1409.1,190,7
2022/7/26,109505,1507,1376.2,231,7
2022/7/27,109505,1398,1276.7,251,7
2022/7/28,109505,1366,1247.4,214,7
2022/7/29,109505,1351,1233.7,207,7
2022/7/30,109505,1287,1175.3,164,7
2022/7/31,109505,1242,1134.2,138,7
2022/8/1,109505,1199,1094.9,152,7
2022/8/2,109505,744,679.4,126,6
2022/8/3,109505,1044,953.4,146,6
2022/8/4,109505,985,899.5,147,6
2022/8/5,109505,952,869.4,153,6
2022/8/6,109505,671,612.8,111,6
2022/8/7,109505,691,631,145,6
2022/8/8,109505,783,715,94,6
2022/8/9,109505,779,711.4,152,6
2022/8/10,109505,759,693.1,124,6
2022/8/11,109505,661,603.6,73,6
2022/8/12,109505,744,679.4,126,6
2022/8/13,109505,588,537,102,6
2022/8/14,109505,546,498.6,83,5
2022/8/15,109505,689,629.2,99,6
2022/8/16,109505,671,612.8,111,6
2022/8/17,109505,691,631,145,6
2022/8/18,109505,441,402.7,51,5
2022/8/19,109505,668,610,111,6
2022/8/20,109505,389,355.2,54,5
2022/8/21,109505,661,603.6,73,6
2022/8/22,109505,622,568,57,6
2022/8/23,109505,588,537,102,6
2022/8/24,109505,546,498.6,83,5
2022/8/25,109505,514,469.4,76,5
2022/8/26,109505,482,440.2,80,5
2022/8/27,109505,279,254.8,44,5
2022/8/28,109505,441,402.7,51,5
2022/8/29,109505,432,394.5,56,5
2022/8/30,109505,389,355.2,54,5
