date,population,active,rate,new,band
2022/1/1,131631,1045,793.9,198,7
2022/1/2,131631,1012,768.8,176,7
2022/1/3,131631,997,757.4,167,7
2022/1/4,131631,976,741.5,122,7
2022/1/5,131631,974,739.9,152,7
2022/1/6,131631,963,731.6,122,7
2022/1/7,131631,936,711.1,120,7
2022/1/8,131631,882,670.1,139,7
2022/1/9,131631,845,641.9,122,7
2022/1/10,131631,850,645.7,142,7
2022/1/11,131631,894,679.2,181,7
2022/1/12,131631,872,662.5,120,7
2022/1/13,131631,862,654.9,92,7
2022/1/14,131631,861,654.1,108,7
2022/1/15,131631,891,676.9,118,5
2022/1/16,131631,789,599.4,110,5
2022/1/17,131631,873,663.2,135,5
2022/1/18,131631,873,663.2,135,5
2022/1/19,131631,878,667,125,5
2022/1/20,131631,890,676.1,144,5
2022/1/21,131631,943,716.4,155,5
2022/1/22,131631,909,690.6,198,5
2022/1/23,131631,968,735.4,207,5
2022/1/24,131631,1124,853.9,170,5
2022/1/25,131631,1332,1011.9,253,5
2022/1/26,131631,1315,999,175,5
2022/1/27,131631,1332,1011.9,253,5
2022/1/28,131631,1363,1035.5,295,5
2022/1/29,131631,1365,1037,264,5
2022/1/30,131631,1363,1035.5,190,5
2022/1/31,131631,585,444.4,44,5
2022/2/1,131631,564,428.5,96,5
2022/2/2,131631,582,442.1,112,5
2022/2/3,131631,529,401.9,84,5
2022/2/4,131631,997,757.4,167,6
2022/2/5,131631,1116,847.8,120,6
2022/2/6,131631,1078,819,124,6
2022/2/7,131631,1052,799.2,150,6
2022/2/8,131631,1045,793.9,198,6
2022/2/9,131631,1012,768.8,176,6
2022/2/10,131631,997,757.4,167,6
2022/2/11,131631,976,741.5,122,6
2022/2/12,131631,974,739.9,152,6
2022/2/13,131631,963,731.6,122,6
2022/2/14,131631,936,711.1,120,6
2022/2/15,131631,882,670.1,139,6
2022/2/16,131631,845,641.9,122,6
2022/2/17,131631,850,645.7,142,6
2022/2/18,131631,894,679.2,181,6
2022/2/19,131631,872,662.5,120,6
2022/2/20,131631,862,654.9,92,6
2022/2/21,131631,861,654.1,108,6
2022/2/22,131631,891,676.9,118,6
2022/2/23,131631,789,599.4,110,6
2022/2/24,131631,744,565.2,117,6
2022/2/25,131631,712,540.9,108,6
2022/2/26,131631,698,530.3,90,6
2022/2/27,131631,705,535.6,102,6
2022/2/28,131631,722,548.5,116,6
2022/3/1,131631,755,573.6,145,6
2022/3/2,131631,800,607.8,155,6
2022/3/3,131631,843,640.4,174,6
2022/3/4,131631,873,663.2,135,6
2022/3/5,131631,873,663.2,135,6
2022/3/6,131631,878,667,125,6
2022/3/7,131631,890,676.1,144,6
2022/3/8,131631,943,716.4,155,6
2022/3/9,131631,909,690.6,198,6
2022/3/10,131631,968,735.4,207,6
2022/3/11,131631,1124,853.9,170,6
2022/3/12,131631,1332,1011.9,253,7
2022/3/13,131631,1016,771.9,124,6
