date,population,active,rate,new,band
2022/1/1,36320,193,531.4,23,7
2022/1/2,36320,144,396.5,16,7
2022/1/3,36320,125,344.2,8,7
2022/1/4,36320,156,429.5,50,7
2022/1/5,36320,149,410.2,20,7
2022/1/6,36320,356,980.2,44,7
2022/1/7,36320,332,914.1,43,7
2022/1/8,36320,334,919.6,45,7
2022/1/9,36320,358,985.7,71,7
2022/1/10,36320,376,1035.2,74,7
2022/1/11,36320,376,1035.2,70,7
2022/1/12,36320,356,980.2,44,7
2022/1/13,36320,366,1007.7,53,7
2022/1/14,36320,369,1016,50,7
2022/1/15,36320,355,977.4,43,5
2022/1/16,36320,335,922.4,51,5
2022/1/17,36320,157,432.3,34,5
2022/1/18,36320,286,787.4,40,5
2022/1/19,36320,274,754.4,23,5
2022/1/20,36320,256,704.8,33,5
2022/1/21,36320,262,721.4,37,5
2022/1/22,36320,232,638.8,31,5
2022/1/23,36320,216,594.7,25,5
2022/1/24,36320,199,547.9,37,5
2022/1/25,36320,193,531.4,23,5
2022/1/26,36320,193,531.4,22,5
2022/1/27,36320,169,465.3,20,5
2022/1/28,36320,151,415.7,15,5
2022/1/29,36320,145,399.2,26,5
2022/1/30,36320,145,399.2,31,5
2022/1/31,36320,144,396.5,16,5
2022/2/1,36320,125,344.2,8,5
2022/2/2,36320,156,429.5,50,5
2022/2/3,36320,149,410.2,20,5
2022/2/4,36320,356,980.2,44,6
2022/2/5,36320,332,914.1,43,6
2022/2/6,36320,334,919.6,45,6
2022/2/7,36320,358,985.7,71,6
2022/2/8,36320,376,1035.2,74,7
2022/2/9,36320,376,1035.2,70,7
2022/2/10,36320,356,980.2,44,6
2022/2/11,36320,366,1007.7,53,7
2022/2/12,36320,369,1016,50,7
2022/2/13,36320,355,977.4,43,6
2022/2/14,36320,335,922.4,51,6
2022/2/15,36320,320,881.1,51,6
2022/2/16,36320,312,859,40,6
2022/2/17,36320,298,820.5,37,6
2022/2/18,36320,309,850.8,52,6
2022/2/19,36320,286,787.4,40,6
2022/2/20,36320,274,754.4,23,6
2022/2/21,36320,256,704.8,33,6
2022/2/22,36320,262,721.4,37,6
2022/2/23,36320,232,638.8,31,6
2022/2/24,36320,216,594.7,25,6
2022/2/25,36320,199,547.9,37,6
2022/2/26,36320,193,531.4,23,6
2022/2/27,36320,193,531.4,22,6
2022/2/28,36320,169,465.3,20,5
2022/3/1,36320,151,415.7,15,5
2022/3/2,36320,145,399.2,26,5
2022/3/3,36320,145,399.2,31,5
2022/3/4,36320,143,393.7,21,5
2022/3/5,36320,143,393.7,21,5
2022/3/6,36320,128,352.4,16,5
2022/3/7,36320,124,341.4,7,5
2022/3/8,36320,149,410.2,32,5
2022/3/9,36320,138,380,26,5
2022/3/10,36320,144,396.5,33,5
2022/3/11,36320,172,473.6,26,5
2022/3/12,36320,324,892.1,68,6
2022/3/13,36320,164,451.5,24,5
2022/3/14,36320,179,492.8,28,5
2022/3/15,36320,189,520.4,38,6
2022/3/16,36320,200,550.7,49,6
2022/3/17,36320,229,630.5,62,6
2022/3/18,36320,243,669.1,46,6
2022/3/19,36320,276,759.9,53,6
2022/3/20,36320,285,784.7,41,6
2022/3/21,36320,298,820.5,39,6
2022/3/22,36320,324,892.1,68,6
2022/3/23,36320,328,903.1,76,6
2022/3/24,36320,353,971.9,64,6
2022/3/25,36320,351,966.4,51,6
2022/3/26,36320,341,938.9,49,6
2022/3/27,36320,343,944.4,43,6
2022/3/28,36320,355,977.4,51,6
2022/3/29,36320,347,955.4,58,6
2022/3/30,36320,330,908.6,62,6
2022/3/31,36320,335,922.4,66,6
2022/4/1,36320,350,963.7,66,6
2022/4/2,36320,346,952.6,49,6
2022/4/3,36320,344,947.1,43,6
2022/4/4,36320,340,936.1,55,6
2022/4/5,36320,330,908.6,49,6
2022/4/6,36320,264,726.9,57,6
2022/4/7,36320,318,875.6,46,6
2022/4/8,36320,311,856.3,46,6
2022/4/9,36320,304,837,41,6
2022/4/10,36320,313,861.8,52,6
2022/4/11,36320,307,845.3,44,6
2022/4/12,36320,283,779.2,40,6
2022/4/13,36320,270,743.4,52,6
2022/4/14,36320,266,732.4,46,6
2022/4/15,36320,250,688.3,32,6
2022/4/16,36320,264,726.9,57,6
2022/4/17,36320,261,718.6,47,6
2022/4/18,36320,277,762.7,56,6
2022/4/19,36320,281,773.7,47,6
2022/4/20,36320,297,817.7,64,6
2022/4/21,36320,299,823.2,49,6
2022/4/22,36320,322,886.6,62,6
2022/4/23,36320,310,853.5,46,6
2022/4/24,36320,295,812.2,32,6
2022/4/25,36320,294,809.5,47,6
2022/4/26,36320,275,757.2,35,6
2022/4/27,36320,268,737.9,40,6
2022/4/28,36320,271,746.1,65,6
2022/4/29,36320,290,798.5,65,6
2022/4/30,36320,287,790.2,39,6
2022/5/1,36320,296,815,50,6
2022/5/2,36320,472,1299.6,105,7
2022/5/3,36320,334,919.6,68,6
2022/5/4,36320,369,1016,84,7
2022/5/5,36320,386,1062.8,81,7
2022/5/6,36320,411,1131.6,71,7
2022/5/7,36320,419,1153.6,60,7
2022/5/8,36320,429,1181.2,62,7
2022/5/9,36320,427,1175.7,53,7
2022/5/10,36320,423,1164.6,68,7
2022/5/11,36320,562,1547.4,86,7
2022/5/12,36320,472,1299.6,105,7
2022/5/13,36320,528,1453.7,68,7
2022/5/14,36320,508,1398.7,68,7
2022/5/15,36320,512,1409.7,74,7
2022/5/16,36320,411,1131.6,71,7
2022/5/17,36320,554,1525.3,102,7
2022/5/18,36320,448,1233.5,78,7
2022/5/19,36320,557,1533.6,81,7
2022/5/20,36320,562,1547.4,97,7
2022/5/21,36320,562,1547.4,86,7
2022/5/22,36320,537,1478.5,72,7
2022/5/23,36320,528,1453.7,68,7
2022/5/24,36320,508,1398.7,68,7
2022/5/25,36320,485,1335.4,84,7
2022/5/26,36320,411,1131.6,71,7
2022/5/27,36320,450,1239,62,7
2022/5/28,36320,448,1233.5,78,7
2022/5/29,36320,435,1197.7,58,7
2022/5/30,36320,448,1233.5,77,7
2022/5/31,36320,444,1222.5,78,7
2022/6/1,36320,446,1228,71,7
2022/6/2,36320,434,1194.9,70,7
2022/6/3,36320,392,1079.3,37,7
2022/6/4,36320,424,1167.4,61,7
2022/6/5,36320,392,1079.3,37,7
2022/6/6,36320,327,900.3,56,6
2022/6/7,36320,320,881.1,64,6
2022/6/8,36320,334,919.6,52,6
2022/6/9,36320,316,870,32,6
2022/6/10,36320,288,793,55,6
2022/6/11,36320,285,784.7,47,6
2022/6/12,36320,257,707.6,30,6
2022/6/13,36320,245,674.6,42,6
2022/6/14,36320,236,649.8,46,6
2022/6/15,36320,316,870,64,6
2022/6/16,36320,327,900.3,56,6
2022/6/17,36320,334,919.6,61,6
2022/6/18,36320,334,919.6,52,6
2022/6/19,36320,316,870,32,6
