date,population,active,rate,new,band
2022/1/1,53396,303,567.5,67,6
2022/1/2,53396,307,574.9,41,6
2022/1/3,53396,338,633,48,6
2022/1/4,53396,300,561.8,36,6
2022/1/5,53396,322,603,78,6
2022/1/6,53396,268,501.9,56,6
2022/1/7,53396,524,981.3,94,6
2022/1/8,53396,648,1213.6,87,6
2022/1/9,53396,620,1161.1,67,6
2022/1/10,53396,591,1106.8,76,6
2022/1/11,53396,561,1050.6,86,6
2022/1/12,53396,543,1016.9,93,6
2022/1/13,53396,524,981.3,94,6
2022/1/14,53396,519,972,80,6
2022/1/15,53396,507,949.5,69,6
2022/1/16,53396,504,943.9,71,6
2022/1/17,53396,408,764.1,65,6
2022/1/18,53396,396,741.6,67,6
2022/1/19,53396,404,756.6,65,6
2022/1/20,53396,393,736,41,6
2022/1/21,53396,412,771.6,69,6
2022/1/22,53396,419,784.7,71,6
2022/1/23,53396,435,814.7,84,6
2022/1/24,53396,438,820.3,60,6
2022/1/25,53396,444,831.5,75,6
2022/1/26,53396,444,831.5,75,6
2022/1/27,53396,402,752.9,46,6
2022/1/28,53396,368,689.2,45,6
2022/1/29,53396,432,809,70,6
2022/1/30,53396,347,649.9,53,6
2022/1/31,53396,342,640.5,61,6
2022/2/1,53396,388,726.6,47,6
2022/2/2,53396,316,591.8,46,6
2022/2/3,53396,301,563.7,37,6
2022/2/4,53396,524,981.3,94,6
2022/2/5,53396,648,1213.6,87,7
2022/2/6,53396,620,1161.1,67,7
2022/2/7,53396,591,1106.8,76,7
2022/2/8,53396,561,1050.6,86,7
2022/2/9,53396,543,1016.9,93,7
2022/2/10,53396,524,981.3,94,6
2022/2/11,53396,519,972,80,6
2022/2/12,53396,507,949.5,69,6
2022/2/13,53396,504,943.9,71,6
2022/2/14,53396,489,915.8,54,6
2022/2/15,53396,461,863.4,75,6
2022/2/16,53396,461,863.4,82,6
2022/2/17,53396,469,878.3,90,6
2022/2/18,53396,497,930.8,90,6
2022/2/19,53396,478,895.2,53,6
2022/2/20,53396,456,854,48,6
2022/2/21,53396,453,848.4,58,6
2022/2/22,53396,465,870.9,58,6
2022/2/23,53396,422,790.3,82,6
2022/2/24,53396,408,764.1,65,6
2022/2/25,53396,396,741.6,67,6
2022/2/26,53396,404,756.6,65,6
2022/2/27,53396,393,736,41,6
2022/2/28,53396,412,771.6,69,6
2022/3/1,53396,419,784.7,71,6
2022/3/2,53396,435,814.7,84,6
2022/3/3,53396,438,820.3,60,6
2022/3/4,53396,444,831.5,75,6
2022/3/5,53396,444,831.5,75,6
2022/3/6,53396,402,752.9,46,6
2022/3/7,53396,368,689.2,45,6
2022/3/8,53396,432,809,70,6
2022/3/9,53396,347,649.9,53,6
2022/3/10,53396,342,640.5,61,6
2022/3/11,53396,388,726.6,47,6
2022/3/12,53396,316,591.8,46,6
2022/3/13,53396,301,563.7,37,6
2022/3/14,53396,283,530,34,6
2022/3/15,53396,276,516.9,53,6
2022/3/16,53396,281,526.3,66,6
2022/3/17,53396,293,548.7,60,6
2022/3/18,53396,297,556.2,38,6
2022/3/19,53396,311,582.4,51,6
2022/3/20,53396,329,616.2,51,6
2022/3/21,53396,320,599.3,42,6
