date,population,active,rate,new,band
2022/1/1,106862,634,593.3,97,7
2022/1/2,106862,644,602.6,98,7
2022/1/3,106862,668,625.1,95,7
2022/1/4,106862,670,627,93,7
2022/1/5,106862,653,611.1,94,7
2022/1/6,106862,601,562.4,82,7
2022/1/7,106862,578,540.9,79,7
2022/1/8,106862,591,553,113,7
2022/1/9,106862,556,520.3,69,7
2022/1/10,106862,538,503.5,58,7
2022/1/11,106862,492,460.4,54,7
2022/1/12,106862,477,446.4,62,7
2022/1/13,106862,524,490.4,96,7
2022/1/14,106862,501,468.8,97,7
2022/1/15,106862,551,515.6,125,6
2022/1/16,106862,588,550.2,117,6
2022/1/17,106862,624,583.9,97,6
2022/1/18,106862,501,468.8,68,6
2022/1/19,106862,466,436.1,67,6
2022/1/20,106862,525,491.3,161,6
2022/1/21,106862,428,400.5,111,6
2022/1/22,106862,634,593.3,97,6
2022/1/23,106862,791,740.2,90,6
2022/1/24,106862,741,693.4,84,6
2022/1/25,106862,726,679.4,117,6
2022/1/26,106862,678,634.5,108,6
2022/1/27,106862,640,598.9,111,6
2022/1/28,106862,634,593.3,97,6
2022/1/29,106862,644,602.6,98,6
2022/1/30,106862,668,625.1,95,5
2022/1/31,106862,670,627,93,5
2022/2/1,106862,653,611.1,94,5
2022/2/2,106862,601,562.4,82,5
2022/2/3,106862,578,540.9,79,5
2022/2/4,106862,591,553,113,6
2022/2/5,106862,791,740.2,90,6
2022/2/6,106862,741,693.4,84,6
2022/2/7,106862,726,679.4,117,6
2022/2/8,106862,678,634.5,108,6
2022/2/9,106862,640,598.9,111,6
2022/2/10,106862,634,593.3,97,6
2022/2/11,106862,644,602.6,98,6
2022/2/12,106862,668,625.1,95,6
2022/2/13,106862,670,627,93,6
2022/2/14,106862,653,611.1,94,6
2022/2/15,106862,601,562.4,82,6
2022/2/16,106862,578,540.9,79,6
2022/2/17,106862,591,553,113,6
2022/2/18,106862,556,520.3,69,6
2022/2/19,106862,538,503.5,58,6
