date,population,active,rate,new,band
2022/1/1,14037,73,520.1,31,6
2022/1/2,14037,95,676.8,14,6
2022/1/3,14037,92,655.4,14,6
2022/1/4,14037,95,676.8,21,6
2022/1/5,14037,97,691,16,6
2022/1/6,14037,89,634,6,6
2022/1/7,14037,86,612.7,14,6
2022/1/8,14037,90,641.2,11,6
2022/1/9,14037,97,691,20,6
2022/1/10,14037,101,719.5,16,6
2022/1/11,14037,96,683.9,21,6
2022/1/12,14037,104,740.9,21,6
2022/1/13,14037,107,762.3,12,6
2022/1/14,14037,103,733.8,13,6
2022/1/15,14037,98,698.2,11,4
2022/1/16,14037,109,776.5,15,4
2022/1/17,14037,115,819.3,18,4
2022/1/18,14037,121,862,19,4
2022/1/19,14037,115,819.3,13,4
2022/1/20,14037,106,755.1,14,4
2022/1/21,14037,114,812.1,19,4
2022/1/22,14037,109,776.5,15,4
2022/1/23,14037,106,755.1,17,4
2022/1/24,14037,100,712.4,12,4
2022/1/25,14037,94,669.7,13,4
2022/1/26,14037,95,676.8,14,4
2022/1/27,14037,92,655.4,14,4
2022/1/28,14037,27,192.3,0,4
2022/1/29,14037,27,192.3,0,4
2022/1/30,14037,30,213.7,7,5
2022/1/31,14037,26,185.2,1,4
2022/2/1,14037,20,142.5,4,4
2022/2/2,14037,20,142.5,5,4
2022/2/3,14037,23,163.9,5,4
2022/2/4,14037,109,776.5,15,6
2022/2/5,14037,115,819.3,18,6
2022/2/6,14037,121,862,19,6
2022/2/7,14037,115,819.3,13,6
2022/2/8,14037,106,755.1,14,6
2022/2/9,14037,114,812.1,19,6
2022/2/10,14037,109,776.5,15,6
2022/2/11,14037,106,755.1,17,6
2022/2/12,14037,100,712.4,12,6
2022/2/13,14037,94,669.7,13,6
2022/2/14,14037,95,676.8,14,6
2022/2/15,14037,92,655.4,14,6
2022/2/16,14037,95,676.8,21,6
2022/2/17,14037,97,691,16,6
2022/2/18,14037,89,634,6,6
2022/2/19,14037,86,612.7,14,6
2022/2/20,14037,90,641.2,11,6
2022/2/21,14037,97,691,20,6
2022/2/22,14037,101,719.5,16,6
2022/2/23,14037,96,683.9,21,6
2022/2/24,14037,104,740.9,21,6
2022/2/25,14037,107,762.3,12,6
2022/2/26,14037,103,733.8,13,6
2022/2/27,14037,98,698.2,11,6
2022/2/28,14037,103,733.8,21,6
2022/3/1,14037,108,769.4,22,6
2022/3/2,14037,116,826.4,27,6
2022/3/3,14037,118,840.6,19,6
2022/3/4,14037,117,833.5,12,6
2022/3/5,14037,117,833.5,12,6
2022/3/6,14037,115,819.3,15,6
2022/3/7,14037,114,812.1,19,6
2022/3/8,14037,124,883.4,13,6
2022/3/9,14037,96,683.9,10,6
2022/3/10,14037,93,662.5,18,6
2022/3/11,14037,101,719.5,9,6
2022/3/12,14037,123,876.3,19,6
2022/3/13,14037,74,527.2,8,6
2022/3/14,14037,71,505.8,12,6
2022/3/15,14037,72,512.9,15,6
2022/3/16,14037,83,591.3,20,6
2022/3/17,14037,89,634,25,6
2022/3/18,14037,94,669.7,15,6
2022/3/19,14037,107,762.3,21,6
2022/3/20,14037,108,769.4,13,6
2022/3/21,14037,122,869.1,19,6
2022/3/22,14037,123,876.3,19,6
2022/3/23,14037,118,840.6,18,6
2022/3/24,14037,111,790.8,15,6
2022/3/25,14037,110,783.6,20,6
2022/3/26,14037,107,762.3,16,6
2022/3/27,14037,103,733.8,14,6
2022/3/28,14037,96,683.9,9,6
2022/3/29,14037,85,605.5,7,6
2022/3/30,14037,105,748,33,6
2022/3/31,14037,104,740.9,20,6
2022/4/1,14037,94,669.7,14,6
2022/4/2,14037,99,705.3,18,6
2022/4/3,14037,100,712.4,8,6
2022/4/4,14037,107,762.3,15,6
2022/4/5,14037,109,776.5,17,6
2022/4/6,14037,78,555.7,12,6
2022/4/7,14037,84,598.4,17,6
2022/4/8,14037,85,605.5,12,6
2022/4/9,14037,90,641.2,17,6
2022/4/10,14037,87,619.8,6,6
2022/4/11,14037,90,641.2,23,6
