date,population,active,rate,new,band
2022/1/1,183199,1397,762.6,182,7
2022/1/2,183199,976,532.8,128,7
2022/1/3,183199,995,543.1,156,7
2022/1/4,183199,1000,545.9,156,7
2022/1/5,183199,961,524.6,141,7
2022/1/6,183199,957,522.4,148,7
2022/1/7,183199,941,513.6,154,7
2022/1/8,183199,930,507.6,133,7
2022/1/9,183199,928,506.6,129,7
2022/1/10,183199,926,505.5,116,7
2022/1/11,183199,936,510.9,152,7
2022/1/12,183199,1005,548.6,155,7
2022/1/13,183199,927,506,135,7
2022/1/14,183199,907,495.1,159,7
2022/1/15,183199,959,523.5,183,5
2022/1/16,183199,965,526.7,128,5
2022/1/17,183199,984,537.1,139,5
2022/1/18,183199,1047,571.5,190,5
2022/1/19,183199,984,537.1,139,5
2022/1/20,183199,1047,571.5,190,5
2022/1/21,183199,1104,602.6,230,5
2022/1/22,183199,1174,640.8,232,5
2022/1/23,183199,1254,684.5,240,5
2022/1/24,183199,1290,704.2,195,5
2022/1/25,183199,1290,704.2,195,5
2022/1/26,183199,1317,718.9,182,5
2022/1/27,183199,1318,719.4,204,5
2022/1/28,183199,1437,784.4,249,5
2022/1/29,183199,1343,733.1,256,5
2022/1/30,183199,1397,762.6,292,5
2022/1/31,183199,1616,882.1,226,5
2022/2/1,183199,1677,915.4,313,5
2022/2/2,183199,1485,810.6,201,5
2022/2/3,183199,1487,811.7,201,5
2022/2/4,183199,1511,824.8,278,6
2022/2/5,183199,1523,831.3,338,6
2022/2/6,183199,1110,605.9,123,6
2022/2/7,183199,1099,599.9,165,6
2022/2/8,183199,1064,580.8,165,6
2022/2/9,183199,979,534.4,151,6
2022/2/10,183199,971,530,183,6
2022/2/11,183199,994,542.6,151,6
2022/2/12,183199,976,532.8,128,6
2022/2/13,183199,995,543.1,156,6
2022/2/14,183199,1000,545.9,156,6
2022/2/15,183199,961,524.6,141,6
2022/2/16,183199,957,522.4,148,6
2022/2/17,183199,941,513.6,154,6
2022/2/18,183199,930,507.6,133,6
2022/2/19,183199,928,506.6,129,6
2022/2/20,183199,926,505.5,116,6
2022/2/21,183199,936,510.9,152,6
2022/2/22,183199,1005,548.6,155,6
2022/2/23,183199,927,506,135,6
2022/2/24,183199,907,495.1,159,5
2022/2/25,183199,959,523.5,183,6
2022/2/26,183199,965,526.7,128,6
2022/2/27,183199,984,537.1,139,6
2022/2/28,183199,1047,571.5,190,6
2022/3/1,183199,1104,602.6,230,6
2022/3/2,183199,1174,640.8,232,6
2022/3/3,183199,1254,684.5,240,6
2022/3/4,183199,1290,704.2,195,6
2022/3/5,183199,1290,704.2,195,6
2022/3/6,183199,1317,718.9,182,6
2022/3/7,183199,1318,719.4,204,6
2022/3/8,183199,1437,784.4,249,6
2022/3/9,183199,1343,733.1,256,6
2022/3/10,183199,1397,762.6,292,6
2022/3/11,183199,1616,882.1,226,6
2022/3/12,183199,1677,915.4,313,6
2022/3/13,183199,1485,810.6,201,6
2022/3/14,183199,1487,811.7,201,6
2022/3/15,183199,1511,824.8,278,6
2022/3/16,183199,1523,831.3,338,6
2022/3/17,183199,1561,852.1,311,6
2022/3/18,183199,1653,902.3,308,6
2022/3/19,183199,1675,914.3,250,6
2022/3/20,183199,1658,905,208,6
2022/3/21,183199,1645,897.9,230,6
2022/3/22,183199,1677,915.4,313,6
2022/3/23,183199,1654,902.8,288,6
2022/3/24,183199,1660,906.1,339,6
2022/3/25,183199,1651,901.2,248,6
2022/3/26,183199,1677,915.4,267,6
2022/3/27,183199,1678,915.9,214,6
2022/3/28,183199,1678,915.9,240,6
2022/3/29,183199,1660,906.1,327,6
2022/3/30,183199,1695,925.2,316,6
2022/3/31,183199,1719,938.3,340,6
2022/4/1,183199,1752,956.3,288,6
2022/4/2,183199,1777,970,245,6
2022/4/3,183199,1823,995.1,276,6
2022/4/4,183199,1835,1001.6,309,7
2022/4/5,183199,1790,977.1,312,6
2022/4/6,183199,1760,960.7,241,6
2022/4/7,183199,1729,943.8,327,6
2022/4/8,183199,1758,959.6,294,6
2022/4/9,183199,1775,968.9,270,6
2022/4/10,183199,1819,992.9,287,6
2022/4/11,183199,1774,968.3,262,6
2022/4/12,183199,1769,965.6,316,6
2022/4/13,183199,1787,975.4,357,6
2022/4/14,183199,1822,994.5,356,6
2022/4/15,183199,1810,988,281,6
2022/4/16,183199,1760,960.7,241,6
2022/4/17,183199,1709,932.9,216,6
2022/4/18,183199,1636,893,206,6
2022/4/19,183199,1541,841.2,254,6
2022/4/20,183199,1496,816.6,269,6
2022/4/21,183199,1440,786,286,6
2022/4/22,183199,1405,766.9,236,6
2022/4/23,183199,1404,766.4,208,6
2022/4/24,183199,1442,787.1,235,6
2022/4/25,183199,1420,775.1,216,6
2022/4/26,183199,1441,786.6,281,6
2022/4/27,183199,1505,821.5,328,6
2022/4/28,183199,1520,829.7,280,6
2022/4/29,183199,1597,871.7,323,6
2022/4/30,183199,1597,871.7,247,6
2022/5/1,183199,1584,864.6,219,6
2022/5/2,183199,1927,1051.9,383,7
2022/5/3,183199,1579,861.9,252,6
2022/5/4,183199,1542,841.7,302,6
2022/5/5,183199,1646,898.5,369,6
2022/5/6,183199,1636,893,273,6
2022/5/7,183199,1654,902.8,245,6
2022/5/8,183199,1666,909.4,218,6
2022/5/9,183199,1748,954.2,275,6
2022/5/10,183199,1852,1010.9,374,7
2022/5/11,183199,2007,1095.5,320,7
2022/5/12,183199,1927,1051.9,383,7
2022/5/13,183199,1867,1019.1,268,7
2022/5/14,183199,2103,1147.9,340,7
2022/5/15,183199,2163,1180.7,300,7
2022/5/16,183199,1636,893,273,6
2022/5/17,183199,2180,1190,389,7
2022/5/18,183199,1748,954.2,227,6
2022/5/19,183199,2084,1137.6,305,7
2022/5/20,183199,2055,1121.7,344,7
2022/5/21,183199,2007,1095.5,320,7
2022/5/22,183199,1949,1063.9,242,7
2022/5/23,183199,1867,1019.1,268,7
2022/5/24,183199,2103,1147.9,340,7
2022/5/25,183199,1816,991.3,322,6
2022/5/26,183199,1636,893,273,6
2022/5/27,183199,1833,1000.6,297,7
2022/5/28,183199,1748,954.2,227,6
2022/5/29,183199,1701,928.5,226,6
2022/5/30,183199,1668,910.5,244,6
2022/5/31,183199,1605,876.1,239,6
2022/6/1,183199,1546,843.9,272,6
2022/6/2,183199,1490,813.3,276,6
2022/6/3,183199,1444,788.2,203,6
2022/6/4,183199,1474,804.6,235,6
2022/6/5,183199,1444,788.2,203,6
2022/6/6,183199,1072,585.2,214,6
2022/6/7,183199,1381,753.8,238,6
2022/6/8,183199,1086,592.8,198,6
2022/6/9,183199,1097,598.8,170,6
2022/6/10,183199,1367,746.2,221,6
2022/6/11,183199,1293,705.8,156,6
2022/6/12,183199,1192,650.7,202,6
2022/6/13,183199,1189,649,199,6
2022/6/14,183199,1198,653.9,211,6
2022/6/15,183199,1066,581.9,215,6
2022/6/16,183199,1072,585.2,214,6
2022/6/17,183199,1047,571.5,177,6
2022/6/18,183199,1086,592.8,198,6
2022/6/19,183199,1097,598.8,170,6
2022/6/20,183199,1157,631.6,203,6
2022/6/21,183199,1188,648.5,204,6
2022/6/22,183199,1192,650.7,202,6
2022/6/23,183199,1189,649,199,6
2022/6/24,183199,1198,653.9,211,6
2022/6/25,183199,1221,666.5,201,6
2022/6/26,183199,1201,655.6,174,6
2022/6/27,183199,1185,646.8,164,6
2022/6/28,183199,1190,649.6,205,6
2022/6/29,183199,1251,682.9,255,6
2022/6/30,183199,1255,685,257,6
2022/7/1,183199,1258,686.7,237,6
2022/7/2,183199,1259,687.2,176,6
2022/7/3,183199,1313,716.7,232,6
2022/7/4,183199,1379,752.7,242,6
2022/7/5,183199,1413,771.3,240,6
2022/7/6,183199,1441,786.6,290,6
2022/7/7,183199,1500,818.8,313,6
2022/7/8,183199,1586,865.7,301,6
2022/7/9,183199,1588,866.8,204,6
2022/7/10,183199,1919,1047.5,345,7
2022/7/11,183199,1583,864.1,239,6
2022/7/12,183199,1957,1068.2,301,7
2022/7/13,183199,1928,1052.4,276,7
2022/7/14,183199,1681,917.6,329,6
2022/7/15,183199,1758,959.6,343,6
2022/7/16,183199,1837,1002.7,300,7
2022/7/17,183199,1870,1020.7,268,7
2022/7/18,183199,1884,1028.4,292,7
2022/7/19,183199,1939,1058.4,372,7
2022/7/20,183199,1919,1047.5,345,7
2022/7/21,183199,1967,1073.7,406,7
2022/7/22,183199,1957,1068.2,301,7
2022/7/23,183199,1928,1052.4,276,7
2022/7/24,183199,1897,1035.5,234,7
2022/7/25,183199,1832,1000,238,7
2022/7/26,183199,1763,962.3,315,6
2022/7/27,183199,1870,1020.7,268,7
2022/7/28,183199,1696,925.8,327,6
2022/7/29,183199,1663,907.8,262,6
2022/7/30,183199,1644,897.4,229,6
2022/7/31,183199,1567,855.4,166,6
2022/8/1,183199,1531,835.7,200,6
2022/8/2,183199,778,424.7,114,5
2022/8/3,183199,1405,766.9,242,6
2022/8/4,183199,1327,724.3,226,6
2022/8/5,183199,1278,697.6,182,6
2022/8/6,183199,605,330.2,94,5
2022/8/7,183199,569,310.6,108,5
2022/8/8,183199,1073,585.7,128,6
2022/8/9,183199,995,543.1,156,6
2022/8/10,183199,887,484.2,136,5
2022/8/11,183199,501,273.5,62,5
2022/8/12,183199,778,424.7,114,5
2022/8/13,183199,464,253.3,91,5
2022/8/14,183199,464,253.3,83,5
2022/8/15,183199,649,354.3,87,5
2022/8/16,183199,605,330.2,94,5
2022/8/17,183199,569,310.6,108,5
2022/8/18,183199,387,211.2,39,5
2022/8/19,183199,539,294.2,89,5
2022/8/20,183199,338,184.5,54,4
2022/8/21,183199,501,273.5,62,5
2022/8/22,183199,476,259.8,61,5
2022/8/23,183199,464,253.3,91,5
2022/8/24,183199,464,253.3,83,5
2022/8/25,183199,438,239.1,69,5
2022/8/26,183199,413,225.4,74,5
2022/8/27,183199,293,159.9,59,4
2022/8/28,183199,387,211.2,39,5
2022/8/29,183199,368,200.9,44,5
2022/8/30,183199,338,184.5,54,4
2022/8/31,183199,349,190.5,77,4
2022/9/1,183199,314,171.4,53,4
2022/9/2,183199,312,170.3,55,4
2022/9/3,183199,277,151.2,45,4
2022/9/4,183199,315,171.9,36,4
2022/9/5,183199,300,163.8,31,4
2022/9/6,183199,297,162.1,62,4
2022/9/7,183199,293,159.9,59,4
2022/9/8,183199,289,157.8,54,4
2022/9/9,183199,277,151.2,45,4
2022/9/10,183199,277,151.2,45,4
2022/9/11,183199,277,151.2,45,4
2022/9/12,183199,277,151.2,45,4
2022/9/13,183199,277,151.2,45,4
2022/9/14,183199,277,151.2,45,4
2022/9/15,183199,277,151.2,45,4
2022/9/16,183199,236,128.8,48,4
