date,population,active,rate,new,band
2022/1/1,209523,1332,635.7,140,7
2022/1/2,209523,1303,621.9,108,7
2022/1/3,209523,1211,578,192,7
2022/1/4,209523,1128,538.4,179,7
2022/1/5,209523,1057,504.5,176,7
2022/1/6,209523,1439,686.8,261,7
2022/1/7,209523,1803,860.5,219,7
2022/1/8,209523,1723,822.3,218,7
2022/1/9,209523,1631,778.4,206,7
2022/1/10,209523,1572,750.3,262,7
2022/1/11,209523,1478,705.4,235,7
2022/1/12,209523,1439,686.8,261,7
2022/1/13,209523,1453,693.5,191,7
2022/1/14,209523,1371,654.3,140,7
2022/1/15,209523,1328,633.8,173,6
2022/1/16,209523,1306,623.3,152,6
2022/1/17,209523,1202,573.7,192,6
2022/1/18,209523,809,386.1,178,6
2022/1/19,209523,861,410.9,193,6
2022/1/20,209523,916,437.2,152,6
2022/1/21,209523,928,442.9,144,6
2022/1/22,209523,968,462,137,6
2022/1/23,209523,996,475.4,173,6
2022/1/24,209523,1056,504,211,6
2022/1/25,209523,1022,487.8,182,6
2022/1/26,209523,1023,488.3,167,6
2022/1/27,209523,1083,516.9,210,6
2022/1/28,209523,1071,511.2,133,6
2022/1/29,209523,1129,538.8,194,6
2022/1/30,209523,1161,554.1,241,6
2022/1/31,209523,1233,588.5,272,6
2022/2/1,209523,1332,635.7,267,6
2022/2/2,209523,1411,673.4,265,6
2022/2/3,209523,1423,679.2,193,6
2022/2/4,209523,1477,704.9,202,6
2022/2/5,209523,1440,687.3,182,6
2022/2/6,209523,1427,681.1,288,6
2022/2/7,209523,1430,682.5,255,6
2022/2/8,209523,1414,674.9,289,6
2022/2/9,209523,1404,670.1,253,6
2022/2/10,209523,1349,643.8,165,6
2022/2/11,209523,1485,708.8,290,6
2022/2/12,209523,1426,680.6,173,6
2022/2/13,209523,1346,642.4,215,6
2022/2/14,209523,1306,623.3,152,6
2022/2/15,209523,1202,573.7,192,6
2022/2/16,209523,1133,540.8,139,6
2022/2/17,209523,1106,527.9,177,6
2022/2/18,209523,1064,507.8,147,6
2022/2/19,209523,1044,498.3,119,5
2022/2/20,209523,955,455.8,87,5
2022/2/21,209523,929,443.4,120,5
2022/2/22,209523,986,470.6,152,5
2022/2/23,209523,897,428.1,162,5
2022/2/24,209523,926,442,175,5
2022/2/25,209523,913,435.8,114,5
2022/2/26,209523,915,436.7,121,5
2022/2/27,209523,897,428.1,93,5
2022/2/28,209523,910,434.3,119,5
2022/3/1,209523,881,420.5,121,5
2022/3/2,209523,862,411.4,145,5
2022/3/3,209523,828,395.2,118,5
2022/3/4,209523,812,387.5,114,5
2022/3/5,209523,812,387.5,114,5
2022/3/6,209523,725,346,102,5
2022/3/7,209523,738,352.2,120,5
2022/3/8,209523,833,397.6,118,5
2022/3/9,209523,720,343.6,123,5
2022/3/10,209523,758,361.8,158,5
2022/3/11,209523,878,419,135,5
2022/3/12,209523,996,475.4,173,5
2022/3/13,209523,706,337,93,5
2022/3/14,209523,650,310.2,82,5
2022/3/15,209523,588,280.6,92,5
2022/3/16,209523,766,365.6,162,5
2022/3/17,209523,809,386.1,178,5
2022/3/18,209523,861,410.9,193,5
2022/3/19,209523,916,437.2,152,5
2022/3/20,209523,928,442.9,144,5
2022/3/21,209523,968,462,137,5
2022/3/22,209523,996,475.4,173,5
2022/3/23,209523,1056,504,211,6
2022/3/24,209523,1022,487.8,182,5
2022/3/25,209523,1023,488.3,167,5
2022/3/26,209523,1083,516.9,210,6
2022/3/27,209523,1071,511.2,133,6
2022/3/28,209523,1129,538.8,194,6
2022/3/29,209523,1161,554.1,241,6
2022/3/30,209523,1233,588.5,272,6
2022/3/31,209523,1332,635.7,267,6
2022/4/1,209523,1411,673.4,265,6
2022/4/2,209523,1423,679.2,193,6
2022/4/3,209523,1477,704.9,202,6
2022/4/4,209523,1440,687.3,182,6
2022/4/5,209523,1427,681.1,288,6
2022/4/6,209523,1430,682.5,255,6
2022/4/7,209523,1414,674.9,289,6
2022/4/8,209523,1404,670.1,253,6
2022/4/9,209523,1349,643.8,165,6
2022/4/10,209523,1485,708.8,290,6
2022/4/11,209523,1426,680.6,173,6
2022/4/12,209523,1346,642.4,215,6
2022/4/13,209523,1248,595.6,169,6
2022/4/14,209523,1496,714,270,6
2022/4/15,209523,1442,688.2,207,6
2022/4/16,209523,1430,682.5,255,6
2022/4/17,209523,1625,775.6,240,6
2022/4/18,209523,1552,740.7,239,6
2022/4/19,209523,1414,674.9,204,6
2022/4/20,209523,1474,703.5,317,6
2022/4/21,209523,1552,740.7,321,6
2022/4/22,209523,1595,761.3,295,6
2022/4/23,209523,1499,715.4,170,6
2022/4/24,209523,1542,736,212,6
