date,population,active,rate,new,band
2022/1/1,6124,9,147,3,4
2022/1/2,6124,22,359.2,4,4
2022/1/3,6124,28,457.2,10,4
2022/1/4,6124,30,489.9,6,4
2022/1/5,6124,32,522.5,3,4
2022/1/6,6124,35,571.5,8,4
2022/1/7,6124,31,506.2,1,4
2022/1/8,6124,34,555.2,5,4
2022/1/9,6124,27,440.9,0,4
2022/1/10,6124,20,326.6,2,4
2022/1/11,6124,17,277.6,2,4
2022/1/12,6124,13,212.3,3,4
2022/1/13,6124,13,212.3,2,4
2022/1/14,6124,13,212.3,4,4
2022/1/15,6124,16,261.3,2,5
2022/1/16,6124,17,277.6,1,5
2022/1/17,6124,22,359.2,5,5
2022/1/18,6124,19,310.3,2,5
2022/1/19,6124,20,326.6,6,5
2022/1/20,6124,27,440.9,7,5
2022/1/21,6124,24,391.9,1,5
2022/1/22,6124,23,375.6,3,5
2022/1/23,6124,19,310.3,2,5
2022/1/24,6124,19,310.3,5,5
2022/1/25,6124,18,293.9,3,5
2022/1/26,6124,18,293.9,3,5
2022/1/27,6124,16,261.3,1,5
2022/1/28,6124,14,228.6,1,5
2022/1/29,6124,14,228.6,1,5
2022/1/30,6124,12,196,3,5
2022/1/31,6124,10,163.3,2,5
2022/2/1,6124,10,163.3,0,5
2022/2/2,6124,14,228.6,4,5
2022/2/3,6124,8,130.6,1,5
2022/2/4,6124,9,147,2,6
2022/2/5,6124,5,81.6,1,6
2022/2/6,6124,6,98,1,5
2022/2/7,6124,5,81.6,1,5
2022/2/8,6124,7,114.3,2,5
2022/2/9,6124,30,489.9,6,5
2022/2/10,6124,32,522.5,3,6
2022/2/11,6124,35,571.5,8,6
2022/2/12,6124,31,506.2,1,6
2022/2/13,6124,34,555.2,5,6
2022/2/14,6124,27,440.9,0,5
2022/2/15,6124,20,326.6,2,5
2022/2/16,6124,17,277.6,2,5
2022/2/17,6124,13,212.3,3,5
2022/2/18,6124,13,212.3,2,5
2022/2/19,6124,13,212.3,4,5
2022/2/20,6124,16,261.3,2,5
2022/2/21,6124,17,277.6,1,5
2022/2/22,6124,22,359.2,5,5
2022/2/23,6124,19,310.3,2,5
2022/2/24,6124,20,326.6,6,5
2022/2/25,6124,27,440.9,7,5
2022/2/26,6124,25,408.2,2,5
2022/2/27,6124,24,391.9,1,5
2022/2/28,6124,24,391.9,1,5
2022/3/1,6124,23,375.6,3,5
2022/3/2,6124,19,310.3,2,5
2022/3/3,6124,19,310.3,5,5
2022/3/4,6124,18,293.9,3,5
2022/3/5,6124,18,293.9,3,5
2022/3/6,6124,16,261.3,1,5
2022/3/7,6124,14,228.6,1,5
2022/3/8,6124,14,228.6,1,5
2022/3/9,6124,12,196,3,4
2022/3/10,6124,10,163.3,2,4
2022/3/11,6124,10,163.3,0,4
2022/3/12,6124,14,228.6,4,5
2022/3/13,6124,8,130.6,1,4
2022/3/14,6124,9,147,2,4
2022/3/15,6124,5,81.6,1,3
2022/3/16,6124,6,98,1,3
2022/3/17,6124,5,81.6,1,3
2022/3/18,6124,7,114.3,2,4
2022/3/19,6124,10,163.3,3,4
2022/3/20,6124,8,130.6,0,4
2022/3/21,6124,11,179.6,4,4
2022/3/22,6124,14,228.6,4,5
2022/3/23,6124,16,261.3,4,5
2022/3/24,6124,22,359.2,7,5
2022/3/25,6124,27,440.9,8,5
2022/3/26,6124,36,587.9,11,6
2022/3/27,6124,38,620.5,2,6
2022/3/28,6124,39,636.8,6,6
2022/3/29,6124,45,734.8,11,6
2022/3/30,6124,54,881.8,14,6
2022/3/31,6124,62,1012.4,15,7
2022/4/1,6124,67,1094.1,15,7
2022/4/2,6124,68,1110.4,13,7
2022/4/3,6124,71,1159.4,7,7
2022/4/4,6124,70,1143,9,7
2022/4/5,6124,70,1143,11,7
2022/4/6,6124,37,604.2,3,6
2022/4/7,6124,54,881.8,5,6
2022/4/8,6124,46,751.1,5,6
2022/4/9,6124,43,702.2,5,6
2022/4/10,6124,46,751.1,11,6
2022/4/11,6124,41,669.5,5,6
2022/4/12,6124,40,653.2,12,6
2022/4/13,6124,40,653.2,10,6
2022/4/14,6124,38,620.5,3,6
2022/4/15,6124,41,669.5,5,6
2022/4/16,6124,37,604.2,3,6
2022/4/17,6124,31,506.2,3,6
2022/4/18,6124,29,473.5,6,5
2022/4/19,6124,29,473.5,4,5
2022/4/20,6124,29,473.5,5,5
2022/4/21,6124,28,457.2,5,5
2022/4/22,6124,30,489.9,6,5
2022/4/23,6124,24,391.9,3,5
2022/4/24,6124,24,391.9,2,5
2022/4/25,6124,25,408.2,5,5
2022/4/26,6124,21,342.9,1,5
2022/4/27,6124,24,391.9,8,5
2022/4/28,6124,22,359.2,3,5
2022/4/29,6124,21,342.9,3,5
2022/4/30,6124,23,375.6,4,5
2022/5/1,6124,25,408.2,3,5
2022/5/2,6124,67,1094.1,28,7
2022/5/3,6124,19,310.3,3,5
2022/5/4,6124,22,359.2,6,5
2022/5/5,6124,22,359.2,3,5
2022/5/6,6124,24,391.9,7,5
2022/5/7,6124,21,342.9,1,5
2022/5/8,6124,27,440.9,9,5
2022/5/9,6124,26,424.6,1,5
2022/5/10,6124,33,538.9,12,6
2022/5/11,6124,70,1143,6,7
2022/5/12,6124,67,1094.1,28,7
2022/5/13,6124,66,1077.7,6,7
2022/5/14,6124,79,1290,13,7
2022/5/15,6124,89,1453.3,15,7
2022/5/16,6124,24,391.9,7,5
2022/5/17,6124,89,1453.3,16,7
2022/5/18,6124,45,734.8,10,6
2022/5/19,6124,79,1290,11,7
2022/5/20,6124,81,1322.7,9,7
2022/5/21,6124,70,1143,6,7
2022/5/22,6124,68,1110.4,5,7
2022/5/23,6124,66,1077.7,6,7
2022/5/24,6124,79,1290,13,7
2022/5/25,6124,41,669.5,6,6
2022/5/26,6124,24,391.9,7,5
2022/5/27,6124,42,685.8,8,6
2022/5/28,6124,45,734.8,10,6
2022/5/29,6124,48,783.8,9,6
2022/5/30,6124,53,865.4,9,6
2022/5/31,6124,47,767.5,3,6
2022/6/1,6124,43,702.2,6,6
2022/6/2,6124,43,702.2,6,6
2022/6/3,6124,28,457.2,0,5
2022/6/4,6124,35,571.5,3,6
2022/6/5,6124,28,457.2,0,5
2022/6/6,6124,30,489.9,2,5
2022/6/7,6124,31,506.2,6,6
2022/6/8,6124,20,326.6,4,5
2022/6/9,6124,20,326.6,2,5
2022/6/10,6124,22,359.2,2,5
2022/6/11,6124,25,408.2,7,5
2022/6/12,6124,17,277.6,5,5
2022/6/13,6124,24,391.9,9,5
2022/6/14,6124,26,424.6,4,5
2022/6/15,6124,31,506.2,6,6
2022/6/16,6124,30,489.9,2,5
2022/6/17,6124,28,457.2,2,5
2022/6/18,6124,20,326.6,4,5
2022/6/19,6124,20,326.6,2,5
2022/6/20,6124,18,293.9,2,5
2022/6/21,6124,18,293.9,1,5
2022/6/22,6124,17,277.6,5,5
2022/6/23,6124,24,391.9,9,5
2022/6/24,6124,26,424.6,4,5
2022/6/25,6124,26,424.6,4,5
2022/6/26,6124,27,440.9,3,5
2022/6/27,6124,25,408.2,1,5
2022/6/28,6124,30,489.9,6,5
2022/6/29,6124,31,506.2,7,6
2022/6/30,6124,32,522.5,10,6
2022/7/1,6124,36,587.9,7,6
2022/7/2,6124,36,587.9,3,6
2022/7/3,6124,45,734.8,11,6
2022/7/4,6124,48,783.8,8,6
2022/7/5,6124,43,702.2,1,6
2022/7/6,6124,44,718.5,10,6
2022/7/7,6124,45,734.8,11,6
2022/7/8,6124,51,832.8,12,6
2022/7/9,6124,55,898.1,12,6
2022/7/10,6124,40,653.2,7,6
2022/7/11,6124,54,881.8,6,6
2022/7/12,6124,44,718.5,9,6
2022/7/13,6124,43,702.2,6,6
2022/7/14,6124,53,865.4,6,6
2022/7/15,6124,51,832.8,10,6
2022/7/16,6124,42,685.8,4,6
2022/7/17,6124,44,718.5,5,6
2022/7/18,6124,46,751.1,8,6
2022/7/19,6124,44,718.5,8,6
2022/7/20,6124,40,653.2,7,6
2022/7/21,6124,36,587.9,5,6
2022/7/22,6124,44,718.5,9,6
2022/7/23,6124,43,702.2,6,6
2022/7/24,6124,41,669.5,5,6
2022/7/25,6124,50,816.5,16,6
2022/7/26,6124,50,816.5,8,6
2022/7/27,6124,44,718.5,5,6
2022/7/28,6124,56,914.4,11,6
2022/7/29,6124,59,963.4,13,6
2022/7/30,6124,53,865.4,2,6
2022/7/31,6124,51,832.8,5,6
2022/8/1,6124,42,685.8,4,6
2022/8/2,6124,23,375.6,7,5
2022/8/3,6124,37,604.2,8,6
2022/8/4,6124,33,538.9,8,6
2022/8/5,6124,38,620.5,6,6
2022/8/6,6124,24,391.9,6,5
2022/8/7,6124,25,408.2,4,5
2022/8/8,6124,32,522.5,0,6
2022/8/9,6124,28,457.2,1,5
2022/8/10,6124,24,391.9,6,5
2022/8/11,6124,17,277.6,3,5
2022/8/12,6124,23,375.6,7,5
2022/8/13,6124,15,244.9,5,5
2022/8/14,6124,15,244.9,3,5
2022/8/15,6124,21,342.9,4,5
2022/8/16,6124,24,391.9,6,5
2022/8/17,6124,25,408.2,4,5
2022/8/18,6124,25,408.2,4,5
2022/8/19,6124,18,293.9,2,5
2022/8/20,6124,27,440.9,5,5
2022/8/21,6124,17,277.6,3,5
2022/8/22,6124,15,244.9,1,5
2022/8/23,6124,15,244.9,5,5
2022/8/24,6124,15,244.9,3,5
2022/8/25,6124,17,277.6,3,5
2022/8/26,6124,23,375.6,7,5
2022/8/27,6124,8,130.6,0,4
2022/8/28,6124,25,408.2,4,5
2022/8/29,6124,26,424.6,3,5
2022/8/30,6124,27,440.9,5,5
2022/8/31,6124,26,424.6,3,5
2022/9/1,6124,23,375.6,1,5
2022/9/2,6124,19,310.3,3,5
2022/9/3,6124,8,130.6,4,4
2022/9/4,6124,15,244.9,2,5
2022/9/5,6124,15,244.9,4,5
2022/9/6,6124,11,179.6,0,4
2022/9/7,6124,8,130.6,0,4
2022/9/8,6124,6,98,2,3
2022/9/9,6124,8,130.6,4,4
2022/9/10,6124,8,130.6,4,4
2022/9/11,6124,8,130.6,4,4
2022/9/12,6124,8,130.6,4,4
2022/9/13,6124,8,130.6,4,4
2022/9/14,6124,8,130.6,4,4
2022/9/15,6124,8,130.6,4,4
2022/9/16,6124,17,277.6,3,5
