date,population,active,rate,new,band
2022/1/1,37622,323,858.5,48,4
2022/1/2,37622,293,778.8,22,4
2022/1/3,37622,272,723,29,4
2022/1/4,37622,280,744.2,61,4
2022/1/5,37622,282,749.6,56,4
2022/1/6,37622,276,733.6,50,4
2022/1/7,37622,272,723,39,4
2022/1/8,37622,266,707,35,4
2022/1/9,37622,266,707,27,4
2022/1/10,37622,259,688.4,40,4
2022/1/11,37622,257,683.1,51,4
2022/1/12,37622,202,536.9,25,4
2022/1/13,37622,233,619.3,40,4
2022/1/14,37622,243,645.9,48,4
2022/1/15,37622,254,675.1,51,4
2022/1/16,37622,266,707,39,4
2022/1/17,37622,271,720.3,43,4
2022/1/18,37622,254,675.1,35,4
2022/1/19,37622,257,683.1,49,4
2022/1/20,37622,233,619.3,37,4
2022/1/21,37622,218,579.4,29,4
2022/1/22,37622,202,536.9,25,4
2022/1/23,37622,190,505,24,4
2022/1/24,37622,349,927.6,35,4
2022/1/25,37622,352,935.6,55,4
2022/1/26,37622,400,1063.2,63,4
2022/1/27,37622,350,930.3,57,4
2022/1/28,37622,349,927.6,61,4
2022/1/29,37622,406,1079.2,60,4
2022/1/30,37622,352,935.6,66,4
2022/1/31,37622,346,919.7,37,4
2022/2/1,37622,323,858.5,35,4
2022/2/2,37622,307,816,47,4
2022/2/3,37622,307,816,68,4
2022/2/4,37622,323,858.5,70,6
2022/2/5,37622,321,853.2,50,6
2022/2/6,37622,314,834.6,47,6
2022/2/7,37622,329,874.5,48,6
2022/2/8,37622,341,906.4,49,6
2022/2/9,37622,356,946.3,60,6
2022/2/10,37622,352,935.6,62,6
2022/2/11,37622,342,909,39,6
2022/2/12,37622,345,917,43,6
2022/2/13,37622,349,927.6,57,6
2022/2/14,37622,349,927.6,51,6
2022/2/15,37622,356,946.3,80,6
2022/2/16,37622,355,943.6,62,6
2022/2/17,37622,371,986.1,69,6
2022/2/18,37622,385,1023.3,61,7
2022/2/19,37622,374,994.1,35,6
2022/2/20,37622,365,970.2,39,6
2022/2/21,37622,346,919.7,46,6
2022/2/22,37622,350,930.3,57,6
2022/2/23,37622,284,754.9,23,6
2022/2/24,37622,271,720.3,58,6
2022/2/25,37622,285,757.5,54,6
2022/2/26,37622,285,757.5,40,6
2022/2/27,37622,289,768.2,42,6
2022/2/28,37622,301,800.1,53,6
2022/3/1,37622,321,853.2,68,6
2022/3/2,37622,344,914.4,53,6
2022/3/3,37622,339,901.1,66,6
2022/3/4,37622,363,964.9,69,6
2022/3/5,37622,363,964.9,69,6
2022/3/6,37622,349,927.6,35,6
2022/3/7,37622,352,935.6,55,6
2022/3/8,37622,400,1063.2,63,7
2022/3/9,37622,350,930.3,57,6
2022/3/10,37622,349,927.6,61,6
2022/3/11,37622,406,1079.2,60,7
2022/3/12,37622,352,935.6,66,6
2022/3/13,37622,346,919.7,37,6
2022/3/14,37622,323,858.5,35,6
2022/3/15,37622,307,816,47,6
2022/3/16,37622,307,816,68,6
2022/3/17,37622,323,858.5,70,6
2022/3/18,37622,321,853.2,50,6
2022/3/19,37622,314,834.6,47,6
2022/3/20,37622,329,874.5,48,6
2022/3/21,37622,341,906.4,49,6
2022/3/22,37622,352,935.6,66,6
2022/3/23,37622,328,871.8,47,6
2022/3/24,37622,322,855.9,62,6
2022/3/25,37622,326,866.5,53,6
2022/3/26,37622,323,858.5,48,6
2022/3/27,37622,293,778.8,22,6
2022/3/28,37622,272,723,29,6
2022/3/29,37622,280,744.2,61,6
2022/3/30,37622,282,749.6,56,6
2022/3/31,37622,276,733.6,50,6
2022/4/1,37622,272,723,39,6
2022/4/2,37622,266,707,35,6
2022/4/3,37622,266,707,27,6
2022/4/4,37622,259,688.4,40,6
2022/4/5,37622,257,683.1,51,6
2022/4/6,37622,202,536.9,25,6
2022/4/7,37622,233,619.3,40,6
2022/4/8,37622,243,645.9,48,6
2022/4/9,37622,254,675.1,51,6
2022/4/10,37622,266,707,39,6
2022/4/11,37622,271,720.3,43,6
2022/4/12,37622,254,675.1,35,6
2022/4/13,37622,257,683.1,49,6
2022/4/14,37622,233,619.3,37,6
2022/4/15,37622,218,579.4,29,6
2022/4/16,37622,202,536.9,25,6
2022/4/17,37622,190,505,24,6
2022/4/18,37622,189,502.4,38,6
2022/4/19,37622,203,539.6,49,6
2022/4/20,37622,197,523.6,32,6
2022/4/21,37622,203,539.6,42,6
2022/4/22,37622,224,595.4,43,6
2022/4/23,37622,236,627.3,35,6
2022/4/24,37622,220,584.8,14,6
2022/4/25,37622,209,555.5,26,6
2022/4/26,37622,194,515.7,36,6
2022/4/27,37622,197,523.6,45,6
2022/4/28,37622,195,518.3,41,6
2022/4/29,37622,209,555.5,59,6
2022/4/30,37622,216,574.1,32,6
2022/5/1,37622,220,584.8,36,6
2022/5/2,37622,300,797.4,57,6
2022/5/3,37622,240,637.9,44,6
2022/5/4,37622,238,632.6,44,6
2022/5/5,37622,249,661.8,50,6
2022/5/6,37622,245,651.2,43,6
2022/5/7,37622,251,667.2,37,6
2022/5/8,37622,260,691.1,37,6
2022/5/9,37622,269,715,45,6
2022/5/10,37622,270,717.7,55,6
2022/5/11,37622,362,962.2,64,6
2022/5/12,37622,300,797.4,57,6
2022/5/13,37622,363,964.9,46,6
2022/5/14,37622,335,890.4,49,6
2022/5/15,37622,337,895.8,46,6
2022/5/16,37622,245,651.2,43,6
2022/5/17,37622,325,863.9,64,6
2022/5/18,37622,328,871.8,35,6
2022/5/19,37622,348,925,70,6
2022/5/20,37622,341,906.4,49,6
2022/5/21,37622,362,962.2,64,6
2022/5/22,37622,374,994.1,62,6
2022/5/23,37622,363,964.9,46,6
2022/5/24,37622,335,890.4,49,6
2022/5/25,37622,380,1010,73,7
2022/5/26,37622,245,651.2,43,6
2022/5/27,37622,355,943.6,41,6
2022/5/28,37622,328,871.8,35,6
2022/5/29,37622,319,847.9,42,6
2022/5/30,37622,313,832,51,6
2022/5/31,37622,283,752.2,42,6
2022/6/1,37622,281,746.9,56,6
2022/6/2,37622,291,773.5,64,6
2022/6/3,37622,274,728.3,28,6
2022/6/4,37622,299,794.7,37,6
2022/6/5,37622,274,728.3,28,6
2022/6/6,37622,217,576.8,58,6
2022/6/7,37622,260,691.1,42,6
2022/6/8,37622,234,622,36,6
2022/6/9,37622,224,595.4,27,6
2022/6/10,37622,216,574.1,30,6
2022/6/11,37622,215,571.5,32,6
2022/6/12,37622,231,614,47,6
2022/6/13,37622,218,579.4,38,6
2022/6/14,37622,227,603.4,54,6
2022/6/15,37622,182,483.8,39,5
2022/6/16,37622,217,576.8,58,6
2022/6/17,37622,233,619.3,45,6
2022/6/18,37622,234,622,36,6
2022/6/19,37622,224,595.4,27,6
2022/6/20,37622,218,579.4,22,6
2022/6/21,37622,223,592.7,34,6
2022/6/22,37622,231,614,47,6
2022/6/23,37622,218,579.4,38,6
2022/6/24,37622,227,603.4,54,6
2022/6/25,37622,227,603.4,32,6
2022/6/26,37622,233,619.3,30,6
2022/6/27,37622,241,640.6,32,6
2022/6/28,37622,242,643.2,46,6
2022/6/29,37622,452,1201.4,252,7
2022/6/30,37622,314,834.6,50,6
2022/7/1,37622,296,786.8,48,6
2022/7/2,37622,278,738.9,31,6
2022/7/3,37622,281,746.9,37,6
2022/7/4,37622,258,685.8,30,6
2022/7/5,37622,232,616.7,34,6
2022/7/6,37622,220,584.8,41,6
2022/7/7,37622,224,595.4,44,6
2022/7/8,37622,217,576.8,42,6
2022/7/9,37622,231,614,49,6
2022/7/10,37622,298,792.1,59,6
2022/7/11,37622,284,754.9,58,6
2022/7/12,37622,356,946.3,65,6
2022/7/13,37622,375,996.8,63,6
2022/7/14,37622,316,839.9,41,6
2022/7/15,37622,313,832,40,6
2022/7/16,37622,294,781.5,32,6
2022/7/17,37622,270,717.7,30,6
2022/7/18,37622,272,723,59,6
2022/7/19,37622,294,781.5,66,6
2022/7/20,37622,298,792.1,59,6
2022/7/21,37622,336,893.1,89,6
2022/7/22,37622,356,946.3,65,6
2022/7/23,37622,375,996.8,63,6
2022/7/24,37622,385,1023.3,41,7
2022/7/25,37622,363,964.9,45,6
2022/7/26,37622,366,972.8,80,6
2022/7/27,37622,270,717.7,30,6
2022/7/28,37622,387,1028.7,70,7
2022/7/29,37622,393,1044.6,60,7
2022/7/30,37622,379,1007.4,52,7
2022/7/31,37622,363,964.9,35,6
