date,population,active,rate,new,band
2022/1/1,112159,1127,1004.8,129,6
2022/1/2,112159,1060,945.1,132,6
2022/1/3,112159,1135,1012,168,6
2022/1/4,112159,1057,942.4,176,6
2022/1/5,112159,1075,958.5,174,6
2022/1/6,112159,1029,917.4,139,6
2022/1/7,112159,1060,945.1,182,6
2022/1/8,112159,1058,943.3,104,6
2022/1/9,112159,1025,913.9,130,6
2022/1/10,112159,994,886.2,171,6
2022/1/11,112159,965,860.4,144,6
2022/1/12,112159,934,832.7,123,6
2022/1/13,112159,887,790.8,120,6
2022/1/14,112159,887,790.8,120,6
2022/1/15,112159,779,694.5,101,6
2022/1/16,112159,776,691.9,135,6
2022/1/17,112159,867,773,138,6
2022/1/18,112159,741,660.7,113,6
2022/1/19,112159,758,675.8,134,6
2022/1/20,112159,894,797.1,141,6
2022/1/21,112159,947,844.3,165,6
2022/1/22,112159,812,724,171,6
2022/1/23,112159,831,740.9,168,6
2022/1/24,112159,869,774.8,160,6
2022/1/25,112159,916,816.7,143,6
2022/1/26,112159,928,827.4,114,6
2022/1/27,112159,962,857.7,158,6
2022/1/28,112159,947,844.3,165,6
2022/1/29,112159,956,852.4,185,6
2022/1/30,112159,951,847.9,179,6
2022/1/31,112159,972,866.6,165,6
2022/2/1,112159,966,861.3,127,6
2022/2/2,112159,697,621.4,160,6
2022/2/3,112159,637,567.9,109,6
2022/2/4,112159,1579,1407.8,271,7
2022/2/5,112159,1664,1483.6,217,7
2022/2/6,112159,1611,1436.4,200,7
2022/2/7,112159,1606,1431.9,231,7
2022/2/8,112159,1608,1433.7,306,7
2022/2/9,112159,1571,1400.7,283,7
2022/2/10,112159,1579,1407.8,271,7
2022/2/11,112159,1589,1416.7,195,7
2022/2/12,112159,1530,1364.1,166,7
2022/2/13,112159,1441,1284.8,166,7
2022/2/14,112159,1401,1249.1,175,7
2022/2/15,112159,1277,1138.6,211,7
2022/2/16,112159,1189,1060.1,174,7
2022/2/17,112159,1174,1046.7,179,7
2022/2/18,112159,1150,1025.3,173,7
2022/2/19,112159,1148,1023.5,157,7
2022/2/20,112159,1127,1004.8,129,7
2022/2/21,112159,1060,945.1,132,6
2022/2/22,112159,1135,1012,168,7
2022/2/23,112159,1057,942.4,176,6
2022/2/24,112159,1075,958.5,174,6
2022/2/25,112159,1029,917.4,139,6
2022/2/26,112159,1060,945.1,182,6
2022/2/27,112159,1058,943.3,104,6
2022/2/28,112159,1025,913.9,130,6
2022/3/1,112159,994,886.2,171,6
2022/3/2,112159,965,860.4,144,6
2022/3/3,112159,934,832.7,123,6
2022/3/4,112159,887,790.8,120,6
2022/3/5,112159,887,790.8,120,6
2022/3/6,112159,779,694.5,101,6
2022/3/7,112159,776,691.9,135,6
2022/3/8,112159,867,773,138,6
2022/3/9,112159,741,660.7,113,6
2022/3/10,112159,758,675.8,134,6
2022/3/11,112159,894,797.1,141,6
2022/3/12,112159,947,844.3,165,6
2022/3/13,112159,764,681.2,75,6
2022/3/14,112159,728,649.1,104,6
2022/3/15,112159,765,682.1,165,6
2022/3/16,112159,812,724,171,6
2022/3/17,112159,831,740.9,168,6
2022/3/18,112159,869,774.8,160,6
2022/3/19,112159,916,816.7,143,6
2022/3/20,112159,928,827.4,114,6
2022/3/21,112159,962,857.7,158,6
2022/3/22,112159,947,844.3,165,6
2022/3/23,112159,956,852.4,185,6
2022/3/24,112159,951,847.9,179,6
2022/3/25,112159,972,866.6,165,6
2022/3/26,112159,966,861.3,127,6
2022/3/27,112159,986,879.1,129,6
2022/3/28,112159,958,854.1,140,6
2022/3/29,112159,962,857.7,182,6
2022/3/30,112159,966,861.3,196,6
2022/3/31,112159,1007,897.8,212,6
2022/4/1,112159,1034,921.9,170,6
2022/4/2,112159,1076,959.4,176,6
2022/4/3,112159,1096,977.2,152,6
2022/4/4,112159,1121,999.5,211,6
2022/4/5,112159,1130,1007.5,223,7
2022/4/6,112159,1100,980.8,192,6
2022/4/7,112159,1169,1042.3,254,7
2022/4/8,112159,1207,1076.2,221,7
2022/4/9,112159,1229,1095.8,190,7
2022/4/10,112159,1222,1089.5,150,7
2022/4/11,112159,1265,1127.9,215,7
2022/4/12,112159,1201,1070.8,199,7
2022/4/13,112159,1130,1007.5,184,7
2022/4/14,112159,1080,962.9,195,6
2022/4/15,112159,1065,949.5,178,6
2022/4/16,112159,1100,980.8,192,6
2022/4/17,112159,1111,990.6,180,6
2022/4/18,112159,1017,906.7,137,6
2022/4/19,112159,969,864,185,6
2022/4/20,112159,989,881.8,197,6
2022/4/21,112159,988,880.9,181,6
2022/4/22,112159,976,870.2,149,6
2022/4/23,112159,994,886.2,153,6
2022/4/24,112159,953,849.7,128,6
2022/4/25,112159,948,845.2,140,6
2022/4/26,112159,881,785.5,156,6
2022/4/27,112159,877,781.9,185,6
2022/4/28,112159,874,779.3,158,6
2022/4/29,112159,921,821.2,198,6
2022/4/30,112159,922,822,144,6
2022/5/1,112159,928,827.4,142,6
2022/5/2,112159,1082,964.7,243,6
2022/5/3,112159,985,878.2,182,6
2022/5/4,112159,975,869.3,180,6
2022/5/5,112159,1003,894.3,190,6
2022/5/6,112159,1014,904.1,177,6
2022/5/7,112159,977,871.1,126,6
2022/5/8,112159,988,880.9,139,6
2022/5/9,112159,988,880.9,146,6
2022/5/10,112159,991,883.6,185,6
2022/5/11,112159,1378,1228.6,210,7
2022/5/12,112159,1082,964.7,243,6
2022/5/13,112159,1258,1121.6,149,7
2022/5/14,112159,1191,1061.9,197,7
2022/5/15,112159,1219,1086.8,156,7
2022/5/16,112159,1014,904.1,177,6
2022/5/17,112159,1288,1148.4,229,7
2022/5/18,112159,1094,975.4,157,6
2022/5/19,112159,1308,1166.2,245,7
2022/5/20,112159,1336,1191.2,231,7
2022/5/21,112159,1378,1228.6,210,7
2022/5/22,112159,1336,1191.2,150,7
2022/5/23,112159,1258,1121.6,149,7
2022/5/24,112159,1191,1061.9,197,7
2022/5/25,112159,1185,1056.5,219,7
2022/5/26,112159,1014,904.1,177,6
2022/5/27,112159,1104,984.3,182,6
2022/5/28,112159,1094,975.4,157,6
2022/5/29,112159,1065,949.5,128,6
2022/5/30,112159,1041,928.1,154,6
2022/5/31,112159,1006,896.9,170,6
2022/6/1,112159,969,864,179,6
2022/6/2,112159,973,867.5,178,6
2022/6/3,112159,927,826.5,129,6
2022/6/4,112159,953,849.7,134,6
2022/6/5,112159,927,826.5,129,6
2022/6/6,112159,668,595.6,138,6
2022/6/7,112159,869,774.8,162,6
2022/6/8,112159,694,618.8,104,6
2022/6/9,112159,726,647.3,109,6
2022/6/10,112159,849,757,135,6
2022/6/11,112159,790,704.4,80,6
2022/6/12,112159,763,680.3,149,6
2022/6/13,112159,748,666.9,127,6
2022/6/14,112159,755,673.2,130,6
2022/6/15,112159,660,588.5,166,6
2022/6/16,112159,668,595.6,138,6
2022/6/17,112159,697,621.4,137,6
2022/6/18,112159,694,618.8,104,6
