date,population,active,rate,new,band
2022/1/1,13186,73,553.6,7,4
2022/1/2,13186,65,492.9,4,4
2022/1/3,13186,62,470.2,8,4
2022/1/4,13186,56,424.7,11,4
2022/1/5,13186,69,523.3,22,4
2022/1/6,13186,66,500.5,11,4
2022/1/7,13186,68,515.7,8,4
2022/1/8,13186,79,599.1,15,4
2022/1/9,13186,86,652.2,9,4
2022/1/10,13186,90,682.5,12,4
2022/1/11,13186,80,606.7,13,4
2022/1/12,13186,74,561.2,7,4
2022/1/13,13186,71,538.4,10,4
2022/1/14,13186,77,584,18,4
2022/1/15,13186,80,606.7,13,5
2022/1/16,13186,87,659.8,15,5
2022/1/17,13186,85,644.6,10,5
2022/1/18,13186,91,690.1,13,5
2022/1/19,13186,90,682.5,14,5
2022/1/20,13186,79,599.1,15,5
2022/1/21,13186,86,652.2,9,5
2022/1/22,13186,90,682.5,12,5
2022/1/23,13186,80,606.7,13,5
2022/1/24,13186,74,561.2,7,5
2022/1/25,13186,71,538.4,10,5
2022/1/26,13186,77,584,18,5
2022/1/27,13186,80,606.7,13,5
2022/1/28,13186,87,659.8,15,5
2022/1/29,13186,85,644.6,10,5
2022/1/30,13186,91,690.1,13,5
2022/1/31,13186,90,682.5,14,5
2022/2/1,13186,81,614.3,3,4
2022/2/2,13186,68,515.7,7,4
2022/2/3,13186,62,470.2,11,4
2022/2/4,13186,57,432.3,6,6
2022/2/5,13186,56,424.7,9,6
2022/2/6,13186,48,364,7,5
2022/2/7,13186,62,470.2,8,5
2022/2/8,13186,56,424.7,11,5
2022/2/9,13186,69,523.3,22,6
2022/2/10,13186,66,500.5,11,6
2022/2/11,13186,68,515.7,8,6
2022/2/12,13186,79,599.1,15,6
2022/2/13,13186,86,652.2,9,6
2022/2/14,13186,90,682.5,12,6
2022/2/15,13186,80,606.7,13,6
2022/2/16,13186,74,561.2,7,6
2022/2/17,13186,71,538.4,10,6
2022/2/18,13186,77,584,18,6
2022/2/19,13186,80,606.7,13,6
2022/2/20,13186,87,659.8,15,6
2022/2/21,13186,85,644.6,10,6
2022/2/22,13186,91,690.1,13,6
2022/2/23,13186,90,682.5,14,6
2022/2/24,13186,81,614.3,3,6
2022/2/25,13186,68,515.7,7,6
2022/2/26,13186,62,470.2,11,5
2022/2/27,13186,57,432.3,6,5
2022/2/28,13186,56,424.7,9,5
2022/3/1,13186,48,364,7,5
2022/3/2,13186,46,348.9,6,5
2022/3/3,13186,56,424.7,14,5
2022/3/4,13186,62,470.2,12,5
2022/3/5,13186,62,470.2,12,5
2022/3/6,13186,63,477.8,10,5
2022/3/7,13186,63,477.8,7,5
2022/3/8,13186,81,614.3,20,6
2022/3/9,13186,78,591.5,12,6
2022/3/10,13186,73,553.6,13,6
2022/3/11,13186,84,637,10,6
2022/3/12,13186,122,925.2,20,6
2022/3/13,13186,94,712.9,21,6
2022/3/14,13186,91,690.1,13,6
2022/3/15,13186,94,712.9,20,6
2022/3/16,13186,106,803.9,27,6
2022/3/17,13186,108,819.1,17,6
2022/3/18,13186,118,894.9,24,6
2022/3/19,13186,119,902.5,20,6
2022/3/20,13186,128,970.7,20,6
2022/3/21,13186,124,940.4,14,6
2022/3/22,13186,122,925.2,20,6
2022/3/23,13186,129,978.3,25,6
2022/3/24,13186,107,811.5,9,6
2022/3/25,13186,107,811.5,19,6
2022/3/26,13186,99,750.8,13,6
2022/3/27,13186,122,925.2,30,6
2022/3/28,13186,126,955.6,24,6
2022/3/29,13186,137,1039,29,7
2022/3/30,13186,149,1130,33,7
2022/3/31,13186,161,1221,26,7
2022/4/1,13186,168,1274.1,22,7
2022/4/2,13186,170,1289.2,23,7
2022/4/3,13186,167,1266.5,20,7
2022/4/4,13186,158,1198.2,23,7
2022/4/5,13186,151,1145.2,25,7
2022/4/6,13186,125,948,18,6
2022/4/7,13186,141,1069.3,24,7
2022/4/8,13186,150,1137.6,31,7
2022/4/9,13186,151,1145.2,17,7
2022/4/10,13186,150,1137.6,17,7
2022/4/11,13186,143,1084.5,18,7
2022/4/12,13186,137,1039,25,7
2022/4/13,13186,141,1069.3,28,7
2022/4/14,13186,131,993.5,22,6
2022/4/15,13186,128,970.7,22,6
2022/4/16,13186,125,948,18,6
2022/4/17,13186,133,1008.6,20,7
2022/4/18,13186,127,963.1,17,6
2022/4/19,13186,129,978.3,27,6
2022/4/20,13186,130,985.9,23,6
2022/4/21,13186,128,970.7,22,6
2022/4/22,13186,120,910.1,13,6
2022/4/23,13186,124,940.4,15,6
2022/4/24,13186,122,925.2,19,6
2022/4/25,13186,110,834.2,13,6
2022/4/26,13186,101,766,12,6
2022/4/27,13186,94,712.9,19,6
2022/4/28,13186,88,667.4,12,6
2022/4/29,13186,93,705.3,20,6
2022/4/30,13186,102,773.5,24,6
2022/5/1,13186,96,728,10,6
2022/5/2,13186,140,1061.7,33,7
2022/5/3,13186,115,872.1,33,6
2022/5/4,13186,116,879.7,17,6
2022/5/5,13186,124,940.4,28,6
2022/5/6,13186,130,985.9,26,6
2022/5/7,13186,121,917.6,13,6
2022/5/8,13186,132,1001.1,23,7
2022/5/9,13186,129,978.3,14,6
2022/5/10,13186,136,1031.4,28,7
2022/5/11,13186,157,1190.7,16,7
2022/5/12,13186,140,1061.7,33,7
2022/5/13,13186,133,1008.6,13,7
2022/5/14,13186,147,1114.8,15,7
2022/5/15,13186,146,1107.2,20,7
