date,population,active,rate,new,band
2022/1/1,21564,108,500.8,17,4
2022/1/2,21564,111,514.7,22,4
2022/1/3,21564,114,528.7,22,4
2022/1/4,21564,126,584.3,27,4
2022/1/5,21564,143,663.1,32,4
2022/1/6,21564,146,677.1,15,4
2022/1/7,21564,161,746.6,42,4
2022/1/8,21564,175,811.5,35,4
2022/1/9,21564,199,922.8,48,4
2022/1/10,21564,215,997,40,4
2022/1/11,21564,226,1048,40,4
2022/1/12,21564,230,1066.6,21,4
2022/1/13,21564,239,1108.3,28,4
2022/1/14,21564,212,983.1,21,4
2022/1/15,21564,185,857.9,23,4
2022/1/16,21564,172,797.6,29,4
2022/1/17,21564,156,723.4,21,4
2022/1/18,21564,138,640,17,4
2022/1/19,21564,131,607.5,15,4
2022/1/20,21564,120,556.5,14,4
2022/1/21,21564,119,551.8,16,4
2022/1/22,21564,175,811.5,33,4
2022/1/23,21564,159,737.3,35,4
2022/1/24,21564,170,788.4,35,4
2022/1/25,21564,166,769.8,30,4
2022/1/26,21564,169,783.7,24,4
2022/1/27,21564,182,844,30,4
2022/1/28,21564,168,779.1,16,4
2022/1/29,21564,180,834.7,31,4
2022/1/30,21564,168,779.1,24,5
2022/1/31,21564,153,709.5,22,5
2022/2/1,21564,175,811.5,33,4
2022/2/2,21564,163,755.9,22,5
2022/2/3,21564,50,231.9,2,5
2022/2/4,21564,101,468.4,20,5
2022/2/5,21564,188,871.8,16,6
2022/2/6,21564,168,779.1,16,6
2022/2/7,21564,153,709.5,10,6
2022/2/8,21564,113,524,16,6
2022/2/9,21564,106,491.6,16,5
2022/2/10,21564,101,468.4,20,5
2022/2/11,21564,103,477.6,18,5
2022/2/12,21564,100,463.7,19,5
2022/2/13,21564,111,514.7,22,6
2022/2/14,21564,120,556.5,27,6
2022/2/15,21564,133,616.8,28,6
2022/2/16,21564,152,704.9,37,6
2022/2/17,21564,153,709.5,21,6
2022/2/18,21564,173,802.3,33,6
2022/2/19,21564,180,834.7,24,6
2022/2/20,21564,177,820.8,21,6
2022/2/21,21564,176,816.2,28,6
2022/2/22,21564,180,834.7,27,6
2022/2/23,21564,166,769.8,32,6
2022/2/24,21564,160,742,24,6
2022/2/25,21564,164,760.5,32,6
2022/2/26,21564,155,718.8,19,6
2022/2/27,21564,156,723.4,16,6
2022/2/28,21564,153,709.5,20,6
2022/3/1,21564,139,644.6,20,6
2022/3/2,21564,143,663.1,27,6
2022/3/3,21564,137,635.3,22,6
2022/3/4,21564,134,621.4,27,6
2022/3/5,21564,134,621.4,27,6
2022/3/6,21564,137,635.3,21,6
2022/3/7,21564,130,602.9,15,6
2022/3/8,21564,138,640,15,6
2022/3/9,21564,107,496.2,12,5
2022/3/10,21564,104,482.3,21,5
2022/3/11,21564,122,565.8,18,6
2022/3/12,21564,175,811.5,35,6
2022/3/13,21564,99,459.1,16,5
2022/3/14,21564,110,510.1,24,6
2022/3/15,21564,108,500.8,17,6
2022/3/16,21564,111,514.7,22,6
2022/3/17,21564,114,528.7,22,6
2022/3/18,21564,126,584.3,27,6
2022/3/19,21564,143,663.1,32,6
2022/3/20,21564,146,677.1,15,6
2022/3/21,21564,161,746.6,42,6
2022/3/22,21564,175,811.5,35,6
2022/3/23,21564,199,922.8,48,6
2022/3/24,21564,215,997,40,6
2022/3/25,21564,226,1048,40,7
2022/3/26,21564,230,1066.6,21,7
2022/3/27,21564,239,1108.3,28,7
2022/3/28,21564,212,983.1,21,6
2022/3/29,21564,185,857.9,23,6
2022/3/30,21564,172,797.6,29,6
2022/3/31,21564,156,723.4,21,6
2022/4/1,21564,138,640,17,6
2022/4/2,21564,131,607.5,15,6
2022/4/3,21564,120,556.5,14,6
2022/4/4,21564,119,551.8,16,6
2022/4/5,21564,111,514.7,18,6
2022/4/6,21564,158,732.7,20,6
2022/4/7,21564,140,649.2,37,6
2022/4/8,21564,159,737.3,34,6
2022/4/9,21564,179,830.1,37,6
2022/4/10,21564,178,825.4,19,6
2022/4/11,21564,173,802.3,20,6
2022/4/12,21564,175,811.5,32,6
2022/4/13,21564,166,769.8,29,6
2022/4/14,21564,151,700.2,26,6
2022/4/15,21564,158,732.7,49,6
2022/4/16,21564,158,732.7,20,6
2022/4/17,21564,157,728.1,21,6
2022/4/18,21564,149,691,15,6
2022/4/19,21564,131,607.5,15,6
2022/4/20,21564,130,602.9,24,6
2022/4/21,21564,128,593.6,35,6
2022/4/22,21564,125,579.7,26,6
2022/4/23,21564,133,616.8,21,6
2022/4/24,21564,133,616.8,16,6
2022/4/25,21564,120,556.5,10,6
2022/4/26,21564,135,626,27,6
2022/4/27,21564,122,565.8,27,6
2022/4/28,21564,125,579.7,29,6
2022/4/29,21564,127,588.9,19,6
2022/4/30,21564,132,612.1,23,6
2022/5/1,21564,135,626,21,6
2022/5/2,21564,175,811.5,33,6
2022/5/3,21564,159,737.3,35,6
2022/5/4,21564,170,788.4,35,6
2022/5/5,21564,166,769.8,30,6
2022/5/6,21564,169,783.7,24,6
2022/5/7,21564,182,844,30,6
2022/5/8,21564,168,779.1,16,6
2022/5/9,21564,180,834.7,31,6
2022/5/10,21564,168,779.1,24,6
2022/5/11,21564,153,709.5,22,6
2022/5/12,21564,175,811.5,33,6
2022/5/13,21564,163,755.9,22,6
2022/5/14,21564,172,797.6,27,6
2022/5/15,21564,157,728.1,12,6
2022/5/16,21564,169,783.7,24,6
2022/5/17,21564,142,658.5,27,6
2022/5/18,21564,172,797.6,24,6
2022/5/19,21564,151,700.2,27,6
2022/5/20,21564,157,728.1,34,6
2022/5/21,21564,153,709.5,22,6
2022/5/22,21564,164,760.5,24,6
2022/5/23,21564,163,755.9,22,6
2022/5/24,21564,172,797.6,27,6
2022/5/25,21564,175,811.5,43,6
2022/5/26,21564,169,783.7,24,6
2022/5/27,21564,167,774.4,32,6
2022/5/28,21564,172,797.6,24,6
2022/5/29,21564,177,820.8,32,6
2022/5/30,21564,188,871.8,38,6
2022/5/31,21564,165,765.2,35,6
2022/6/1,21564,183,848.6,39,6
2022/6/2,21564,192,890.4,31,6
2022/6/3,21564,179,830.1,16,6
2022/6/4,21564,193,895,28,6
