date,population,active,rate,new,band
2022/1/1,16020,73,455.7,12,6
2022/1/2,16020,73,455.7,7,6
2022/1/3,16020,72,449.4,7,6
2022/1/4,16020,65,405.7,12,6
2022/1/5,16020,63,393.3,8,6
2022/1/6,16020,64,399.5,8,6
2022/1/7,16020,59,368.3,8,6
2022/1/8,16020,59,368.3,11,6
2022/1/9,16020,59,368.3,11,6
2022/1/10,16020,51,318.4,4,6
2022/1/11,16020,57,355.8,14,6
2022/1/12,16020,64,399.5,9,6
2022/1/13,16020,65,405.7,14,6
2022/1/14,16020,62,387,6,6
2022/1/15,16020,70,437,8,5
2022/1/16,16020,89,555.6,19,5
2022/1/17,16020,65,405.7,9,5
2022/1/18,16020,58,362,6,5
2022/1/19,16020,71,443.2,25,5
2022/1/20,16020,75,468.2,19,5
2022/1/21,16020,88,549.3,21,5
2022/1/22,16020,86,536.8,8,5
2022/1/23,16020,89,555.6,16,5
2022/1/24,16020,83,518.1,4,5
2022/1/25,16020,59,368.3,11,5
2022/1/26,16020,59,368.3,11,5
2022/1/27,16020,51,318.4,4,5
2022/1/28,16020,57,355.8,14,5
2022/1/29,16020,64,399.5,9,5
2022/1/30,16020,65,405.7,14,5
2022/1/31,16020,62,387,6,5
2022/2/1,16020,70,437,8,5
2022/2/2,16020,89,555.6,19,5
2022/2/3,16020,65,405.7,9,5
2022/2/4,16020,103,642.9,16,6
2022/2/5,16020,150,936.3,19,6
2022/2/6,16020,143,892.6,15,6
2022/2/7,16020,141,880.1,13,6
2022/2/8,16020,131,817.7,19,6
2022/2/9,16020,112,699.1,15,6
2022/2/10,16020,103,642.9,16,6
2022/2/11,16020,92,574.3,13,6
2022/2/12,16020,94,586.8,15,6
2022/2/13,16020,90,561.8,13,6
2022/2/14,16020,90,561.8,11,6
2022/2/15,16020,93,580.5,22,6
2022/2/16,16020,98,611.7,21,6
2022/2/17,16020,109,680.4,25,6
2022/2/18,16020,101,630.5,8,6
2022/2/19,16020,108,674.2,15,6
2022/2/20,16020,105,655.4,7,6
2022/2/21,16020,114,711.6,17,6
2022/2/22,16020,110,686.6,11,6
2022/2/23,16020,81,505.6,8,6
2022/2/24,16020,75,468.2,10,5
2022/2/25,16020,73,455.7,12,5
2022/2/26,16020,73,455.7,7,5
2022/2/27,16020,72,449.4,7,5
2022/2/28,16020,65,405.7,12,5
2022/3/1,16020,63,393.3,8,5
2022/3/2,16020,64,399.5,8,5
2022/3/3,16020,59,368.3,8,5
2022/3/4,16020,59,368.3,11,5
2022/3/5,16020,59,368.3,11,5
2022/3/6,16020,51,318.4,4,5
2022/3/7,16020,57,355.8,14,5
2022/3/8,16020,64,399.5,9,5
2022/3/9,16020,65,405.7,14,5
2022/3/10,16020,62,387,6,5
2022/3/11,16020,70,437,8,5
2022/3/12,16020,89,555.6,19,6
2022/3/13,16020,65,405.7,9,5
2022/3/14,16020,58,362,6,5
2022/3/15,16020,71,443.2,25,5
2022/3/16,16020,75,468.2,19,5
2022/3/17,16020,88,549.3,21,6
2022/3/18,16020,86,536.8,8,6
2022/3/19,16020,89,555.6,16,6
2022/3/20,16020,83,518.1,4,6
2022/3/21,16020,89,555.6,14,6
2022/3/22,16020,89,555.6,19,6
2022/3/23,16020,86,536.8,17,6
2022/3/24,16020,80,499.4,14,5
2022/3/25,16020,84,524.3,16,6
2022/3/26,16020,90,561.8,18,6
2022/3/27,16020,92,574.3,12,6
2022/3/28,16020,98,611.7,15,6
2022/3/29,16020,100,624.2,23,6
2022/3/30,16020,122,761.5,37,6
2022/3/31,16020,134,836.5,26,6
