date,population,active,rate,new,band
2022/1/1,164184,1887,1181,323,7
2022/1/2,164184,812,494.6,129,7
2022/1/3,164184,734,447.1,113,7
2022/1/4,164184,1199,730.3,247,7
2022/1/5,164184,1365,831.4,146,7
2022/1/6,164184,1298,790.6,153,7
2022/1/7,164184,1262,768.6,201,7
2022/1/8,164184,1250,761.3,210,7
2022/1/9,164184,1217,741.2,209,7
2022/1/10,164184,1199,730.3,247,7
2022/1/11,164184,1240,755.3,194,7
2022/1/12,164184,1262,768.6,167,7
2022/1/13,164184,2387,1453.9,763,7
2022/1/14,164184,2387,1453.9,763,7
2022/1/15,164184,982,598.1,159,6
2022/1/16,164184,1949,1187.1,244,6
2022/1/17,164184,1530,931.9,270,6
2022/1/18,164184,1955,1190.7,299,6
2022/1/19,164184,1688,1028.1,177,6
2022/1/20,164184,1973,1201.7,374,6
2022/1/21,164184,1931,1176.1,303,6
2022/1/22,164184,1919,1168.8,284,6
2022/1/23,164184,1887,1149.3,226,6
2022/1/24,164184,1872,1140.2,283,6
2022/1/25,164184,1939,1181,323,6
2022/1/26,164184,1240,755.3,194,6
2022/1/27,164184,1262,768.6,167,6
2022/1/28,164184,1205,733.9,134,6
2022/1/29,164184,1197,729.1,165,6
2022/1/30,164184,1123,684,161,6
2022/1/31,164184,1100,670,174,6
2022/2/1,164184,885,539,144,6
2022/2/2,164184,812,494.6,129,5
2022/2/3,164184,734,447.1,113,5
2022/2/4,164184,1199,730.3,247,6
2022/2/5,164184,1365,831.4,146,6
2022/2/6,164184,1298,790.6,153,6
2022/2/7,164184,1262,768.6,201,6
2022/2/8,164184,1250,761.3,210,6
2022/2/9,164184,1217,741.2,209,6
2022/2/10,164184,1199,730.3,247,6
2022/2/11,164184,1240,755.3,194,6
2022/2/12,164184,1262,768.6,167,6
2022/2/13,164184,1205,733.9,134,6
2022/2/14,164184,1197,729.1,165,6
2022/2/15,164184,1123,684,161,6
2022/2/16,164184,1100,670,174,6
2022/2/17,164184,1116,679.7,196,6
2022/2/18,164184,1087,662.1,157,6
2022/2/19,164184,1070,651.7,137,6
2022/2/20,164184,1032,628.6,102,6
2022/2/21,164184,1002,610.3,117,6
2022/2/22,164184,1057,643.8,152,6
2022/2/23,164184,934,568.9,146,6
2022/2/24,164184,913,556.1,137,6
2022/2/25,164184,910,554.3,129,6
2022/2/26,164184,908,553,133,6
2022/2/27,164184,928,565.2,124,6
2022/2/28,164184,921,561,118,6
2022/3/1,164184,919,559.7,154,6
2022/3/2,164184,938,571.3,168,6
2022/3/3,164184,1001,609.7,197,6
2022/3/4,164184,1003,610.9,136,6
2022/3/5,164184,1003,610.9,136,6
2022/3/6,164184,959,584.1,118,6
2022/3/7,164184,951,579.2,126,6
2022/3/8,164184,1023,623.1,170,6
2022/3/9,164184,980,596.9,198,6
2022/3/10,164184,1020,621.3,219,6
2022/3/11,164184,1196,728.5,179,6
2022/3/12,164184,1483,903.3,281,6
2022/3/13,164184,1097,668.2,160,6
2022/3/14,164184,1111,676.7,146,6
2022/3/15,164184,1102,671.2,195,6
2022/3/16,164184,1145,697.4,255,6
2022/3/17,164184,1223,744.9,277,6
2022/3/18,164184,1322,805.2,277,6
2022/3/19,164184,1383,842.3,212,6
