date,population,active,rate,new,band
2022/1/1,47316,350,739.7,63,5
2022/1/2,47316,339,716.5,56,5
2022/1/3,47316,321,678.4,52,5
2022/1/4,47316,323,682.6,48,5
2022/1/5,47316,309,653.1,35,5
2022/1/6,47316,303,640.4,35,5
2022/1/7,47316,281,593.9,29,5
2022/1/8,47316,264,558,47,5
2022/1/9,47316,250,528.4,40,5
2022/1/10,47316,245,517.8,39,5
2022/1/11,47316,221,467.1,24,5
2022/1/12,47316,211,445.9,28,5
2022/1/13,47316,202,426.9,15,5
2022/1/14,47316,187,395.2,13,5
2022/1/15,47316,140,295.9,13,4
2022/1/16,47316,144,304.3,36,4
2022/1/17,47316,132,279,16,4
2022/1/18,47316,136,287.4,23,4
2022/1/19,47316,140,295.9,19,4
2022/1/20,47316,140,295.9,19,4
2022/1/21,47316,117,247.3,7,4
2022/1/22,47316,105,221.9,8,4
2022/1/23,47316,109,230.4,10,4
2022/1/24,47316,82,173.3,17,4
2022/1/25,47316,76,160.6,10,4
2022/1/26,47316,61,128.9,15,4
2022/1/27,47316,281,593.9,47,4
2022/1/28,47316,275,581.2,56,4
2022/1/29,47316,306,646.7,76,4
2022/1/30,47316,74,156.4,13,4
2022/1/31,47316,83,175.4,11,4
2022/2/1,47316,75,158.5,2,4
2022/2/2,47316,58,122.6,10,4
2022/2/3,47316,65,137.4,11,4
2022/2/4,47316,321,678.4,52,6
2022/2/5,47316,355,750.3,47,6
2022/2/6,47316,346,731.3,37,6
2022/2/7,47316,346,731.3,46,6
2022/2/8,47316,350,739.7,63,6
2022/2/9,47316,339,716.5,56,6
2022/2/10,47316,321,678.4,52,6
2022/2/11,47316,323,682.6,48,6
2022/2/12,47316,309,653.1,35,6
2022/2/13,47316,303,640.4,35,6
2022/2/14,47316,281,593.9,29,6
2022/2/15,47316,264,558,47,6
2022/2/16,47316,250,528.4,40,6
2022/2/17,47316,245,517.8,39,6
2022/2/18,47316,221,467.1,24,5
2022/2/19,47316,211,445.9,28,5
2022/2/20,47316,202,426.9,15,5
2022/2/21,47316,187,395.2,13,5
