date,population,active,rate,new,band
2022/1/1,142643,1780,1247.9,404,7
2022/1/2,142643,1360,953.4,204,7
2022/1/3,142643,1347,944.3,205,7
2022/1/4,142643,1375,963.9,196,7
2022/1/5,142643,1388,973.1,216,7
2022/1/6,142643,1359,952.7,160,7
2022/1/7,142643,1290,904.4,188,7
2022/1/8,142643,1273,892.4,202,7
2022/1/9,142643,1268,888.9,188,7
2022/1/10,142643,1184,830,153,7
2022/1/11,142643,1170,820.2,163,7
2022/1/12,142643,1083,759.2,97,7
2022/1/13,142643,1780,1247.9,404,7
2022/1/14,142643,1780,1247.9,404,7
2022/1/15,142643,461,323.2,99,5
2022/1/16,142643,1035,725.6,162,5
2022/1/17,142643,1015,711.6,152,5
2022/1/18,142643,1019,714.4,118,5
2022/1/19,142643,1003,703.2,136,5
2022/1/20,142643,994,696.8,157,5
2022/1/21,142643,1001,701.8,170,5
2022/1/22,142643,983,689.1,159,5
2022/1/23,142643,999,700.3,159,5
2022/1/24,142643,999,700.3,159,5
2022/1/25,142643,861,603.6,100,5
2022/1/26,142643,848,594.5,157,5
2022/1/27,142643,994,696.8,245,5
2022/1/28,142643,1059,742.4,240,5
2022/1/29,142643,1100,771.2,189,5
2022/1/30,142643,1151,806.9,178,5
2022/1/31,142643,1169,819.5,149,5
2022/2/1,142643,1202,842.7,175,5
2022/2/2,142643,450,315.5,93,5
2022/2/3,142643,396,277.6,86,5
2022/2/4,142643,1360,953.4,204,6
2022/2/5,142643,1582,1109.1,178,7
2022/2/6,142643,1479,1036.9,163,7
2022/2/7,142643,1441,1010.2,204,7
2022/2/8,142643,1434,1005.3,253,7
2022/2/9,142643,1409,987.8,263,6
2022/2/10,142643,1360,953.4,204,6
2022/2/11,142643,1347,944.3,205,6
2022/2/12,142643,1375,963.9,196,6
2022/2/13,142643,1388,973.1,216,6
2022/2/14,142643,1359,952.7,160,6
2022/2/15,142643,1290,904.4,188,6
2022/2/16,142643,1273,892.4,202,6
2022/2/17,142643,1268,888.9,188,6
2022/2/18,142643,1184,830,153,6
2022/2/19,142643,1170,820.2,163,6
2022/2/20,142643,1083,759.2,97,6
2022/2/21,142643,1083,759.2,154,6
2022/2/22,142643,1148,804.8,176,6
2022/2/23,142643,1029,721.4,173,6
2022/2/24,142643,1050,736.1,169,6
2022/2/25,142643,1035,725.6,162,6
2022/2/26,142643,1015,711.6,152,6
2022/2/27,142643,1019,714.4,118,6
2022/2/28,142643,1003,703.2,136,6
2022/3/1,142643,994,696.8,157,6
2022/3/2,142643,1001,701.8,170,6
2022/3/3,142643,983,689.1,159,6
2022/3/4,142643,999,700.3,159,6
2022/3/5,142643,999,700.3,159,6
2022/3/6,142643,949,665.3,129,6
2022/3/7,142643,942,660.4,135,6
2022/3/8,142643,1039,728.4,171,6
2022/3/9,142643,918,643.6,146,6
2022/3/10,142643,945,662.5,201,6
2022/3/11,142643,1081,757.8,141,6
2022/3/12,142643,1261,884,257,6
2022/3/13,142643,907,635.9,117,6
2022/3/14,142643,861,603.6,100,6
2022/3/15,142643,848,594.5,157,6
2022/3/16,142643,994,696.8,245,6
2022/3/17,142643,1059,742.4,240,6
2022/3/18,142643,1100,771.2,189,6
