date,population,active,rate,new,band
2022/1/1,10472,42,401.1,8,3
2022/1/2,10472,32,305.6,6,3
2022/1/3,10472,37,353.3,8,3
2022/1/4,10472,39,372.4,7,3
2022/1/5,10472,39,372.4,5,3
2022/1/6,10472,40,382,6,3
2022/1/7,10472,42,401.1,6,3
2022/1/8,10472,41,391.5,6,3
2022/1/9,10472,46,439.3,12,3
2022/1/10,10472,53,506.1,11,3
2022/1/11,10472,45,429.7,7,3
2022/1/12,10472,46,439.3,6,3
2022/1/13,10472,48,458.4,9,3
2022/1/14,10472,51,487,10,3
2022/1/15,10472,39,372.4,5,5
2022/1/16,10472,38,362.9,5,5
2022/1/17,10472,36,343.8,5,5
2022/1/18,10472,34,324.7,4,5
2022/1/19,10472,39,372.4,8,5
2022/1/20,10472,42,401.1,13,5
2022/1/21,10472,44,420.2,10,5
2022/1/22,10472,42,401.1,5,5
2022/1/23,10472,49,467.9,11,5
2022/1/24,10472,39,372.4,5,5
2022/1/25,10472,38,362.9,5,5
2022/1/26,10472,36,343.8,5,5
2022/1/27,10472,75,716.2,5,5
2022/1/28,10472,75,716.2,23,5
2022/1/29,10472,79,754.4,20,5
2022/1/30,10472,34,324.7,8,5
2022/1/31,10472,33,315.1,1,5
2022/2/1,10472,30,286.5,2,5
2022/2/2,10472,32,305.6,8,5
2022/2/3,10472,34,324.7,2,5
2022/2/4,10472,80,763.9,11,6
2022/2/5,10472,70,668.4,12,6
2022/2/6,10472,74,706.6,11,6
2022/2/7,10472,75,716.2,5,6
2022/2/8,10472,75,716.2,23,6
2022/2/9,10472,79,754.4,20,6
2022/2/10,10472,80,763.9,11,6
2022/2/11,10472,81,773.5,7,6
2022/2/12,10472,73,697.1,5,6
2022/2/13,10472,66,630.3,3,6
2022/2/14,10472,62,592.1,6,6
2022/2/15,10472,53,506.1,10,6
2022/2/16,10472,45,429.7,11,5
2022/2/17,10472,45,429.7,6,5
2022/2/18,10472,38,362.9,3,5
2022/2/19,10472,41,391.5,5,5
2022/2/20,10472,44,420.2,5,5
2022/2/21,10472,42,401.1,3,5
2022/2/22,10472,42,401.1,8,5
2022/2/23,10472,32,305.6,6,5
2022/2/24,10472,37,353.3,8,5
2022/2/25,10472,39,372.4,7,5
2022/2/26,10472,39,372.4,5,5
2022/2/27,10472,40,382,6,5
2022/2/28,10472,42,401.1,6,5
2022/3/1,10472,41,391.5,6,5
2022/3/2,10472,46,439.3,12,5
2022/3/3,10472,53,506.1,11,6
2022/3/4,10472,58,553.9,12,6
2022/3/5,10472,58,553.9,12,6
2022/3/6,10472,71,678,14,6
2022/3/7,10472,83,792.6,20,6
2022/3/8,10472,106,1012.2,24,7
2022/3/9,10472,98,935.8,11,6
2022/3/10,10472,109,1040.9,22,7
2022/3/11,10472,126,1203.2,17,7
2022/3/12,10472,48,458.4,9,5
2022/3/13,10472,102,974,11,6
2022/3/14,10472,83,792.6,3,6
2022/3/15,10472,71,678,2,6
2022/3/16,10472,62,592.1,6,6
2022/3/17,10472,50,477.5,10,5
2022/3/18,10472,46,439.3,16,5
2022/3/19,10472,48,458.4,10,5
2022/3/20,10472,45,429.7,7,5
2022/3/21,10472,46,439.3,6,5
2022/3/22,10472,48,458.4,9,5
2022/3/23,10472,51,487,10,5
2022/3/24,10472,39,372.4,5,5
2022/3/25,10472,38,362.9,5,5
2022/3/26,10472,36,343.8,5,5
2022/3/27,10472,34,324.7,4,5
2022/3/28,10472,39,372.4,8,5
2022/3/29,10472,42,401.1,13,5
2022/3/30,10472,44,420.2,10,5
2022/3/31,10472,42,401.1,5,5
2022/4/1,10472,49,467.9,11,5
2022/4/2,10472,47,448.8,4,5
2022/4/3,10472,52,496.6,8,5
2022/4/4,10472,53,506.1,9,6
2022/4/5,10472,53,506.1,13,6
2022/4/6,10472,48,458.4,4,5
2022/4/7,10472,57,544.3,13,6
2022/4/8,10472,55,525.2,8,6
2022/4/9,10472,65,620.7,16,6
2022/4/10,10472,73,697.1,12,6
2022/4/11,10472,64,611.2,7,6
2022/4/12,10472,68,649.4,13,6
2022/4/13,10472,66,630.3,9,6
2022/4/14,10472,72,687.5,12,6
2022/4/15,10472,62,592.1,3,6
2022/4/16,10472,48,458.4,4,5
2022/4/17,10472,46,439.3,5,5
2022/4/18,10472,43,410.6,8,5
2022/4/19,10472,43,410.6,9,5
2022/4/20,10472,39,372.4,7,5
2022/4/21,10472,51,487,18,5
2022/4/22,10472,49,467.9,6,5
2022/4/23,10472,53,506.1,8,6
2022/4/24,10472,46,439.3,7,5
2022/4/25,10472,46,439.3,7,5
2022/4/26,10472,45,429.7,6,5
2022/4/27,10472,44,420.2,9,5
2022/4/28,10472,45,429.7,13,5
2022/4/29,10472,54,515.7,15,6
2022/4/30,10472,66,630.3,18,6
2022/5/1,10472,71,678,11,6
2022/5/2,10472,75,716.2,20,6
2022/5/3,10472,67,639.8,8,6
2022/5/4,10472,55,525.2,2,6
2022/5/5,10472,58,553.9,12,6
2022/5/6,10472,53,506.1,14,6
2022/5/7,10472,48,458.4,7,5
2022/5/8,10472,50,477.5,7,5
2022/5/9,10472,54,515.7,9,6
2022/5/10,10472,60,573,15,6
2022/5/11,10472,111,1060,19,7
2022/5/12,10472,75,716.2,20,6
2022/5/13,10472,99,945.4,8,6
2022/5/14,10472,94,897.6,17,6
2022/5/15,10472,102,974,21,6
2022/5/16,10472,53,506.1,14,6
2022/5/17,10472,111,1060,22,7
2022/5/18,10472,80,763.9,8,6
2022/5/19,10472,102,974,20,6
2022/5/20,10472,106,1012.2,23,7
2022/5/21,10472,111,1060,19,7
2022/5/22,10472,106,1012.2,15,7
2022/5/23,10472,99,945.4,8,6
2022/5/24,10472,94,897.6,17,6
2022/5/25,10472,99,945.4,12,6
2022/5/26,10472,53,506.1,14,6
2022/5/27,10472,92,878.5,16,6
2022/5/28,10472,80,763.9,8,6
2022/5/29,10472,74,706.6,7,6
2022/5/30,10472,67,639.8,8,6
2022/5/31,10472,56,534.8,6,6
2022/6/1,10472,62,592.1,17,6
2022/6/2,10472,70,668.4,19,6
2022/6/3,10472,96,916.7,15,6
2022/6/4,10472,85,811.7,23,6
2022/6/5,10472,96,916.7,15,6
2022/6/6,10472,83,792.6,26,6
2022/6/7,10472,102,974,15,6
2022/6/8,10472,83,792.6,8,6
2022/6/9,10472,76,725.7,7,6
2022/6/10,10472,91,869,13,6
2022/6/11,10472,78,744.8,6,6
2022/6/12,10472,58,553.9,8,6
2022/6/13,10472,46,439.3,6,5
2022/6/14,10472,49,467.9,12,5
2022/6/15,10472,68,649.4,12,6
2022/6/16,10472,83,792.6,26,6
2022/6/17,10472,82,783,14,6
2022/6/18,10472,83,792.6,8,6
2022/6/19,10472,76,725.7,7,6
2022/6/20,10472,81,773.5,10,6
2022/6/21,10472,72,687.5,5,6
2022/6/22,10472,58,553.9,8,6
2022/6/23,10472,46,439.3,6,5
2022/6/24,10472,49,467.9,12,5
2022/6/25,10472,47,448.8,6,5
2022/6/26,10472,43,410.6,2,5
2022/6/27,10472,40,382,7,5
2022/6/28,10472,38,362.9,4,5
2022/6/29,10472,45,429.7,16,5
2022/6/30,10472,37,353.3,4,5
2022/7/1,10472,33,315.1,8,5
2022/7/2,10472,31,296,3,5
2022/7/3,10472,29,276.9,2,5
2022/7/4,10472,32,305.6,6,5
2022/7/5,10472,44,420.2,19,5
2022/7/6,10472,45,429.7,7,5
2022/7/7,10472,54,515.7,16,6
2022/7/8,10472,63,601.6,15,6
2022/7/9,10472,67,639.8,10,6
2022/7/10,10472,107,1021.8,24,7
2022/7/11,10472,83,792.6,12,6
2022/7/12,10472,118,1126.8,18,7
2022/7/13,10472,115,1098.2,18,7
2022/7/14,10472,122,1165,22,7
2022/7/15,10472,122,1165,15,7
2022/7/16,10472,129,1231.9,21,7
2022/7/17,10472,126,1203.2,18,7
2022/7/18,10472,124,1184.1,14,7
2022/7/19,10472,111,1060,10,7
2022/7/20,10472,107,1021.8,24,7
2022/7/21,10472,113,1079.1,24,7
2022/7/22,10472,118,1126.8,18,7
2022/7/23,10472,115,1098.2,18,7
2022/7/24,10472,115,1098.2,20,7
2022/7/25,10472,115,1098.2,16,7
2022/7/26,10472,116,1107.7,13,7
2022/7/27,10472,126,1203.2,18,7
2022/7/28,10472,95,907.2,14,6
2022/7/29,10472,86,821.2,9,6
2022/7/30,10472,75,716.2,11,6
2022/7/31,10472,78,744.8,16,6
2022/8/1,10472,74,706.6,8,6
2022/8/2,10472,32,305.6,5,5
2022/8/3,10472,79,754.4,16,6
2022/8/4,10472,75,716.2,9,6
2022/8/5,10472,64,611.2,5,6
2022/8/6,10472,31,296,8,5
2022/8/7,10472,32,305.6,5,5
2022/8/8,10472,46,439.3,5,5
2022/8/9,10472,37,353.3,12,5
2022/8/10,10472,30,286.5,4,5
2022/8/11,10472,25,238.7,2,5
2022/8/12,10472,32,305.6,5,5
2022/8/13,10472,22,210.1,8,5
2022/8/14,10472,22,210.1,5,5
2022/8/15,10472,31,296,6,5
2022/8/16,10472,31,296,8,5
2022/8/17,10472,32,305.6,5,5
2022/8/18,10472,19,181.4,4,4
2022/8/19,10472,26,248.3,0,5
2022/8/20,10472,17,162.3,5,4
2022/8/21,10472,25,238.7,2,5
2022/8/22,10472,26,248.3,3,5
2022/8/23,10472,22,210.1,8,5
