date,population,active,rate,new,band
2022/1/1,156511,1992,1272.8,521,7
2022/1/2,156511,1790,1143.7,336,7
2022/1/3,156511,1760,1124.5,326,7
2022/1/4,156511,1719,1098.3,326,7
2022/1/5,156511,1729,1104.7,260,7
2022/1/6,156511,1766,1128.4,299,7
2022/1/7,156511,1799,1149.4,240,7
2022/1/8,156511,1807,1154.6,279,7
2022/1/9,156511,1754,1120.7,325,7
2022/1/10,156511,1682,1074.7,276,7
2022/1/11,156511,1687,1077.9,332,7
2022/1/12,156511,1682,1074.7,276,7
2022/1/13,156511,1621,1035.7,201,7
2022/1/14,156511,1537,982,178,7
2022/1/15,156511,1775,1134.1,266,6
2022/1/16,156511,1442,921.3,267,6
2022/1/17,156511,1500,958.4,264,6
2022/1/18,156511,1480,945.6,271,6
2022/1/19,156511,1480,945.6,255,6
2022/1/20,156511,1484,948.2,266,6
2022/1/21,156511,1481,946.3,234,6
2022/1/22,156511,1489,951.4,213,6
2022/1/23,156511,1529,976.9,237,6
2022/1/24,156511,1556,994.2,296,6
2022/1/25,156511,1682,1074.7,276,6
2022/1/26,156511,1687,1077.9,332,6
2022/1/27,156511,1682,1074.7,276,6
2022/1/28,156511,1621,1035.7,201,6
2022/1/29,156511,1537,982,178,6
2022/1/30,156511,1775,1134.1,266,6
2022/1/31,156511,1442,921.3,267,5
2022/2/1,156511,1484,948.2,266,5
2022/2/2,156511,1395,891.3,209,6
2022/2/3,156511,1353,864.5,178,5
2022/2/4,156511,1258,803.8,218,6
2022/2/5,156511,1487,950.1,194,6
2022/2/6,156511,1401,895.1,191,6
2022/2/7,156511,1363,870.9,183,6
2022/2/8,156511,1344,858.7,228,6
2022/2/9,156511,1287,822.3,240,6
2022/2/10,156511,1258,803.8,218,6
2022/2/11,156511,1304,833.2,191,6
2022/2/12,156511,1263,807,151,6
2022/2/13,156511,1271,812.1,197,6
2022/2/14,156511,1299,830,201,6
2022/2/15,156511,1256,802.5,202,6
2022/2/16,156511,1215,776.3,179,6
2022/2/17,156511,1241,792.9,228,6
2022/2/18,156511,1178,752.7,135,6
2022/2/19,156511,1163,743.1,157,6
2022/2/20,156511,1083,692,87,6
2022/2/21,156511,1029,657.5,128,6
2022/2/22,156511,1071,684.3,155,6
2022/2/23,156511,934,596.8,164,6
2022/2/24,156511,907,579.5,158,6
2022/2/25,156511,942,601.9,192,6
2022/2/26,156511,955,610.2,151,6
2022/2/27,156511,970,619.8,113,6
2022/2/28,156511,1006,642.8,174,6
2022/3/1,156511,1038,663.2,197,6
2022/3/2,156511,1107,707.3,224,6
2022/3/3,156511,1149,734.1,189,6
2022/3/4,156511,1203,768.6,219,6
2022/3/5,156511,1203,768.6,219,6
2022/3/6,156511,1166,745,137,6
2022/3/7,156511,1210,773.1,211,6
2022/3/8,156511,1307,835.1,182,6
2022/3/9,156511,1163,743.1,204,6
2022/3/10,156511,1160,741.2,214,6
2022/3/11,156511,1368,874.1,209,6
2022/3/12,156511,1711,1093.2,282,7
2022/3/13,156511,1188,759.1,150,6
2022/3/14,156511,1182,755.2,188,6
2022/3/15,156511,1210,773.1,208,6
2022/3/16,156511,1297,828.7,293,6
2022/3/17,156511,1371,876,307,6
2022/3/18,156511,1507,962.9,312,6
2022/3/19,156511,1538,982.7,220,6
2022/3/20,156511,1575,1006.3,216,7
2022/3/21,156511,1669,1066.4,300,7
2022/3/22,156511,1711,1093.2,282,7
2022/3/23,156511,1762,1125.8,364,7
2022/3/24,156511,1834,1171.8,360,7
2022/3/25,156511,1848,1180.7,298,7
2022/3/26,156511,1842,1176.9,236,7
2022/3/27,156511,1791,1144.3,200,7
2022/3/28,156511,1782,1138.6,276,7
2022/3/29,156511,1790,1143.7,336,7
2022/3/30,156511,1760,1124.5,326,7
2022/3/31,156511,1719,1098.3,326,7
2022/4/1,156511,1729,1104.7,260,7
2022/4/2,156511,1766,1128.4,299,7
2022/4/3,156511,1799,1149.4,240,7
2022/4/4,156511,1807,1154.6,279,7
2022/4/5,156511,1754,1120.7,325,7
2022/4/6,156511,1499,957.8,220,6
2022/4/7,156511,1721,1099.6,319,7
2022/4/8,156511,1761,1125.2,299,7
2022/4/9,156511,1787,1141.8,308,7
2022/4/10,156511,1758,1123.2,205,7
2022/4/11,156511,1738,1110.5,264,7
2022/4/12,156511,1671,1067.7,251,7
2022/4/13,156511,1607,1026.8,256,7
2022/4/14,156511,1612,1030,323,7
2022/4/15,156511,1540,984,243,6
2022/4/16,156511,1499,957.8,220,6
2022/4/17,156511,1461,933.5,209,6
2022/4/18,156511,1432,915,224,6
2022/4/19,156511,1399,893.9,250,6
2022/4/20,156511,1386,885.6,258,6
2022/4/21,156511,1354,865.1,253,6
2022/4/22,156511,1360,868.9,231,6
2022/4/23,156511,1347,860.6,184,6
2022/4/24,156511,1319,842.8,193,6
2022/4/25,156511,1303,832.5,185,6
2022/4/26,156511,1307,835.1,247,6
2022/4/27,156511,1311,837.6,295,6
2022/4/28,156511,1310,837,254,6
2022/4/29,156511,1396,892,290,6
2022/4/30,156511,1432,915,241,6
2022/5/1,156511,1433,915.6,192,6
2022/5/2,156511,1687,1077.9,332,7
2022/5/3,156511,1500,958.4,264,6
2022/5/4,156511,1480,945.6,271,6
2022/5/5,156511,1480,945.6,255,6
2022/5/6,156511,1484,948.2,266,6
2022/5/7,156511,1481,946.3,234,6
2022/5/8,156511,1489,951.4,213,6
2022/5/9,156511,1529,976.9,237,6
2022/5/10,156511,1556,994.2,296,6
2022/5/11,156511,1682,1074.7,276,7
2022/5/12,156511,1687,1077.9,332,7
2022/5/13,156511,1537,982,178,6
2022/5/14,156511,1775,1134.1,266,7
2022/5/15,156511,1786,1141.1,214,7
2022/5/16,156511,1484,948.2,266,6
2022/5/17,156511,1788,1142.4,322,7
2022/5/18,156511,1353,864.5,178,6
2022/5/19,156511,1712,1093.9,297,7
2022/5/20,156511,1662,1061.9,239,7
2022/5/21,156511,1682,1074.7,276,7
2022/5/22,156511,1621,1035.7,201,7
2022/5/23,156511,1537,982,178,6
2022/5/24,156511,1775,1134.1,266,7
2022/5/25,156511,1442,921.3,267,6
2022/5/26,156511,1484,948.2,266,6
2022/5/27,156511,1395,891.3,209,6
2022/5/28,156511,1353,864.5,178,6
2022/5/29,156511,1342,857.4,178,6
2022/5/30,156511,1317,841.5,180,6
2022/5/31,156511,1265,808.2,209,6
2022/6/1,156511,1207,771.2,199,6
2022/6/2,156511,1194,762.9,228,6
2022/6/3,156511,1234,788.4,156,6
2022/6/4,156511,1258,803.8,211,6
2022/6/5,156511,1234,788.4,156,6
2022/6/6,156511,869,555.2,184,6
2022/6/7,156511,1208,771.8,265,6
2022/6/8,156511,940,600.6,164,6
2022/6/9,156511,975,623,153,6
2022/6/10,156511,1105,706,167,6
2022/6/11,156511,1054,673.4,157,6
2022/6/12,156511,1014,647.9,167,6
2022/6/13,156511,1043,666.4,205,6
2022/6/14,156511,1034,660.7,166,6
2022/6/15,156511,875,559.1,200,6
2022/6/16,156511,869,555.2,184,6
2022/6/17,156511,913,583.3,186,6
2022/6/18,156511,940,600.6,164,6
2022/6/19,156511,975,623,153,6
2022/6/20,156511,1000,638.9,127,6
2022/6/21,156511,1039,663.9,200,6
2022/6/22,156511,1014,647.9,167,6
2022/6/23,156511,1043,666.4,205,6
2022/6/24,156511,1034,660.7,166,6
2022/6/25,156511,1030,658.1,165,6
2022/6/26,156511,1014,647.9,134,6
2022/6/27,156511,1002,640.2,130,6
2022/6/28,156511,984,628.7,181,6
2022/6/29,156511,1021,652.4,220,6
2022/6/30,156511,1078,688.8,223,6
2022/7/1,156511,1052,672.2,174,6
2022/7/2,156511,1040,664.5,147,6
2022/7/3,156511,1137,726.5,222,6
2022/7/4,156511,1165,744.4,176,6
2022/7/5,156511,1203,768.6,225,6
2022/7/6,156511,1270,811.4,279,6
2022/7/7,156511,1279,817.2,236,6
2022/7/8,156511,1338,854.9,247,6
2022/7/9,156511,1396,892,225,6
2022/7/10,156511,1590,1015.9,288,7
2022/7/11,156511,1415,904.1,225,6
2022/7/12,156511,1572,1004.4,257,7
2022/7/13,156511,1554,992.9,205,6
2022/7/14,156511,1489,951.4,305,6
2022/7/15,156511,1515,968,258,6
2022/7/16,156511,1541,984.6,233,6
2022/7/17,156511,1542,985.2,207,6
2022/7/18,156511,1541,984.6,235,6
2022/7/19,156511,1593,1017.8,310,7
2022/7/20,156511,1590,1015.9,288,7
2022/7/21,156511,1554,992.9,276,6
2022/7/22,156511,1572,1004.4,257,7
2022/7/23,156511,1554,992.9,205,6
2022/7/24,156511,1508,963.5,203,6
2022/7/25,156511,1479,945,233,6
2022/7/26,156511,1453,928.4,254,6
2022/7/27,156511,1542,985.2,207,6
2022/7/28,156511,1503,960.3,282,6
2022/7/29,156511,1536,981.4,264,6
2022/7/30,156511,1509,964.1,182,6
