date,population,active,rate,new,band
2022/1/1,19674,137,696.4,62,6
2022/1/2,19674,163,828.5,29,6
2022/1/3,19674,131,665.9,21,6
2022/1/4,19674,154,782.8,20,6
2022/1/5,19674,141,716.7,9,6
2022/1/6,19674,138,701.4,17,6
2022/1/7,19674,145,737,33,6
2022/1/8,19674,127,645.5,14,6
2022/1/9,19674,125,635.4,27,6
2022/1/10,19674,122,620.1,16,6
2022/1/11,19674,126,640.4,19,6
2022/1/12,19674,134,681.1,19,6
2022/1/13,19674,131,665.9,21,6
2022/1/14,19674,137,696.4,62,6
2022/1/15,19674,262,1331.7,54,4
2022/1/16,19674,154,782.8,22,4
2022/1/17,19674,272,1382.5,53,4
2022/1/18,19674,270,1372.4,42,4
2022/1/19,19674,259,1316.5,32,4
2022/1/20,19674,261,1326.6,36,4
2022/1/21,19674,238,1209.7,24,4
2022/1/22,19674,207,1052.2,24,4
2022/1/23,19674,174,884.4,27,4
2022/1/24,19674,175,889.5,37,4
2022/1/25,19674,170,864.1,25,4
2022/1/26,19674,126,640.4,15,4
2022/1/27,19674,143,726.8,30,4
2022/1/28,19674,148,752.3,22,4
2022/1/29,19674,146,742.1,18,4
2022/1/30,19674,152,772.6,29,4
2022/1/31,19674,172,874.3,47,4
2022/2/1,19674,187,950.5,41,3
2022/2/2,19674,214,1087.7,47,3
2022/2/3,19674,15,76.2,4,3
2022/2/4,19674,72,366,13,5
2022/2/5,19674,116,589.6,13,6
2022/2/6,19674,104,528.6,6,6
2022/2/7,19674,105,533.7,11,6
2022/2/8,19674,95,482.9,17,5
2022/2/9,19674,75,381.2,9,5
2022/2/10,19674,72,366,13,5
2022/2/11,19674,78,396.5,14,5
2022/2/12,19674,83,421.9,11,5
2022/2/13,19674,82,416.8,9,5
2022/2/14,19674,80,406.6,12,5
2022/2/15,19674,82,416.8,21,5
2022/2/16,19674,94,477.8,19,5
2022/2/17,19674,103,523.5,25,6
2022/2/18,19674,107,543.9,16,6
2022/2/19,19674,99,503.2,8,6
2022/2/20,19674,100,508.3,8,6
2022/2/21,19674,89,452.4,6,5
2022/2/22,19674,89,452.4,13,5
2022/2/23,19674,76,386.3,8,5
2022/2/24,19674,68,345.6,15,5
2022/2/25,19674,69,350.7,14,5
2022/2/26,19674,69,350.7,12,5
2022/2/27,19674,72,366,15,5
2022/2/28,19674,72,366,7,5
2022/3/1,19674,79,401.5,16,5
2022/3/2,19674,76,386.3,11,5
2022/3/3,19674,80,406.6,16,5
2022/3/4,19674,85,432,16,5
2022/3/5,19674,85,432,16,5
2022/3/6,19674,89,452.4,19,5
2022/3/7,19674,96,488,16,5
2022/3/8,19674,120,609.9,26,6
2022/3/9,19674,121,615,26,6
2022/3/10,19674,134,681.1,24,6
2022/3/11,19674,163,828.5,29,6
2022/3/12,19674,131,665.9,21,6
2022/3/13,19674,154,782.8,20,6
2022/3/14,19674,141,716.7,9,6
2022/3/15,19674,138,701.4,17,6
2022/3/16,19674,145,737,33,6
2022/3/17,19674,127,645.5,14,6
2022/3/18,19674,125,635.4,27,6
2022/3/19,19674,122,620.1,16,6
2022/3/20,19674,126,640.4,19,6
2022/3/21,19674,134,681.1,19,6
2022/3/22,19674,131,665.9,21,6
2022/3/23,19674,128,650.6,22,6
2022/3/24,19674,137,696.4,29,6
2022/3/25,19674,126,640.4,15,6
2022/3/26,19674,143,726.8,30,6
2022/3/27,19674,148,752.3,22,6
