date,population,active,rate,new,band
2022/1/1,23722,52,219.2,13,5
2022/1/2,23722,204,860,38,5
2022/1/3,23722,201,847.3,48,5
2022/1/4,23722,212,893.7,36,5
2022/1/5,23722,230,969.6,45,5
2022/1/6,23722,229,965.3,27,5
2022/1/7,23722,234,986.4,30,5
2022/1/8,23722,234,986.4,29,5
2022/1/9,23722,232,978,28,5
2022/1/10,23722,248,1045.4,49,5
2022/1/11,23722,229,965.3,38,5
2022/1/12,23722,235,990.6,43,5
2022/1/13,23722,244,1028.6,39,5
2022/1/14,23722,240,1011.7,29,5
2022/1/15,23722,230,969.6,16,6
2022/1/16,23722,239,1007.5,39,6
2022/1/17,23722,221,931.6,20,6
2022/1/18,23722,214,902.1,19,6
2022/1/19,23722,201,847.3,33,6
2022/1/20,23722,188,792.5,49,6
2022/1/21,23722,235,990.6,49,6
2022/1/22,23722,198,834.7,50,6
2022/1/23,23722,208,876.8,40,6
2022/1/24,23722,234,986.4,44,6
2022/1/25,23722,134,564.9,18,6
2022/1/26,23722,134,564.9,18,6
2022/1/27,23722,149,628.1,18,6
2022/1/28,23722,174,733.5,27,6
2022/1/29,23722,140,590.2,25,6
2022/1/30,23722,147,619.7,33,6
2022/1/31,23722,126,531.2,14,6
2022/2/1,23722,109,459.5,10,5
2022/2/2,23722,121,510.1,29,6
2022/2/3,23722,123,518.5,27,6
2022/2/4,23722,213,897.9,32,6
2022/2/5,23722,316,1332.1,27,7
2022/2/6,23722,303,1277.3,26,7
2022/2/7,23722,291,1226.7,31,7
2022/2/8,23722,271,1142.4,51,7
2022/2/9,23722,225,948.5,38,6
2022/2/10,23722,213,897.9,32,6
2022/2/11,23722,215,906.3,34,6
2022/2/12,23722,215,906.3,21,6
2022/2/13,23722,207,872.6,24,6
2022/2/14,23722,204,860,38,6
2022/2/15,23722,201,847.3,48,6
2022/2/16,23722,212,893.7,36,6
2022/2/17,23722,230,969.6,45,6
2022/2/18,23722,229,965.3,27,6
2022/2/19,23722,234,986.4,30,6
2022/2/20,23722,234,986.4,29,6
2022/2/21,23722,232,978,28,6
2022/2/22,23722,248,1045.4,49,7
2022/2/23,23722,229,965.3,38,6
2022/2/24,23722,235,990.6,43,6
2022/2/25,23722,244,1028.6,39,7
2022/2/26,23722,240,1011.7,29,7
2022/2/27,23722,230,969.6,16,6
2022/2/28,23722,227,956.9,31,6
2022/3/1,23722,215,906.3,39,6
2022/3/2,23722,208,876.8,25,6
2022/3/3,23722,182,767.2,29,6
2022/3/4,23722,170,716.6,24,6
2022/3/5,23722,170,716.6,24,6
2022/3/6,23722,157,661.8,14,6
2022/3/7,23722,149,628.1,18,6
2022/3/8,23722,174,733.5,27,6
2022/3/9,23722,140,590.2,25,6
2022/3/10,23722,147,619.7,33,6
2022/3/11,23722,177,746.1,30,6
2022/3/12,23722,203,855.7,43,6
2022/3/13,23722,162,682.9,18,6
2022/3/14,23722,153,645,19,6
2022/3/15,23722,153,645,28,6
2022/3/16,23722,163,687.1,37,6
2022/3/17,23722,159,670.3,34,6
2022/3/18,23722,171,720.8,31,6
2022/3/19,23722,180,758.8,28,6
2022/3/20,23722,173,729.3,15,6
2022/3/21,23722,184,775.7,33,6
2022/3/22,23722,203,855.7,43,6
2022/3/23,23722,213,897.9,50,6
2022/3/24,23722,216,910.5,42,6
2022/3/25,23722,232,978,40,6
2022/3/26,23722,238,1003.3,35,7
2022/3/27,23722,247,1041.2,28,7
2022/3/28,23722,252,1062.3,42,7
2022/3/29,23722,251,1058.1,44,7
2022/3/30,23722,249,1049.7,49,7
2022/3/31,23722,234,986.4,35,6
2022/4/1,23722,239,1007.5,39,7
2022/4/2,23722,221,931.6,20,6
2022/4/3,23722,214,902.1,19,6
2022/4/4,23722,201,847.3,33,6
2022/4/5,23722,188,792.5,49,6
2022/4/6,23722,235,990.6,49,6
2022/4/7,23722,198,834.7,50,6
2022/4/8,23722,208,876.8,40,6
2022/4/9,23722,234,986.4,44,6
2022/4/10,23722,251,1058.1,42,7
2022/4/11,23722,266,1121.3,48,7
2022/4/12,23722,248,1045.4,35,7
2022/4/13,23722,258,1087.6,49,7
2022/4/14,23722,248,1045.4,40,7
2022/4/15,23722,238,1003.3,33,7
2022/4/16,23722,235,990.6,49,6
2022/4/17,23722,240,1011.7,30,7
2022/4/18,23722,213,897.9,26,6
2022/4/19,23722,186,784.1,25,6
2022/4/20,23722,174,733.5,41,6
2022/4/21,23722,194,817.8,45,6
2022/4/22,23722,184,775.7,34,6
2022/4/23,23722,190,800.9,27,6
2022/4/24,23722,186,784.1,25,6
2022/4/25,23722,185,779.9,26,6
2022/4/26,23722,201,847.3,42,6
2022/4/27,23722,189,796.7,37,6
2022/4/28,23722,185,779.9,41,6
2022/4/29,23722,197,830.5,38,6
2022/4/30,23722,189,796.7,19,6
2022/5/1,23722,195,822,31,6
2022/5/2,23722,289,1218.3,65,7
2022/5/3,23722,185,779.9,35,6
2022/5/4,23722,189,796.7,39,6
2022/5/5,23722,183,771.4,29,6
2022/5/6,23722,200,843.1,49,6
2022/5/7,23722,210,885.3,35,6
2022/5/8,23722,209,881,26,6
2022/5/9,23722,241,1015.9,50,7
2022/5/10,23722,241,1015.9,43,7
2022/5/11,23722,340,1433.3,55,7
2022/5/12,23722,289,1218.3,65,7
2022/5/13,23722,326,1374.3,32,7
2022/5/14,23722,341,1437.5,64,7
2022/5/15,23722,343,1445.9,41,7
2022/5/16,23722,200,843.1,49,6
2022/5/17,23722,354,1492.3,60,7
2022/5/18,23722,317,1336.3,50,7
2022/5/19,23722,343,1445.9,59,7
2022/5/20,23722,344,1450.1,59,7
2022/5/21,23722,340,1433.3,55,7
2022/5/22,23722,336,1416.4,40,7
2022/5/23,23722,326,1374.3,32,7
2022/5/24,23722,341,1437.5,64,7
2022/5/25,23722,330,1391.1,58,7
2022/5/26,23722,200,843.1,49,6
2022/5/27,23722,318,1340.5,62,7
2022/5/28,23722,317,1336.3,50,7
2022/5/29,23722,306,1289.9,37,7
2022/5/30,23722,303,1277.3,40,7
2022/5/31,23722,281,1184.6,39,7
2022/6/1,23722,282,1188.8,58,7
2022/6/2,23722,279,1176.1,51,7
2022/6/3,23722,263,1108.7,34,7
2022/6/4,23722,277,1167.7,48,7
2022/6/5,23722,263,1108.7,34,7
2022/6/6,23722,199,838.9,31,6
2022/6/7,23722,263,1108.7,53,7
2022/6/8,23722,189,796.7,27,6
2022/6/9,23722,188,792.5,27,6
2022/6/10,23722,290,1222.5,61,7
2022/6/11,23722,276,1163.5,35,7
2022/6/12,23722,199,838.9,38,6
2022/6/13,23722,183,771.4,25,6
2022/6/14,23722,191,805.2,37,6
2022/6/15,23722,215,906.3,40,6
2022/6/16,23722,199,838.9,31,6
2022/6/17,23722,188,792.5,32,6
2022/6/18,23722,189,796.7,27,6
2022/6/19,23722,188,792.5,27,6
2022/6/20,23722,201,847.3,35,6
2022/6/21,23722,203,855.7,30,6
2022/6/22,23722,199,838.9,38,6
2022/6/23,23722,183,771.4,25,6
2022/6/24,23722,191,805.2,37,6
2022/6/25,23722,197,830.5,33,6
2022/6/26,23722,201,847.3,32,6
2022/6/27,23722,197,830.5,32,6
2022/6/28,23722,205,864.2,31,6
2022/6/29,23722,213,897.9,36,6
2022/6/30,23722,210,885.3,32,6
2022/7/1,23722,206,868.4,32,6
2022/7/2,23722,186,784.1,26,6
2022/7/3,23722,178,750.4,23,6
2022/7/4,23722,174,733.5,27,6
2022/7/5,23722,177,746.1,35,6
2022/7/6,23722,180,758.8,40,6
2022/7/7,23722,181,763,32,6
2022/7/8,23722,191,805.2,41,6
2022/7/9,23722,203,855.7,33,6
2022/7/10,23722,260,1096,41,7
2022/7/11,23722,213,897.9,29,6
2022/7/12,23722,240,1011.7,29,7
2022/7/13,23722,228,961.1,24,6
2022/7/14,23722,217,914.8,46,6
2022/7/15,23722,221,931.6,36,6
2022/7/16,23722,227,956.9,32,6
2022/7/17,23722,244,1028.6,50,7
2022/7/18,23722,257,1083.4,44,7
2022/7/19,23722,260,1096,40,7
2022/7/20,23722,260,1096,41,7
2022/7/21,23722,251,1058.1,39,7
2022/7/22,23722,240,1011.7,29,7
2022/7/23,23722,228,961.1,24,6
2022/7/24,23722,205,864.2,21,6
2022/7/25,23722,191,805.2,28,6
2022/7/26,23722,184,775.7,32,6
2022/7/27,23722,244,1028.6,50,7
2022/7/28,23722,209,881,52,6
2022/7/29,23722,229,965.3,45,6
2022/7/30,23722,223,940.1,26,6
2022/7/31,23722,221,931.6,24,6
2022/8/1,23722,227,956.9,38,6
2022/8/2,23722,128,539.6,17,6
2022/8/3,23722,233,982.2,49,6
2022/8/4,23722,235,990.6,49,6
2022/8/5,23722,221,931.6,23,6
2022/8/6,23722,127,535.4,24,6
2022/8/7,23722,118,497.4,13,5
2022/8/8,23722,178,750.4,20,6
2022/8/9,23722,166,699.8,30,6
2022/8/10,23722,156,657.6,30,6
2022/8/11,23722,131,552.2,20,6
2022/8/12,23722,128,539.6,17,6
2022/8/13,23722,108,455.3,24,5
2022/8/14,23722,110,463.7,13,5
2022/8/15,23722,126,531.2,22,6
2022/8/16,23722,127,535.4,24,6
2022/8/17,23722,118,497.4,13,5
2022/8/18,23722,93,392,9,5
2022/8/19,23722,116,489,24,5
2022/8/20,23722,94,396.3,14,5
2022/8/21,23722,131,552.2,20,6
2022/8/22,23722,113,476.4,6,5
2022/8/23,23722,108,455.3,24,5
2022/8/24,23722,110,463.7,13,5
2022/8/25,23722,112,472.1,16,5
2022/8/26,23722,108,455.3,22,5
2022/8/27,23722,70,295.1,20,5
2022/8/28,23722,93,392,9,5
2022/8/29,23722,94,396.3,15,5
2022/8/30,23722,94,396.3,14,5
2022/8/31,23722,84,354.1,11,5
2022/9/1,23722,74,311.9,7,5
2022/9/2,23722,72,303.5,13,5
2022/9/3,23722,70,295.1,11,5
2022/9/4,23722,59,248.7,7,5
2022/9/5,23722,60,252.9,14,5
2022/9/6,23722,61,257.1,11,5
2022/9/7,23722,70,295.1,20,5
2022/9/8,23722,71,299.3,12,5
2022/9/9,23722,70,295.1,11,5
2022/9/10,23722,70,295.1,11,5
2022/9/11,23722,70,295.1,11,5
2022/9/12,23722,70,295.1,11,5
2022/9/13,23722,70,295.1,11,5
2022/9/14,23722,70,295.1,11,5
2022/9/15,23722,70,295.1,11,5
2022/9/16,23722,36,151.8,3,4
