date,population,active,rate,new,band
2022/1/1,118093,655,554.6,131,5
2022/1/2,118093,682,577.5,131,5
2022/1/3,118093,772,653.7,190,5
2022/1/4,118093,853,722.3,179,5
2022/1/5,118093,918,777.4,143,5
2022/1/6,118093,918,777.4,143,5
2022/1/7,118093,918,777.4,111,5
2022/1/8,118093,920,779,124,5
2022/1/9,118093,1028,870.5,166,5
2022/1/10,118093,915,774.8,167,5
2022/1/11,118093,923,781.6,176,5
2022/1/12,118093,1078,912.8,150,5
2022/1/13,118093,1319,1116.9,279,5
2022/1/14,118093,932,789.2,104,5
2022/1/15,118093,926,784.1,116,6
2022/1/16,118093,918,777.4,181,6
2022/1/17,118093,1059,896.8,228,6
2022/1/18,118093,617,522.5,105,6
2022/1/19,118093,753,637.6,78,6
2022/1/20,118093,750,635.1,109,6
2022/1/21,118093,770,652,104,6
2022/1/22,118093,710,601.2,126,6
2022/1/23,118093,662,560.6,97,6
2022/1/24,118093,637,539.4,83,6
2022/1/25,118093,645,546.2,87,6
2022/1/26,118093,639,541.1,80,6
2022/1/27,118093,655,554.6,131,6
2022/1/28,118093,682,577.5,131,6
2022/1/29,118093,617,522.5,105,6
2022/1/30,118093,621,525.9,67,6
2022/1/31,118093,623,527.6,66,6
2022/2/1,118093,567,480.1,57,5
2022/2/2,118093,518,438.6,81,5
2022/2/3,118093,485,410.7,44,5
2022/2/4,118093,954,807.8,149,6
2022/2/5,118093,1092,924.7,146,6
2022/2/6,118093,1043,883.2,118,6
2022/2/7,118093,1010,855.3,129,6
2022/2/8,118093,963,815.5,164,6
2022/2/9,118093,950,804.5,154,6
2022/2/10,118093,954,807.8,149,6
2022/2/11,118093,947,801.9,139,6
2022/2/12,118093,940,796,140,6
2022/2/13,118093,931,788.4,126,6
2022/2/14,118093,916,775.7,108,6
2022/2/15,118093,857,725.7,146,6
2022/2/16,118093,839,710.5,137,6
2022/2/17,118093,834,706.2,138,6
2022/2/18,118093,812,687.6,117,6
2022/2/19,118093,769,651.2,79,6
2022/2/20,118093,753,637.6,78,6
2022/2/21,118093,750,635.1,109,6
2022/2/22,118093,770,652,104,6
2022/2/23,118093,710,601.2,126,6
2022/2/24,118093,662,560.6,97,6
2022/2/25,118093,637,539.4,83,6
2022/2/26,118093,645,546.2,87,6
2022/2/27,118093,639,541.1,80,6
2022/2/28,118093,655,554.6,131,6
2022/3/1,118093,682,577.5,131,6
2022/3/2,118093,772,653.7,190,6
2022/3/3,118093,853,722.3,179,6
2022/3/4,118093,918,777.4,143,6
2022/3/5,118093,918,777.4,143,6
2022/3/6,118093,918,777.4,111,6
2022/3/7,118093,920,779,124,6
2022/3/8,118093,1028,870.5,166,6
2022/3/9,118093,915,774.8,167,6
2022/3/10,118093,923,781.6,176,6
2022/3/11,118093,1078,912.8,150,6
2022/3/12,118093,1319,1116.9,279,7
2022/3/13,118093,932,789.2,104,6
2022/3/14,118093,926,784.1,116,6
2022/3/15,118093,918,777.4,181,6
2022/3/16,118093,1059,896.8,228,6
2022/3/17,118093,1091,923.8,210,6
2022/3/18,118093,1105,935.7,171,6
2022/3/19,118093,1068,904.4,138,6
2022/3/20,118093,1195,1011.9,180,7
2022/3/21,118093,1266,1072,215,7
2022/3/22,118093,1319,1116.9,279,7
2022/3/23,118093,1323,1120.3,262,7
2022/3/24,118093,1449,1227,286,7
2022/3/25,118093,1451,1228.7,202,7
2022/3/26,118093,1543,1306.6,218,7
2022/3/27,118093,1495,1266,161,7
2022/3/28,118093,1539,1303.2,215,7
2022/3/29,118093,1436,1216,218,7
2022/3/30,118093,1341,1135.5,224,7
2022/3/31,118093,1477,1250.7,273,7
2022/4/1,118093,1415,1198.2,189,7
2022/4/2,118093,1399,1184.7,205,7
2022/4/3,118093,1391,1177.9,192,7
2022/4/4,118093,1590,1346.4,262,7
2022/4/5,118093,1518,1285.4,256,7
2022/4/6,118093,1190,1007.7,273,7
2022/4/7,118093,1544,1307.4,264,7
2022/4/8,118093,1584,1341.3,287,7
2022/4/9,118093,1533,1298.1,202,7
2022/4/10,118093,1520,1287.1,196,7
2022/4/11,118093,1483,1255.8,214,7
2022/4/12,118093,1269,1074.6,153,7
2022/4/13,118093,1188,1006,216,7
2022/4/14,118093,1114,943.3,201,6
2022/4/15,118093,1075,910.3,196,6
2022/4/16,118093,1190,1007.7,273,7
2022/4/17,118093,1237,1047.5,208,7
2022/4/18,118093,1129,956,162,6
2022/4/19,118093,1158,980.6,212,6
2022/4/20,118093,1103,934,169,6
2022/4/21,118093,1110,939.9,207,6
2022/4/22,118093,1120,948.4,196,6
2022/4/23,118093,1093,925.5,170,6
2022/4/24,118093,1097,928.9,165,6
2022/4/25,118093,1144,968.7,216,6
2022/4/26,118093,1170,990.7,224,6
2022/4/27,118093,1182,1000.9,228,7
2022/4/28,118093,1194,1011.1,234,7
2022/4/29,118093,1214,1028,212,7
2022/4/30,118093,1253,1061,191,7
2022/5/1,118093,1284,1087.3,199,7
2022/5/2,118093,1641,1389.6,328,7
2022/5/3,118093,1330,1126.2,271,7
2022/5/4,118093,1323,1120.3,240,7
2022/5/5,118093,1394,1180.4,303,7
2022/5/6,118093,1448,1226.2,257,7
2022/5/7,118093,1499,1269.3,225,7
2022/5/8,118093,1506,1275.3,185,7
2022/5/9,118093,1532,1297.3,230,7
2022/5/10,118093,1539,1303.2,291,7
2022/5/11,118093,1637,1386.2,242,7
2022/5/12,118093,1641,1389.6,328,7
2022/5/13,118093,1475,1249,182,7
2022/5/14,118093,1740,1473.4,254,7
2022/5/15,118093,1801,1525.1,228,7
2022/5/16,118093,1448,1226.2,257,7
2022/5/17,118093,1778,1505.6,294,7
2022/5/18,118093,1465,1240.5,218,7
2022/5/19,118093,1645,1393,235,7
2022/5/20,118093,1635,1384.5,266,7
2022/5/21,118093,1637,1386.2,242,7
2022/5/22,118093,1558,1319.3,191,7
2022/5/23,118093,1475,1249,182,7
2022/5/24,118093,1740,1473.4,254,7
2022/5/25,118093,1439,1218.5,290,7
2022/5/26,118093,1448,1226.2,257,7
2022/5/27,118093,1477,1250.7,305,7
2022/5/28,118093,1465,1240.5,218,7
2022/5/29,118093,1413,1196.5,174,7
2022/5/30,118093,1365,1155.9,154,7
2022/5/31,118093,1314,1112.7,234,7
2022/6/1,118093,1265,1071.2,211,7
2022/6/2,118093,1280,1083.9,254,7
2022/6/3,118093,1315,1113.5,227,7
2022/6/4,118093,1293,1094.9,237,7
2022/6/5,118093,1315,1113.5,227,7
2022/6/6,118093,1015,859.5,184,6
2022/6/7,118093,1257,1064.4,230,7
2022/6/8,118093,1055,893.4,167,6
2022/6/9,118093,1046,885.7,123,6
2022/6/10,118093,1378,1166.9,274,7
2022/6/11,118093,1272,1077.1,146,7
2022/6/12,118093,1051,890,185,6
2022/6/13,118093,1034,875.6,164,6
2022/6/14,118093,1036,877.3,196,6
2022/6/15,118093,1044,884,190,6
2022/6/16,118093,1015,859.5,184,6
2022/6/17,118093,1024,867.1,178,6
2022/6/18,118093,1055,893.4,167,6
2022/6/19,118093,1046,885.7,123,6
2022/6/20,118093,1038,879,127,6
2022/6/21,118093,1069,905.2,212,6
2022/6/22,118093,1051,890,185,6
2022/6/23,118093,1034,875.6,164,6
2022/6/24,118093,1036,877.3,196,6
2022/6/25,118093,1068,904.4,181,6
2022/6/26,118093,1108,938.2,159,6
2022/6/27,118093,1139,964.5,182,6
2022/6/28,118093,1153,976.3,217,6
2022/6/29,118093,1200,1016.1,251,7
2022/6/30,118093,1280,1083.9,271,7
2022/7/1,118093,1182,1000.9,175,7
2022/7/2,118093,1160,982.3,162,6
2022/7/3,118093,1187,1005.1,193,7
2022/7/4,118093,1187,1005.1,186,7
2022/7/5,118093,1175,995,203,6
2022/7/6,118093,1233,1044.1,255,7
2022/7/7,118093,1258,1065.3,251,7
2022/7/8,118093,1281,1084.7,224,7
2022/7/9,118093,1341,1135.5,226,7
2022/7/10,118093,1581,1338.8,303,7
2022/7/11,118093,1359,1150.8,196,7
2022/7/12,118093,1705,1443.8,309,7
2022/7/13,118093,1730,1464.9,249,7
2022/7/14,118093,1345,1138.9,258,7
2022/7/15,118093,1355,1147.4,232,7
2022/7/16,118093,1378,1166.9,247,7
2022/7/17,118093,1409,1193.1,217,7
2022/7/18,118093,1457,1233.8,245,7
2022/7/19,118093,1523,1289.7,293,7
2022/7/20,118093,1581,1338.8,303,7
2022/7/21,118093,1654,1400.6,337,7
2022/7/22,118093,1705,1443.8,309,7
2022/7/23,118093,1730,1464.9,249,7
2022/7/24,118093,1718,1454.8,208,7
2022/7/25,118093,1697,1437,221,7
2022/7/26,118093,1682,1424.3,290,7
2022/7/27,118093,1409,1193.1,217,7
2022/7/28,118093,1574,1332.8,263,7
2022/7/29,118093,1535,1299.8,227,7
2022/7/30,118093,1497,1267.6,194,7
2022/7/31,118093,1426,1207.5,149,7
2022/8/1,118093,1375,1164.3,174,7
2022/8/2,118093,622,526.7,101,6
2022/8/3,118093,1258,1065.3,213,7
2022/8/4,118093,1171,991.6,159,6
2022/8/5,118093,1116,945,161,6
2022/8/6,118093,513,434.4,115,5
2022/8/7,118093,496,420,88,5
2022/8/8,118093,905,766.3,102,6
2022/8/9,118093,822,696.1,132,6
2022/8/10,118093,749,634.2,104,6
2022/8/11,118093,456,386.1,63,5
2022/8/12,118093,622,526.7,101,6
2022/8/13,118093,428,362.4,76,5
2022/8/14,118093,379,320.9,57,5
2022/8/15,118093,533,451.3,65,5
2022/8/16,118093,513,434.4,115,5
2022/8/17,118093,496,420,88,5
2022/8/18,118093,329,278.6,44,5
2022/8/19,118093,466,394.6,71,5
2022/8/20,118093,323,273.5,63,5
2022/8/21,118093,456,386.1,63,5
2022/8/22,118093,441,373.4,52,5
2022/8/23,118093,428,362.4,76,5
2022/8/24,118093,379,320.9,57,5
2022/8/25,118093,357,302.3,55,5
2022/8/26,118093,352,298.1,55,5
2022/8/27,118093,279,236.3,54,5
2022/8/28,118093,329,278.6,44,5
2022/8/29,118093,315,266.7,37,5
2022/8/30,118093,323,273.5,63,5
2022/8/31,118093,319,270.1,64,5
2022/9/1,118093,310,262.5,53,5
2022/9/2,118093,318,269.3,49,5
2022/9/3,118093,261,221,38,5
2022/9/4,118093,285,241.3,27,5
2022/9/5,118093,292,247.3,44,5
2022/9/6,118093,298,252.3,57,5
2022/9/7,118093,279,236.3,54,5
2022/9/8,118093,261,221,31,5
2022/9/9,118093,261,221,38,5
2022/9/10,118093,261,221,38,5
2022/9/11,118093,261,221,38,5
2022/9/12,118093,261,221,38,5
