date,population,active,rate,new,band
2022/1/1,168201,1144,680.1,182,7
2022/1/2,168201,1556,925.1,164,7
2022/1/3,168201,1426,847.8,153,7
2022/1/4,168201,1347,800.8,163,7
2022/1/5,168201,1250,743.2,188,7
2022/1/6,168201,1206,717,219,7
2022/1/7,168201,1144,680.1,182,7
2022/1/8,168201,1120,665.9,141,7
2022/1/9,168201,1108,658.7,142,7
2022/1/10,168201,1063,632,140,7
2022/1/11,168201,1021,607,112,7
2022/1/12,168201,939,558.3,147,7
2022/1/13,168201,912,542.2,142,7
2022/1/14,168201,643,382.3,100,7
2022/1/15,168201,992,589.8,150,6
2022/1/16,168201,606,360.3,95,6
2022/1/17,168201,540,321,80,6
2022/1/18,168201,542,322.2,77,6
2022/1/19,168201,616,366.2,98,6
2022/1/20,168201,558,331.7,97,6
2022/1/21,168201,546,324.6,93,6
2022/1/22,168201,644,382.9,101,6
2022/1/23,168201,848,504.2,147,6
2022/1/24,168201,571,339.5,77,6
2022/1/25,168201,643,382.3,100,6
2022/1/26,168201,610,362.7,84,6
2022/1/27,168201,615,365.6,100,6
2022/1/28,168201,606,360.3,95,6
2022/1/29,168201,606,360.3,95,6
2022/1/30,168201,859,510.7,115,6
2022/1/31,168201,744,442.3,106,5
2022/2/1,168201,598,355.5,54,5
2022/2/2,168201,674,400.7,180,5
2022/2/3,168201,547,325.2,80,5
2022/2/4,168201,1144,680.1,182,6
2022/2/5,168201,1556,925.1,164,6
2022/2/6,168201,1426,847.8,153,6
2022/2/7,168201,1347,800.8,163,6
2022/2/8,168201,1250,743.2,188,6
2022/2/9,168201,1206,717,219,6
2022/2/10,168201,1144,680.1,182,6
2022/2/11,168201,1120,665.9,141,6
2022/2/12,168201,1108,658.7,142,6
2022/2/13,168201,1063,632,140,6
2022/2/14,168201,1021,607,112,6
2022/2/15,168201,939,558.3,147,6
2022/2/16,168201,912,542.2,142,6
2022/2/17,168201,910,541,159,6
2022/2/18,168201,880,523.2,121,6
2022/2/19,168201,855,508.3,97,6
2022/2/20,168201,827,491.7,94,5
2022/2/21,168201,784,466.1,81,5
2022/2/22,168201,822,488.7,110,5
2022/2/23,168201,724,430.4,113,5
2022/2/24,168201,696,413.8,113,5
2022/2/25,168201,694,412.6,115,5
2022/2/26,168201,688,409,101,5
2022/2/27,168201,672,399.5,56,5
2022/2/28,168201,663,394.2,75,5
2022/3/1,168201,643,382.3,100,5
2022/3/2,168201,610,362.7,84,5
2022/3/3,168201,615,365.6,100,5
