date,population,active,rate,new,band
2022/1/1,258934,1289,497.8,411,5
2022/1/2,258934,2865,1106.5,376,5
2022/1/3,258934,2718,1049.7,308,5
2022/1/4,258934,2647,1022.3,357,5
2022/1/5,258934,2592,1001,487,5
2022/1/6,258934,2543,982.1,465,5
2022/1/7,258934,2509,969,438,5
2022/1/8,258934,2583,997.6,403,5
2022/1/9,258934,2561,989.1,338,5
2022/1/10,258934,2529,976.7,291,5
2022/1/11,258934,2431,938.8,322,5
2022/1/12,258934,2276,879,327,5
2022/1/13,258934,2182,842.7,322,5
2022/1/14,258934,2107,813.7,337,5
2022/1/15,258934,2031,784.4,292,6
2022/1/16,258934,1982,765.4,250,6
2022/1/17,258934,1892,730.7,206,6
2022/1/18,258934,1382,533.7,202,6
2022/1/19,258934,1850,714.5,239,6
2022/1/20,258934,1845,712.5,257,6
2022/1/21,258934,1891,730.3,378,6
2022/1/22,258934,2003,773.6,457,6
2022/1/23,258934,2144,828,462,6
2022/1/24,258934,2272,877.4,433,6
2022/1/25,258934,2369,914.9,393,6
2022/1/26,258934,2406,929.2,302,6
2022/1/27,258934,2483,958.9,360,6
2022/1/28,258934,2561,989.1,338,6
2022/1/29,258934,2529,976.7,291,6
2022/1/30,258934,2431,938.8,322,6
2022/1/31,258934,2276,879,327,6
2022/2/1,258934,2182,842.7,322,5
2022/2/2,258934,1244,480.4,282,5
2022/2/3,258934,1131,436.8,200,5
2022/2/4,258934,2509,969,438,6
2022/2/5,258934,2865,1106.5,376,7
2022/2/6,258934,2718,1049.7,308,7
2022/2/7,258934,2647,1022.3,357,7
2022/2/8,258934,2592,1001,487,7
2022/2/9,258934,2543,982.1,465,6
2022/2/10,258934,2509,969,438,6
2022/2/11,258934,2583,997.6,403,6
2022/2/12,258934,2561,989.1,338,6
2022/2/13,258934,2529,976.7,291,6
2022/2/14,258934,2431,938.8,322,6
2022/2/15,258934,2276,879,327,6
2022/2/16,258934,2182,842.7,322,6
2022/2/17,258934,2107,813.7,337,6
2022/2/18,258934,2031,784.4,292,6
2022/2/19,258934,1982,765.4,250,6
2022/2/20,258934,1892,730.7,206,6
2022/2/21,258934,1804,696.7,225,6
2022/2/22,258934,1886,728.4,272,6
2022/2/23,258934,1667,643.8,285,6
2022/2/24,258934,1613,622.9,238,6
2022/2/25,258934,1556,600.9,215,6
2022/2/26,258934,1539,594.4,227,6
2022/2/27,258934,1565,604.4,210,6
2022/2/28,258934,1518,586.2,190,6
2022/3/1,258934,1450,560,235,6
2022/3/2,258934,1408,543.8,209,6
2022/3/3,258934,1455,561.9,278,6
2022/3/4,258934,1453,561.1,233,6
2022/3/5,258934,1453,561.1,233,6
2022/3/6,258934,1378,532.2,177,6
2022/3/7,258934,1394,538.4,238,6
2022/3/8,258934,1638,632.6,312,6
2022/3/9,258934,1538,594,350,6
2022/3/10,258934,1631,629.9,340,6
2022/3/11,258934,1954,754.6,328,6
2022/3/12,258934,2517,972.1,447,6
2022/3/13,258934,1850,714.5,239,6
2022/3/14,258934,1845,712.5,257,6
2022/3/15,258934,1891,730.3,378,6
2022/3/16,258934,2003,773.6,457,6
2022/3/17,258934,2144,828,462,6
2022/3/18,258934,2272,877.4,433,6
2022/3/19,258934,2369,914.9,393,6
2022/3/20,258934,2406,929.2,302,6
2022/3/21,258934,2483,958.9,360,6
2022/3/22,258934,2517,972.1,447,6
2022/3/23,258934,2465,952,459,6
2022/3/24,258934,2463,951.2,447,6
2022/3/25,258934,2452,947,419,6
2022/3/26,258934,2505,967.4,378,6
2022/3/27,258934,2541,981.3,367,6
2022/3/28,258934,2566,991,390,6
2022/3/29,258934,2557,987.5,471,6
2022/3/30,258934,2623,1013,539,7
2022/3/31,258934,2580,996.4,449,6
2022/4/1,258934,2716,1048.9,475,7
2022/4/2,258934,2721,1050.8,416,7
2022/4/3,258934,2737,1057,380,7
2022/4/4,258934,2760,1065.9,483,7
2022/4/5,258934,2736,1056.6,565,7
2022/4/6,258934,2290,884.4,458,6
2022/4/7,258934,2763,1067.1,520,7
2022/4/8,258934,2746,1060.5,459,7
2022/4/9,258934,2768,1069,447,7
2022/4/10,258934,2844,1098.3,423,7
2022/4/11,258934,2753,1063.2,389,7
2022/4/12,258934,2526,975.5,404,6
2022/4/13,258934,2448,945.4,438,6
2022/4/14,258934,2296,886.7,377,6
2022/4/15,258934,2236,863.5,377,6
2022/4/16,258934,2290,884.4,458,6
2022/4/17,258934,2357,910.3,361,6
2022/4/18,258934,2154,831.9,302,6
2022/4/19,258934,2121,819.1,378,6
2022/4/20,258934,2176,840.4,479,6
2022/4/21,258934,2248,868.2,446,6
2022/4/22,258934,2273,877.8,408,6
2022/4/23,258934,2306,890.6,365,6
2022/4/24,258934,2300,888.3,310,6
2022/4/25,258934,2325,897.9,347,6
2022/4/26,258934,2329,899.5,445,6
2022/4/27,258934,2218,856.6,405,6
2022/4/28,258934,2223,858.5,477,6
2022/4/29,258934,2317,894.8,473,6
2022/4/30,258934,2304,889.8,344,6
2022/5/1,258934,2299,887.9,290,6
2022/5/2,258934,2979,1150.5,613,7
2022/5/3,258934,2411,931.1,474,6
2022/5/4,258934,2399,926.5,482,6
2022/5/5,258934,2446,944.6,480,6
2022/5/6,258934,2470,953.9,420,6
2022/5/7,258934,2566,991,398,6
2022/5/8,258934,2599,1003.7,358,7
2022/5/9,258934,2677,1033.9,473,7
2022/5/10,258934,2736,1056.6,536,7
2022/5/11,258934,3598,1389.5,570,7
2022/5/12,258934,2979,1150.5,613,7
2022/5/13,258934,3385,1307.3,439,7
2022/5/14,258934,3371,1301.9,580,7
2022/5/15,258934,3475,1342,492,7
2022/5/16,258934,2470,953.9,420,6
2022/5/17,258934,3573,1379.9,631,7
2022/5/18,258934,3526,1361.7,456,7
2022/5/19,258934,3567,1377.6,600,7
2022/5/20,258934,3576,1381,595,7
2022/5/21,258934,3598,1389.5,570,7
2022/5/22,258934,3505,1353.6,429,7
2022/5/23,258934,3385,1307.3,439,7
2022/5/24,258934,3371,1301.9,580,7
2022/5/25,258934,3373,1302.6,734,7
2022/5/26,258934,2470,953.9,420,6
2022/5/27,258934,3597,1389.2,712,7
2022/5/28,258934,3526,1361.7,456,7
2022/5/29,258934,3475,1342,426,7
2022/5/30,258934,3413,1318.1,493,7
2022/5/31,258934,3197,1234.7,518,7
2022/6/1,258934,3082,1190.3,501,7
2022/6/2,258934,3116,1203.4,648,7
2022/6/3,258934,3051,1178.3,428,7
2022/6/4,258934,3132,1209.6,532,7
2022/6/5,258934,3051,1178.3,428,7
2022/6/6,258934,2279,880.1,490,6
2022/6/7,258934,2778,1072.9,486,7
2022/6/8,258934,2398,926.1,368,6
2022/6/9,258934,2422,935.4,316,6
2022/6/10,258934,2763,1067.1,504,7
2022/6/11,258934,2618,1011.1,362,7
2022/6/12,258934,2347,906.4,423,6
2022/6/13,258934,2320,896,420,6
2022/6/14,258934,2355,909.5,434,6
2022/6/15,258934,2193,846.9,498,6
2022/6/16,258934,2279,880.1,490,6
2022/6/17,258934,2379,918.8,478,6
2022/6/18,258934,2398,926.1,368,6
2022/6/19,258934,2422,935.4,316,6
2022/6/20,258934,2413,931.9,317,6
2022/6/21,258934,2420,934.6,378,6
2022/6/22,258934,2347,906.4,423,6
2022/6/23,258934,2320,896,420,6
2022/6/24,258934,2355,909.5,434,6
2022/6/25,258934,2351,908,355,6
2022/6/26,258934,2364,913,337,6
2022/6/27,258934,2364,913,340,6
2022/6/28,258934,2346,906,372,6
2022/6/29,258934,2400,926.9,564,6
2022/6/30,258934,2504,967,594,6
2022/7/1,258934,2387,921.9,426,6
2022/7/2,258934,2356,909.9,314,6
2022/7/3,258934,2454,947.7,454,6
2022/7/4,258934,2441,942.7,337,6
2022/7/5,258934,2420,934.6,395,6
2022/7/6,258934,2419,934.2,443,6
2022/7/7,258934,2354,909.1,477,6
2022/7/8,258934,2447,945,506,6
2022/7/9,258934,2476,956.2,405,6
2022/7/10,258934,2831,1093.3,546,7
2022/7/11,258934,2479,957.4,366,6
2022/7/12,258934,2978,1150.1,517,7
2022/7/13,258934,2930,1131.6,430,7
2022/7/14,258934,2589,999.9,485,6
2022/7/15,258934,2655,1025.4,492,7
2022/7/16,258934,2750,1062,470,7
2022/7/17,258934,2827,1091.8,397,7
2022/7/18,258934,2805,1083.3,395,7
2022/7/19,258934,2775,1071.7,484,7
2022/7/20,258934,2831,1093.3,546,7
2022/7/21,258934,2939,1135,658,7
2022/7/22,258934,2978,1150.1,517,7
2022/7/23,258934,2930,1131.6,430,7
