date,population,active,rate,new,band
2022/1/1,66498,280,421.1,136,5
2022/1/2,66498,533,801.5,103,5
2022/1/3,66498,501,753.4,59,5
2022/1/4,66498,481,723.3,71,5
2022/1/5,66498,463,696.3,60,5
2022/1/6,66498,469,705.3,52,5
2022/1/7,66498,463,696.3,64,5
2022/1/8,66498,448,673.7,74,5
2022/1/9,66498,412,619.6,59,5
2022/1/10,66498,427,642.1,69,5
2022/1/11,66498,436,655.7,79,5
2022/1/12,66498,436,655.7,79,5
2022/1/13,66498,405,609,60,5
2022/1/14,66498,387,582,40,5
2022/1/15,66498,427,642.1,49,6
2022/1/16,66498,354,532.3,53,6
2022/1/17,66498,333,500.8,56,6
2022/1/18,66498,333,500.8,56,6
2022/1/19,66498,386,580.5,61,6
2022/1/20,66498,393,591,58,6
2022/1/21,66498,407,612,58,6
2022/1/22,66498,407,612,66,6
2022/1/23,66498,417,627.1,91,6
2022/1/24,66498,402,604.5,41,6
2022/1/25,66498,402,604.5,73,6
2022/1/26,66498,440,661.7,89,6
2022/1/27,66498,434,652.7,65,6
2022/1/28,66498,333,500.8,56,6
2022/1/29,66498,880,1323.3,85,6
2022/1/30,66498,327,491.7,61,5
2022/1/31,66498,293,440.6,17,5
2022/2/1,66498,267,401.5,44,5
2022/2/2,66498,382,574.5,187,6
2022/2/3,66498,223,335.3,65,5
2022/2/4,66498,719,1081.2,109,7
2022/2/5,66498,895,1345.9,99,7
2022/2/6,66498,880,1323.3,85,7
2022/2/7,66498,870,1308.3,109,7
2022/2/8,66498,854,1284.2,146,7
2022/2/9,66498,777,1168.5,126,7
2022/2/10,66498,719,1081.2,109,7
2022/2/11,66498,720,1082.7,111,7
2022/2/12,66498,711,1069.2,94,7
2022/2/13,66498,687,1033.1,87,7
2022/2/14,66498,686,1031.6,108,7
2022/2/15,66498,670,1007.5,117,7
2022/2/16,66498,666,1001.5,114,7
2022/2/17,66498,704,1058.7,134,7
2022/2/18,66498,667,1003,64,7
2022/2/19,66498,681,1024.1,106,7
2022/2/20,66498,631,948.9,39,6
2022/2/21,66498,604,908.3,72,6
2022/2/22,66498,611,918.8,79,6
2022/2/23,66498,533,801.5,103,6
2022/2/24,66498,501,753.4,59,6
2022/2/25,66498,481,723.3,71,6
2022/2/26,66498,463,696.3,60,6
2022/2/27,66498,469,705.3,52,6
2022/2/28,66498,463,696.3,64,6
2022/3/1,66498,448,673.7,74,6
2022/3/2,66498,412,619.6,59,6
2022/3/3,66498,427,642.1,69,6
2022/3/4,66498,436,655.7,79,6
