date,population,active,rate,new,band
2022/1/1,15975,54,338,19,5
2022/1/2,15975,99,619.7,12,5
2022/1/3,15975,123,770,22,5
2022/1/4,15975,114,713.6,13,5
2022/1/5,15975,111,694.8,9,5
2022/1/6,15975,92,575.9,14,5
2022/1/7,15975,101,632.2,22,5
2022/1/8,15975,99,619.7,12,5
2022/1/9,15975,99,619.7,19,5
2022/1/10,15975,92,575.9,9,5
2022/1/11,15975,96,600.9,15,5
2022/1/12,15975,95,594.7,10,5
2022/1/13,15975,99,619.7,19,5
2022/1/14,15975,105,657.3,21,5
2022/1/15,15975,94,588.4,7,5
2022/1/16,15975,80,500.8,14,5
2022/1/17,15975,94,588.4,23,5
2022/1/18,15975,87,544.6,14,5
2022/1/19,15975,88,550.9,12,5
2022/1/20,15975,88,550.9,11,5
2022/1/21,15975,90,563.4,10,5
2022/1/22,15975,99,619.7,22,5
2022/1/23,15975,101,632.2,20,5
2022/1/24,15975,91,569.6,10,5
2022/1/25,15975,105,657.3,27,5
2022/1/26,15975,123,770,11,5
2022/1/27,15975,95,594.7,16,5
2022/1/28,15975,106,663.5,24,5
2022/1/29,15975,93,582.2,15,5
2022/1/30,15975,90,563.4,7,5
2022/1/31,15975,47,294.2,5,5
2022/2/1,15975,35,219.1,2,5
2022/2/2,15975,42,262.9,14,5
2022/2/3,15975,35,219.1,1,5
2022/2/4,15975,99,619.7,12,6
2022/2/5,15975,123,770,22,6
2022/2/6,15975,114,713.6,13,6
2022/2/7,15975,111,694.8,9,6
2022/2/8,15975,92,575.9,14,6
2022/2/9,15975,101,632.2,22,6
2022/2/10,15975,99,619.7,12,6
2022/2/11,15975,99,619.7,19,6
2022/2/12,15975,92,575.9,9,6
2022/2/13,15975,96,600.9,15,6
2022/2/14,15975,95,594.7,10,6
2022/2/15,15975,99,619.7,19,6
2022/2/16,15975,105,657.3,21,6
2022/2/17,15975,94,588.4,7,6
2022/2/18,15975,86,538.3,13,6
2022/2/19,15975,81,507,7,6
2022/2/20,15975,78,488.3,7,5
2022/2/21,15975,84,525.8,14,6
2022/2/22,15975,88,550.9,15,6
2022/2/23,15975,75,469.5,13,5
2022/2/24,15975,74,463.2,10,5
2022/2/25,15975,82,513.3,15,6
2022/2/26,15975,92,575.9,17,6
2022/2/27,15975,94,588.4,12,6
2022/2/28,15975,83,519.6,6,6
2022/3/1,15975,85,532.1,16,6
2022/3/2,15975,83,519.6,14,6
2022/3/3,15975,74,463.2,10,5
2022/3/4,15975,76,475.7,11,5
2022/3/5,15975,76,475.7,11,5
2022/3/6,15975,64,400.6,5,5
2022/3/7,15975,62,388.1,8,5
2022/3/8,15975,77,482,19,5
2022/3/9,15975,72,450.7,15,5
2022/3/10,15975,77,482,17,5
2022/3/11,15975,92,575.9,16,6
2022/3/12,15975,99,619.7,22,6
2022/3/13,15975,93,582.2,14,6
2022/3/14,15975,89,557.1,10,6
2022/3/15,15975,89,557.1,17,6
2022/3/16,15975,80,500.8,14,6
2022/3/17,15975,94,588.4,23,6
2022/3/18,15975,87,544.6,14,6
2022/3/19,15975,88,550.9,12,6
2022/3/20,15975,88,550.9,11,6
2022/3/21,15975,90,563.4,10,6
2022/3/22,15975,99,619.7,22,6
2022/3/23,15975,101,632.2,20,6
2022/3/24,15975,91,569.6,10,6
2022/3/25,15975,105,657.3,27,6
2022/3/26,15975,114,713.6,23,6
2022/3/27,15975,118,738.7,15,6
2022/3/28,15975,128,801.3,30,6
2022/3/29,15975,134,838.8,24,6
2022/3/30,15975,146,913.9,29,6
2022/3/31,15975,143,895.1,22,6
2022/4/1,15975,146,913.9,24,6
2022/4/2,15975,145,907.7,15,6
2022/4/3,15975,147,920.2,14,6
2022/4/4,15975,134,838.8,20,6
2022/4/5,15975,135,845.1,28,6
2022/4/6,15975,143,895.1,13,6
2022/4/7,15975,130,813.8,23,6
2022/4/8,15975,140,876.4,26,6
2022/4/9,15975,137,857.6,19,6
2022/4/10,15975,137,857.6,19,6
2022/4/11,15975,134,838.8,24,6
2022/4/12,15975,126,788.7,17,6
2022/4/13,15975,123,770,20,6
2022/4/14,15975,129,807.5,23,6
2022/4/15,15975,143,895.1,39,6
2022/4/16,15975,143,895.1,13,6
2022/4/17,15975,130,813.8,21,6
2022/4/18,15975,123,770,11,6
2022/4/19,15975,124,776.2,21,6
2022/4/20,15975,121,757.4,18,6
2022/4/21,15975,121,757.4,34,6
2022/4/22,15975,122,763.7,21,6
2022/4/23,15975,122,763.7,15,6
2022/4/24,15975,121,757.4,17,6
2022/4/25,15975,119,744.9,17,6
2022/4/26,15975,116,726.1,19,6
2022/4/27,15975,119,744.9,29,6
2022/4/28,15975,110,688.6,16,6
2022/4/29,15975,108,676.1,23,6
2022/4/30,15975,112,701.1,20,6
2022/5/1,15975,129,807.5,26,6
2022/5/2,15975,212,1327.1,51,7
2022/5/3,15975,140,876.4,23,6
2022/5/4,15975,152,951.5,36,6
2022/5/5,15975,154,964,24,6
2022/5/6,15975,153,957.7,21,6
2022/5/7,15975,162,1014.1,26,7
2022/5/8,15975,162,1014.1,24,7
2022/5/9,15975,160,1001.6,26,7
2022/5/10,15975,169,1057.9,38,7
2022/5/11,15975,198,1239.4,36,7
2022/5/12,15975,212,1327.1,51,7
2022/5/13,15975,176,1101.7,16,7
2022/5/14,15975,243,1521.1,42,7
2022/5/15,15975,246,1539.9,28,7
2022/5/16,15975,153,957.7,21,6
2022/5/17,15975,225,1408.5,30,7
2022/5/18,15975,179,1120.5,19,7
2022/5/19,15975,199,1245.7,37,7
2022/5/20,15975,207,1295.8,36,7
2022/5/21,15975,198,1239.4,36,7
2022/5/22,15975,191,1195.6,23,7
2022/5/23,15975,176,1101.7,16,7
2022/5/24,15975,243,1521.1,42,7
2022/5/25,15975,184,1151.8,36,7
2022/5/26,15975,153,957.7,21,6
2022/5/27,15975,189,1183.1,40,7
2022/5/28,15975,179,1120.5,19,7
2022/5/29,15975,182,1139.3,27,7
2022/5/30,15975,183,1145.5,28,7
2022/5/31,15975,163,1020.3,16,7
2022/6/1,15975,158,989,34,6
2022/6/2,15975,145,907.7,14,6
2022/6/3,15975,123,770,11,6
2022/6/4,15975,133,832.6,20,6
2022/6/5,15975,123,770,11,6
2022/6/6,15975,95,594.7,16,6
2022/6/7,15975,106,663.5,24,6
2022/6/8,15975,93,582.2,15,6
2022/6/9,15975,90,563.4,7,6
2022/6/10,15975,118,738.7,22,6
2022/6/11,15975,106,663.5,10,6
2022/6/12,15975,91,569.6,23,6
2022/6/13,15975,95,594.7,14,6
2022/6/14,15975,109,682.3,24,6
2022/6/15,15975,94,588.4,21,6
2022/6/16,15975,95,594.7,16,6
2022/6/17,15975,97,607.2,14,6
2022/6/18,15975,93,582.2,15,6
2022/6/19,15975,90,563.4,7,6
2022/6/20,15975,90,563.4,17,6
2022/6/21,15975,94,588.4,20,6
2022/6/22,15975,91,569.6,23,6
2022/6/23,15975,95,594.7,14,6
2022/6/24,15975,109,682.3,24,6
2022/6/25,15975,109,682.3,12,6
2022/6/26,15975,116,726.1,14,6
2022/6/27,15975,114,713.6,18,6
2022/6/28,15975,116,726.1,23,6
2022/6/29,15975,157,982.8,59,6
2022/6/30,15975,114,713.6,14,6
2022/7/1,15975,111,694.8,24,6
2022/7/2,15975,109,682.3,13,6
2022/7/3,15975,107,669.8,17,6
2022/7/4,15975,98,613.5,14,6
2022/7/5,15975,95,594.7,12,6
2022/7/6,15975,91,569.6,17,6
2022/7/7,15975,87,544.6,17,6
2022/7/8,15975,89,557.1,19,6
2022/7/9,15975,95,594.7,26,6
2022/7/10,15975,154,964,30,6
2022/7/11,15975,101,632.2,12,6
2022/7/12,15975,169,1057.9,26,7
2022/7/13,15975,171,1070.4,23,7
2022/7/14,15975,125,782.5,19,6
2022/7/15,15975,123,770,24,6
2022/7/16,15975,114,713.6,20,6
2022/7/17,15975,129,807.5,24,6
2022/7/18,15975,133,832.6,20,6
2022/7/19,15975,147,920.2,34,6
2022/7/20,15975,154,964,30,6
2022/7/21,15975,167,1045.4,37,7
2022/7/22,15975,169,1057.9,26,7
2022/7/23,15975,171,1070.4,23,7
2022/7/24,15975,175,1095.5,33,7
2022/7/25,15975,169,1057.9,16,7
2022/7/26,15975,150,939,17,6
2022/7/27,15975,129,807.5,24,6
2022/7/28,15975,132,826.3,20,6
2022/7/29,15975,146,913.9,32,6
