date,population,active,rate,new,band
2022/1/1,5588,13,232.6,5,5
2022/1/2,5588,35,626.3,2,5
2022/1/3,5588,33,590.6,7,5
2022/1/4,5588,29,519,5,5
2022/1/5,5588,27,483.2,3,5
2022/1/6,5588,25,447.4,4,5
2022/1/7,5588,27,483.2,7,5
2022/1/8,5588,25,447.4,1,5
2022/1/9,5588,13,232.6,5,5
2022/1/10,5588,33,590.6,5,5
2022/1/11,5588,36,644.2,8,5
2022/1/12,5588,38,680,2,5
2022/1/13,5588,18,322.1,2,5
2022/1/14,5588,23,411.6,1,5
2022/1/15,5588,29,519,7,6
2022/1/16,5588,27,483.2,3,6
2022/1/17,5588,20,357.9,1,6
2022/1/18,5588,18,322.1,4,6
2022/1/19,5588,19,340,1,6
2022/1/20,5588,19,340,4,6
2022/1/21,5588,31,554.8,5,6
2022/1/22,5588,44,787.4,8,6
2022/1/23,5588,43,769.5,5,6
2022/1/24,5588,44,787.4,12,6
2022/1/25,5588,43,769.5,6,6
2022/1/26,5588,41,733.7,5,6
2022/1/27,5588,41,733.7,9,6
2022/1/28,5588,37,662.1,2,6
2022/1/29,5588,38,680,6,6
2022/1/30,5588,33,590.6,3,6
2022/1/31,5588,30,536.9,9,6
2022/2/1,5588,28,501.1,3,6
2022/2/2,5588,26,465.3,6,5
2022/2/3,5588,22,393.7,1,5
2022/2/4,5588,27,483.2,3,5
2022/2/5,5588,33,590.6,10,6
2022/2/6,5588,38,680,5,6
2022/2/7,5588,35,626.3,2,6
2022/2/8,5588,33,590.6,7,6
2022/2/9,5588,29,519,5,6
2022/2/10,5588,27,483.2,3,5
2022/2/11,5588,25,447.4,4,5
2022/2/12,5588,27,483.2,7,5
2022/2/13,5588,25,447.4,1,5
2022/2/14,5588,24,429.5,0,5
2022/2/15,5588,17,304.2,2,5
2022/2/16,5588,24,429.5,10,5
2022/2/17,5588,27,483.2,4,5
2022/2/18,5588,25,447.4,3,5
2022/2/19,5588,20,357.9,1,5
2022/2/20,5588,21,375.8,1,5
2022/2/21,5588,24,429.5,3,5
2022/2/22,5588,22,393.7,1,5
2022/2/23,5588,17,304.2,4,5
2022/2/24,5588,14,250.5,4,5
2022/2/25,5588,16,286.3,2,5
2022/2/26,5588,18,322.1,3,5
2022/2/27,5588,21,375.8,3,5
2022/2/28,5588,23,411.6,5,5
2022/3/1,5588,24,429.5,4,5
2022/3/2,5588,26,465.3,6,5
2022/3/3,5588,33,590.6,12,6
2022/3/4,5588,44,787.4,14,6
2022/3/5,5588,44,787.4,14,6
2022/3/6,5588,45,805.3,4,6
2022/3/7,5588,43,769.5,2,6
2022/3/8,5588,47,841.1,6,6
2022/3/9,5588,33,590.6,5,6
2022/3/10,5588,36,644.2,8,6
2022/3/11,5588,38,680,2,6
2022/3/12,5588,18,322.1,2,5
2022/3/13,5588,23,411.6,1,5
2022/3/14,5588,29,519,7,6
2022/3/15,5588,27,483.2,3,5
2022/3/16,5588,20,357.9,1,5
2022/3/17,5588,18,322.1,4,5
2022/3/18,5588,19,340,1,5
2022/3/19,5588,19,340,4,5
2022/3/20,5588,20,357.9,3,5
2022/3/21,5588,19,340,4,5
2022/3/22,5588,18,322.1,2,5
2022/3/23,5588,19,340,2,5
2022/3/24,5588,18,322.1,2,5
2022/3/25,5588,19,340,5,5
2022/3/26,5588,21,375.8,4,5
2022/3/27,5588,19,340,0,5
2022/3/28,5588,18,322.1,0,5
2022/3/29,5588,17,304.2,2,5
2022/3/30,5588,17,304.2,1,5
2022/3/31,5588,13,232.6,0,5
2022/4/1,5588,15,268.4,6,5
2022/4/2,5588,12,214.7,4,5
2022/4/3,5588,21,375.8,8,5
2022/4/4,5588,27,483.2,6,5
2022/4/5,5588,30,536.9,7,6
2022/4/6,5588,37,662.1,2,6
2022/4/7,5588,43,769.5,10,6
2022/4/8,5588,45,805.3,6,6
2022/4/9,5588,43,769.5,2,6
2022/4/10,5588,44,787.4,8,6
2022/4/11,5588,43,769.5,5,6
2022/4/12,5588,44,787.4,12,6
2022/4/13,5588,43,769.5,6,6
2022/4/14,5588,41,733.7,5,6
2022/4/15,5588,41,733.7,9,6
2022/4/16,5588,37,662.1,2,6
2022/4/17,5588,38,680,6,6
2022/4/18,5588,33,590.6,3,6
2022/4/19,5588,30,536.9,9,6
2022/4/20,5588,35,626.3,10,6
2022/4/21,5588,37,662.1,8,6
2022/4/22,5588,40,715.8,9,6
