date,population,active,rate,new,band
2022/1/1,97751,888,1269.6,181,7
2022/1/2,97751,771,788.7,108,7
2022/1/3,97751,772,789.8,158,7
2022/1/4,97751,803,821.5,194,7
2022/1/5,97751,836,855.2,169,7
2022/1/6,97751,869,889,155,7
2022/1/7,97751,911,932,137,7
2022/1/8,97751,945,966.7,133,7
2022/1/9,97751,963,985.2,144,7
2022/1/10,97751,935,956.5,176,7
2022/1/11,97751,838,857.3,131,7
2022/1/12,97751,891,911.5,170,7
2022/1/13,97751,905,925.8,164,7
2022/1/14,97751,904,924.8,158,7
2022/1/15,97751,924,945.3,137,6
2022/1/16,97751,963,951.4,136,6
2022/1/17,97751,935,616.9,85,6
2022/1/18,97751,838,1163.2,198,6
2022/1/19,97751,891,941.2,110,6
2022/1/20,97751,905,1158,181,6
2022/1/21,97751,1156,1182.6,189,6
2022/1/22,97751,1149,1175.4,172,6
2022/1/23,97751,1132,1158,126,6
2022/1/24,97751,1077,1101.8,133,6
2022/1/25,97751,1073,1097.7,189,6
2022/1/26,97751,980,1002.5,186,6
2022/1/27,97751,867,886.9,176,6
2022/1/28,97751,960,982.1,205,6
2022/1/29,97751,603,616.9,85,6
2022/1/30,97751,551,563.7,52,6
2022/1/31,97751,517,528.9,55,6
2022/2/1,97751,477,488,75,5
2022/2/2,97751,455,465.5,90,5
2022/2/3,97751,412,421.5,89,5
2022/2/4,97751,647,661.9,106,6
2022/2/5,97751,830,849.1,105,6
2022/2/6,97751,790,808.2,95,6
2022/2/7,97751,748,765.2,80,6
2022/2/8,97751,735,751.9,108,6
2022/2/9,97751,680,695.6,111,6
2022/2/10,97751,647,661.9,106,6
2022/2/11,97751,650,665,102,6
2022/2/12,97751,634,648.6,77,6
2022/2/13,97751,625,639.4,83,6
2022/2/14,97751,633,647.6,71,6
2022/2/15,97751,597,610.7,101,6
2022/2/16,97751,587,600.5,103,6
2022/2/17,97751,580,593.3,95,6
2022/2/18,97751,544,556.5,65,6
2022/2/19,97751,555,567.8,77,6
2022/2/20,97751,528,540.1,48,6
2022/2/21,97751,493,504.3,48,6
2022/2/22,97751,505,516.6,67,6
2022/2/23,97751,410,419.4,73,5
2022/2/24,97751,415,424.5,73,5
2022/2/25,97751,422,431.7,65,5
2022/2/26,97751,420,429.7,57,5
2022/2/27,97751,440,450.1,63,5
2022/2/28,97751,443,453.2,66,5
2022/3/1,97751,462,472.6,88,5
2022/3/2,97751,477,488,89,5
2022/3/3,97751,498,509.5,79,6
2022/3/4,97751,489,500.3,64,6
2022/3/5,97751,489,500.3,64,6
2022/3/6,97751,467,477.7,60,5
2022/3/7,97751,478,489,78,5
2022/3/8,97751,556,568.8,95,6
2022/3/9,97751,459,469.6,71,5
2022/3/10,97751,459,469.6,94,5
2022/3/11,97751,537,549.4,78,6
2022/3/12,97751,827,846,137,6
2022/3/13,97751,483,494.1,52,5
2022/3/14,97751,467,477.7,69,5
2022/3/15,97751,491,502.3,109,6
2022/3/16,97751,587,600.5,170,6
2022/3/17,97751,650,665,155,6
2022/3/18,97751,709,725.3,144,6
2022/3/19,97751,750,767.3,116,6
2022/3/20,97751,778,795.9,106,6
2022/3/21,97751,814,832.7,108,6
2022/3/22,97751,827,846,137,6
2022/3/23,97751,786,804.1,136,6
2022/3/24,97751,782,800,144,6
2022/3/25,97751,798,816.4,138,6
2022/3/26,97751,781,799,89,6
2022/3/27,97751,767,784.6,98,6
2022/3/28,97751,771,788.7,108,6
2022/3/29,97751,772,789.8,158,6
2022/3/30,97751,803,821.5,194,6
2022/3/31,97751,836,855.2,169,6
2022/4/1,97751,869,889,155,6
2022/4/2,97751,911,932,137,6
2022/4/3,97751,945,966.7,133,6
2022/4/4,97751,963,985.2,144,6
2022/4/5,97751,935,956.5,176,6
2022/4/6,97751,838,857.3,131,6
2022/4/7,97751,891,911.5,170,6
2022/4/8,97751,905,925.8,164,6
2022/4/9,97751,904,924.8,158,6
2022/4/10,97751,924,945.3,137,6
2022/4/11,97751,930,951.4,136,6
2022/4/12,97751,890,910.5,161,6
2022/4/13,97751,870,890,151,6
2022/4/14,97751,868,888,151,6
2022/4/15,97751,845,864.4,141,6
2022/4/16,97751,838,857.3,131,6
2022/4/17,97751,808,826.6,96,6
2022/4/18,97751,818,836.8,128,6
2022/4/19,97751,759,776.5,126,6
2022/4/20,97751,784,802,171,6
2022/4/21,97751,803,821.5,153,6
2022/4/22,97751,788,806.1,139,6
2022/4/23,97751,796,814.3,110,6
2022/4/24,97751,800,818.4,114,6
2022/4/25,97751,759,776.5,90,6
2022/4/26,97751,737,754,119,6
