date,population,active,rate,new,band
2022/1/1,19921,147,737.9,35,4
2022/1/2,19921,162,813.2,37,4
2022/1/3,19921,202,1014,58,4
2022/1/4,19921,239,1199.7,51,4
2022/1/5,19921,257,1290.1,40,4
2022/1/6,19921,281,1410.6,41,4
2022/1/7,19921,310,1556.1,49,4
2022/1/8,19921,290,1455.8,38,4
2022/1/9,19921,286,1435.7,40,4
2022/1/10,19921,259,1300.1,38,4
2022/1/11,19921,247,1239.9,33,4
2022/1/12,19921,228,1144.5,22,4
2022/1/13,19921,134,672.7,20,4
2022/1/14,19921,131,657.6,19,4
2022/1/15,19921,132,662.6,19,6
2022/1/16,19921,144,722.9,31,6
2022/1/17,19921,147,737.9,24,6
2022/1/18,19921,137,687.7,21,6
2022/1/19,19921,134,672.7,20,6
2022/1/20,19921,145,727.9,31,6
2022/1/21,19921,146,732.9,20,6
2022/1/22,19921,141,707.8,14,6
2022/1/23,19921,173,868.4,35,6
2022/1/24,19921,194,973.8,27,6
2022/1/25,19921,179,898.5,30,6
2022/1/26,19921,185,928.7,31,6
2022/1/27,19921,214,1074.2,29,6
2022/1/28,19921,121,607.4,8,6
2022/1/29,19921,175,878.5,20,6
2022/1/30,19921,156,783.1,17,6
2022/1/31,19921,151,758,19,6
2022/2/1,19921,145,727.9,23,5
2022/2/2,19921,85,426.7,12,5
2022/2/3,19921,79,396.6,6,5
2022/2/4,19921,134,672.7,20,6
2022/2/5,19921,131,657.6,19,6
2022/2/6,19921,132,662.6,19,6
2022/2/7,19921,144,722.9,31,6
2022/2/8,19921,147,737.9,24,6
2022/2/9,19921,137,687.7,21,6
2022/2/10,19921,134,672.7,20,6
2022/2/11,19921,145,727.9,31,6
2022/2/12,19921,146,732.9,20,6
2022/2/13,19921,141,707.8,14,6
2022/2/14,19921,135,677.7,14,6
2022/2/15,19921,139,697.8,31,6
2022/2/16,19921,147,737.9,35,6
2022/2/17,19921,162,813.2,37,6
2022/2/18,19921,202,1014,58,7
2022/2/19,19921,239,1199.7,51,7
2022/2/20,19921,257,1290.1,40,7
2022/2/21,19921,281,1410.6,41,7
2022/2/22,19921,310,1556.1,49,7
2022/2/23,19921,290,1455.8,38,7
2022/2/24,19921,286,1435.7,40,7
2022/2/25,19921,259,1300.1,38,7
2022/2/26,19921,247,1239.9,33,7
2022/2/27,19921,228,1144.5,22,7
2022/2/28,19921,217,1089.3,23,7
2022/3/1,19921,193,968.8,21,6
2022/3/2,19921,183,918.6,25,6
2022/3/3,19921,167,838.3,27,6
2022/3/4,19921,165,828.3,32,6
2022/3/5,19921,165,828.3,32,6
2022/3/6,19921,159,798.2,24,6
2022/3/7,19921,173,868.4,35,6
2022/3/8,19921,194,973.8,27,6
2022/3/9,19921,179,898.5,30,6
2022/3/10,19921,185,928.7,31,6
2022/3/11,19921,214,1074.2,29,7
2022/3/12,19921,121,607.4,8,6
2022/3/13,19921,175,878.5,20,6
2022/3/14,19921,156,783.1,17,6
2022/3/15,19921,151,758,19,6
2022/3/16,19921,145,727.9,23,6
2022/3/17,19921,136,682.7,22,6
2022/3/18,19921,137,687.7,27,6
2022/3/19,19921,133,667.6,25,6
2022/3/20,19921,130,652.6,12,6
2022/3/21,19921,131,657.6,20,6
2022/3/22,19921,121,607.4,8,6
2022/3/23,19921,121,607.4,26,6
2022/3/24,19921,101,507,13,6
2022/3/25,19921,101,507,18,6
2022/3/26,19921,104,522.1,20,6
2022/3/27,19921,102,512,11,6
2022/3/28,19921,97,486.9,12,5
2022/3/29,19921,95,476.9,16,5
2022/3/30,19921,88,441.7,13,5
2022/3/31,19921,93,466.8,19,5
2022/4/1,19921,103,517,24,6
2022/4/2,19921,107,537.1,18,6
2022/4/3,19921,109,547.2,15,6
2022/4/4,19921,115,577.3,27,6
2022/4/5,19921,110,552.2,17,6
2022/4/6,19921,286,1435.7,52,7
2022/4/7,19921,138,692.7,33,6
2022/4/8,19921,155,778.1,42,6
2022/4/9,19921,179,898.5,42,6
2022/4/10,19921,201,1009,31,7
2022/4/11,19921,242,1214.8,58,7
2022/4/12,19921,235,1179.7,46,7
2022/4/13,19921,254,1275,54,7
2022/4/14,19921,259,1300.1,45,7
2022/4/15,19921,267,1340.3,52,7
2022/4/16,19921,286,1435.7,52,7
2022/4/17,19921,287,1440.7,37,7
