date,population,active,rate,new,band
2022/1/1,233471,3243,1389,1204,7
2022/1/2,233471,1443,618.1,260,7
2022/1/3,233471,1467,628.3,254,7
2022/1/4,233471,1473,630.9,212,7
2022/1/5,233471,1489,637.8,219,7
2022/1/6,233471,1507,645.5,221,7
2022/1/7,233471,1533,656.6,279,7
2022/1/8,233471,1549,663.5,302,7
2022/1/9,233471,1627,696.9,339,7
2022/1/10,233471,1699,727.7,300,7
2022/1/11,233471,1660,711,226,7
2022/1/12,233471,1784,764.1,308,7
2022/1/13,233471,1783,763.7,250,7
2022/1/14,233471,3243,1389,1204,7
2022/1/15,233471,2023,866.5,331,6
2022/1/16,233471,1471,630.1,323,6
2022/1/17,233471,1557,666.9,294,6
2022/1/18,233471,1592,681.9,209,6
2022/1/19,233471,1908,817.2,351,6
2022/1/20,233471,1601,685.7,265,6
2022/1/21,233471,1600,685.3,293,6
2022/1/22,233471,1668,714.4,357,6
2022/1/23,233471,1709,732,305,6
2022/1/24,233471,1668,714.4,244,6
2022/1/25,233471,1739,744.8,267,6
2022/1/26,233471,1805,773.1,282,6
2022/1/27,233471,1832,784.7,329,6
2022/1/28,233471,2097,898.2,305,6
2022/1/29,233471,1908,817.2,351,6
2022/1/30,233471,1912,818.9,262,6
2022/1/31,233471,1820,779.5,230,6
2022/2/1,233471,1754,751.3,317,6
2022/2/2,233471,1871,801.4,527,6
2022/2/3,233471,1529,654.9,442,6
2022/2/4,233471,2419,1036.1,388,7
2022/2/5,233471,2840,1216.4,303,7
2022/2/6,233471,2684,1149.6,325,7
2022/2/7,233471,2615,1120.1,385,7
2022/2/8,233471,2538,1087.1,438,7
2022/2/9,233471,2483,1063.5,419,7
2022/2/10,233471,2419,1036.1,388,7
2022/2/11,233471,2429,1040.4,355,7
2022/2/12,233471,2376,1017.7,268,7
2022/2/13,233471,2335,1000.1,308,7
2022/2/14,233471,2293,982.1,322,6
2022/2/15,233471,2152,921.7,340,6
2022/2/16,233471,2082,891.8,296,6
2022/2/17,233471,2043,875.1,329,6
2022/2/18,233471,1963,840.8,240,6
2022/2/19,233471,1939,830.5,256,6
2022/2/20,233471,1881,805.7,216,6
2022/2/21,233471,1784,764.1,221,6
2022/2/22,233471,1883,806.5,251,6
2022/2/23,233471,1677,718.3,272,6
2022/2/24,233471,1637,701.2,240,6
2022/2/25,233471,1600,685.3,204,6
2022/2/26,233471,1520,651,182,6
2022/2/27,233471,1501,642.9,181,6
2022/2/28,233471,1444,618.5,155,6
2022/3/1,233471,1381,591.5,233,6
2022/3/2,233471,1332,570.5,200,6
2022/3/3,233471,1329,569.2,221,6
2022/3/4,233471,1330,569.7,196,6
2022/3/5,233471,1330,569.7,196,6
2022/3/6,233471,1185,507.6,153,6
2022/3/7,233471,1162,497.7,174,5
2022/3/8,233471,1281,548.7,200,6
2022/3/9,233471,1161,497.3,214,5
2022/3/10,233471,1172,502,220,6
2022/3/11,233471,1357,581.2,188,6
2022/3/12,233471,1473,630.9,236,6
2022/3/13,233471,1197,512.7,144,6
2022/3/14,233471,1162,497.7,134,5
2022/3/15,233471,1174,502.8,220,6
2022/3/16,233471,1216,520.8,277,6
2022/3/17,233471,1301,557.2,288,6
2022/3/18,233471,1379,590.7,259,6
2022/3/19,233471,1353,579.5,182,6
2022/3/20,233471,1429,612.1,229,6
2022/3/21,233471,1462,626.2,182,6
2022/3/22,233471,1473,630.9,236,6
2022/3/23,233471,1453,622.3,290,6
2022/3/24,233471,1443,618.1,260,6
2022/3/25,233471,1467,628.3,254,6
2022/3/26,233471,1473,630.9,212,6
2022/3/27,233471,1489,637.8,219,6
2022/3/28,233471,1507,645.5,221,6
2022/3/29,233471,1533,656.6,279,6
2022/3/30,233471,1549,663.5,302,6
2022/3/31,233471,1627,696.9,339,6
2022/4/1,233471,1699,727.7,300,6
2022/4/2,233471,1660,711,226,6
2022/4/3,233471,1784,764.1,308,6
2022/4/4,233471,1783,763.7,250,6
2022/4/5,233471,1774,759.8,317,6
2022/4/6,233471,1561,668.6,289,6
2022/4/7,233471,1744,747,332,6
2022/4/8,233471,1757,752.6,311,6
2022/4/9,233471,1773,759.4,273,6
2022/4/10,233471,1769,757.7,219,6
2022/4/11,233471,1722,737.6,227,6
2022/4/12,233471,1674,717,274,6
2022/4/13,233471,1613,690.9,284,6
2022/4/14,233471,1529,654.9,262,6
2022/4/15,233471,1511,647.2,284,6
2022/4/16,233471,1561,668.6,289,6
2022/4/17,233471,1575,674.6,225,6
2022/4/18,233471,1527,654,202,6
2022/4/19,233471,1497,641.2,253,6
2022/4/20,233471,1467,628.3,230,6
2022/4/21,233471,1483,635.2,287,6
2022/4/22,233471,1435,614.6,241,6
2022/4/23,233471,1450,621.1,227,6
2022/4/24,233471,1433,613.8,202,6
2022/4/25,233471,1404,601.4,215,6
2022/4/26,233471,1390,595.4,249,6
2022/4/27,233471,1389,594.9,234,6
2022/4/28,233471,1389,594.9,270,6
2022/4/29,233471,1471,630.1,323,6
2022/4/30,233471,1557,666.9,294,6
2022/5/1,233471,1592,681.9,209,6
2022/5/2,233471,1908,817.2,351,6
2022/5/3,233471,1601,685.7,265,6
2022/5/4,233471,1600,685.3,293,6
2022/5/5,233471,1668,714.4,357,6
2022/5/6,233471,1709,732,305,6
2022/5/7,233471,1668,714.4,244,6
2022/5/8,233471,1739,744.8,267,6
2022/5/9,233471,1805,773.1,282,6
2022/5/10,233471,1832,784.7,329,6
2022/5/11,233471,2097,898.2,305,6
2022/5/12,233471,1908,817.2,351,6
2022/5/13,233471,2004,858.4,254,6
2022/5/14,233471,1986,850.6,292,6
2022/5/15,233471,2039,873.3,285,6
2022/5/16,233471,1709,732,305,6
2022/5/17,233471,2058,881.5,378,6
2022/5/18,233471,1739,744.8,248,6
2022/5/19,233471,2079,890.5,376,6
2022/5/20,233471,2074,888.3,316,6
2022/5/21,233471,2097,898.2,305,6
2022/5/22,233471,2062,883.2,263,6
2022/5/23,233471,2004,858.4,254,6
2022/5/24,233471,1986,850.6,292,6
2022/5/25,233471,1840,788.1,341,6
2022/5/26,233471,1709,732,305,6
2022/5/27,233471,1772,759,307,6
2022/5/28,233471,1739,744.8,248,6
2022/5/29,233471,1662,711.9,175,6
2022/5/30,233471,1600,685.3,200,6
2022/5/31,233471,1525,653.2,263,6
2022/6/1,233471,1456,623.6,223,6
2022/6/2,233471,1431,612.9,281,6
2022/6/3,233471,1305,559,151,6
2022/6/4,233471,1361,582.9,214,6
2022/6/5,233471,1305,559,151,6
2022/6/6,233471,1153,493.9,204,5
2022/6/7,233471,1249,535,248,6
2022/6/8,233471,1145,490.4,186,5
2022/6/9,233471,1121,480.1,130,5
2022/6/10,233471,1236,529.4,194,6
2022/6/11,233471,1229,526.4,181,6
2022/6/12,233471,1038,444.6,190,5
2022/6/13,233471,1088,466,210,5
2022/6/14,233471,1093,468.2,199,5
2022/6/15,233471,1164,498.6,235,5
2022/6/16,233471,1153,493.9,204,5
2022/6/17,233471,1144,490,183,5
2022/6/18,233471,1145,490.4,186,5
2022/6/19,233471,1121,480.1,130,5
2022/6/20,233471,1099,470.7,140,5
2022/6/21,233471,1083,463.9,190,5
2022/6/22,233471,1038,444.6,190,5
2022/6/23,233471,1088,466,210,5
2022/6/24,233471,1093,468.2,199,5
2022/6/25,233471,1101,471.6,170,5
2022/6/26,233471,1095,469,136,5
2022/6/27,233471,1110,475.4,163,5
2022/6/28,233471,1131,484.4,203,5
2022/6/29,233471,1154,494.3,223,5
2022/6/30,233471,1148,491.7,241,5
2022/7/1,233471,1145,490.4,196,5
2022/7/2,233471,1116,478,151,5
2022/7/3,233471,1138,487.4,179,5
2022/7/4,233471,1132,484.9,172,5
2022/7/5,233471,1161,497.3,205,5
2022/7/6,233471,1162,497.7,218,5
2022/7/7,233471,1217,521.3,293,6
2022/7/8,233471,1260,539.7,246,6
2022/7/9,233471,1332,570.5,229,6
2022/7/10,233471,1880,805.2,364,6
2022/7/11,233471,1437,615.5,238,6
2022/7/12,233471,2093,896.5,381,6
2022/7/13,233471,2084,892.6,318,6
2022/7/14,233471,1512,647.6,272,6
2022/7/15,233471,1553,665.2,283,6
2022/7/16,233471,1624,695.6,272,6
2022/7/17,233471,1693,725.1,284,6
2022/7/18,233471,1744,747,302,6
2022/7/19,233471,1824,781.3,356,6
2022/7/20,233471,1880,805.2,364,6
2022/7/21,233471,2025,867.3,443,6
2022/7/22,233471,2093,896.5,381,6
2022/7/23,233471,2084,892.6,318,6
2022/7/24,233471,2115,905.9,313,6
2022/7/25,233471,2139,916.2,335,6
2022/7/26,233471,2155,923,417,6
2022/7/27,233471,1693,725.1,284,6
2022/7/28,233471,2137,915.3,389,6
2022/7/29,233471,2111,904.2,337,6
2022/7/30,233471,2088,894.3,283,6
2022/7/31,233471,1971,844.2,217,6
2022/8/1,233471,1875,803.1,237,6
2022/8/2,233471,958,410.3,163,5
2022/8/3,233471,1711,732.9,287,6
2022/8/4,233471,1649,706.3,297,6
2022/8/5,233471,1604,687,238,6
2022/8/6,233471,841,360.2,124,5
2022/8/7,233471,862,369.2,168,5
2022/8/8,233471,1355,580.4,165,6
2022/8/9,233471,1226,525.1,190,6
2022/8/10,233471,1130,484,186,5
2022/8/11,233471,715,306.2,91,5
2022/8/12,233471,958,410.3,163,5
2022/8/13,233471,639,273.7,120,5
2022/8/14,233471,601,257.4,92,5
2022/8/15,233471,890,381.2,137,5
2022/8/16,233471,841,360.2,124,5
2022/8/17,233471,862,369.2,168,5
2022/8/18,233471,495,212,68,5
2022/8/19,233471,797,341.4,117,5
2022/8/20,233471,462,197.9,95,4
2022/8/21,233471,715,306.2,91,5
2022/8/22,233471,656,281,69,5
2022/8/23,233471,639,273.7,120,5
2022/8/24,233471,601,257.4,92,5
2022/8/25,233471,565,242,88,5
2022/8/26,233471,544,233,91,5
2022/8/27,233471,376,161,73,4
2022/8/28,233471,495,212,68,5
2022/8/29,233471,477,204.3,54,5
2022/8/30,233471,462,197.9,95,4
2022/8/31,233471,468,200.5,94,5
2022/9/1,233471,469,200.9,88,5
2022/9/2,233471,457,195.7,75,4
2022/9/3,233471,354,151.6,68,4
2022/9/4,233471,408,174.8,37,4
2022/9/5,233471,404,173,50,4
2022/9/6,233471,381,163.2,66,4
2022/9/7,233471,376,161,73,4
2022/9/8,233471,365,156.3,59,4
2022/9/9,233471,354,151.6,68,4
2022/9/10,233471,354,151.6,68,4
2022/9/11,233471,354,151.6,68,4
2022/9/12,233471,354,151.6,68,4
2022/9/13,233471,354,151.6,68,4
2022/9/14,233471,354,151.6,68,4
2022/9/15,233471,354,151.6,68,4
2022/9/16,233471,301,128.9,63,4
