date,population,active,rate,new,band
2022/1/1,16701,106,634.7,44,6
2022/1/2,16701,104,622.7,16,6
2022/1/3,16701,105,628.7,16,6
2022/1/4,16701,103,616.7,12,6
2022/1/5,16701,97,580.8,12,6
2022/1/6,16701,90,538.9,18,6
2022/1/7,16701,94,562.8,17,6
2022/1/8,16701,92,550.9,12,6
2022/1/9,16701,80,479,8,6
2022/1/10,16701,79,473,9,6
2022/1/11,16701,85,509,14,6
2022/1/12,16701,90,538.9,15,6
2022/1/13,16701,76,455.1,12,6
2022/1/14,16701,74,443.1,13,6
2022/1/15,16701,46,275.4,14,5
2022/1/16,16701,65,389.2,10,5
2022/1/17,16701,68,407.2,11,5
2022/1/18,16701,84,503,17,5
2022/1/19,16701,81,485,16,5
2022/1/20,16701,86,514.9,17,5
2022/1/21,16701,105,628.7,19,5
2022/1/22,16701,121,724.5,21,5
2022/1/23,16701,95,568.8,15,5
2022/1/24,16701,91,544.9,8,5
2022/1/25,16701,83,497,17,5
2022/1/26,16701,101,604.8,22,5
2022/1/27,16701,46,275.4,14,5
2022/1/28,16701,79,473,9,5
2022/1/29,16701,85,509,14,5
2022/1/30,16701,48,287.4,5,5
2022/1/31,16701,42,251.5,0,5
2022/2/1,16701,43,257.5,9,5
2022/2/2,16701,41,245.5,9,5
2022/2/3,16701,34,203.6,5,5
2022/2/4,16701,99,592.8,13,6
2022/2/5,16701,97,580.8,13,6
2022/2/6,16701,96,574.8,7,6
2022/2/7,16701,100,598.8,15,6
2022/2/8,16701,93,556.9,18,6
2022/2/9,16701,104,622.7,26,6
2022/2/10,16701,99,592.8,13,6
2022/2/11,16701,99,592.8,13,6
2022/2/12,16701,104,622.7,16,6
2022/2/13,16701,105,628.7,16,6
2022/2/14,16701,103,616.7,12,6
2022/2/15,16701,97,580.8,12,6
2022/2/16,16701,90,538.9,18,6
2022/2/17,16701,94,562.8,17,6
2022/2/18,16701,92,550.9,12,6
2022/2/19,16701,80,479,8,5
2022/2/20,16701,79,473,9,5
2022/2/21,16701,85,509,14,6
2022/2/22,16701,90,538.9,15,6
2022/2/23,16701,76,455.1,12,5
2022/2/24,16701,74,443.1,13,5
2022/2/25,16701,74,443.1,7,5
2022/2/26,16701,72,431.1,9,5
2022/2/27,16701,65,389.2,6,5
2022/2/28,16701,61,365.2,7,5
2022/3/1,16701,61,365.2,11,5
2022/3/2,16701,61,365.2,12,5
2022/3/3,16701,62,371.2,12,5
2022/3/4,16701,63,377.2,8,5
2022/3/5,16701,63,377.2,8,5
2022/3/6,16701,65,389.2,10,5
2022/3/7,16701,68,407.2,11,5
2022/3/8,16701,84,503,17,6
2022/3/9,16701,81,485,16,5
2022/3/10,16701,86,514.9,17,6
2022/3/11,16701,105,628.7,19,6
2022/3/12,16701,121,724.5,21,6
2022/3/13,16701,95,568.8,15,6
2022/3/14,16701,91,544.9,8,6
2022/3/15,16701,83,497,17,5
2022/3/16,16701,101,604.8,22,6
2022/3/17,16701,115,688.6,30,6
2022/3/18,16701,111,664.6,14,6
2022/3/19,16701,108,646.7,13,6
2022/3/20,16701,112,670.6,18,6
2022/3/21,16701,124,742.5,19,6
2022/3/22,16701,121,724.5,21,6
2022/3/23,16701,117,700.6,23,6
2022/3/24,16701,115,688.6,19,6
2022/3/25,16701,129,772.4,25,6
2022/3/26,16701,136,814.3,24,6
2022/3/27,16701,118,706.5,11,6
2022/3/28,16701,122,730.5,13,6
2022/3/29,16701,136,814.3,30,6
2022/3/30,16701,144,862.2,31,6
2022/3/31,16701,153,916.1,33,6
2022/4/1,16701,160,958,32,6
2022/4/2,16701,147,880.2,13,6
2022/4/3,16701,157,940.1,26,6
2022/4/4,16701,161,964,25,6
2022/4/5,16701,148,886.2,22,6
2022/4/6,16701,119,712.5,11,6
2022/4/7,16701,144,862.2,26,6
2022/4/8,16701,148,886.2,28,6
2022/4/9,16701,151,904.1,20,6
2022/4/10,16701,157,940.1,25,6
2022/4/11,16701,154,922.1,16,6
2022/4/12,16701,145,868.2,23,6
2022/4/13,16701,129,772.4,23,6
2022/4/14,16701,124,742.5,17,6
2022/4/15,16701,130,778.4,21,6
2022/4/16,16701,119,712.5,11,6
2022/4/17,16701,117,700.6,18,6
2022/4/18,16701,120,718.5,16,6
2022/4/19,16701,121,724.5,20,6
2022/4/20,16701,118,706.5,21,6
2022/4/21,16701,124,742.5,26,6
2022/4/22,16701,122,730.5,19,6
2022/4/23,16701,129,772.4,23,6
2022/4/24,16701,119,712.5,13,6
2022/4/25,16701,113,676.6,14,6
2022/4/26,16701,126,754.4,38,6
2022/4/27,16701,131,784.4,23,6
2022/4/28,16701,129,772.4,22,6
2022/4/29,16701,148,886.2,39,6
2022/4/30,16701,151,904.1,27,6
2022/5/1,16701,165,988,29,6
2022/5/2,16701,270,1616.7,36,7
2022/5/3,16701,183,1095.7,43,7
2022/5/4,16701,201,1203.5,46,7
2022/5/5,16701,214,1281.4,36,7
2022/5/6,16701,212,1269.4,30,7
2022/5/7,16701,227,1359.2,45,7
2022/5/8,16701,237,1419.1,32,7
2022/5/9,16701,251,1502.9,41,7
2022/5/10,16701,240,1437,37,7
2022/5/11,16701,281,1682.5,44,7
2022/5/12,16701,270,1616.7,36,7
2022/5/13,16701,250,1496.9,31,7
2022/5/14,16701,270,1616.7,46,7
2022/5/15,16701,260,1556.8,23,7
2022/5/16,16701,212,1269.4,30,7
2022/5/17,16701,262,1568.8,49,7
2022/5/18,16701,207,1239.4,35,7
2022/5/19,16701,275,1646.6,38,7
2022/5/20,16701,273,1634.6,42,7
2022/5/21,16701,281,1682.5,44,7
2022/5/22,16701,263,1574.8,32,7
2022/5/23,16701,250,1496.9,31,7
2022/5/24,16701,270,1616.7,46,7
