date,population,active,rate,new,band
2022/1/1,165782,1031,1225.1,242,7
2022/1/2,165782,1354,816.7,198,7
2022/1/3,165782,1310,790.2,161,7
2022/1/4,165782,1306,787.8,195,7
2022/1/5,165782,1338,807.1,212,7
2022/1/6,165782,1320,796.2,234,7
2022/1/7,165782,1323,798,231,7
2022/1/8,165782,1341,808.9,224,7
2022/1/9,165782,1314,792.6,179,7
2022/1/10,165782,1325,799.2,181,7
2022/1/11,165782,1262,761.2,124,7
2022/1/12,165782,1217,734.1,161,7
2022/1/13,165782,1245,751,185,7
2022/1/14,165782,1126,679.2,185,7
2022/1/15,165782,575,346.8,114,5
2022/1/16,165782,1017,613.5,166,5
2022/1/17,165782,1015,612.2,169,5
2022/1/18,165782,989,596.6,162,5
2022/1/19,165782,989,596.6,162,5
2022/1/20,165782,915,551.9,117,5
2022/1/21,165782,928,559.8,141,5
2022/1/22,165782,1034,623.7,174,5
2022/1/23,165782,956,576.7,193,5
2022/1/24,165782,977,589.3,204,5
2022/1/25,165782,1124,678,151,5
2022/1/26,165782,1369,825.8,284,5
2022/1/27,165782,996,600.8,133,5
2022/1/28,165782,1011,609.8,140,5
2022/1/29,165782,962,580.3,159,5
2022/1/30,165782,1067,643.6,256,5
2022/1/31,165782,1124,678,253,5
2022/2/1,165782,458,276.3,66,5
2022/2/2,165782,562,339,183,5
2022/2/3,165782,437,263.6,142,5
2022/2/4,165782,1334,804.7,253,6
2022/2/5,165782,1472,887.9,180,6
2022/2/6,165782,1414,852.9,163,6
2022/2/7,165782,1393,840.3,221,6
2022/2/8,165782,1353,816.1,203,6
2022/2/9,165782,1334,804.7,231,6
2022/2/10,165782,1334,804.7,253,6
2022/2/11,165782,1354,816.7,198,6
2022/2/12,165782,1310,790.2,161,6
2022/2/13,165782,1306,787.8,195,6
2022/2/14,165782,1338,807.1,212,6
2022/2/15,165782,1320,796.2,234,6
2022/2/16,165782,1323,798,231,6
2022/2/17,165782,1341,808.9,224,6
2022/2/18,165782,1314,792.6,179,6
2022/2/19,165782,1325,799.2,181,6
2022/2/20,165782,1262,761.2,124,6
2022/2/21,165782,1217,734.1,161,6
2022/2/22,165782,1245,751,185,6
2022/2/23,165782,1126,679.2,185,6
2022/2/24,165782,1098,662.3,182,6
2022/2/25,165782,1094,659.9,185,6
2022/2/26,165782,1104,665.9,157,6
2022/2/27,165782,1074,647.8,109,6
2022/2/28,165782,1064,641.8,146,6
2022/3/1,165782,1027,619.5,153,6
2022/3/2,165782,1017,613.5,166,6
2022/3/3,165782,1015,612.2,169,6
2022/3/4,165782,989,596.6,162,6
2022/3/5,165782,989,596.6,162,6
2022/3/6,165782,915,551.9,117,6
2022/3/7,165782,928,559.8,141,6
2022/3/8,165782,1034,623.7,174,6
2022/3/9,165782,956,576.7,193,6
2022/3/10,165782,977,589.3,204,6
2022/3/11,165782,1124,678,151,6
2022/3/12,165782,1369,825.8,284,6
2022/3/13,165782,996,600.8,133,6
2022/3/14,165782,1011,609.8,140,6
2022/3/15,165782,962,580.3,159,6
2022/3/16,165782,1067,643.6,256,6
2022/3/17,165782,1124,678,253,6
2022/3/18,165782,1193,719.6,213,6
2022/3/19,165782,1237,746.2,200,6
2022/3/20,165782,1256,757.6,168,6
2022/3/21,165782,1302,785.4,214,6
2022/3/22,165782,1369,825.8,284,6
2022/3/23,165782,1392,839.7,265,6
2022/3/24,165782,1481,893.3,308,6
2022/3/25,165782,1561,941.6,291,6
2022/3/26,165782,1592,960.3,216,6
2022/3/27,165782,1631,983.8,230,6
2022/3/28,165782,1682,1014.6,264,7
2022/3/29,165782,1661,1001.9,290,7
2022/3/30,165782,1654,997.7,297,6
2022/3/31,165782,1624,979.6,274,6
2022/4/1,165782,1591,959.7,237,6
2022/4/2,165782,1579,952.5,213,6
2022/4/3,165782,1589,958.5,247,6
2022/4/4,165782,1516,914.5,219,6
2022/4/5,165782,1511,911.4,295,6
2022/4/6,165782,1345,811.3,216,6
2022/4/7,165782,1542,930.1,311,6
2022/4/8,165782,1544,931.3,271,6
