date,population,active,rate,new,band
2022/1/1,164538,1209,734.8,312,6
2022/1/2,164538,1142,694.1,198,6
2022/1/3,164538,1216,739,227,6
2022/1/4,164538,1248,758.5,225,6
2022/1/5,164538,1259,765.2,179,6
2022/1/6,164538,1259,765.2,179,6
2022/1/7,164538,1232,748.8,180,6
2022/1/8,164538,1207,733.6,156,6
2022/1/9,164538,1300,790.1,202,6
2022/1/10,164538,1164,707.4,212,6
2022/1/11,164538,1184,719.6,218,6
2022/1/12,164538,1371,833.2,196,6
2022/1/13,164538,1443,877,248,6
2022/1/14,164538,1215,738.4,176,6
2022/1/15,164538,1225,744.5,173,5
2022/1/16,164538,1250,759.7,241,5
2022/1/17,164538,1254,762.1,281,5
2022/1/18,164538,648,393.8,108,5
2022/1/19,164538,1529,929.3,273,5
2022/1/20,164538,1560,948.1,309,5
2022/1/21,164538,1631,991.3,328,5
2022/1/22,164538,1696,1030.8,329,5
2022/1/23,164538,1733,1053.3,265,5
2022/1/24,164538,1714,1041.7,225,5
2022/1/25,164538,1730,1051.4,256,5
2022/1/26,164538,1753,1065.4,295,5
2022/1/27,164538,1664,1011.3,283,5
2022/1/28,164538,1546,939.6,258,5
2022/1/29,164538,648,393.8,108,5
2022/1/30,164538,619,376.2,77,5
2022/1/31,164538,606,368.3,85,5
2022/2/1,164538,525,319.1,66,5
2022/2/2,164538,620,376.8,176,5
2022/2/3,164538,547,332.4,113,5
2022/2/4,164538,1288,782.8,212,6
2022/2/5,164538,1538,934.7,199,6
2022/2/6,164538,1467,891.6,169,6
2022/2/7,164538,1478,898.3,198,6
2022/2/8,164538,1380,838.7,206,6
2022/2/9,164538,1326,805.9,218,6
2022/2/10,164538,1288,782.8,212,6
2022/2/11,164538,1320,802.2,227,6
2022/2/12,164538,1275,774.9,166,6
2022/2/13,164538,1264,768.2,178,6
2022/2/14,164538,1291,784.6,206,6
2022/2/15,164538,1259,765.2,206,6
2022/2/16,164538,1259,765.2,217,6
2022/2/17,164538,1321,802.9,260,6
2022/2/18,164538,1273,773.7,175,6
2022/2/19,164538,1293,785.8,166,6
2022/2/20,164538,1239,753,142,6
2022/2/21,164538,1220,741.5,149,6
2022/2/22,164538,1257,764,165,6
2022/2/23,164538,1107,672.8,167,6
2022/2/24,164538,1059,643.6,182,6
