date,population,active,rate,new,band
2022/1/1,75561,322,426.1,40,6
2022/1/2,75561,330,436.7,73,6
2022/1/3,75561,348,460.6,52,6
2022/1/4,75561,854,1130.2,159,6
2022/1/5,75561,851,1126.2,106,6
2022/1/6,75561,856,1132.9,102,6
2022/1/7,75561,845,1118.3,126,6
2022/1/8,75561,841,1113,153,6
2022/1/9,75561,838,1109,148,6
2022/1/10,75561,854,1130.2,159,6
2022/1/11,75561,863,1142.1,142,6
2022/1/12,75561,838,1109,94,6
2022/1/13,75561,836,1106.4,97,6
2022/1/14,75561,793,1049.5,93,6
2022/1/15,75561,743,983.3,108,5
2022/1/16,75561,483,639.2,55,5
2022/1/17,75561,517,684.2,83,5
2022/1/18,75561,534,706.7,71,5
2022/1/19,75561,553,731.9,89,5
2022/1/20,75561,561,742.4,119,5
2022/1/21,75561,557,737.2,101,5
2022/1/22,75561,587,776.9,114,5
2022/1/23,75561,630,833.8,115,5
2022/1/24,75561,641,848.3,87,5
2022/1/25,75561,647,856.3,90,5
2022/1/26,75561,647,856.3,113,5
2022/1/27,75561,365,483.1,91,5
2022/1/28,75561,854,1130.2,159,5
2022/1/29,75561,863,1142.1,142,5
2022/1/30,75561,838,1109,94,6
2022/1/31,75561,373,493.6,19,5
2022/2/1,75561,322,426.1,40,5
2022/2/2,75561,330,436.7,73,5
2022/2/3,75561,348,460.6,52,5
2022/2/4,75561,854,1130.2,159,7
2022/2/5,75561,851,1126.2,106,7
2022/2/6,75561,856,1132.9,102,7
2022/2/7,75561,845,1118.3,126,7
2022/2/8,75561,841,1113,153,7
2022/2/9,75561,838,1109,148,7
2022/2/10,75561,854,1130.2,159,7
2022/2/11,75561,863,1142.1,142,7
2022/2/12,75561,838,1109,94,7
2022/2/13,75561,836,1106.4,97,7
2022/2/14,75561,793,1049.5,93,7
2022/2/15,75561,743,983.3,108,6
2022/2/16,75561,740,979.3,127,6
2022/2/17,75561,731,967.4,126,6
2022/2/18,75561,701,927.7,106,6
2022/2/19,75561,695,919.8,90,6
2022/2/20,75561,719,951.5,88,6
2022/2/21,75561,681,901.3,72,6
2022/2/22,75561,724,958.2,111,6
2022/2/23,75561,642,849.6,118,6
2022/2/24,75561,644,852.3,93,6
2022/2/25,75561,635,840.4,106,6
2022/2/26,75561,618,817.9,89,6
2022/2/27,75561,621,821.9,66,6
2022/2/28,75561,595,787.4,66,6
2022/3/1,75561,569,753,94,6
2022/3/2,75561,550,727.9,78,6
2022/3/3,75561,537,710.7,82,6
2022/3/4,75561,516,682.9,75,6
2022/3/5,75561,516,682.9,75,6
2022/3/6,75561,449,594.2,53,6
2022/3/7,75561,417,551.9,49,6
2022/3/8,75561,472,624.7,62,6
2022/3/9,75561,368,487,54,5
2022/3/10,75561,345,456.6,58,5
2022/3/11,75561,399,528.1,55,6
2022/3/12,75561,553,731.9,89,6
2022/3/13,75561,322,426.1,46,5
2022/3/14,75561,332,439.4,55,5
2022/3/15,75561,339,448.6,62,5
2022/3/16,75561,356,471.1,85,5
2022/3/17,75561,411,543.9,107,6
2022/3/18,75561,479,633.9,117,6
2022/3/19,75561,483,639.2,55,6
2022/3/20,75561,517,684.2,83,6
2022/3/21,75561,534,706.7,71,6
2022/3/22,75561,553,731.9,89,6
2022/3/23,75561,561,742.4,119,6
2022/3/24,75561,557,737.2,101,6
2022/3/25,75561,587,776.9,114,6
2022/3/26,75561,630,833.8,115,6
2022/3/27,75561,641,848.3,87,6
2022/3/28,75561,647,856.3,90,6
2022/3/29,75561,647,856.3,113,6
2022/3/30,75561,677,896,138,6
2022/3/31,75561,723,956.8,161,6
2022/4/1,75561,766,1013.8,150,7
2022/4/2,75561,772,1021.7,130,7
2022/4/3,75561,805,1065.4,111,7
2022/4/4,75561,833,1102.4,139,7
2022/4/5,75561,855,1131.5,166,7
2022/4/6,75561,788,1042.9,124,7
2022/4/7,75561,900,1191.1,176,7
2022/4/8,75561,899,1189.8,146,7
2022/4/9,75561,872,1154,106,7
2022/4/10,75561,897,1187.1,132,7
2022/4/11,75561,839,1110.4,104,7
2022/4/12,75561,792,1048.2,135,7
2022/4/13,75561,788,1042.9,167,7
2022/4/14,75561,734,971.4,134,6
2022/4/15,75561,762,1008.5,151,7
2022/4/16,75561,788,1042.9,124,7
2022/4/17,75561,782,1034.9,102,7
2022/4/18,75561,766,1013.8,100,7
2022/4/19,75561,746,987.3,137,6
2022/4/20,75561,732,968.8,134,6
2022/4/21,75561,778,1029.6,167,7
2022/4/22,75561,746,987.3,117,6
2022/4/23,75561,731,967.4,117,6
2022/4/24,75561,698,923.8,65,6
2022/4/25,75561,675,893.3,86,6
2022/4/26,75561,635,840.4,83,6
2022/4/27,75561,589,779.5,104,6
2022/4/28,75561,560,741.1,116,6
2022/4/29,75561,553,731.9,100,6
2022/4/30,75561,547,723.9,104,6
2022/5/1,75561,566,749.1,91,6
2022/5/2,75561,773,1023,171,7
2022/5/3,75561,613,811.3,111,6
2022/5/4,75561,604,799.4,124,6
2022/5/5,75561,615,813.9,107,6
2022/5/6,75561,624,825.8,84,6
2022/5/7,75561,636,841.7,112,6
2022/5/8,75561,639,845.7,96,6
2022/5/9,75561,643,851,98,6
2022/5/10,75561,660,873.5,132,6
2022/5/11,75561,981,1298.3,164,7
2022/5/12,75561,773,1023,171,7
