date,population,active,rate,new,band
2022/1/1,7504,26,346.5,8,4
2022/1/2,7504,31,413.1,7,4
2022/1/3,7504,20,266.5,2,4
2022/1/4,7504,24,319.8,7,4
2022/1/5,7504,22,293.2,0,4
2022/1/6,7504,21,279.9,0,4
2022/1/7,7504,22,293.2,3,4
2022/1/8,7504,18,239.9,3,4
2022/1/9,7504,19,253.2,3,4
2022/1/10,7504,13,173.2,2,4
2022/1/11,7504,9,119.9,0,4
2022/1/12,7504,10,133.3,2,4
2022/1/13,7504,11,146.6,2,4
2022/1/14,7504,11,146.6,1,4
2022/1/15,7504,11,146.6,1,4
2022/1/16,7504,14,186.6,6,4
2022/1/17,7504,17,226.5,4,4
2022/1/18,7504,28,373.1,12,4
2022/1/19,7504,33,439.8,5,4
2022/1/20,7504,31,413.1,2,4
2022/1/21,7504,34,453.1,6,4
2022/1/22,7504,36,479.7,7,4
2022/1/23,7504,35,466.4,2,4
2022/1/24,7504,29,386.5,5,4
2022/1/25,7504,25,333.2,5,4
2022/1/26,7504,23,306.5,5,4
2022/1/27,7504,28,373.1,8,4
2022/1/28,7504,31,413.1,7,4
2022/1/29,7504,33,439.8,5,4
2022/1/30,7504,86,1146.1,24,5
2022/1/31,7504,41,546.4,7,5
2022/2/1,7504,34,453.1,5,4
2022/2/2,7504,18,239.9,4,5
2022/2/3,7504,17,226.5,0,5
2022/2/4,7504,26,346.5,5,5
2022/2/5,7504,32,426.4,5,5
2022/2/6,7504,31,413.1,3,5
2022/2/7,7504,34,453.1,5,5
2022/2/8,7504,26,346.5,1,5
2022/2/9,7504,31,413.1,7,5
2022/2/10,7504,26,346.5,5,5
2022/2/11,7504,24,319.8,4,5
2022/2/12,7504,21,279.9,1,5
2022/2/13,7504,21,279.9,2,5
2022/2/14,7504,26,346.5,8,5
2022/2/15,7504,31,413.1,7,5
2022/2/16,7504,20,266.5,2,5
2022/2/17,7504,24,319.8,7,5
2022/2/18,7504,22,293.2,0,5
2022/2/19,7504,21,279.9,0,5
2022/2/20,7504,22,293.2,3,5
2022/2/21,7504,18,239.9,3,5
2022/2/22,7504,19,253.2,3,5
2022/2/23,7504,13,173.2,2,4
2022/2/24,7504,9,119.9,0,4
2022/2/25,7504,10,133.3,2,4
2022/2/26,7504,11,146.6,2,4
2022/2/27,7504,11,146.6,1,4
2022/2/28,7504,11,146.6,1,4
2022/3/1,7504,14,186.6,6,4
2022/3/2,7504,17,226.5,4,5
2022/3/3,7504,28,373.1,12,5
2022/3/4,7504,32,426.4,7,5
2022/3/5,7504,32,426.4,7,5
2022/3/6,7504,39,519.7,4,6
2022/3/7,7504,41,546.4,5,6
2022/3/8,7504,44,586.4,4,6
2022/3/9,7504,38,506.4,5,6
2022/3/10,7504,36,479.7,9,5
2022/3/11,7504,41,546.4,6,6
2022/3/12,7504,87,1159.4,21,7
2022/3/13,7504,25,333.2,2,5
2022/3/14,7504,30,399.8,7,5
2022/3/15,7504,33,439.8,9,5
2022/3/16,7504,46,613,13,6
2022/3/17,7504,51,679.6,13,6
2022/3/18,7504,68,906.2,17,6
2022/3/19,7504,68,906.2,9,6
2022/3/20,7504,68,906.2,3,6
2022/3/21,7504,75,999.5,15,6
2022/3/22,7504,87,1159.4,21,7
2022/3/23,7504,87,1159.4,9,7
2022/3/24,7504,82,1092.8,11,7
2022/3/25,7504,79,1052.8,15,7
2022/3/26,7504,76,1012.8,8,7
2022/3/27,7504,84,1119.4,14,7
2022/3/28,7504,81,1079.4,10,7
2022/3/29,7504,77,1026.1,19,7
2022/3/30,7504,76,1012.8,10,7
2022/3/31,7504,78,1039.4,14,7
2022/4/1,7504,78,1039.4,12,7
2022/4/2,7504,78,1039.4,7,7
2022/4/3,7504,67,892.9,5,6
2022/4/4,7504,64,852.9,10,6
2022/4/5,7504,65,866.2,18,6
2022/4/6,7504,46,613,5,6
2022/4/7,7504,68,906.2,15,6
2022/4/8,7504,71,946.2,13,6
2022/4/9,7504,77,1026.1,11,7
2022/4/10,7504,80,1066.1,13,7
2022/4/11,7504,73,972.8,6,6
2022/4/12,7504,72,959.5,14,6
2022/4/13,7504,59,786.2,4,6
2022/4/14,7504,54,719.6,8,6
2022/4/15,7504,49,653,7,6
2022/4/16,7504,46,613,5,6
2022/4/17,7504,42,559.7,5,6
2022/4/18,7504,36,479.7,4,5
2022/4/19,7504,35,466.4,7,5
2022/4/20,7504,35,466.4,8,5
2022/4/21,7504,33,439.8,5,5
2022/4/22,7504,31,413.1,2,5
2022/4/23,7504,34,453.1,6,5
2022/4/24,7504,36,479.7,7,5
2022/4/25,7504,35,466.4,2,5
2022/4/26,7504,29,386.5,5,5
2022/4/27,7504,25,333.2,5,5
2022/4/28,7504,23,306.5,5,5
2022/4/29,7504,28,373.1,8,5
2022/4/30,7504,31,413.1,7,5
2022/5/1,7504,33,439.8,5,5
2022/5/2,7504,86,1146.1,24,7
2022/5/3,7504,41,546.4,7,6
2022/5/4,7504,43,573,7,6
2022/5/5,7504,52,693,14,6
2022/5/6,7504,46,613,4,6
2022/5/7,7504,51,679.6,11,6
2022/5/8,7504,57,759.6,10,6
2022/5/9,7504,61,812.9,12,6
2022/5/10,7504,76,1012.8,23,7
2022/5/11,7504,83,1106.1,8,7
2022/5/12,7504,86,1146.1,24,7
2022/5/13,7504,74,986.1,6,6
2022/5/14,7504,97,1292.6,15,7
2022/5/15,7504,99,1319.3,14,7
2022/5/16,7504,46,613,4,6
2022/5/17,7504,97,1292.6,17,7
