date,population,active,rate,new,band
2022/1/1,50231,331,659,84,6
2022/1/2,50231,426,848.1,73,6
2022/1/3,50231,418,832.2,46,6
2022/1/4,50231,444,883.9,82,6
2022/1/5,50231,447,889.9,76,6
2022/1/6,50231,445,885.9,72,6
2022/1/7,50231,411,818.2,64,6
2022/1/8,50231,421,838.1,61,6
2022/1/9,50231,390,776.4,36,6
2022/1/10,50231,387,770.4,52,6
2022/1/11,50231,346,688.8,48,6
2022/1/12,50231,330,657,54,6
2022/1/13,50231,318,633.1,45,6
2022/1/14,50231,307,611.2,42,6
2022/1/15,50231,294,585.3,37,5
2022/1/16,50231,287,571.4,36,5
2022/1/17,50231,277,551.5,28,5
2022/1/18,50231,214,426,27,5
2022/1/19,50231,571,1136.7,98,5
2022/1/20,50231,603,1200.5,98,5
2022/1/21,50231,616,1226.3,127,5
2022/1/22,50231,495,985.4,69,5
2022/1/23,50231,668,1329.9,126,5
2022/1/24,50231,678,1349.8,106,5
2022/1/25,50231,703,1399.5,122,5
2022/1/26,50231,705,1403.5,90,5
2022/1/27,50231,695,1383.6,87,5
2022/1/28,50231,418,832.2,46,5
2022/1/29,50231,214,426,27,5
2022/1/30,50231,209,416.1,26,5
2022/1/31,50231,180,358.3,15,5
2022/2/1,50231,152,302.6,5,5
2022/2/2,50231,139,276.7,28,5
2022/2/3,50231,131,260.8,18,5
2022/2/4,50231,411,818.2,64,6
2022/2/5,50231,426,848.1,73,6
2022/2/6,50231,418,832.2,46,6
2022/2/7,50231,444,883.9,82,6
2022/2/8,50231,447,889.9,76,6
2022/2/9,50231,445,885.9,72,6
2022/2/10,50231,411,818.2,64,6
2022/2/11,50231,421,838.1,61,6
2022/2/12,50231,390,776.4,36,6
2022/2/13,50231,387,770.4,52,6
2022/2/14,50231,346,688.8,48,6
2022/2/15,50231,330,657,54,6
2022/2/16,50231,318,633.1,45,6
2022/2/17,50231,307,611.2,42,6
2022/2/18,50231,294,585.3,37,6
2022/2/19,50231,287,571.4,36,6
2022/2/20,50231,277,551.5,28,6
2022/2/21,50231,259,515.6,24,6
2022/2/22,50231,271,539.5,45,6
2022/2/23,50231,243,483.8,43,5
2022/2/24,50231,240,477.8,36,5
2022/2/25,50231,232,461.9,33,5
2022/2/26,50231,233,463.9,36,5
2022/2/27,50231,236,469.8,24,5
2022/2/28,50231,244,485.8,40,5
2022/3/1,50231,250,497.7,55,5
2022/3/2,50231,261,519.6,48,6
2022/3/3,50231,252,501.7,33,6
2022/3/4,50231,264,525.6,43,6
2022/3/5,50231,264,525.6,43,6
2022/3/6,50231,249,495.7,37,5
2022/3/7,50231,256,509.6,40,6
2022/3/8,50231,280,557.4,42,6
2022/3/9,50231,245,487.7,46,5
2022/3/10,50231,269,535.5,63,6
2022/3/11,50231,325,647,55,6
2022/3/12,50231,448,891.9,103,6
2022/3/13,50231,286,569.4,30,6
2022/3/14,50231,298,593.3,46,6
2022/3/15,50231,327,651,70,6
2022/3/16,50231,340,676.9,78,6
2022/3/17,50231,363,722.7,83,6
2022/3/18,50231,386,768.4,66,6
2022/3/19,50231,411,818.2,56,6
2022/3/20,50231,405,806.3,43,6
2022/3/21,50231,428,852.1,77,6
2022/3/22,50231,448,891.9,103,6
2022/3/23,50231,471,937.7,105,6
2022/3/24,50231,500,995.4,99,6
2022/3/25,50231,529,1053.1,99,7
2022/3/26,50231,543,1081,66,7
2022/3/27,50231,538,1071.1,55,7
2022/3/28,50231,515,1025.3,63,7
2022/3/29,50231,492,979.5,91,6
2022/3/30,50231,502,999.4,97,6
2022/3/31,50231,492,979.5,88,6
2022/4/1,50231,502,999.4,103,6
2022/4/2,50231,533,1061.1,87,7
2022/4/3,50231,571,1136.7,98,7
2022/4/4,50231,603,1200.5,98,7
2022/4/5,50231,616,1226.3,127,7
2022/4/6,50231,495,985.4,69,6
2022/4/7,50231,668,1329.9,126,7
2022/4/8,50231,678,1349.8,106,7
2022/4/9,50231,703,1399.5,122,7
2022/4/10,50231,705,1403.5,90,7
2022/4/11,50231,695,1383.6,87,7
2022/4/12,50231,666,1325.9,103,7
2022/4/13,50231,624,1242.3,95,7
2022/4/14,50231,593,1180.5,106,7
2022/4/15,50231,542,1079,61,7
2022/4/16,50231,495,985.4,69,6
2022/4/17,50231,482,959.6,73,6
2022/4/18,50231,440,876,49,6
2022/4/19,50231,413,822.2,63,6
2022/4/20,50231,384,764.5,73,6
2022/4/21,50231,380,756.5,86,6
2022/4/22,50231,396,788.4,79,6
2022/4/23,50231,408,812.2,66,6
2022/4/24,50231,399,794.3,51,6
2022/4/25,50231,414,824.2,65,6
2022/4/26,50231,419,834.1,65,6
2022/4/27,50231,412,820.2,79,6
2022/4/28,50231,377,750.5,57,6
2022/4/29,50231,393,782.4,81,6
2022/4/30,50231,386,768.4,59,6
2022/5/1,50231,375,746.6,39,6
2022/5/2,50231,647,1288,131,7
2022/5/3,50231,400,796.3,84,6
2022/5/4,50231,403,802.3,80,6
2022/5/5,50231,427,850.1,103,6
2022/5/6,50231,447,889.9,79,6
2022/5/7,50231,449,893.9,71,6
2022/5/8,50231,466,927.7,63,6
2022/5/9,50231,496,987.4,93,6
2022/5/10,50231,530,1055.1,113,7
2022/5/11,50231,657,1308,104,7
2022/5/12,50231,647,1288,131,7
2022/5/13,50231,603,1200.5,92,7
2022/5/14,50231,745,1483.1,112,7
2022/5/15,50231,781,1554.8,108,7
2022/5/16,50231,447,889.9,79,6
2022/5/17,50231,748,1489.1,94,7
2022/5/18,50231,511,1017.3,62,7
2022/5/19,50231,692,1377.6,125,7
2022/5/20,50231,664,1321.9,96,7
2022/5/21,50231,657,1308,104,7
2022/5/22,50231,632,1258.2,69,7
2022/5/23,50231,603,1200.5,92,7
2022/5/24,50231,745,1483.1,112,7
2022/5/25,50231,612,1218.4,103,7
2022/5/26,50231,447,889.9,79,6
2022/5/27,50231,529,1053.1,77,7
2022/5/28,50231,511,1017.3,62,7
2022/5/29,50231,478,951.6,52,6
2022/5/30,50231,460,915.8,65,6
2022/5/31,50231,407,810.3,75,6
2022/6/1,50231,410,816.2,76,6
2022/6/2,50231,398,792.3,64,6
2022/6/3,50231,433,862,64,6
2022/6/4,50231,445,885.9,89,6
2022/6/5,50231,433,862,64,6
2022/6/6,50231,292,581.3,62,6
2022/6/7,50231,425,846.1,77,6
2022/6/8,50231,339,674.9,48,6
2022/6/9,50231,332,660.9,37,6
2022/6/10,50231,369,734.6,46,6
2022/6/11,50231,318,633.1,31,6
2022/6/12,50231,312,621.1,59,6
2022/6/13,50231,312,621.1,54,6
2022/6/14,50231,311,619.1,55,6
2022/6/15,50231,293,583.3,59,6
2022/6/16,50231,292,581.3,62,6
2022/6/17,50231,313,623.1,70,6
2022/6/18,50231,339,674.9,48,6
2022/6/19,50231,332,660.9,37,6
2022/6/20,50231,332,660.9,44,6
2022/6/21,50231,312,621.1,45,6
2022/6/22,50231,312,621.1,59,6
2022/6/23,50231,312,621.1,54,6
2022/6/24,50231,311,619.1,55,6
2022/6/25,50231,308,613.2,45,6
2022/6/26,50231,313,623.1,43,6
2022/6/27,50231,297,591.3,39,6
2022/6/28,50231,322,641,64,6
2022/6/29,50231,555,1104.9,296,7
2022/6/30,50231,332,660.9,79,6
