date,population,active,rate,new,band
2022/1/1,127573,1587,1244,250,7
2022/1/2,127573,1302,1020.6,207,7
2022/1/3,127573,1256,984.5,212,7
2022/1/4,127573,1230,964.2,215,7
2022/1/5,127573,1125,881.8,168,7
2022/1/6,127573,1096,859.1,172,7
2022/1/7,127573,1102,863.8,187,7
2022/1/8,127573,1074,841.9,182,7
2022/1/9,127573,1076,843.4,189,7
2022/1/10,127573,983,770.5,138,7
2022/1/11,127573,987,773.7,183,7
2022/1/12,127573,1002,785.4,182,7
2022/1/13,127573,1005,787.8,172,7
2022/1/14,127573,982,769.8,148,7
2022/1/15,127573,981,769,166,6
2022/1/16,127573,810,634.9,144,6
2022/1/17,127573,1014,794.8,225,6
2022/1/18,127573,1016,796.4,203,6
2022/1/19,127573,1035,811.3,169,6
2022/1/20,127573,1057,828.5,181,6
2022/1/21,127573,1064,834,141,6
2022/1/22,127573,1055,827,144,6
2022/1/23,127573,1054,826.2,187,6
2022/1/24,127573,1020,799.5,202,6
2022/1/25,127573,1050,823.1,206,6
2022/1/26,127573,1076,843.4,201,6
2022/1/27,127573,1109,869.3,191,6
2022/1/28,127573,1165,913.2,179,6
2022/1/29,127573,810,634.9,144,6
2022/1/30,127573,744,583.2,92,6
2022/1/31,127573,721,565.2,73,6
2022/2/1,127573,659,516.6,82,6
2022/2/2,127573,596,467.2,110,5
2022/2/3,127573,521,408.4,91,5
2022/2/4,127573,830,650.6,126,6
2022/2/5,127573,925,725.1,110,6
2022/2/6,127573,905,709.4,147,6
2022/2/7,127573,873,684.3,143,6
2022/2/8,127573,886,694.5,149,6
2022/2/9,127573,865,678,146,6
2022/2/10,127573,830,650.6,126,6
2022/2/11,127573,856,671,169,6
2022/2/12,127573,858,672.6,118,6
2022/2/13,127573,872,683.5,131,6
2022/2/14,127573,862,675.7,120,6
2022/2/15,127573,800,627.1,132,6
2022/2/16,127573,811,635.7,162,6
2022/2/17,127573,809,634.1,120,6
2022/2/18,127573,785,615.3,114,6
2022/2/19,127573,786,616.1,118,6
2022/2/20,127573,775,607.5,90,6
2022/2/21,127573,746,584.8,97,6
2022/2/22,127573,770,603.6,84,6
2022/2/23,127573,624,489.1,89,5
2022/2/24,127573,649,508.7,129,6
2022/2/25,127573,651,510.3,94,6
