date,population,active,rate,new,band
2022/1/1,9176,49,534,9,6
2022/1/2,9176,52,566.7,16,6
2022/1/3,9176,58,632.1,11,6
2022/1/4,9176,55,599.4,5,6
2022/1/5,9176,55,599.4,8,6
2022/1/6,9176,61,664.8,13,6
2022/1/7,9176,71,773.8,12,6
2022/1/8,9176,73,795.6,14,6
2022/1/9,9176,67,730.2,7,6
2022/1/10,9176,75,817.3,14,6
2022/1/11,9176,72,784.7,6,6
2022/1/12,9176,79,860.9,18,6
2022/1/13,9176,77,839.1,6,6
2022/1/14,9176,81,882.7,16,6
2022/1/15,9176,75,817.3,5,4
2022/1/16,9176,58,632.1,8,4
2022/1/17,9176,51,555.8,6,4
2022/1/18,9176,48,523.1,4,4
2022/1/19,9176,63,686.6,16,4
2022/1/20,9176,53,577.6,8,4
2022/1/21,9176,48,523.1,1,4
2022/1/22,9176,54,588.5,7,4
2022/1/23,9176,81,882.7,28,4
2022/1/24,9176,36,392.3,2,4
2022/1/25,9176,41,446.8,9,4
2022/1/26,9176,30,326.9,7,4
2022/1/27,9176,39,425,10,4
2022/1/28,9176,16,174.4,3,4
2022/1/29,9176,16,174.4,3,4
2022/1/30,9176,18,196.2,3,4
2022/1/31,9176,23,250.7,6,5
2022/2/1,9176,19,207.1,3,5
2022/2/2,9176,21,228.9,3,5
2022/2/3,9176,20,218,3,5
2022/2/4,9176,40,435.9,2,5
2022/2/5,9176,87,948.1,3,6
2022/2/6,9176,76,828.2,9,6
2022/2/7,9176,72,784.7,9,6
2022/2/8,9176,71,773.8,9,6
2022/2/9,9176,52,566.7,4,6
2022/2/10,9176,40,435.9,2,5
2022/2/11,9176,52,566.7,16,6
2022/2/12,9176,58,632.1,11,6
2022/2/13,9176,55,599.4,5,6
2022/2/14,9176,55,599.4,8,6
2022/2/15,9176,61,664.8,13,6
2022/2/16,9176,71,773.8,12,6
2022/2/17,9176,73,795.6,14,6
2022/2/18,9176,67,730.2,7,6
2022/2/19,9176,75,817.3,14,6
2022/2/20,9176,72,784.7,6,6
2022/2/21,9176,79,860.9,18,6
2022/2/22,9176,77,839.1,6,6
2022/2/23,9176,81,882.7,16,6
2022/2/24,9176,75,817.3,5,6
2022/2/25,9176,75,817.3,12,6
2022/2/26,9176,75,817.3,9,6
2022/2/27,9176,66,719.3,6,6
2022/2/28,9176,60,653.9,4,6
2022/3/1,9176,65,708.4,13,6
2022/3/2,9176,60,653.9,7,6
2022/3/3,9176,59,643,6,6
2022/3/4,9176,58,632.1,8,6
2022/3/5,9176,58,632.1,8,6
2022/3/6,9176,51,555.8,6,6
2022/3/7,9176,48,523.1,4,6
2022/3/8,9176,63,686.6,16,6
2022/3/9,9176,53,577.6,8,6
2022/3/10,9176,48,523.1,1,6
2022/3/11,9176,54,588.5,7,6
2022/3/12,9176,81,882.7,28,6
2022/3/13,9176,36,392.3,2,5
2022/3/14,9176,41,446.8,9,5
2022/3/15,9176,30,326.9,7,5
2022/3/16,9176,39,425,10,5
2022/3/17,9176,45,490.4,12,5
2022/3/18,9176,48,523.1,8,6
2022/3/19,9176,46,501.3,4,6
2022/3/20,9176,46,501.3,11,6
2022/3/21,9176,59,643,20,6
2022/3/22,9176,81,882.7,28,6
2022/3/23,9176,98,1068,30,7
2022/3/24,9176,115,1253.3,27,7
2022/3/25,9176,162,1765.5,53,7
2022/3/26,9176,188,2048.8,31,7
2022/3/27,9176,200,2179.6,25,7
2022/3/28,9176,219,2386.7,44,7
2022/3/29,9176,221,2408.5,36,7
2022/3/30,9176,227,2473.8,44,7
2022/3/31,9176,231,2517.4,44,7
2022/4/1,9176,223,2430.3,31,7
2022/4/2,9176,218,2375.8,30,7
2022/4/3,9176,202,2201.4,9,7
2022/4/4,9176,197,2146.9,26,7
2022/4/5,9176,170,1852.7,24,7
2022/4/6,9176,65,708.4,11,6
2022/4/7,9176,125,1362.2,17,7
2022/4/8,9176,104,1133.4,15,7
2022/4/9,9176,109,1187.9,19,7
2022/4/10,9176,104,1133.4,11,7
2022/4/11,9176,89,969.9,15,6
2022/4/12,9176,76,828.2,9,6
2022/4/13,9176,68,741.1,11,6
2022/4/14,9176,70,762.9,16,6
2022/4/15,9176,65,708.4,5,6
2022/4/16,9176,65,708.4,11,6
2022/4/17,9176,62,675.7,11,6
2022/4/18,9176,68,741.1,15,6
2022/4/19,9176,71,773.8,11,6
2022/4/20,9176,73,795.6,16,6
2022/4/21,9176,73,795.6,14,6
2022/4/22,9176,82,893.6,13,6
2022/4/23,9176,81,882.7,11,6
2022/4/24,9176,73,795.6,10,6
2022/4/25,9176,75,817.3,13,6
2022/4/26,9176,75,817.3,11,6
2022/4/27,9176,64,697.5,10,6
2022/4/28,9176,72,784.7,22,6
2022/4/29,9176,80,871.8,20,6
2022/4/30,9176,78,850,7,6
2022/5/1,9176,64,697.5,4,6
2022/5/2,9176,129,1405.8,22,7
2022/5/3,9176,66,719.3,14,6
2022/5/4,9176,64,697.5,13,6
2022/5/5,9176,67,730.2,23,6
2022/5/6,9176,75,817.3,15,6
2022/5/7,9176,88,959,21,6
2022/5/8,9176,97,1057.1,17,7
2022/5/9,9176,110,1198.8,22,7
2022/5/10,9176,117,1275.1,21,7
2022/5/11,9176,68,741.1,10,6
2022/5/12,9176,129,1405.8,22,7
2022/5/13,9176,73,795.6,10,6
2022/5/14,9176,116,1264.2,9,7
2022/5/15,9176,106,1155.2,10,7
2022/5/16,9176,75,817.3,15,6
2022/5/17,9176,84,915.4,10,6
2022/5/18,9176,56,610.3,12,6
2022/5/19,9176,74,806.5,15,6
2022/5/20,9176,72,784.7,16,6
2022/5/21,9176,68,741.1,10,6
2022/5/22,9176,73,795.6,13,6
2022/5/23,9176,73,795.6,10,6
2022/5/24,9176,116,1264.2,9,7
2022/5/25,9176,57,621.2,10,6
2022/5/26,9176,75,817.3,15,6
2022/5/27,9176,51,555.8,10,6
2022/5/28,9176,56,610.3,12,6
2022/5/29,9176,57,621.2,9,6
2022/5/30,9176,56,610.3,6,6
2022/5/31,9176,61,664.8,15,6
2022/6/1,9176,61,664.8,9,6
2022/6/2,9176,70,762.9,17,6
2022/6/3,9176,64,697.5,5,6
2022/6/4,9176,68,741.1,13,6
2022/6/5,9176,64,697.5,5,6
2022/6/6,9176,68,741.1,16,6
2022/6/7,9176,67,730.2,12,6
2022/6/8,9176,69,752,11,6
2022/6/9,9176,57,621.2,3,6
2022/6/10,9176,80,871.8,10,6
2022/6/11,9176,80,871.8,14,6
2022/6/12,9176,56,610.3,10,6
2022/6/13,9176,59,643,11,6
2022/6/14,9176,52,566.7,7,6
2022/6/15,9176,70,762.9,13,6
2022/6/16,9176,68,741.1,16,6
2022/6/17,9176,72,784.7,14,6
2022/6/18,9176,69,752,11,6
2022/6/19,9176,57,621.2,3,6
2022/6/20,9176,57,621.2,7,6
2022/6/21,9176,60,653.9,15,6
2022/6/22,9176,56,610.3,10,6
2022/6/23,9176,59,643,11,6
2022/6/24,9176,52,566.7,7,6
2022/6/25,9176,54,588.5,9,6
2022/6/26,9176,61,664.8,11,6
2022/6/27,9176,67,730.2,17,6
2022/6/28,9176,70,762.9,14,6
2022/6/29,9176,73,795.6,10,6
2022/6/30,9176,75,817.3,12,6
