date,population,active,rate,new,band
2022/1/1,93448,1295,1385.8,159,7
2022/1/2,93448,855,914.9,150,7
2022/1/3,93448,1192,1275.6,188,7
2022/1/4,93448,882,943.8,109,7
2022/1/5,93448,1075,1150.4,169,7
2022/1/6,93448,1001,1071.2,148,7
2022/1/7,93448,960,1027.3,169,7
2022/1/8,93448,902,965.2,120,7
2022/1/9,93448,904,967.4,183,7
2022/1/10,93448,873,934.2,156,7
2022/1/11,93448,885,947.1,141,7
2022/1/12,93448,887,949.2,138,7
2022/1/13,93448,854,913.9,96,7
2022/1/14,93448,615,658.1,92,7
2022/1/15,93448,714,764.1,146,6
2022/1/16,93448,731,782.3,103,6
2022/1/17,93448,742,794,98,6
2022/1/18,93448,774,828.3,104,6
2022/1/19,93448,833,891.4,165,6
2022/1/20,93448,844,903.2,158,6
2022/1/21,93448,840,898.9,160,6
2022/1/22,93448,851,910.7,141,6
2022/1/23,93448,873,934.2,127,6
2022/1/24,93448,562,601.4,81,6
2022/1/25,93448,567,606.8,102,6
2022/1/26,93448,542,580,74,6
2022/1/27,93448,540,577.9,77,6
2022/1/28,93448,514,550,52,6
2022/1/29,93448,485,519,49,6
2022/1/30,93448,527,564,65,6
2022/1/31,93448,542,580,48,6
2022/2/1,93448,460,492.3,66,5
2022/2/2,93448,452,483.7,89,5
2022/2/3,93448,448,479.4,84,5
2022/2/4,93448,615,658.1,92,6
2022/2/5,93448,768,821.8,85,6
2022/2/6,93448,721,771.6,69,6
2022/2/7,93448,684,732,81,6
2022/2/8,93448,642,687,121,6
2022/2/9,93448,635,679.5,116,6
2022/2/10,93448,615,658.1,92,6
2022/2/11,93448,627,671,97,6
2022/2/12,93448,634,678.5,81,6
2022/2/13,93448,644,689.2,94,6
2022/2/14,93448,648,693.4,83,6
2022/2/15,93448,576,616.4,73,6
2022/2/16,93448,562,601.4,81,6
2022/2/17,93448,567,606.8,102,6
2022/2/18,93448,542,580,74,6
2022/2/19,93448,540,577.9,77,6
2022/2/20,93448,514,550,52,6
2022/2/21,93448,485,519,49,6
2022/2/22,93448,527,564,65,6
2022/2/23,93448,465,497.6,70,5
2022/2/24,93448,451,482.6,71,5
2022/2/25,93448,483,516.9,93,6
2022/2/26,93448,483,516.9,71,6
2022/2/27,93448,472,505.1,50,6
2022/2/28,93448,478,511.5,54,6
2022/3/1,93448,447,478.3,44,5
2022/3/2,93448,459,491.2,86,5
2022/3/3,93448,460,492.3,80,5
2022/3/4,93448,447,478.3,84,5
2022/3/5,93448,447,478.3,84,5
2022/3/6,93448,414,443,46,5
2022/3/7,93448,432,462.3,68,5
2022/3/8,93448,517,553.2,97,6
2022/3/9,93448,470,503,93,6
2022/3/10,93448,519,555.4,121,6
2022/3/11,93448,624,667.8,105,6
2022/3/12,93448,833,891.4,165,6
2022/3/13,93448,582,622.8,66,6
2022/3/14,93448,601,643.1,75,6
2022/3/15,93448,568,607.8,75,6
2022/3/16,93448,634,678.5,133,6
2022/3/17,93448,683,730.9,159,6
2022/3/18,93448,714,764.1,146,6
2022/3/19,93448,731,782.3,103,6
2022/3/20,93448,742,794,98,6
2022/3/21,93448,774,828.3,104,6
2022/3/22,93448,833,891.4,165,6
2022/3/23,93448,844,903.2,158,6
2022/3/24,93448,840,898.9,160,6
2022/3/25,93448,851,910.7,141,6
2022/3/26,93448,873,934.2,127,6
2022/3/27,93448,889,951.3,107,6
2022/3/28,93448,888,950.3,128,6
2022/3/29,93448,882,943.8,174,6
2022/3/30,93448,891,953.5,178,6
2022/3/31,93448,880,941.7,149,6
2022/4/1,93448,865,925.6,130,6
2022/4/2,93448,884,946,128,6
2022/4/3,93448,882,943.8,118,6
2022/4/4,93448,873,934.2,128,6
2022/4/5,93448,886,948.1,189,6
2022/4/6,93448,887,949.2,138,6
2022/4/7,93448,890,952.4,182,6
2022/4/8,93448,913,977,159,6
2022/4/9,93448,895,957.8,120,6
2022/4/10,93448,939,1004.8,143,7
2022/4/11,93448,960,1027.3,169,7
2022/4/12,93448,902,965.2,120,6
2022/4/13,93448,904,967.4,183,6
2022/4/14,93448,873,934.2,156,6
2022/4/15,93448,885,947.1,141,6
2022/4/16,93448,887,949.2,138,6
2022/4/17,93448,854,913.9,96,6
2022/4/18,93448,834,892.5,112,6
2022/4/19,93448,813,870,137,6
2022/4/20,93448,822,879.6,196,6
2022/4/21,93448,827,885,169,6
2022/4/22,93448,830,888.2,144,6
2022/4/23,93448,832,890.3,120,6
2022/4/24,93448,806,862.5,84,6
2022/4/25,93448,795,850.7,114,6
2022/4/26,93448,795,850.7,147,6
2022/4/27,93448,760,813.3,171,6
2022/4/28,93448,816,873.2,184,6
2022/4/29,93448,815,872.1,146,6
2022/4/30,93448,873,934.2,143,6
2022/5/1,93448,889,951.3,114,6
2022/5/2,93448,1142,1222.1,232,7
2022/5/3,93448,880,941.7,153,6
2022/5/4,93448,835,893.5,144,6
2022/5/5,93448,845,904.2,165,6
2022/5/6,93448,855,914.9,150,6
2022/5/7,93448,845,904.2,132,6
2022/5/8,93448,842,901,110,6
2022/5/9,93448,903,966.3,164,6
2022/5/10,93448,985,1054.1,243,7
2022/5/11,93448,970,1038,140,7
2022/5/12,93448,1142,1222.1,232,7
2022/5/13,93448,888,950.3,109,6
2022/5/14,93448,1271,1360.1,198,7
2022/5/15,93448,1295,1385.8,159,7
2022/5/16,93448,855,914.9,150,6
2022/5/17,93448,1192,1275.6,188,7
2022/5/18,93448,882,943.8,109,6
2022/5/19,93448,1075,1150.4,169,7
2022/5/20,93448,1001,1071.2,148,7
2022/5/21,93448,970,1038,140,7
2022/5/22,93448,937,1002.7,122,7
2022/5/23,93448,888,950.3,109,6
2022/5/24,93448,1271,1360.1,198,7
2022/5/25,93448,864,924.6,162,6
2022/5/26,93448,855,914.9,150,6
2022/5/27,93448,896,958.8,144,6
2022/5/28,93448,882,943.8,109,6
2022/5/29,93448,851,910.7,82,6
2022/5/30,93448,839,897.8,121,6
2022/5/31,93448,783,837.9,129,6
2022/6/1,93448,750,802.6,146,6
2022/6/2,93448,711,760.9,123,6
2022/6/3,93448,759,812.2,100,6
2022/6/4,93448,762,815.4,139,6
2022/6/5,93448,759,812.2,100,6
2022/6/6,93448,613,656,123,6
2022/6/7,93448,740,791.9,146,6
2022/6/8,93448,632,676.3,110,6
2022/6/9,93448,616,659.2,83,6
2022/6/10,93448,736,787.6,114,6
2022/6/11,93448,704,753.4,109,6
2022/6/12,93448,596,637.8,109,6
2022/6/13,93448,585,626,96,6
2022/6/14,93448,620,663.5,125,6
2022/6/15,93448,613,656,141,6
2022/6/16,93448,613,656,123,6
2022/6/17,93448,610,652.8,111,6
2022/6/18,93448,632,676.3,110,6
2022/6/19,93448,616,659.2,83,6
2022/6/20,93448,595,636.7,63,6
2022/6/21,93448,617,660.3,95,6
2022/6/22,93448,596,637.8,109,6
2022/6/23,93448,585,626,96,6
2022/6/24,93448,620,663.5,125,6
2022/6/25,93448,588,629.2,81,6
2022/6/26,93448,584,624.9,76,6
2022/6/27,93448,611,653.8,88,6
2022/6/28,93448,616,659.2,113,6
2022/6/29,93448,669,715.9,153,6
2022/6/30,93448,671,718,141,6
2022/7/1,93448,670,717,109,6
2022/7/2,93448,667,713.8,79,6
2022/7/3,93448,701,750.1,115,6
2022/7/4,93448,709,758.7,96,6
2022/7/5,93448,691,739.4,120,6
2022/7/6,93448,709,758.7,152,6
2022/7/7,93448,727,778,141,6
2022/7/8,93448,770,824,156,6
2022/7/9,93448,803,859.3,150,6
2022/7/10,93448,981,1049.8,181,7
2022/7/11,93448,861,921.4,120,6
2022/7/12,93448,996,1065.8,146,7
2022/7/13,93448,990,1059.4,139,7
2022/7/14,93448,877,938.5,150,6
2022/7/15,93448,899,962,158,6
2022/7/16,93448,907,970.6,136,6
2022/7/17,93448,916,980.2,143,6
2022/7/18,93448,961,1028.4,160,7
2022/7/19,93448,958,1025.2,184,7
2022/7/20,93448,981,1049.8,181,7
2022/7/21,93448,1029,1101.1,210,7
2022/7/22,93448,996,1065.8,146,7
2022/7/23,93448,990,1059.4,139,7
2022/7/24,93448,982,1050.9,129,7
2022/7/25,93448,963,1030.5,151,7
2022/7/26,93448,941,1007,152,7
2022/7/27,93448,916,980.2,143,6
2022/7/28,93448,979,1047.6,167,7
2022/7/29,93448,955,1022,147,7
2022/7/30,93448,942,1008,125,7
2022/7/31,93448,902,965.2,106,6
2022/8/1,93448,857,917.1,110,6
2022/8/2,93448,412,440.9,64,5
2022/8/3,93448,770,824,121,6
2022/8/4,93448,712,761.9,125,6
2022/8/5,93448,678,725.5,86,6
2022/8/6,93448,335,358.5,66,5
2022/8/7,93448,315,337.1,42,5
2022/8/8,93448,591,632.4,72,6
2022/8/9,93448,536,573.6,95,6
2022/8/10,93448,499,534,81,6
2022/8/11,93448,262,280.4,31,5
2022/8/12,93448,412,440.9,64,5
2022/8/13,93448,259,277.2,52,5
2022/8/14,93448,244,261.1,36,5
2022/8/15,93448,351,375.6,29,5
