date,population,active,rate,new,band
2022/1/1,118558,1065,898.3,155,6
2022/1/2,118558,1051,886.5,135,6
2022/1/3,118558,982,828.3,90,6
2022/1/4,118558,941,793.7,101,6
2022/1/5,118558,957,807.2,115,6
2022/1/6,118558,820,691.6,135,6
2022/1/7,118558,774,652.8,117,6
2022/1/8,118558,724,610.7,101,6
2022/1/9,118558,720,607.3,104,6
2022/1/10,118558,696,587.1,75,6
2022/1/11,118558,723,609.8,117,6
2022/1/12,118558,704,593.8,132,6
2022/1/13,118558,722,609,128,6
2022/1/14,118558,761,641.9,152,6
2022/1/15,118558,769,648.6,122,5
2022/1/16,118558,914,770.9,173,5
2022/1/17,118558,607,512,84,5
2022/1/18,118558,600,506.1,80,5
2022/1/19,118558,625,527.2,149,5
2022/1/20,118558,725,611.5,159,5
2022/1/21,118558,764,644.4,162,5
2022/1/22,118558,818,690,163,5
2022/1/23,118558,854,720.3,132,5
2022/1/24,118558,869,733,99,5
2022/1/25,118558,900,759.1,145,5
2022/1/26,118558,914,770.9,173,5
2022/1/27,118558,959,808.9,216,5
2022/1/28,118558,994,838.4,205,5
2022/1/29,118558,1006,848.5,167,5
2022/1/30,118558,1059,893.2,172,5
2022/1/31,118558,1077,908.4,128,5
2022/2/1,118558,1149,969.1,217,5
2022/2/2,118558,509,429.3,126,5
2022/2/3,118558,472,398.1,84,5
2022/2/4,118558,1106,932.9,184,6
2022/2/5,118558,1119,943.8,160,6
2022/2/6,118558,1071,903.4,148,6
2022/2/7,118558,1078,909.3,166,6
2022/2/8,118558,1082,912.6,178,6
2022/2/9,118558,1106,932.9,216,6
2022/2/10,118558,1106,932.9,184,6
2022/2/11,118558,1096,924.4,159,6
2022/2/12,118558,1099,927,164,6
2022/2/13,118558,1104,931.2,142,6
2022/2/14,118558,1109,935.4,157,6
2022/2/15,118558,1042,878.9,171,6
2022/2/16,118558,1057,891.5,204,6
2022/2/17,118558,1077,908.4,172,6
2022/2/18,118558,1065,898.3,155,6
2022/2/19,118558,1051,886.5,135,6
2022/2/20,118558,982,828.3,90,6
2022/2/21,118558,941,793.7,101,6
2022/2/22,118558,957,807.2,115,6
2022/2/23,118558,820,691.6,135,6
2022/2/24,118558,774,652.8,117,6
2022/2/25,118558,724,610.7,101,6
2022/2/26,118558,720,607.3,104,6
2022/2/27,118558,696,587.1,75,6
2022/2/28,118558,723,609.8,117,6
2022/3/1,118558,704,593.8,132,6
2022/3/2,118558,722,609,128,6
2022/3/3,118558,761,641.9,152,6
2022/3/4,118558,769,648.6,122,6
2022/3/5,118558,769,648.6,122,6
2022/3/6,118558,764,644.4,101,6
2022/3/7,118558,730,615.7,94,6
2022/3/8,118558,768,647.8,108,6
2022/3/9,118558,675,569.3,103,6
2022/3/10,118558,646,544.9,121,6
2022/3/11,118558,753,635.1,110,6
2022/3/12,118558,914,770.9,173,6
2022/3/13,118558,607,512,84,6
2022/3/14,118558,600,506.1,80,6
2022/3/15,118558,625,527.2,149,6
2022/3/16,118558,725,611.5,159,6
2022/3/17,118558,764,644.4,162,6
2022/3/18,118558,818,690,163,6
2022/3/19,118558,854,720.3,132,6
2022/3/20,118558,869,733,99,6
2022/3/21,118558,900,759.1,145,6
2022/3/22,118558,914,770.9,173,6
2022/3/23,118558,959,808.9,216,6
2022/3/24,118558,994,838.4,205,6
2022/3/25,118558,1006,848.5,167,6
2022/3/26,118558,1059,893.2,172,6
2022/3/27,118558,1077,908.4,128,6
2022/3/28,118558,1149,969.1,217,6
2022/3/29,118558,1144,964.9,183,6
2022/3/30,118558,1150,970,230,6
2022/3/31,118558,1189,1002.9,241,7
2022/4/1,118558,1189,1002.9,180,7
2022/4/2,118558,1199,1011.3,172,7
2022/4/3,118558,1213,1023.1,185,7
2022/4/4,118558,1245,1050.1,223,7
2022/4/5,118558,1234,1040.8,215,7
2022/4/6,118558,1107,933.7,188,6
2022/4/7,118558,1250,1054.3,272,7
2022/4/8,118558,1289,1087.2,213,7
2022/4/9,118558,1283,1082.2,178,7
2022/4/10,118558,1313,1107.5,225,7
2022/4/11,118558,1289,1087.2,199,7
2022/4/12,118558,1234,1040.8,179,7
2022/4/13,118558,1124,948.1,161,6
2022/4/14,118558,1099,927,207,6
2022/4/15,118558,1118,943,198,6
2022/4/16,118558,1107,933.7,188,6
2022/4/17,118558,1118,943,170,6
2022/4/18,118558,1057,891.5,154,6
2022/4/19,118558,1033,871.3,155,6
2022/4/20,118558,1028,867.1,211,6
2022/4/21,118558,1000,843.5,188,6
2022/4/22,118558,1010,851.9,182,6
2022/4/23,118558,999,842.6,145,6
2022/4/24,118558,1014,855.3,159,6
2022/4/25,118558,1027,866.2,168,6
2022/4/26,118558,1009,851.1,161,6
2022/4/27,118558,1000,843.5,203,6
2022/4/28,118558,995,839.3,190,6
2022/4/29,118558,1035,873,203,6
2022/4/30,118558,1046,882.3,164,6
2022/5/1,118558,1056,890.7,163,6
2022/5/2,118558,1324,1116.8,256,7
2022/5/3,118558,1141,962.4,222,6
2022/5/4,118558,1154,973.4,207,6
2022/5/5,118558,1187,1001.2,242,7
2022/5/6,118558,1219,1028.2,197,7
2022/5/7,118558,1233,1040,173,7
2022/5/8,118558,1237,1043.4,165,7
2022/5/9,118558,1243,1048.4,194,7
2022/5/10,118558,1225,1033.2,225,7
2022/5/11,118558,1639,1382.4,247,7
2022/5/12,118558,1324,1116.8,256,7
2022/5/13,118558,1532,1292.2,177,7
2022/5/14,118558,1483,1250.9,239,7
2022/5/15,118558,1527,1288,235,7
2022/5/16,118558,1219,1028.2,197,7
2022/5/17,118558,1591,1342,309,7
2022/5/18,118558,1341,1131.1,180,7
2022/5/19,118558,1632,1376.5,294,7
2022/5/20,118558,1620,1366.4,234,7
2022/5/21,118558,1639,1382.4,247,7
2022/5/22,118558,1638,1381.6,224,7
2022/5/23,118558,1532,1292.2,177,7
2022/5/24,118558,1483,1250.9,239,7
2022/5/25,118558,1459,1230.6,294,7
2022/5/26,118558,1219,1028.2,197,7
2022/5/27,118558,1412,1191,214,7
2022/5/28,118558,1341,1131.1,180,7
2022/5/29,118558,1309,1104.1,171,7
2022/5/30,118558,1267,1068.7,176,7
2022/5/31,118558,1235,1041.7,213,7
2022/6/1,118558,1222,1030.7,238,7
2022/6/2,118558,1198,1010.5,200,7
2022/6/3,118558,1161,979.3,138,6
2022/6/4,118558,1193,1006.3,159,7
2022/6/5,118558,1161,979.3,138,6
2022/6/6,118558,897,756.6,169,6
2022/6/7,118558,1081,911.8,189,6
2022/6/8,118558,868,732.1,118,6
2022/6/9,118558,888,749,148,6
2022/6/10,118558,1051,886.5,182,6
2022/6/11,118558,1025,864.6,144,6
2022/6/12,118558,903,761.7,179,6
2022/6/13,118558,893,753.2,197,6
2022/6/14,118558,932,786.1,192,6
2022/6/15,118558,907,765,231,6
2022/6/16,118558,897,756.6,169,6
2022/6/17,118558,895,754.9,179,6
2022/6/18,118558,868,732.1,118,6
2022/6/19,118558,888,749,148,6
