date,population,active,rate,new,band
2022/1/1,178955,1021,570.5,190,7
2022/1/2,178955,1134,633.7,251,7
2022/1/3,178955,1200,670.6,217,7
2022/1/4,178955,1270,709.7,199,7
2022/1/5,178955,1270,709.7,199,7
2022/1/6,178955,1230,687.3,147,7
2022/1/7,178955,1219,681.2,178,7
2022/1/8,178955,1330,743.2,176,7
2022/1/9,178955,1119,625.3,197,7
2022/1/10,178955,1172,654.9,257,7
2022/1/11,178955,1356,757.7,190,7
2022/1/12,178955,1591,889.1,297,7
2022/1/13,178955,1143,638.7,127,7
2022/1/14,178955,1095,611.9,115,7
2022/1/15,178955,1062,593.4,158,5
2022/1/16,178955,1070,597.9,234,5
2022/1/17,178955,1138,635.9,311,5
2022/1/18,178955,1210,676.1,271,5
2022/1/19,178955,1270,709.7,199,5
2022/1/20,178955,1230,687.3,147,5
2022/1/21,178955,1219,681.2,178,5
2022/1/22,178955,1330,743.2,176,5
2022/1/23,178955,1119,625.3,197,5
2022/1/24,178955,1172,654.9,257,5
2022/1/25,178955,1356,757.7,190,5
2022/1/26,178955,1591,889.1,297,5
2022/1/27,178955,1143,638.7,127,5
2022/1/28,178955,1095,611.9,115,5
2022/1/29,178955,1062,593.4,158,5
2022/1/30,178955,1070,597.9,234,5
2022/1/31,178955,1138,635.9,311,5
2022/2/1,178955,714,399,143,5
2022/2/2,178955,769,429.7,251,5
2022/2/3,178955,596,333,197,5
2022/2/4,178955,932,520.8,161,6
2022/2/5,178955,1180,659.4,131,6
2022/2/6,178955,1089,608.5,165,6
2022/2/7,178955,1027,573.9,108,6
2022/2/8,178955,994,555.4,169,6
2022/2/9,178955,920,514.1,150,6
2022/2/10,178955,932,520.8,161,6
2022/2/11,178955,974,544.3,155,6
2022/2/12,178955,941,525.8,98,6
2022/2/13,178955,882,492.9,91,5
2022/2/14,178955,889,496.8,108,5
2022/2/15,178955,828,462.7,138,5
2022/2/16,178955,796,444.8,128,5
2022/2/17,178955,798,445.9,141,5
2022/2/18,178955,774,432.5,100,5
2022/2/19,178955,791,442,105,5
2022/2/20,178955,774,432.5,70,5
2022/2/21,178955,745,416.3,83,5
2022/2/22,178955,803,448.7,123,5
2022/2/23,178955,710,396.7,124,5
2022/2/24,178955,724,404.6,127,5
2022/2/25,178955,808,451.5,166,5
2022/2/26,178955,826,461.6,128,5
2022/2/27,178955,856,478.3,126,5
2022/2/28,178955,944,527.5,182,6
2022/3/1,178955,1021,570.5,190,6
2022/3/2,178955,1134,633.7,251,6
2022/3/3,178955,1200,670.6,217,6
2022/3/4,178955,1270,709.7,199,6
2022/3/5,178955,1270,709.7,199,6
2022/3/6,178955,1230,687.3,147,6
2022/3/7,178955,1219,681.2,178,6
2022/3/8,178955,1330,743.2,176,6
2022/3/9,178955,1119,625.3,197,6
2022/3/10,178955,1172,654.9,257,6
2022/3/11,178955,1356,757.7,190,6
2022/3/12,178955,1591,889.1,297,6
2022/3/13,178955,1143,638.7,127,6
2022/3/14,178955,1095,611.9,115,6
2022/3/15,178955,1062,593.4,158,6
2022/3/16,178955,1070,597.9,234,6
2022/3/17,178955,1138,635.9,311,6
2022/3/18,178955,1210,676.1,271,6
2022/3/19,178955,1316,735.4,268,6
2022/3/20,178955,1405,785.1,201,6
2022/3/21,178955,1468,820.3,211,6
2022/3/22,178955,1591,889.1,297,6
2022/3/23,178955,1653,923.7,340,6
2022/3/24,178955,1665,930.4,328,6
2022/3/25,178955,1679,938.2,278,6
2022/3/26,178955,1661,928.2,244,6
2022/3/27,178955,1665,930.4,201,6
2022/3/28,178955,1699,949.4,260,6
2022/3/29,178955,1698,948.8,314,6
2022/3/30,178955,1696,947.7,339,6
2022/3/31,178955,1680,938.8,325,6
2022/4/1,178955,1693,946,285,6
2022/4/2,178955,1722,962.3,259,6
2022/4/3,178955,1748,976.8,239,6
2022/4/4,178955,1759,982.9,244,6
2022/4/5,178955,1723,962.8,327,6
2022/4/6,178955,1661,928.2,249,6
2022/4/7,178955,1655,924.8,340,6
2022/4/8,178955,1644,918.7,274,6
2022/4/9,178955,1635,913.6,227,6
2022/4/10,178955,1658,926.5,228,6
2022/4/11,178955,1591,889.1,205,6
2022/4/12,178955,1635,913.6,334,6
2022/4/13,178955,1618,904.1,325,6
2022/4/14,178955,1618,904.1,328,6
2022/4/15,178955,1641,917,272,6
2022/4/16,178955,1661,928.2,249,6
2022/4/17,178955,1669,932.6,220,6
2022/4/18,178955,1627,909.2,225,6
2022/4/19,178955,1547,864.5,263,6
2022/4/20,178955,1542,861.7,320,6
2022/4/21,178955,1583,884.6,349,6
2022/4/22,178955,1647,920.3,319,6
2022/4/23,178955,1701,950.5,267,6
2022/4/24,178955,1702,951.1,225,6
2022/4/25,178955,1663,929.3,215,6
2022/4/26,178955,1655,924.8,295,6
2022/4/27,178955,1628,909.7,330,6
2022/4/28,178955,1601,894.6,348,6
2022/4/29,178955,1690,944.4,364,6
2022/4/30,178955,1709,955,272,6
2022/5/1,178955,1729,966.2,209,6
2022/5/2,178955,1492,833.7,302,6
2022/5/3,178955,1686,942.1,265,6
2022/5/4,178955,1626,908.6,337,6
2022/5/5,178955,1616,903,314,6
2022/5/6,178955,1598,893,300,6
2022/5/7,178955,1610,899.7,234,6
2022/5/8,178955,1573,879,177,6
2022/5/9,178955,1552,867.3,202,6
2022/5/10,178955,1524,851.6,247,6
2022/5/11,178955,1576,880.7,280,6
2022/5/12,178955,1492,833.7,302,6
2022/5/13,178955,1602,895.2,200,6
2022/5/14,178955,1501,838.8,212,6
2022/5/15,178955,1558,870.6,213,6
2022/5/16,178955,1598,893,300,6
2022/5/17,178955,1513,845.5,254,6
2022/5/18,178955,1401,782.9,172,6
2022/5/19,178955,1501,838.8,255,6
2022/5/20,178955,1542,861.7,291,6
2022/5/21,178955,1576,880.7,280,6
2022/5/22,178955,1608,898.5,240,6
2022/5/23,178955,1602,895.2,200,6
2022/5/24,178955,1501,838.8,212,6
2022/5/25,178955,1518,848.3,248,6
2022/5/26,178955,1598,893,300,6
2022/5/27,178955,1467,819.8,240,6
2022/5/28,178955,1401,782.9,172,6
2022/5/29,178955,1360,760,179,6
2022/5/30,178955,1295,723.6,173,6
2022/5/31,178955,1258,703,194,6
2022/6/1,178955,1256,701.9,253,6
2022/6/2,178955,1265,706.9,269,6
2022/6/3,178955,1231,687.9,159,6
2022/6/4,178955,1268,708.6,185,6
2022/6/5,178955,1231,687.9,159,6
2022/6/6,178955,929,519.1,187,6
2022/6/7,178955,1186,662.7,215,6
2022/6/8,178955,1005,561.6,198,6
2022/6/9,178955,1034,577.8,137,6
2022/6/10,178955,1119,625.3,185,6
2022/6/11,178955,1044,583.4,135,6
2022/6/12,178955,1186,662.7,238,6
2022/6/13,178955,1172,654.9,196,6
2022/6/14,178955,1208,675,211,6
2022/6/15,178955,931,520.2,185,6
2022/6/16,178955,929,519.1,187,6
2022/6/17,178955,940,525.3,167,6
2022/6/18,178955,1005,561.6,198,6
2022/6/19,178955,1034,577.8,137,6
2022/6/20,178955,1040,581.2,157,6
2022/6/21,178955,1114,622.5,236,6
2022/6/22,178955,1186,662.7,238,6
2022/6/23,178955,1172,654.9,196,6
2022/6/24,178955,1208,675,211,6
2022/6/25,178955,1233,689,206,6
2022/6/26,178955,1237,691.2,155,6
2022/6/27,178955,1230,687.3,171,6
2022/6/28,178955,1236,690.7,235,6
2022/6/29,178955,1266,707.4,265,6
2022/6/30,178955,1300,726.4,280,6
2022/7/1,178955,1294,723.1,225,6
2022/7/2,178955,1309,731.5,188,6
2022/7/3,178955,1408,786.8,255,6
2022/7/4,178955,1416,791.3,200,6
2022/7/5,178955,1458,814.7,283,6
2022/7/6,178955,1516,847.1,307,6
2022/7/7,178955,1585,885.7,344,6
2022/7/8,178955,1616,903,281,6
2022/7/9,178955,1628,909.7,232,6
2022/7/10,178955,1707,953.9,303,6
2022/7/11,178955,1625,908,208,6
2022/7/12,178955,1841,1028.8,324,7
2022/7/13,178955,1865,1042.2,291,7
2022/7/14,178955,1594,890.7,326,6
2022/7/15,178955,1615,902.5,294,6
2022/7/16,178955,1671,933.8,268,6
2022/7/17,178955,1656,925.4,211,6
2022/7/18,178955,1695,947.2,259,6
2022/7/19,178955,1746,975.7,344,6
2022/7/20,178955,1707,953.9,303,6
2022/7/21,178955,1813,1013.1,423,7
2022/7/22,178955,1841,1028.8,324,7
2022/7/23,178955,1865,1042.2,291,7
2022/7/24,178955,1880,1050.5,250,7
2022/7/25,178955,1844,1030.4,237,7
2022/7/26,178955,1803,1007.5,326,7
2022/7/27,178955,1656,925.4,211,6
2022/7/28,178955,1742,973.4,329,6
2022/7/29,178955,1715,958.3,279,6
2022/7/30,178955,1667,931.5,264,6
2022/7/31,178955,1580,882.9,137,6
2022/8/1,178955,1554,868.4,209,6
2022/8/2,178955,760,424.7,123,5
2022/8/3,178955,1405,785.1,239,6
2022/8/4,178955,1310,732,222,6
2022/8/5,178955,1216,679.5,164,6
2022/8/6,178955,649,362.7,137,5
2022/8/7,178955,642,358.7,111,5
2022/8/8,178955,1001,559.4,96,6
2022/8/9,178955,934,521.9,163,6
2022/8/10,178955,852,476.1,131,5
2022/8/11,178955,516,288.3,49,5
2022/8/12,178955,760,424.7,123,5
2022/8/13,178955,450,251.5,103,5
2022/8/14,178955,438,244.8,96,5
2022/8/15,178955,662,369.9,75,5
2022/8/16,178955,649,362.7,137,5
2022/8/17,178955,642,358.7,111,5
2022/8/18,178955,399,223,36,5
2022/8/19,178955,567,316.8,90,5
2022/8/20,178955,370,206.8,63,5
2022/8/21,178955,516,288.3,49,5
2022/8/22,178955,479,267.7,43,5
2022/8/23,178955,450,251.5,103,5
2022/8/24,178955,438,244.8,96,5
2022/8/25,178955,448,250.3,92,5
2022/8/26,178955,436,243.6,76,5
2022/8/27,178955,370,206.8,70,5
2022/8/28,178955,399,223,36,5
2022/8/29,178955,389,217.4,53,5
2022/8/30,178955,370,206.8,63,5
2022/8/31,178955,341,190.6,67,4
2022/9/1,178955,330,184.4,68,4
2022/9/2,178955,350,195.6,81,4
2022/9/3,178955,363,202.8,82,5
2022/9/4,178955,364,203.4,49,5
2022/9/5,178955,356,198.9,40,4
2022/9/6,178955,369,206.2,72,5
2022/9/7,178955,370,206.8,70,5
2022/9/8,178955,366,204.5,65,5
2022/9/9,178955,363,202.8,82,5
2022/9/10,178955,363,202.8,82,5
2022/9/11,178955,363,202.8,82,5
2022/9/12,178955,363,202.8,82,5
2022/9/13,178955,363,202.8,82,5
2022/9/14,178955,363,202.8,82,5
2022/9/15,178955,363,202.8,82,5
2022/9/16,178955,266,148.6,39,4
