date,population,active,rate,new,band
2022/1/1,164895,3194,1937,449,7
2022/1/2,164895,2035,1234.1,342,7
2022/1/3,164895,2005,1215.9,266,7
2022/1/4,164895,1932,1171.7,233,7
2022/1/5,164895,1953,1184.4,260,7
2022/1/6,164895,1835,1112.8,299,7
2022/1/7,164895,1779,1078.9,285,7
2022/1/8,164895,1758,1066.1,290,7
2022/1/9,164895,1690,1024.9,214,7
2022/1/10,164895,1697,1029.1,234,7
2022/1/11,164895,1596,967.9,156,7
2022/1/12,164895,1530,927.9,206,7
2022/1/13,164895,1627,986.7,223,7
2022/1/14,164895,1426,864.8,235,7
2022/1/15,164895,1386,840.5,224,7
2022/1/16,164895,1433,869,255,7
2022/1/17,164895,1405,852.1,195,7
2022/1/18,164895,1359,824.2,128,7
2022/1/19,164895,1300,788.4,143,7
2022/1/20,164895,1431,867.8,249,7
2022/1/21,164895,1479,896.9,263,7
2022/1/22,164895,1420,861.2,189,7
2022/1/23,164895,1356,822.3,208,7
2022/1/24,164895,1354,821.1,238,7
2022/1/25,164895,1341,813.2,241,7
2022/1/26,164895,1339,812,254,7
2022/1/27,164895,1315,797.5,238,7
2022/1/28,164895,1294,784.7,178,7
2022/1/29,164895,1251,758.7,150,7
2022/1/30,164895,1230,745.9,186,6
2022/1/31,164895,1251,758.7,282,6
2022/2/1,164895,1244,754.4,266,6
2022/2/2,164895,1304,790.8,306,6
2022/2/3,164895,1382,838.1,293,6
2022/2/4,164895,1951,1183.2,309,7
2022/2/5,164895,1980,1200.8,269,7
2022/2/6,164895,1894,1148.6,271,7
2022/2/7,164895,1904,1154.7,285,7
2022/2/8,164895,1935,1173.5,381,7
2022/2/9,164895,1938,1175.3,353,7
2022/2/10,164895,1951,1183.2,309,7
2022/2/11,164895,2035,1234.1,342,7
2022/2/12,164895,2005,1215.9,266,7
2022/2/13,164895,1932,1171.7,233,7
2022/2/14,164895,1953,1184.4,260,7
2022/2/15,164895,1835,1112.8,299,7
2022/2/16,164895,1779,1078.9,285,7
2022/2/17,164895,1758,1066.1,290,7
2022/2/18,164895,1690,1024.9,214,7
2022/2/19,164895,1697,1029.1,234,7
2022/2/20,164895,1596,967.9,156,6
2022/2/21,164895,1530,927.9,206,6
2022/2/22,164895,1627,986.7,223,6
2022/2/23,164895,1426,864.8,235,6
2022/2/24,164895,1386,840.5,224,6
2022/2/25,164895,1433,869,255,6
2022/2/26,164895,1405,852.1,195,6
2022/2/27,164895,1359,824.2,128,6
2022/2/28,164895,1300,788.4,143,6
2022/3/1,164895,1256,761.7,189,6
2022/3/2,164895,1239,751.4,232,6
2022/3/3,164895,1157,701.7,168,6
2022/3/4,164895,1126,682.9,174,6
2022/3/5,164895,1126,682.9,174,6
2022/3/6,164895,1058,641.6,114,6
2022/3/7,164895,1000,606.4,120,6
2022/3/8,164895,1148,696.2,180,6
2022/3/9,164895,954,578.5,180,6
2022/3/10,164895,938,568.8,155,6
2022/3/11,164895,1101,667.7,163,6
2022/3/12,164895,1182,716.8,214,6
2022/3/13,164895,938,568.8,112,6
2022/3/14,164895,975,591.3,164,6
2022/3/15,164895,981,594.9,176,6
2022/3/16,164895,912,553.1,164,6
2022/3/17,164895,983,596.1,234,6
2022/3/18,164895,1054,639.2,225,6
2022/3/19,164895,1100,667.1,189,6
2022/3/20,164895,1105,670.1,143,6
2022/3/21,164895,1141,692,168,6
2022/3/22,164895,1182,716.8,214,6
