date,population,active,rate,new,band
2022/1/1,55777,523,937.7,182,6
2022/1/2,55777,689,1235.3,148,6
2022/1/3,55777,663,1188.7,118,6
2022/1/4,55777,675,1210.2,115,6
2022/1/5,55777,689,1235.3,129,6
2022/1/6,55777,707,1267.5,112,6
2022/1/7,55777,716,1283.7,99,6
2022/1/8,55777,727,1303.4,80,6
2022/1/9,55777,685,1228.1,79,6
2022/1/10,55777,695,1246,92,6
2022/1/11,55777,658,1179.7,135,6
2022/1/12,55777,655,1174.3,122,6
2022/1/13,55777,668,1197.6,134,6
2022/1/14,55777,697,1249.6,116,6
2022/1/15,55777,692,1240.7,88,5
2022/1/16,55777,724,1298,98,5
2022/1/17,55777,697,1249.6,95,5
2022/1/18,55777,620,1111.6,76,5
2022/1/19,55777,653,1170.7,120,5
2022/1/20,55777,640,1147.4,117,5
2022/1/21,55777,613,1099,96,5
2022/1/22,55777,624,1118.7,120,5
2022/1/23,55777,609,1091.8,104,5
2022/1/24,55777,626,1122.3,92,5
2022/1/25,55777,505,905.4,67,5
2022/1/26,55777,273,489.4,56,5
2022/1/27,55777,273,489.4,56,5
2022/1/28,55777,273,489.4,56,5
2022/1/29,55777,273,489.4,56,5
2022/1/30,55777,275,493,41,5
2022/1/31,55777,301,539.6,27,6
2022/2/1,55777,199,356.8,7,5
2022/2/2,55777,205,367.5,53,5
2022/2/3,55777,227,407,37,5
2022/2/4,55777,624,1118.7,120,7
2022/2/5,55777,661,1185.1,97,7
2022/2/6,55777,626,1122.3,45,7
2022/2/7,55777,653,1170.7,120,7
2022/2/8,55777,640,1147.4,117,7
2022/2/9,55777,613,1099,96,7
2022/2/10,55777,624,1118.7,120,7
2022/2/11,55777,609,1091.8,104,7
2022/2/12,55777,626,1122.3,92,7
2022/2/13,55777,623,1116.9,73,7
2022/2/14,55777,689,1235.3,148,7
2022/2/15,55777,663,1188.7,118,7
2022/2/16,55777,675,1210.2,115,7
2022/2/17,55777,689,1235.3,129,7
2022/2/18,55777,707,1267.5,112,7
2022/2/19,55777,716,1283.7,99,7
2022/2/20,55777,727,1303.4,80,7
2022/2/21,55777,685,1228.1,79,7
2022/2/22,55777,695,1246,92,7
2022/2/23,55777,658,1179.7,135,7
2022/2/24,55777,655,1174.3,122,7
2022/2/25,55777,668,1197.6,134,7
2022/2/26,55777,697,1249.6,116,7
2022/2/27,55777,692,1240.7,88,7
2022/2/28,55777,724,1298,98,7
2022/3/1,55777,697,1249.6,95,7
2022/3/2,55777,620,1111.6,76,7
2022/3/3,55777,595,1066.7,96,7
2022/3/4,55777,576,1032.7,96,7
2022/3/5,55777,576,1032.7,96,7
2022/3/6,55777,526,943,67,6
2022/3/7,55777,512,917.9,77,6
2022/3/8,55777,576,1032.7,104,7
2022/3/9,55777,505,905.4,67,6
2022/3/10,55777,512,917.9,104,6
2022/3/11,55777,586,1050.6,76,7
2022/3/12,55777,604,1082.9,104,7
2022/3/13,55777,479,858.8,70,6
2022/3/14,55777,486,871.3,64,6
2022/3/15,55777,446,799.6,80,6
2022/3/16,55777,464,831.9,116,6
2022/3/17,55777,494,885.7,106,6
2022/3/18,55777,515,923.3,93,6
2022/3/19,55777,544,975.3,91,6
2022/3/20,55777,558,1000.4,76,7
2022/3/21,55777,573,1027.3,98,7
2022/3/22,55777,604,1082.9,104,7
2022/3/23,55777,584,1047,101,7
2022/3/24,55777,573,1027.3,97,7
2022/3/25,55777,559,1002.2,78,7
2022/3/26,55777,556,996.8,79,6
2022/3/27,55777,559,1002.2,75,7
2022/3/28,55777,572,1025.5,111,7
2022/3/29,55777,566,1014.8,106,7
2022/3/30,55777,589,1056,120,7
2022/3/31,55777,609,1091.8,98,7
2022/4/1,55777,647,1160,124,7
2022/4/2,55777,614,1100.8,81,7
2022/4/3,55777,619,1109.8,77,7
2022/4/4,55777,635,1138.5,100,7
2022/4/5,55777,594,1065,102,7
2022/4/6,55777,431,772.7,65,6
2022/4/7,55777,580,1039.9,105,7
2022/4/8,55777,573,1027.3,105,7
2022/4/9,55777,553,991.4,69,6
2022/4/10,55777,565,1013,73,7
2022/4/11,55777,553,991.4,87,6
2022/4/12,55777,514,921.5,80,6
2022/4/13,55777,505,905.4,89,6
2022/4/14,55777,463,830.1,75,6
