date,population,active,rate,new,band
2022/1/1,46082,546,1184.8,78,5
2022/1/2,46082,567,1230.4,77,5
2022/1/3,46082,489,1061.2,72,5
2022/1/4,46082,446,967.8,60,5
2022/1/5,46082,429,930.9,53,5
2022/1/6,46082,416,902.7,55,5
2022/1/7,46082,406,881,46,5
2022/1/8,46082,395,857.2,60,5
2022/1/9,46082,377,818.1,63,5
2022/1/10,46082,393,852.8,77,5
2022/1/11,46082,398,863.7,54,5
2022/1/12,46082,397,861.5,50,5
2022/1/13,46082,397,861.5,50,5
2022/1/14,46082,340,737.8,66,5
2022/1/15,46082,346,750.8,52,5
2022/1/16,46082,336,729.1,39,5
2022/1/17,46082,385,835.5,85,5
2022/1/18,46082,424,920.1,104,5
2022/1/19,46082,441,957,96,5
2022/1/20,46082,474,1028.6,93,5
2022/1/21,46082,505,1095.9,86,5
2022/1/22,46082,520,1128.4,77,5
2022/1/23,46082,526,1141.4,49,5
2022/1/24,46082,509,1104.6,74,5
2022/1/25,46082,501,1087.2,90,5
2022/1/26,46082,509,1104.6,106,5
2022/1/27,46082,498,1080.7,84,5
2022/1/28,46082,547,1187,95,5
2022/1/29,46082,543,1178.3,71,5
2022/1/30,46082,532,1154.5,59,5
2022/1/31,46082,496,1076.3,59,5
2022/2/1,46082,479,1039.5,75,5
2022/2/2,46082,492,1067.7,111,5
2022/2/3,46082,532,1154.5,108,5
2022/2/4,46082,536,1163.1,91,7
2022/2/5,46082,565,1226.1,70,7
2022/2/6,46082,550,1193.5,68,7
2022/2/7,46082,572,1241.3,86,7
2022/2/8,46082,523,1134.9,75,7
2022/2/9,46082,523,1134.9,114,7
2022/2/10,46082,510,1106.7,80,7
2022/2/11,46082,547,1187,95,7
2022/2/12,46082,543,1178.3,71,7
2022/2/13,46082,532,1154.5,59,7
2022/2/14,46082,496,1076.3,59,7
2022/2/15,46082,479,1039.5,75,7
2022/2/16,46082,492,1067.7,111,7
2022/2/17,46082,532,1154.5,108,7
2022/2/18,46082,536,1163.1,91,7
2022/2/19,46082,532,1154.5,64,7
2022/2/20,46082,533,1156.6,55,7
2022/2/21,46082,546,1184.8,78,7
2022/2/22,46082,567,1230.4,77,7
2022/2/23,46082,489,1061.2,72,7
2022/2/24,46082,446,967.8,60,6
2022/2/25,46082,429,930.9,53,6
2022/2/26,46082,416,902.7,55,6
2022/2/27,46082,406,881,46,6
2022/2/28,46082,395,857.2,60,6
2022/3/1,46082,377,818.1,63,6
2022/3/2,46082,393,852.8,77,6
2022/3/3,46082,398,863.7,54,6
2022/3/4,46082,397,861.5,50,6
2022/3/5,46082,397,861.5,50,6
2022/3/6,46082,339,735.6,38,6
2022/3/7,46082,317,687.9,36,6
2022/3/8,46082,363,787.7,53,6
2022/3/9,46082,297,644.5,53,6
2022/3/10,46082,294,638,65,6
2022/3/11,46082,330,716.1,37,6
2022/3/12,46082,424,920.1,104,6
2022/3/13,46082,294,638,39,6
2022/3/14,46082,284,616.3,33,6
2022/3/15,46082,307,666.2,68,6
2022/3/16,46082,306,664,60,6
2022/3/17,46082,316,685.7,67,6
2022/3/18,46082,340,737.8,66,6
2022/3/19,46082,346,750.8,52,6
2022/3/20,46082,336,729.1,39,6
2022/3/21,46082,385,835.5,85,6
2022/3/22,46082,424,920.1,104,6
2022/3/23,46082,441,957,96,6
2022/3/24,46082,474,1028.6,93,7
2022/3/25,46082,505,1095.9,86,7
2022/3/26,46082,520,1128.4,77,7
2022/3/27,46082,526,1141.4,49,7
2022/3/28,46082,509,1104.6,74,7
2022/3/29,46082,501,1087.2,90,7
2022/3/30,46082,509,1104.6,106,7
2022/3/31,46082,498,1080.7,84,7
2022/4/1,46082,499,1082.9,86,7
2022/4/2,46082,504,1093.7,75,7
2022/4/3,46082,524,1137.1,78,7
2022/4/4,46082,510,1106.7,73,7
2022/4/5,46082,529,1148,115,7
2022/4/6,46082,476,1032.9,85,7
2022/4/7,46082,527,1143.6,101,7
2022/4/8,46082,534,1158.8,99,7
2022/4/9,46082,532,1154.5,77,7
2022/4/10,46082,517,1121.9,65,7
2022/4/11,46082,499,1082.9,66,7
2022/4/12,46082,494,1072,81,7
2022/4/13,46082,500,1085,98,7
2022/4/14,46082,464,1006.9,84,7
2022/4/15,46082,457,991.7,77,6
2022/4/16,46082,476,1032.9,85,7
2022/4/17,46082,466,1011.2,62,7
2022/4/18,46082,428,928.8,37,6
2022/4/19,46082,373,809.4,44,6
2022/4/20,46082,359,779,64,6
2022/4/21,46082,360,781.2,69,6
2022/4/22,46082,343,744.3,59,6
2022/4/23,46082,324,703.1,47,6
2022/4/24,46082,317,687.9,43,6
2022/4/25,46082,312,677.1,42,6
2022/4/26,46082,300,651,44,6
2022/4/27,46082,302,655.4,68,6
2022/4/28,46082,293,635.8,58,6
2022/4/29,46082,297,644.5,52,6
2022/4/30,46082,288,625,43,6
2022/5/1,46082,306,664,51,6
2022/5/2,46082,626,1358.4,118,7
2022/5/3,46082,345,748.7,78,6
2022/5/4,46082,342,742.2,74,6
2022/5/5,46082,366,794.2,88,6
2022/5/6,46082,407,883.2,84,6
2022/5/7,46082,438,950.5,71,6
2022/5/8,46082,473,1026.4,75,7
2022/5/9,46082,501,1087.2,87,7
2022/5/10,46082,530,1150.1,112,7
2022/5/11,46082,516,1119.7,75,7
2022/5/12,46082,626,1358.4,118,7
2022/5/13,46082,477,1035.1,65,7
2022/5/14,46082,656,1423.5,85,7
2022/5/15,46082,658,1427.9,78,7
2022/5/16,46082,407,883.2,84,6
2022/5/17,46082,612,1328.1,98,7
2022/5/18,46082,466,1011.2,52,7
2022/5/19,46082,565,1226.1,83,7
2022/5/20,46082,525,1139.3,76,7
2022/5/21,46082,516,1119.7,75,7
2022/5/22,46082,504,1093.7,57,7
2022/5/23,46082,477,1035.1,65,7
2022/5/24,46082,656,1423.5,85,7
2022/5/25,46082,472,1024.3,80,7
2022/5/26,46082,407,883.2,84,6
2022/5/27,46082,483,1048.1,86,7
2022/5/28,46082,466,1011.2,52,7
2022/5/29,46082,463,1004.7,56,7
2022/5/30,46082,457,991.7,76,6
2022/5/31,46082,443,961.3,85,6
2022/6/1,46082,441,957,83,6
2022/6/2,46082,439,952.6,65,6
2022/6/3,46082,454,985.2,62,6
2022/6/4,46082,452,980.9,54,6
2022/6/5,46082,454,985.2,62,6
2022/6/6,46082,267,579.4,59,6
2022/6/7,46082,389,844.1,54,6
2022/6/8,46082,290,629.3,45,6
2022/6/9,46082,287,622.8,30,6
2022/6/10,46082,356,772.5,45,6
2022/6/11,46082,310,672.7,37,6
2022/6/12,46082,274,594.6,57,6
2022/6/13,46082,272,590.3,53,6
2022/6/14,46082,277,601.1,57,6
2022/6/15,46082,254,551.2,57,6
2022/6/16,46082,267,579.4,59,6
2022/6/17,46082,282,612,58,6
2022/6/18,46082,290,629.3,45,6
2022/6/19,46082,287,622.8,30,6
2022/6/20,46082,289,627.1,38,6
2022/6/21,46082,279,605.4,39,6
2022/6/22,46082,274,594.6,57,6
2022/6/23,46082,272,590.3,53,6
2022/6/24,46082,277,601.1,57,6
2022/6/25,46082,292,633.7,55,6
2022/6/26,46082,299,648.8,41,6
2022/6/27,46082,307,666.2,44,6
2022/6/28,46082,325,705.3,59,6
2022/6/29,46082,412,894.1,149,6
2022/6/30,46082,366,794.2,96,6
2022/7/1,46082,353,766,63,6
2022/7/2,46082,343,744.3,49,6
2022/7/3,46082,381,826.8,74,6
2022/7/4,46082,399,865.8,63,6
2022/7/5,46082,414,898.4,79,6
2022/7/6,46082,423,917.9,80,6
2022/7/7,46082,427,926.6,71,6
2022/7/8,46082,426,924.4,71,6
2022/7/9,46082,418,907.1,65,6
2022/7/10,46082,523,1134.9,114,7
2022/7/11,46082,433,939.6,72,6
2022/7/12,46082,621,1347.6,117,7
2022/7/13,46082,634,1375.8,95,7
2022/7/14,46082,434,941.8,74,6
2022/7/15,46082,436,946.1,78,6
2022/7/16,46082,452,980.9,78,6
2022/7/17,46082,483,1048.1,78,7
2022/7/18,46082,486,1054.6,78,7
2022/7/19,46082,497,1078.5,95,7
