date,population,active,rate,new,band
2022/1/1,29925,201,671.7,59,6
2022/1/2,29925,187,624.9,35,6
2022/1/3,29925,170,568.1,27,6
2022/1/4,29925,182,608.2,37,6
2022/1/5,29925,177,591.5,30,6
2022/1/6,29925,174,581.5,21,6
2022/1/7,29925,162,541.4,12,6
2022/1/8,29925,168,561.4,30,6
2022/1/9,29925,171,571.4,27,6
2022/1/10,29925,184,614.9,44,6
2022/1/11,29925,184,614.9,39,6
2022/1/12,29925,200,668.3,44,6
2022/1/13,29925,215,718.5,37,6
2022/1/14,29925,214,715.1,23,6
2022/1/15,29925,229,765.2,42,5
2022/1/16,29925,236,788.6,43,5
2022/1/17,29925,169,564.7,28,5
2022/1/18,29925,147,491.2,22,5
2022/1/19,29925,175,584.8,35,5
2022/1/20,29925,151,504.6,35,5
2022/1/21,29925,167,558.1,35,5
2022/1/22,29925,198,661.7,30,5
2022/1/23,29925,187,624.9,35,5
2022/1/24,29925,200,668.3,29,5
2022/1/25,29925,206,688.4,29,5
2022/1/26,29925,190,634.9,33,5
2022/1/27,29925,222,741.9,55,5
2022/1/28,29925,215,718.5,23,5
2022/1/29,29925,216,721.8,33,5
2022/1/30,29925,80,267.3,10,5
2022/1/31,29925,82,274,12,5
2022/2/1,29925,260,868.8,10,5
2022/2/2,29925,236,788.6,68,5
2022/2/3,29925,230,768.6,55,5
2022/2/4,29925,208,695.1,41,6
2022/2/5,29925,204,681.7,43,7
2022/2/6,29925,332,1109.4,33,7
2022/2/7,29925,327,1092.7,43,7
2022/2/8,29925,312,1042.6,57,7
2022/2/9,29925,300,1002.5,52,7
2022/2/10,29925,297,992.5,41,6
2022/2/11,29925,303,1012.5,49,7
2022/2/12,29925,299,999.2,33,6
2022/2/13,29925,291,972.4,39,6
2022/2/14,29925,287,959.1,38,6
2022/2/15,29925,260,868.8,33,6
2022/2/16,29925,236,788.6,37,6
2022/2/17,29925,230,768.6,27,6
2022/2/18,29925,208,695.1,27,6
2022/2/19,29925,204,681.7,31,6
2022/2/20,29925,183,611.5,11,6
2022/2/21,29925,180,601.5,29,6
2022/2/22,29925,187,624.9,27,6
2022/2/23,29925,175,584.8,37,6
2022/2/24,29925,174,581.5,24,6
2022/2/25,29925,168,561.4,36,6
2022/2/26,29925,157,524.6,21,6
2022/2/27,29925,155,518,21,6
2022/2/28,29925,148,494.6,16,5
2022/3/1,29925,161,538,40,6
2022/3/2,29925,167,558.1,27,6
2022/3/3,29925,164,548,27,6
2022/3/4,29925,162,541.4,24,6
2022/3/5,29925,162,541.4,24,6
2022/3/6,29925,142,474.5,17,5
2022/3/7,29925,147,491.2,22,5
2022/3/8,29925,175,584.8,35,6
