date,population,active,rate,new,band
2022/1/1,202847,1226,604.4,174,7
2022/1/2,202847,1249,615.7,214,7
2022/1/3,202847,1211,597,167,7
2022/1/4,202847,1151,567.4,109,7
2022/1/5,202847,1119,551.6,142,7
2022/1/6,202847,1091,537.8,158,7
2022/1/7,202847,1153,568.4,156,7
2022/1/8,202847,1056,520.6,167,7
2022/1/9,202847,1022,503.8,147,7
2022/1/10,202847,1071,528,200,7
2022/1/11,202847,1131,557.6,199,7
2022/1/12,202847,1197,590.1,196,7
2022/1/13,202847,1259,620.7,210,7
2022/1/14,202847,1250,616.2,190,7
2022/1/15,202847,1311,646.3,223,5
2022/1/16,202847,1377,678.8,225,5
2022/1/17,202847,1401,690.7,228,5
2022/1/18,202847,1401,690.7,228,5
2022/1/19,202847,1377,678.8,236,5
2022/1/20,202847,1429,704.5,243,5
2022/1/21,202847,1434,706.9,194,5
2022/1/22,202847,1499,739,232,5
2022/1/23,202847,1523,750.8,256,5
2022/1/24,202847,1482,730.6,293,5
2022/1/25,202847,1490,734.5,250,5
2022/1/26,202847,1496,737.5,262,5
2022/1/27,202847,1517,747.9,218,5
2022/1/28,202847,1513,745.9,212,5
2022/1/29,202847,1529,753.8,228,5
2022/1/30,202847,1531,754.8,319,5
2022/1/31,202847,1622,799.6,352,5
2022/2/1,202847,1674,825.3,330,5
2022/2/2,202847,1704,840,277,5
2022/2/3,202847,1766,870.6,290,5
2022/2/4,202847,1785,880,245,6
2022/2/5,202847,1568,773,207,6
2022/2/6,202847,1447,713.3,159,6
2022/2/7,202847,1378,679.3,194,6
2022/2/8,202847,1314,647.8,219,6
2022/2/9,202847,1323,652.2,265,6
2022/2/10,202847,1312,646.8,231,6
2022/2/11,202847,1308,644.8,173,6
2022/2/12,202847,1343,662.1,201,6
2022/2/13,202847,1360,670.5,207,6
2022/2/14,202847,1341,661.1,190,6
2022/2/15,202847,1303,642.4,202,6
2022/2/16,202847,1226,604.4,174,6
2022/2/17,202847,1249,615.7,214,6
2022/2/18,202847,1211,597,167,6
2022/2/19,202847,1151,567.4,109,6
2022/2/20,202847,1119,551.6,142,6
2022/2/21,202847,1091,537.8,158,6
2022/2/22,202847,1153,568.4,156,6
2022/2/23,202847,1056,520.6,167,6
2022/2/24,202847,1022,503.8,147,6
2022/2/25,202847,1071,528,200,6
2022/2/26,202847,1131,557.6,199,6
2022/2/27,202847,1197,590.1,196,6
2022/2/28,202847,1259,620.7,210,6
2022/3/1,202847,1250,616.2,190,6
2022/3/2,202847,1311,646.3,223,6
2022/3/3,202847,1377,678.8,225,6
2022/3/4,202847,1401,690.7,228,6
2022/3/5,202847,1401,690.7,228,6
2022/3/6,202847,1264,623.1,161,6
2022/3/7,202847,1245,613.8,199,6
2022/3/8,202847,1410,695.1,241,6
2022/3/9,202847,1310,645.8,255,6
2022/3/10,202847,1283,632.5,221,6
2022/3/11,202847,1478,728.6,207,6
2022/3/12,202847,1523,750.8,256,6
2022/3/13,202847,1316,648.8,173,6
2022/3/14,202847,1279,630.5,163,6
2022/3/15,202847,1198,590.6,202,6
2022/3/16,202847,1254,618.2,281,6
2022/3/17,202847,1336,658.6,297,6
2022/3/18,202847,1377,678.8,236,6
2022/3/19,202847,1429,704.5,243,6
2022/3/20,202847,1434,706.9,194,6
2022/3/21,202847,1499,739,232,6
2022/3/22,202847,1523,750.8,256,6
2022/3/23,202847,1482,730.6,293,6
2022/3/24,202847,1490,734.5,250,6
2022/3/25,202847,1496,737.5,262,6
2022/3/26,202847,1517,747.9,218,6
2022/3/27,202847,1513,745.9,212,6
2022/3/28,202847,1529,753.8,228,6
2022/3/29,202847,1531,754.8,319,6
2022/3/30,202847,1622,799.6,352,6
2022/3/31,202847,1674,825.3,330,6
2022/4/1,202847,1704,840,277,6
2022/4/2,202847,1766,870.6,290,6
2022/4/3,202847,1785,880,245,6
2022/4/4,202847,1805,889.8,307,6
2022/4/5,202847,1782,878.5,335,6
2022/4/6,202847,1643,810,294,6
2022/4/7,202847,1749,862.2,337,6
2022/4/8,202847,1774,874.6,300,6
2022/4/9,202847,1791,882.9,286,6
2022/4/10,202847,1821,897.7,289,6
