date,population,active,rate,new,band
2022/1/1,130294,1011,775.9,196,7
2022/1/2,130294,1068,819.7,180,7
2022/1/3,130294,1110,851.9,147,7
2022/1/4,130294,1132,868.8,152,7
2022/1/5,130294,1167,895.7,230,7
2022/1/6,130294,1205,924.8,246,7
2022/1/7,130294,1231,944.8,219,7
2022/1/8,130294,1239,950.9,198,7
2022/1/9,130294,1271,975.5,201,7
2022/1/10,130294,1303,1000,172,7
2022/1/11,130294,1310,1005.4,204,7
2022/1/12,130294,1305,1001.6,248,7
2022/1/13,130294,1123,861.9,179,7
2022/1/14,130294,1276,979.3,235,7
2022/1/15,130294,1324,1016.2,257,6
2022/1/16,130294,1327,1018.5,189,6
2022/1/17,130294,1343,1030.7,174,6
2022/1/18,130294,1330,1020.8,162,6
2022/1/19,130294,1243,954,189,6
2022/1/20,130294,1222,937.9,208,6
2022/1/21,130294,1187,911,233,6
2022/1/22,130294,1159,889.5,200,6
2022/1/23,130294,1123,861.9,179,6
2022/1/24,130294,975,748.3,109,6
2022/1/25,130294,955,733,131,6
2022/1/26,130294,964,739.9,138,6
2022/1/27,130294,902,692.3,159,6
2022/1/28,130294,942,723,166,6
2022/1/29,130294,989,759.1,181,6
2022/1/30,130294,869,667,98,6
2022/1/31,130294,875,671.6,112,6
2022/2/1,130294,864,663.1,149,6
2022/2/2,130294,844,647.8,172,5
2022/2/3,130294,878,673.9,192,5
2022/2/4,130294,804,617.1,125,6
2022/2/5,130294,756,580.2,131,6
2022/2/6,130294,1023,785.1,119,6
2022/2/7,130294,998,766,142,6
2022/2/8,130294,1028,789,199,6
2022/2/9,130294,975,748.3,149,6
2022/2/10,130294,989,759.1,175,6
2022/2/11,130294,981,752.9,135,6
2022/2/12,130294,975,748.3,109,6
2022/2/13,130294,955,733,131,6
2022/2/14,130294,964,739.9,138,6
2022/2/15,130294,902,692.3,159,6
2022/2/16,130294,913,700.7,144,6
2022/2/17,130294,941,722.2,173,6
2022/2/18,130294,949,728.4,157,6
2022/2/19,130294,965,740.6,130,6
2022/2/20,130294,928,712.2,69,6
2022/2/21,130294,890,683.1,90,6
2022/2/22,130294,926,710.7,125,6
2022/2/23,130294,804,617.1,125,6
2022/2/24,130294,756,580.2,131,6
2022/2/25,130294,741,568.7,128,6
2022/2/26,130294,712,546.5,98,6
2022/2/27,130294,705,541.1,74,6
2022/2/28,130294,670,514.2,71,6
2022/3/1,130294,694,532.6,134,6
2022/3/2,130294,686,526.5,123,6
2022/3/3,130294,666,511.2,108,6
2022/3/4,130294,691,530.3,126,6
2022/3/5,130294,691,530.3,126,6
2022/3/6,130294,649,498.1,75,5
2022/3/7,130294,684,525,111,6
2022/3/8,130294,810,621.7,143,6
2022/3/9,130294,738,566.4,170,6
2022/3/10,130294,778,597.1,139,6
2022/3/11,130294,942,723,166,6
2022/3/12,130294,989,759.1,181,6
2022/3/13,130294,869,667,98,6
2022/3/14,130294,875,671.6,112,6
2022/3/15,130294,864,663.1,149,6
2022/3/16,130294,844,647.8,172,6
2022/3/17,130294,878,673.9,192,6
