date,population,active,rate,new,band
2022/1/1,35049,311,887.3,90,6
2022/1/2,35049,303,864.5,48,6
2022/1/3,35049,266,758.9,48,6
2022/1/4,35049,260,741.8,53,6
2022/1/5,35049,300,855.9,45,6
2022/1/6,35049,277,790.3,52,6
2022/1/7,35049,247,704.7,19,6
2022/1/8,35049,236,673.3,30,6
2022/1/9,35049,234,667.6,40,6
2022/1/10,35049,253,721.8,62,6
2022/1/11,35049,257,733.3,47,6
2022/1/12,35049,260,741.8,54,6
2022/1/13,35049,270,770.4,43,6
2022/1/14,35049,281,801.7,40,6
2022/1/15,35049,270,770.4,24,6
2022/1/16,35049,277,790.3,52,6
2022/1/17,35049,231,659.1,41,6
2022/1/18,35049,231,659.1,41,6
2022/1/19,35049,397,1132.7,58,6
2022/1/20,35049,391,1115.6,50,6
2022/1/21,35049,390,1112.7,53,6
2022/1/22,35049,371,1058.5,54,6
2022/1/23,35049,398,1135.6,79,6
2022/1/24,35049,396,1129.8,64,6
2022/1/25,35049,376,1072.8,50,6
2022/1/26,35049,383,1092.8,53,6
2022/1/27,35049,388,1107,61,6
2022/1/28,35049,277,659.1,41,6
2022/1/29,35049,231,622,37,6
2022/1/30,35049,231,616.3,31,6
2022/1/31,35049,420,622,25,6
2022/2/1,35049,415,622,37,6
2022/2/2,35049,398,582,30,6
2022/2/3,35049,390,570.6,33,6
2022/2/4,35049,390,1112.7,60,7
2022/2/5,35049,455,1298.2,65,7
2022/2/6,35049,441,1258.2,57,7
2022/2/7,35049,420,1198.3,55,7
2022/2/8,35049,415,1184.1,66,7
2022/2/9,35049,398,1135.6,63,7
2022/2/10,35049,390,1112.7,60,7
2022/2/11,35049,394,1124.1,75,7
2022/2/12,35049,397,1132.7,58,7
2022/2/13,35049,391,1115.6,50,7
2022/2/14,35049,390,1112.7,53,7
2022/2/15,35049,371,1058.5,54,7
2022/2/16,35049,398,1135.6,79,7
2022/2/17,35049,396,1129.8,64,7
2022/2/18,35049,376,1072.8,50,7
2022/2/19,35049,383,1092.8,53,7
2022/2/20,35049,388,1107,61,7
