date,population,active,rate,new,band
2022/1/1,185767,1780,958.2,328,7
2022/1/2,185767,1821,980.3,292,7
2022/1/3,185767,1871,1007.2,289,7
2022/1/4,185767,1918,1032.5,291,7
2022/1/5,185767,1936,1042.2,363,7
2022/1/6,185767,1810,974.3,274,7
2022/1/7,185767,1944,1046.5,364,7
2022/1/8,185767,1957,1053.5,321,7
2022/1/9,185767,1937,1042.7,272,7
2022/1/10,185767,1948,1048.6,259,7
2022/1/11,185767,1948,1048.6,259,7
2022/1/12,185767,2086,1122.9,368,7
2022/1/13,185767,2085,1122.4,342,7
2022/1/14,185767,2099,1129.9,331,7
2022/1/15,185767,2027,1091.2,229,6
2022/1/16,185767,1947,1048.1,221,6
2022/1/17,185767,2000,1076.6,294,6
2022/1/18,185767,1882,1013.1,334,6
2022/1/19,185767,1697,913.5,299,6
2022/1/20,185767,1815,977,302,6
2022/1/21,185767,1770,952.8,247,6
2022/1/22,185767,1720,925.9,195,6
2022/1/23,185767,1668,897.9,185,6
2022/1/24,185767,1578,849.5,250,6
2022/1/25,185767,1537,827.4,291,6
2022/1/26,185767,1521,818.8,298,6
2022/1/27,185767,1487,800.5,198,6
2022/1/28,185767,1125,605.6,191,6
2022/1/29,185767,1036,557.7,177,6
2022/1/30,185767,1055,567.9,129,6
2022/1/31,185767,980,527.5,109,6
2022/2/1,185767,902,485.6,135,5
2022/2/2,185767,935,503.3,207,6
2022/2/3,185767,866,466.2,253,5
2022/2/4,185767,1378,741.8,247,6
2022/2/5,185767,1595,858.6,196,6
2022/2/6,185767,1509,812.3,160,6
2022/2/7,185767,1512,813.9,232,6
2022/2/8,185767,1433,771.4,229,6
2022/2/9,185767,1358,731,240,6
2022/2/10,185767,1378,741.8,247,6
2022/2/11,185767,1403,755.2,201,6
2022/2/12,185767,1392,749.3,192,6
2022/2/13,185767,1350,726.7,179,6
2022/2/14,185767,1320,710.6,150,6
2022/2/15,185767,1257,676.7,214,6
2022/2/16,185767,1211,651.9,172,6
2022/2/17,185767,1224,658.9,211,6
2022/2/18,185767,1205,648.7,191,6
2022/2/19,185767,1192,641.7,152,6
2022/2/20,185767,1133,609.9,110,6
2022/2/21,185767,1072,577.1,109,6
2022/2/22,185767,1114,599.7,130,6
2022/2/23,185767,978,526.5,170,6
2022/2/24,185767,916,493.1,144,5
2022/2/25,185767,938,504.9,177,6
2022/2/26,185767,929,500.1,142,6
2022/2/27,185767,926,498.5,116,5
2022/2/28,185767,968,521.1,140,6
2022/3/1,185767,995,535.6,174,6
2022/3/2,185767,1020,549.1,191,6
2022/3/3,185767,1036,557.7,177,6
2022/3/4,185767,1067,574.4,184,6
2022/3/5,185767,1067,574.4,184,6
2022/3/6,185767,1076,579.2,148,6
2022/3/7,185767,1036,557.7,125,6
2022/3/8,185767,1216,654.6,206,6
2022/3/9,185767,1089,586.2,210,6
2022/3/10,185767,1119,602.4,228,6
2022/3/11,185767,1320,710.6,212,6
2022/3/12,185767,1663,895.2,272,6
2022/3/13,185767,1133,609.9,136,6
2022/3/14,185767,1149,618.5,164,6
2022/3/15,185767,1161,625,222,6
2022/3/16,185767,1249,672.3,298,6
2022/3/17,185767,1347,725.1,307,6
2022/3/18,185767,1488,801,325,6
