date,population,active,rate,new,band
2022/1/1,167636,1959,1168.6,318,7
2022/1/2,167636,1686,1005.8,281,7
2022/1/3,167636,1724,1028.4,258,7
2022/1/4,167636,1730,1032,245,7
2022/1/5,167636,1702,1015.3,236,7
2022/1/6,167636,1733,1033.8,378,7
2022/1/7,167636,1347,803.5,260,7
2022/1/8,167636,1719,1025.4,306,7
2022/1/9,167636,1724,1028.4,281,7
2022/1/10,167636,1656,987.9,226,7
2022/1/11,167636,1658,989,229,7
2022/1/12,167636,1592,949.7,250,7
2022/1/13,167636,1521,907.3,239,7
2022/1/14,167636,1464,873.3,264,7
2022/1/15,167636,1384,825.6,257,5
2022/1/16,167636,1331,794,213,5
2022/1/17,167636,1347,803.5,260,5
2022/1/18,167636,1322,788.6,181,5
2022/1/19,167636,1291,770.1,205,5
2022/1/20,167636,1309,780.9,255,5
2022/1/21,167636,1302,776.7,250,5
2022/1/22,167636,1322,788.6,247,5
2022/1/23,167636,1220,727.8,193,5
2022/1/24,167636,1152,687.2,151,5
2022/1/25,167636,1105,659.2,130,5
2022/1/26,167636,1030,614.4,95,5
2022/1/27,167636,1021,609.1,127,5
2022/1/28,167636,1057,630.5,161,5
2022/1/29,167636,942,561.9,161,5
2022/1/30,167636,1270,757.6,190,5
2022/1/31,167636,1331,794,243,5
2022/2/1,167636,1093,652,160,5
2022/2/2,167636,1111,662.7,152,5
2022/2/3,167636,1090,650.2,180,5
2022/2/4,167636,1148,684.8,268,6
2022/2/5,167636,1212,723,251,7
2022/2/6,167636,994,593,174,6
2022/2/7,167636,1040,620.4,172,6
2022/2/8,167636,1040,620.4,172,6
2022/2/9,167636,984,587,126,6
2022/2/10,167636,1362,812.5,248,6
2022/2/11,167636,1396,832.8,223,6
2022/2/12,167636,1378,822,190,6
2022/2/13,167636,1410,841.1,208,6
2022/2/14,167636,1349,804.7,147,6
2022/2/15,167636,1294,771.9,204,6
2022/2/16,167636,1279,763,191,6
2022/2/17,167636,1220,727.8,193,6
2022/2/18,167636,1152,687.2,151,6
2022/2/19,167636,1105,659.2,130,6
2022/2/20,167636,1030,614.4,95,6
2022/2/21,167636,1021,609.1,127,6
2022/2/22,167636,1057,630.5,161,6
2022/2/23,167636,942,561.9,161,6
2022/2/24,167636,938,559.5,173,6
2022/2/25,167636,930,554.8,135,6
2022/2/26,167636,957,570.9,140,6
2022/2/27,167636,968,577.4,123,6
2022/2/28,167636,974,581,156,6
2022/3/1,167636,959,572.1,153,6
2022/3/2,167636,971,579.2,172,6
2022/3/3,167636,994,593,174,6
2022/3/4,167636,1040,620.4,172,6
2022/3/5,167636,1040,620.4,172,6
2022/3/6,167636,984,587,126,6
2022/3/7,167636,987,588.8,144,6
2022/3/8,167636,1130,674.1,202,6
2022/3/9,167636,1071,638.9,215,6
2022/3/10,167636,1083,646,194,6
2022/3/11,167636,1270,757.6,190,6
2022/3/12,167636,1331,794,243,6
2022/3/13,167636,1093,652,160,6
2022/3/14,167636,1111,662.7,152,6
2022/3/15,167636,1090,650.2,180,6
2022/3/16,167636,1148,684.8,268,6
2022/3/17,167636,1212,723,251,6
2022/3/18,167636,1224,730.2,195,6
2022/3/19,167636,1266,755.2,209,6
2022/3/20,167636,1263,753.4,180,6
2022/3/21,167636,1304,777.9,194,6
2022/3/22,167636,1331,794,243,6
2022/3/23,167636,1312,782.6,260,6
2022/3/24,167636,1298,774.3,224,6
2022/3/25,167636,1341,799.9,235,6
2022/3/26,167636,1350,805.3,201,6
2022/3/27,167636,1388,828,213,6
2022/3/28,167636,1478,881.7,280,6
2022/3/29,167636,1494,891.2,309,6
2022/3/30,167636,1592,949.7,332,6
2022/3/31,167636,1621,967,282,6
2022/4/1,167636,1686,1005.8,281,7
2022/4/2,167636,1724,1028.4,258,7
2022/4/3,167636,1730,1032,245,7
2022/4/4,167636,1702,1015.3,236,7
2022/4/5,167636,1733,1033.8,378,7
2022/4/6,167636,1347,803.5,260,6
