date,population,active,rate,new,band
2022/1/1,19754,125,632.8,15,4
2022/1/2,19754,111,561.9,9,4
2022/1/3,19754,103,521.4,21,4
2022/1/4,19754,117,592.3,25,4
2022/1/5,19754,118,597.3,18,4
2022/1/6,19754,125,632.8,17,4
2022/1/7,19754,151,764.4,17,4
2022/1/8,19754,144,729,10,4
2022/1/9,19754,135,683.4,8,4
2022/1/10,19754,132,668.2,17,4
2022/1/11,19754,113,572,9,4
2022/1/12,19754,103,521.4,10,4
2022/1/13,19754,100,506.2,11,4
2022/1/14,19754,102,516.4,17,4
2022/1/15,19754,103,521.4,7,5
2022/1/16,19754,103,521.4,11,5
2022/1/17,19754,130,658.1,23,5
2022/1/18,19754,129,653,20,5
2022/1/19,19754,132,668.2,23,5
2022/1/20,19754,131,663.2,21,5
2022/1/21,19754,137,693.5,31,5
2022/1/22,19754,148,749.2,32,5
2022/1/23,19754,156,789.7,29,5
2022/1/24,19754,151,764.4,17,5
2022/1/25,19754,150,759.3,19,5
2022/1/26,19754,169,855.5,42,5
2022/1/27,19754,179,906.1,42,5
2022/1/28,19754,141,713.8,23,5
2022/1/29,19754,141,713.8,18,5
2022/1/30,19754,142,718.8,17,5
2022/1/31,19754,160,810,38,5
2022/2/1,19754,137,693.5,26,5
2022/2/2,19754,146,739.1,37,5
2022/2/3,19754,148,749.2,30,5
2022/2/4,19754,122,617.6,12,6
2022/2/5,19754,118,597.3,28,6
2022/2/6,19754,114,577.1,5,6
2022/2/7,19754,111,561.9,49,6
2022/2/8,19754,132,668.2,16,6
2022/2/9,19754,135,683.4,27,6
2022/2/10,19754,122,617.6,12,6
2022/2/11,19754,118,597.3,17,6
2022/2/12,19754,121,612.5,15,6
2022/2/13,19754,125,632.8,15,6
2022/2/14,19754,111,561.9,9,6
2022/2/15,19754,103,521.4,21,6
2022/2/16,19754,117,592.3,25,6
2022/2/17,19754,118,597.3,18,6
2022/2/18,19754,125,632.8,17,6
2022/2/19,19754,151,764.4,17,6
2022/2/20,19754,144,729,10,6
2022/2/21,19754,135,683.4,8,6
2022/2/22,19754,132,668.2,17,6
2022/2/23,19754,113,572,9,6
2022/2/24,19754,103,521.4,10,6
2022/2/25,19754,100,506.2,11,6
2022/2/26,19754,102,516.4,17,6
2022/2/27,19754,103,521.4,7,6
2022/2/28,19754,103,521.4,11,6
2022/3/1,19754,102,516.4,7,6
2022/3/2,19754,105,531.5,17,6
2022/3/3,19754,114,577.1,16,6
2022/3/4,19754,112,567,16,6
2022/3/5,19754,112,567,16,6
2022/3/6,19754,77,389.8,8,5
2022/3/7,19754,67,339.2,7,5
2022/3/8,19754,84,425.2,24,5
2022/3/9,19754,72,364.5,7,5
2022/3/10,19754,79,399.9,23,5
2022/3/11,19754,95,480.9,15,5
2022/3/12,19754,118,597.3,23,6
2022/3/13,19754,91,460.7,13,5
2022/3/14,19754,90,455.6,11,5
2022/3/15,19754,83,420.2,11,5
2022/3/16,19754,81,410,13,5
2022/3/17,19754,87,440.4,19,5
2022/3/18,19754,87,440.4,14,5
2022/3/19,19754,92,465.7,20,5
2022/3/20,19754,100,506.2,20,6
2022/3/21,19754,106,536.6,12,6
2022/3/22,19754,118,597.3,23,6
2022/3/23,19754,125,632.8,24,6
2022/3/24,19754,117,592.3,14,6
2022/3/25,19754,125,632.8,23,6
2022/3/26,19754,130,658.1,23,6
2022/3/27,19754,129,653,20,6
2022/3/28,19754,132,668.2,23,6
2022/3/29,19754,131,663.2,21,6
2022/3/30,19754,137,693.5,31,6
2022/3/31,19754,148,749.2,32,6
2022/4/1,19754,156,789.7,29,6
2022/4/2,19754,151,764.4,17,6
2022/4/3,19754,150,759.3,19,6
2022/4/4,19754,169,855.5,42,6
2022/4/5,19754,179,906.1,42,6
2022/4/6,19754,188,951.7,28,6
2022/4/7,19754,179,906.1,32,6
2022/4/8,19754,207,1047.9,51,7
2022/4/9,19754,218,1103.6,37,7
2022/4/10,19754,232,1174.4,39,7
2022/4/11,19754,234,1184.6,34,7
2022/4/12,19754,216,1093.4,37,7
2022/4/13,19754,213,1078.3,36,7
2022/4/14,19754,207,1047.9,40,7
2022/4/15,19754,188,951.7,33,6
