date,population,active,rate,new,band
2022/1/1,16953,145,855.3,26,6
2022/1/2,16953,150,884.8,28,6
2022/1/3,16953,138,814,10,6
2022/1/4,16953,136,802.2,19,6
2022/1/5,16953,138,814,28,6
2022/1/6,16953,129,760.9,18,6
2022/1/7,16953,89,525,20,6
2022/1/8,16953,140,825.8,29,6
2022/1/9,16953,136,802.2,21,6
2022/1/10,16953,135,796.3,19,6
2022/1/11,16953,146,861.2,26,6
2022/1/12,16953,124,731.4,11,6
2022/1/13,16953,109,643,10,6
2022/1/14,16953,103,607.6,22,6
2022/1/15,16953,90,530.9,14,5
2022/1/16,16953,94,554.5,15,5
2022/1/17,16953,89,525,20,5
2022/1/18,16953,101,595.8,27,5
2022/1/19,16953,116,684.2,24,5
2022/1/20,16953,115,678.3,22,5
2022/1/21,16953,95,560.4,13,5
2022/1/22,16953,251,1480.6,54,5
2022/1/23,16953,166,979.2,23,5
2022/1/24,16953,252,1486.5,36,5
2022/1/25,16953,265,1563.1,54,5
2022/1/26,16953,292,1722.4,60,5
2022/1/27,16953,287,1692.9,36,5
2022/1/28,16953,256,1510.1,14,5
2022/1/29,16953,260,1533.7,38,5
2022/1/30,16953,202,1191.5,24,5
2022/1/31,16953,95,560.4,13,5
2022/2/1,16953,181,1067.7,34,5
2022/2/2,16953,166,979.2,23,5
2022/2/3,16953,121,218.3,6,5
2022/2/4,16953,121,713.7,10,6
2022/2/5,16953,148,873,21,6
2022/2/6,16953,158,932,21,6
2022/2/7,16953,147,867.1,15,6
2022/2/8,16953,148,873,23,6
2022/2/9,16953,143,843.5,22,6
2022/2/10,16953,121,713.7,10,6
2022/2/11,16953,115,678.3,13,6
2022/2/12,16953,104,613.5,13,6
2022/2/13,16953,98,578.1,10,6
2022/2/14,16953,85,501.4,9,6
2022/2/15,16953,74,436.5,15,5
2022/2/16,16953,75,442.4,15,5
2022/2/17,16953,73,430.6,10,5
2022/2/18,16953,75,442.4,12,5
2022/2/19,16953,71,418.8,8,5
2022/2/20,16953,74,436.5,10,5
2022/2/21,16953,68,401.1,8,5
2022/2/22,16953,69,407,15,5
2022/2/23,16953,66,389.3,11,5
2022/2/24,16953,69,407,14,5
2022/2/25,16953,69,407,11,5
2022/2/26,16953,66,389.3,6,5
2022/2/27,16953,65,383.4,8,5
2022/2/28,16953,60,353.9,5,5
2022/3/1,16953,62,365.7,16,5
2022/3/2,16953,55,324.4,8,5
2022/3/3,16953,53,312.6,7,5
2022/3/4,16953,55,324.4,8,5
2022/3/5,16953,55,324.4,8,5
2022/3/6,16953,60,353.9,6,5
2022/3/7,16953,60,353.9,8,5
2022/3/8,16953,76,448.3,17,5
2022/3/9,16953,68,401.1,12,5
2022/3/10,16953,76,448.3,23,5
2022/3/11,16953,91,536.8,15,6
2022/3/12,16953,129,760.9,39,6
2022/3/13,16953,86,507.3,10,6
2022/3/14,16953,83,489.6,8,5
2022/3/15,16953,87,513.2,23,6
2022/3/16,16953,93,548.6,16,6
2022/3/17,16953,96,566.3,27,6
2022/3/18,16953,111,654.8,30,6
2022/3/19,16953,101,595.8,10,6
2022/3/20,16953,113,666.5,21,6
2022/3/21,16953,116,684.2,11,6
2022/3/22,16953,129,760.9,39,6
2022/3/23,16953,155,914.3,37,6
2022/3/24,16953,157,926.1,33,6
2022/3/25,16953,157,926.1,25,6
2022/3/26,16953,167,985.1,20,6
2022/3/27,16953,173,1020.5,25,7
2022/3/28,16953,176,1038.2,25,7
2022/3/29,16953,161,949.7,23,6
2022/3/30,16953,154,908.4,28,6
2022/3/31,16953,145,855.3,26,6
2022/4/1,16953,150,884.8,28,6
2022/4/2,16953,138,814,10,6
2022/4/3,16953,136,802.2,19,6
2022/4/4,16953,138,814,28,6
2022/4/5,16953,129,760.9,18,6
2022/4/6,16953,89,525,20,6
2022/4/7,16953,140,825.8,29,6
2022/4/8,16953,136,802.2,21,6
2022/4/9,16953,135,796.3,19,6
2022/4/10,16953,146,861.2,26,6
2022/4/11,16953,124,731.4,11,6
2022/4/12,16953,109,643,10,6
2022/4/13,16953,103,607.6,22,6
2022/4/14,16953,90,530.9,14,6
2022/4/15,16953,94,554.5,15,6
2022/4/16,16953,89,525,20,6
2022/4/17,16953,101,595.8,27,6
2022/4/18,16953,116,684.2,24,6
2022/4/19,16953,115,678.3,22,6
2022/4/20,16953,140,825.8,38,6
2022/4/21,16953,153,902.5,32,6
2022/4/22,16953,151,890.7,14,6
2022/4/23,16953,142,837.6,20,6
2022/4/24,16953,137,808.1,11,6
2022/4/25,16953,132,778.6,16,6
2022/4/26,16953,115,678.3,22,6
2022/4/27,16953,101,595.8,19,6
2022/4/28,16953,102,601.7,25,6
2022/4/29,16953,94,554.5,13,6
2022/4/30,16953,99,584,19,6
2022/5/1,16953,95,560.4,14,6
2022/5/2,16953,234,1380.3,63,7
2022/5/3,16953,98,578.1,18,6
2022/5/4,16953,89,525,17,6
2022/5/5,16953,90,530.9,18,6
2022/5/6,16953,95,560.4,13,6
2022/5/7,16953,106,625.3,33,6
2022/5/8,16953,114,672.4,14,6
2022/5/9,16953,145,855.3,45,6
2022/5/10,16953,177,1044.1,52,7
2022/5/11,16953,292,1722.4,60,7
2022/5/12,16953,234,1380.3,63,7
2022/5/13,16953,256,1510.1,14,7
2022/5/14,16953,260,1533.7,38,7
2022/5/15,16953,259,1527.8,25,7
2022/5/16,16953,95,560.4,13,6
2022/5/17,16953,251,1480.6,54,7
2022/5/18,16953,166,979.2,23,6
