date,population,active,rate,new,band
2022/1/1,65094,702,1078.4,168,7
2022/1/2,65094,631,969.4,71,7
2022/1/3,65094,587,901.8,87,7
2022/1/4,65094,537,825,79,7
2022/1/5,65094,541,831.1,92,7
2022/1/6,65094,511,785,72,7
2022/1/7,65094,496,762,56,7
2022/1/8,65094,464,712.8,52,7
2022/1/9,65094,446,685.2,62,7
2022/1/10,65094,457,702.1,63,7
2022/1/11,65094,400,614.5,69,7
2022/1/12,65094,403,619.1,70,7
2022/1/13,65094,407,625.2,66,7
2022/1/14,65094,400,614.5,54,7
2022/1/15,65094,394,605.3,44,5
2022/1/16,65094,396,608.4,55,5
2022/1/17,65094,322,494.7,69,5
2022/1/18,65094,339,520.8,69,5
2022/1/19,65094,336,516.2,59,5
2022/1/20,65094,397,609.9,63,5
2022/1/21,65094,570,875.7,125,5
2022/1/22,65094,356,546.9,44,5
2022/1/23,65094,331,508.5,38,5
2022/1/24,65094,319,490.1,64,5
2022/1/25,65094,390,599.1,104,5
2022/1/26,65094,427,656,105,5
2022/1/27,65094,454,697.5,85,5
2022/1/28,65094,394,605.3,69,5
2022/1/29,65094,396,608.4,69,5
2022/1/30,65094,299,459.3,34,5
2022/1/31,65094,285,437.8,37,5
2022/2/1,65094,274,420.9,43,5
2022/2/2,65094,283,434.8,56,5
2022/2/3,65094,266,408.6,51,5
2022/2/4,65094,611,938.6,121,6
2022/2/5,65094,567,871,70,6
2022/2/6,65094,572,878.7,93,6
2022/2/7,65094,568,872.6,75,6
2022/2/8,65094,586,900.2,101,6
2022/2/9,65094,608,934,147,6
2022/2/10,65094,611,938.6,121,6
2022/2/11,65094,644,989.3,87,6
2022/2/12,65094,651,1000.1,88,7
2022/2/13,65094,657,1009.3,90,7
2022/2/14,65094,631,969.4,71,6
2022/2/15,65094,587,901.8,87,6
2022/2/16,65094,537,825,79,6
2022/2/17,65094,541,831.1,92,6
2022/2/18,65094,511,785,72,6
2022/2/19,65094,496,762,56,6
2022/2/20,65094,464,712.8,52,6
2022/2/21,65094,446,685.2,62,6
2022/2/22,65094,457,702.1,63,6
2022/2/23,65094,400,614.5,69,6
2022/2/24,65094,403,619.1,70,6
2022/2/25,65094,407,625.2,66,6
2022/2/26,65094,400,614.5,54,6
2022/2/27,65094,394,605.3,44,6
2022/2/28,65094,396,608.4,55,6
2022/3/1,65094,374,574.6,51,6
2022/3/2,65094,358,550,59,6
2022/3/3,65094,353,542.3,69,6
2022/3/4,65094,346,531.5,49,6
2022/3/5,65094,346,531.5,49,6
2022/3/6,65094,330,507,39,6
2022/3/7,65094,327,502.4,53,6
2022/3/8,65094,350,537.7,62,6
2022/3/9,65094,339,520.8,69,6
2022/3/10,65094,336,516.2,59,6
2022/3/11,65094,397,609.9,63,6
2022/3/12,65094,570,875.7,125,6
2022/3/13,65094,356,546.9,44,6
2022/3/14,65094,331,508.5,38,6
2022/3/15,65094,319,490.1,64,5
2022/3/16,65094,390,599.1,104,6
2022/3/17,65094,427,656,105,6
2022/3/18,65094,454,697.5,85,6
2022/3/19,65094,482,740.5,86,6
2022/3/20,65094,497,763.5,68,6
2022/3/21,65094,521,800.4,73,6
2022/3/22,65094,570,875.7,125,6
2022/3/23,65094,578,887.9,116,6
2022/3/24,65094,591,907.9,117,6
2022/3/25,65094,618,949.4,114,6
2022/3/26,65094,649,997,104,6
2022/3/27,65094,666,1023.1,97,7
2022/3/28,65094,692,1063.1,107,7
2022/3/29,65094,690,1060,140,7
2022/3/30,65094,732,1124.5,159,7
2022/3/31,65094,741,1138.4,133,7
2022/4/1,65094,764,1173.7,126,7
2022/4/2,65094,780,1198.3,118,7
2022/4/3,65094,794,1219.8,116,7
2022/4/4,65094,787,1209,123,7
2022/4/5,65094,764,1173.7,130,7
2022/4/6,65094,671,1030.8,130,7
2022/4/7,65094,739,1135.3,146,7
2022/4/8,65094,748,1149.1,128,7
2022/4/9,65094,753,1156.8,120,7
2022/4/10,65094,756,1161.4,117,7
2022/4/11,65094,750,1152.2,105,7
2022/4/12,65094,688,1056.9,95,7
2022/4/13,65094,662,1017,113,7
2022/4/14,65094,660,1013.9,113,7
2022/4/15,65094,651,1000.1,124,7
2022/4/16,65094,671,1030.8,130,7
2022/4/17,65094,646,992.4,87,6
2022/4/18,65094,614,943.3,76,6
2022/4/19,65094,609,935.6,92,6
