date,population,active,rate,new,band
2022/1/1,11402,118,1034.9,28,5
2022/1/2,11402,140,1227.9,34,5
2022/1/3,11402,150,1315.6,23,5
2022/1/4,11402,157,1377,15,5
2022/1/5,11402,147,1289.2,11,5
2022/1/6,11402,142,1245.4,17,5
2022/1/7,11402,118,1034.9,10,5
2022/1/8,11402,106,929.7,19,5
2022/1/9,11402,89,780.6,11,5
2022/1/10,11402,78,684.1,4,5
2022/1/11,11402,72,631.5,4,5
2022/1/12,11402,65,570.1,10,5
2022/1/13,11402,63,552.5,6,5
2022/1/14,11402,51,447.3,7,5
2022/1/15,11402,42,368.4,7,6
2022/1/16,11402,42,368.4,6,6
2022/1/17,11402,40,350.8,6,6
2022/1/18,11402,41,359.6,5,6
2022/1/19,11402,40,350.8,5,6
2022/1/20,11402,36,315.7,6,6
2022/1/21,11402,36,315.7,6,6
2022/1/22,11402,33,289.4,4,6
2022/1/23,11402,35,307,7,6
2022/1/24,11402,41,359.6,6,6
2022/1/25,11402,39,342,7,6
2022/1/26,11402,43,377.1,11,6
2022/1/27,11402,52,456.1,9,6
2022/1/28,11402,51,447.3,5,6
2022/1/29,11402,50,438.5,5,6
2022/1/30,11402,51,447.3,8,6
2022/1/31,11402,47,412.2,3,6
2022/2/1,11402,43,377.1,7,6
2022/2/2,11402,65,570.1,5,6
2022/2/3,11402,69,605.2,10,6
2022/2/4,11402,89,1034.9,28,7
2022/2/5,11402,89,947.2,18,6
2022/2/6,11402,97,850.7,8,6
2022/2/7,11402,107,938.4,23,6
2022/2/8,11402,108,947.2,16,6
2022/2/9,11402,109,956,24,6
2022/2/10,11402,118,1034.9,28,7
2022/2/11,11402,140,1227.9,34,7
2022/2/12,11402,150,1315.6,23,7
2022/2/13,11402,157,1377,15,7
2022/2/14,11402,147,1289.2,11,7
2022/2/15,11402,142,1245.4,17,7
2022/2/16,11402,118,1034.9,10,7
2022/2/17,11402,106,929.7,19,6
2022/2/18,11402,89,780.6,11,6
2022/2/19,11402,89,684.1,4,6
2022/2/20,11402,72,631.5,4,6
2022/2/21,11402,65,570.1,10,6
2022/2/22,11402,63,552.5,6,6
2022/2/23,11402,51,447.3,7,5
2022/2/24,11402,42,368.4,7,5
2022/2/25,11402,42,368.4,6,5
2022/2/26,11402,40,350.8,6,5
2022/2/27,11402,41,359.6,5,5
2022/2/28,11402,40,350.8,5,5
2022/3/1,11402,38,333.3,6,5
2022/3/2,11402,34,298.2,4,5
2022/3/3,11402,34,298.2,6,5
2022/3/4,11402,36,315.7,6,5
2022/3/5,11402,36,315.7,6,5
2022/3/6,11402,33,289.4,4,5
2022/3/7,11402,35,307,7,5
2022/3/8,11402,41,359.6,6,5
2022/3/9,11402,39,342,7,5
2022/3/10,11402,43,377.1,11,5
2022/3/11,11402,52,456.1,9,5
2022/3/12,11402,51,447.3,5,5
2022/3/13,11402,50,438.5,5,5
2022/3/14,11402,51,447.3,8,5
2022/3/15,11402,47,412.2,3,5
2022/3/16,11402,43,377.1,7,5
2022/3/17,11402,46,403.4,13,5
2022/3/18,11402,47,412.2,10,5
2022/3/19,11402,51,447.3,8,5
2022/3/20,11402,50,438.5,3,5
2022/3/21,11402,48,421,7,5
2022/3/22,11402,51,447.3,5,5
2022/3/23,11402,48,421,8,5
2022/3/24,11402,42,368.4,7,5
2022/3/25,11402,42,368.4,10,5
2022/3/26,11402,46,403.4,10,5
2022/3/27,11402,51,447.3,8,5
2022/3/28,11402,55,482.4,12,5
2022/3/29,11402,65,570.1,15,6
2022/3/30,11402,79,692.9,22,6
2022/3/31,11402,90,789.3,16,6
2022/4/1,11402,97,850.7,19,6
2022/4/2,11402,101,885.8,12,6
2022/4/3,11402,100,877,9,6
2022/4/4,11402,107,938.4,21,6
2022/4/5,11402,112,982.3,25,6
2022/4/6,11402,76,666.5,15,6
2022/4/7,11402,110,964.7,18,6
2022/4/8,11402,112,982.3,19,6
2022/4/9,11402,113,991.1,11,6
2022/4/10,11402,112,982.3,11,6
2022/4/11,11402,92,806.9,11,6
2022/4/12,11402,82,719.2,12,6
2022/4/13,11402,84,736.7,17,6
2022/4/14,11402,81,710.4,17,6
2022/4/15,11402,72,631.5,11,6
2022/4/16,11402,76,666.5,15,6
2022/4/17,11402,67,587.6,8,6
2022/4/18,11402,65,570.1,9,6
2022/4/19,11402,79,692.9,19,6
2022/4/20,11402,82,719.2,19,6
2022/4/21,11402,94,824.4,24,6
2022/4/22,11402,105,920.9,23,6
2022/4/23,11402,114,999.8,16,6
2022/4/24,11402,116,1017.4,11,7
2022/4/25,11402,112,982.3,13,6
2022/4/26,11402,108,947.2,10,6
2022/4/27,11402,93,815.6,17,6
2022/4/28,11402,89,780.6,15,6
2022/4/29,11402,80,701.6,9,6
2022/4/30,11402,72,631.5,13,6
2022/5/1,11402,81,710.4,16,6
2022/5/2,11402,114,999.8,22,6
2022/5/3,11402,79,692.9,10,6
2022/5/4,11402,95,833.2,29,6
2022/5/5,11402,105,920.9,21,6
2022/5/6,11402,114,999.8,19,6
2022/5/7,11402,111,973.5,10,6
2022/5/8,11402,113,991.1,17,6
2022/5/9,11402,117,1026.1,13,7
2022/5/10,11402,116,1017.4,23,7
2022/5/11,11402,107,938.4,14,6
2022/5/12,11402,114,999.8,22,6
2022/5/13,11402,106,929.7,9,6
2022/5/14,11402,116,1017.4,16,7
2022/5/15,11402,115,1008.6,15,7
2022/5/16,11402,114,999.8,19,6
2022/5/17,11402,104,912.1,16,6
2022/5/18,11402,68,596.4,7,6
2022/5/19,11402,104,912.1,15,6
2022/5/20,11402,115,1008.6,30,7
2022/5/21,11402,107,938.4,14,6
2022/5/22,11402,113,991.1,15,6
2022/5/23,11402,106,929.7,9,6
2022/5/24,11402,116,1017.4,16,7
2022/5/25,11402,94,824.4,15,6
2022/5/26,11402,114,999.8,19,6
2022/5/27,11402,73,640.2,13,6
2022/5/28,11402,68,596.4,7,6
2022/5/29,11402,71,622.7,14,6
2022/5/30,11402,71,622.7,11,6
2022/5/31,11402,74,649,13,6
2022/6/1,11402,74,649,15,6
2022/6/2,11402,81,710.4,19,6
2022/6/3,11402,94,824.4,12,6
2022/6/4,11402,96,842,23,6
2022/6/5,11402,94,824.4,12,6
2022/6/6,11402,66,578.8,10,6
2022/6/7,11402,110,964.7,24,6
2022/6/8,11402,57,499.9,3,5
2022/6/9,11402,52,456.1,4,5
2022/6/10,11402,101,885.8,17,6
2022/6/11,11402,97,850.7,10,6
2022/6/12,11402,45,394.7,11,5
2022/6/13,11402,50,438.5,12,5
2022/6/14,11402,48,421,8,5
2022/6/15,11402,79,692.9,11,6
2022/6/16,11402,66,578.8,10,6
2022/6/17,11402,62,543.8,12,6
2022/6/18,11402,57,499.9,3,5
2022/6/19,11402,52,456.1,4,5
2022/6/20,11402,49,429.7,4,5
2022/6/21,11402,46,403.4,7,5
2022/6/22,11402,45,394.7,11,5
2022/6/23,11402,50,438.5,12,5
2022/6/24,11402,48,421,8,5
2022/6/25,11402,46,403.4,6,5
2022/6/26,11402,54,473.6,11,5
2022/6/27,11402,54,473.6,9,5
2022/6/28,11402,54,473.6,14,5
2022/6/29,11402,55,482.4,9,5
2022/6/30,11402,64,561.3,20,6
2022/7/1,11402,65,570.1,6,6
2022/7/2,11402,77,675.3,19,6
2022/7/3,11402,76,666.5,7,6
2022/7/4,11402,74,649,9,6
2022/7/5,11402,63,552.5,7,6
2022/7/6,11402,67,587.6,20,6
2022/7/7,11402,81,710.4,29,6
2022/7/8,11402,75,657.8,8,6
2022/7/9,11402,100,877,35,6
2022/7/10,11402,174,1526,25,7
2022/7/11,11402,119,1043.7,18,7
2022/7/12,11402,142,1245.4,27,7
2022/7/13,11402,141,1236.6,17,7
2022/7/14,11402,182,1596.2,43,7
2022/7/15,11402,187,1640.1,40,7
2022/7/16,11402,189,1657.6,19,7
2022/7/17,11402,195,1710.2,24,7
2022/7/18,11402,198,1736.5,26,7
2022/7/19,11402,169,1482.2,19,7
2022/7/20,11402,174,1526,25,7
2022/7/21,11402,149,1306.8,26,7
2022/7/22,11402,142,1245.4,27,7
2022/7/23,11402,141,1236.6,17,7
2022/7/24,11402,128,1122.6,17,7
2022/7/25,11402,124,1087.5,12,7
2022/7/26,11402,121,1061.2,21,7
2022/7/27,11402,195,1710.2,24,7
2022/7/28,11402,147,1289.2,32,7
2022/7/29,11402,140,1227.9,18,7
2022/7/30,11402,133,1166.5,9,7
2022/7/31,11402,138,1210.3,22,7
2022/8/1,11402,137,1201.5,14,7
2022/8/2,11402,86,754.3,15,6
2022/8/3,11402,111,973.5,24,6
2022/8/4,11402,113,991.1,26,6
2022/8/5,11402,110,964.7,21,6
2022/8/6,11402,90,789.3,21,6
2022/8/7,11402,98,859.5,30,6
2022/8/8,11402,108,947.2,16,6
2022/8/9,11402,102,894.6,16,6
2022/8/10,11402,89,780.6,16,6
2022/8/11,11402,84,736.7,6,6
2022/8/12,11402,86,754.3,15,6
2022/8/13,11402,63,552.5,11,6
2022/8/14,11402,47,412.2,6,5
2022/8/15,11402,85,745.5,14,6
2022/8/16,11402,90,789.3,21,6
2022/8/17,11402,98,859.5,30,6
2022/8/18,11402,39,342,2,5
2022/8/19,11402,93,815.6,11,6
2022/8/20,11402,29,254.3,3,5
2022/8/21,11402,84,736.7,6,6
2022/8/22,11402,75,657.8,3,6
2022/8/23,11402,63,552.5,11,6
2022/8/24,11402,47,412.2,6,5
2022/8/25,11402,46,403.4,6,5
2022/8/26,11402,42,368.4,6,5
2022/8/27,11402,32,280.7,4,5
2022/8/28,11402,39,342,2,5
2022/8/29,11402,35,307,3,5
2022/8/30,11402,29,254.3,3,5
2022/8/31,11402,26,228,6,5
2022/9/1,11402,30,263.1,6,5
2022/9/2,11402,27,236.8,5,5
2022/9/3,11402,31,271.9,7,5
2022/9/4,11402,28,245.6,6,5
2022/9/5,11402,30,263.1,5,5
2022/9/6,11402,32,280.7,7,5
2022/9/7,11402,32,280.7,4,5
2022/9/8,11402,28,245.6,4,5
2022/9/9,11402,31,271.9,7,5
2022/9/10,11402,31,271.9,7,5
2022/9/11,11402,31,271.9,7,5
2022/9/12,11402,31,271.9,7,5
2022/9/13,11402,31,271.9,7,5
2022/9/14,11402,31,271.9,7,5
2022/9/15,11402,31,271.9,7,5
2022/9/16,11402,10,87.7,2,3
