date,population,active,rate,new,band
2022/1/1,115601,1153,997.4,162,7
2022/1/2,115601,1138,984.4,133,7
2022/1/3,115601,1180,1020.8,198,7
2022/1/4,115601,1121,969.7,192,7
2022/1/5,115601,1107,957.6,227,7
2022/1/6,115601,1088,941.2,206,7
2022/1/7,115601,1108,958.5,196,7
2022/1/8,115601,1098,949.8,151,7
2022/1/9,115601,1095,947.2,141,7
2022/1/10,115601,408,352.9,115,7
2022/1/11,115601,695,601.2,133,7
2022/1/12,115601,885,765.6,110,7
2022/1/13,115601,836,723.2,99,7
2022/1/14,115601,814,704.1,87,7
2022/1/15,115601,777,672.1,117,5
2022/1/16,115601,710,614.2,124,5
2022/1/17,115601,695,601.2,133,5
2022/1/18,115601,723,625.4,112,5
2022/1/19,115601,684,591.7,90,5
2022/1/20,115601,651,563.1,88,5
2022/1/21,115601,678,586.5,94,5
2022/1/22,115601,651,563.1,88,5
2022/1/23,115601,678,586.5,94,5
2022/1/24,115601,638,551.9,95,5
2022/1/25,115601,622,538.1,107,5
2022/1/26,115601,655,566.6,145,5
2022/1/27,115601,634,548.4,89,5
2022/1/28,115601,661,571.8,93,5
2022/1/29,115601,417,360.7,73,5
2022/1/30,115601,407,352.1,45,5
2022/1/31,115601,411,355.5,68,5
2022/2/1,115601,400,346,58,5
2022/2/2,115601,467,404,155,5
2022/2/3,115601,408,352.9,115,5
2022/2/4,115601,695,601.2,133,6
2022/2/5,115601,885,765.6,110,6
2022/2/6,115601,836,723.2,99,6
2022/2/7,115601,814,704.1,87,6
2022/2/8,115601,777,672.1,117,6
2022/2/9,115601,710,614.2,124,6
2022/2/10,115601,695,601.2,133,6
2022/2/11,115601,723,625.4,112,6
2022/2/12,115601,684,591.7,90,6
2022/2/13,115601,651,563.1,88,6
2022/2/14,115601,678,586.5,94,6
2022/2/15,115601,638,551.9,95,6
2022/2/16,115601,622,538.1,107,6
2022/2/17,115601,655,566.6,145,6
2022/2/18,115601,634,548.4,89,6
2022/2/19,115601,661,571.8,93,6
2022/2/20,115601,643,556.2,59,6
2022/2/21,115601,640,553.6,77,6
2022/2/22,115601,699,604.7,109,6
2022/2/23,115601,629,544.1,129,6
2022/2/24,115601,618,534.6,94,6
2022/2/25,115601,636,550.2,108,6
2022/2/26,115601,661,571.8,114,6
2022/2/27,115601,672,581.3,75,6
2022/2/28,115601,709,613.3,119,6
2022/3/1,115601,696,602.1,115,6
2022/3/2,115601,715,618.5,140,6
2022/3/3,115601,730,631.5,109,6
2022/3/4,115601,688,595.2,86,6
2022/3/5,115601,688,595.2,86,6
2022/3/6,115601,629,544.1,77,6
2022/3/7,115601,602,520.8,86,6
2022/3/8,115601,662,572.7,100,6
2022/3/9,115601,588,508.6,123,6
2022/3/10,115601,646,558.8,176,6
2022/3/11,115601,774,669.5,123,6
2022/3/12,115601,908,785.5,184,6
2022/3/13,115601,722,624.6,78,6
2022/3/14,115601,748,647.1,82,6
2022/3/15,115601,730,631.5,112,6
2022/3/16,115601,710,614.2,151,6
2022/3/17,115601,741,641,174,6
2022/3/18,115601,808,699,180,6
2022/3/19,115601,845,731,143,6
2022/3/20,115601,840,726.6,101,6
2022/3/21,115601,858,742.2,106,6
2022/3/22,115601,908,785.5,184,6
2022/3/23,115601,921,796.7,190,6
2022/3/24,115601,950,821.8,209,6
2022/3/25,115601,986,852.9,200,6
2022/3/26,115601,1006,870.2,133,6
2022/3/27,115601,1020,882.3,113,6
2022/3/28,115601,1032,892.7,140,6
2022/3/29,115601,983,850.3,173,6
2022/3/30,115601,1008,872,210,6
2022/3/31,115601,1022,884.1,209,6
2022/4/1,115601,1053,910.9,202,6
2022/4/2,115601,1102,953.3,181,6
2022/4/3,115601,1126,974,150,6
2022/4/4,115601,1175,1016.4,196,7
2022/4/5,115601,1190,1029.4,211,7
2022/4/6,115601,1098,949.8,151,6
2022/4/7,115601,1167,1009.5,222,7
2022/4/8,115601,1175,1016.4,208,7
2022/4/9,115601,1153,997.4,162,6
2022/4/10,115601,1138,984.4,133,6
2022/4/11,115601,1180,1020.8,198,7
2022/4/12,115601,1121,969.7,192,6
2022/4/13,115601,1107,957.6,227,6
2022/4/14,115601,1088,941.2,206,6
2022/4/15,115601,1108,958.5,196,6
2022/4/16,115601,1098,949.8,151,6
2022/4/17,115601,1095,947.2,141,6
2022/4/18,115601,1002,866.8,118,6
2022/4/19,115601,950,821.8,161,6
2022/4/20,115601,928,802.8,188,6
2022/4/21,115601,944,816.6,222,6
2022/4/22,115601,952,823.5,173,6
2022/4/23,115601,972,840.8,152,6
2022/4/24,115601,963,833,113,6
2022/4/25,115601,952,823.5,123,6
2022/4/26,115601,942,814.9,158,6
2022/4/27,115601,903,781.1,181,6
2022/4/28,115601,863,746.5,156,6
2022/4/29,115601,917,793.2,213,6
2022/4/30,115601,897,775.9,128,6
2022/5/1,115601,879,760.4,103,6
2022/5/2,115601,998,863.3,223,6
2022/5/3,115601,924,799.3,155,6
2022/5/4,115601,900,778.5,162,6
2022/5/5,115601,895,774.2,160,6
2022/5/6,115601,898,776.8,155,6
2022/5/7,115601,932,806.2,143,6
2022/5/8,115601,933,807.1,137,6
2022/5/9,115601,930,804.5,133,6
2022/5/10,115601,957,827.8,189,6
2022/5/11,115601,974,842.6,122,6
2022/5/12,115601,998,863.3,223,6
2022/5/13,115601,961,831.3,118,6
2022/5/14,115601,1045,904,162,6
2022/5/15,115601,1037,897.1,131,6
2022/5/16,115601,898,776.8,155,6
2022/5/17,115601,1024,885.8,154,6
2022/5/18,115601,929,803.6,145,6
2022/5/19,115601,958,828.7,181,6
2022/5/20,115601,995,860.7,185,6
2022/5/21,115601,974,842.6,122,6
2022/5/22,115601,983,850.3,133,6
2022/5/23,115601,961,831.3,118,6
2022/5/24,115601,1045,904,162,6
2022/5/25,115601,915,791.5,187,6
2022/5/26,115601,898,776.8,155,6
2022/5/27,115601,900,778.5,162,6
2022/5/28,115601,929,803.6,145,6
2022/5/29,115601,853,737.9,68,6
2022/5/30,115601,840,726.6,124,6
2022/5/31,115601,834,721.4,146,6
2022/6/1,115601,840,726.6,184,6
2022/6/2,115601,843,729.2,177,6
2022/6/3,115601,908,785.5,135,6
2022/6/4,115601,882,763,138,6
2022/6/5,115601,908,785.5,135,6
2022/6/6,115601,671,580.4,144,6
2022/6/7,115601,868,750.9,147,6
2022/6/8,115601,715,618.5,111,6
2022/6/9,115601,717,620.2,87,6
