date,population,active,rate,new,band
2022/1/1,7472,34,455,4,5
2022/1/2,7472,34,455,4,5
2022/1/3,7472,37,495.2,3,5
2022/1/4,7472,37,495.2,5,5
2022/1/5,7472,38,508.6,5,5
2022/1/6,7472,30,401.5,2,5
2022/1/7,7472,32,428.3,7,5
2022/1/8,7472,41,548.7,9,5
2022/1/9,7472,54,722.7,9,5
2022/1/10,7472,27,361.3,1,5
2022/1/11,7472,19,254.3,0,5
2022/1/12,7472,18,240.9,2,5
2022/1/13,7472,40,535.3,11,5
2022/1/14,7472,46,615.6,12,5
2022/1/15,7472,51,682.5,9,6
2022/1/16,7472,50,669.2,5,6
2022/1/17,7472,52,695.9,5,6
2022/1/18,7472,51,682.5,4,6
2022/1/19,7472,54,722.7,9,6
2022/1/20,7472,45,602.2,10,6
2022/1/21,7472,44,588.9,11,6
2022/1/22,7472,45,602.2,6,6
2022/1/23,7472,45,602.2,3,6
2022/1/24,7472,45,602.2,9,6
2022/1/25,7472,46,615.6,12,6
2022/1/26,7472,51,682.5,9,6
2022/1/27,7472,50,669.2,5,6
2022/1/28,7472,52,695.9,5,6
2022/1/29,7472,51,682.5,4,6
2022/1/30,7472,54,722.7,9,6
2022/1/31,7472,45,602.2,10,6
2022/2/1,7472,44,588.9,11,6
2022/2/2,7472,45,602.2,6,6
2022/2/3,7472,45,602.2,3,6
2022/2/4,7472,45,602.2,9,6
2022/2/5,7472,92,1231.3,9,7
2022/2/6,7472,79,1057.3,8,7
2022/2/7,7472,88,1177.7,14,7
2022/2/8,7472,73,977,8,6
2022/2/9,7472,66,883.3,12,6
2022/2/10,7472,63,843.1,6,6
2022/2/11,7472,57,762.8,8,6
2022/2/12,7472,55,736.1,8,6
2022/2/13,7472,52,695.9,4,6
2022/2/14,7472,45,602.2,6,6
2022/2/15,7472,44,588.9,4,6
2022/2/16,7472,44,588.9,11,6
2022/2/17,7472,50,669.2,11,6
2022/2/18,7472,46,615.6,5,6
2022/2/19,7472,48,642.4,8,6
2022/2/20,7472,44,588.9,1,6
2022/2/21,7472,42,562.1,5,6
2022/2/22,7472,43,575.5,5,6
2022/2/23,7472,36,481.8,7,5
2022/2/24,7472,29,388.1,2,5
2022/2/25,7472,37,495.2,11,5
2022/2/26,7472,39,521.9,7,6
2022/2/27,7472,43,575.5,4,6
2022/2/28,7472,47,629,6,6
2022/3/1,7472,45,602.2,8,6
2022/3/2,7472,42,562.1,2,6
2022/3/3,7472,45,602.2,8,6
2022/3/4,7472,34,455,4,5
2022/3/5,7472,34,455,4,5
2022/3/6,7472,37,495.2,3,5
2022/3/7,7472,37,495.2,5,5
2022/3/8,7472,38,508.6,5,6
2022/3/9,7472,30,401.5,2,5
2022/3/10,7472,32,428.3,7,5
2022/3/11,7472,41,548.7,9,6
2022/3/12,7472,54,722.7,9,6
2022/3/13,7472,27,361.3,1,5
2022/3/14,7472,19,254.3,0,5
2022/3/15,7472,18,240.9,2,5
2022/3/16,7472,40,535.3,11,6
2022/3/17,7472,46,615.6,12,6
2022/3/18,7472,51,682.5,9,6
2022/3/19,7472,50,669.2,5,6
2022/3/20,7472,52,695.9,5,6
2022/3/21,7472,51,682.5,4,6
2022/3/22,7472,54,722.7,9,6
2022/3/23,7472,45,602.2,10,6
2022/3/24,7472,44,588.9,11,6
2022/3/25,7472,45,602.2,6,6
2022/3/26,7472,45,602.2,3,6
2022/3/27,7472,45,602.2,9,6
2022/3/28,7472,52,695.9,10,6
2022/3/29,7472,61,816.4,17,6
2022/3/30,7472,60,803,8,6
2022/3/31,7472,62,829.8,11,6
2022/4/1,7472,66,883.3,11,6
2022/4/2,7472,64,856.5,5,6
2022/4/3,7472,65,869.9,9,6
2022/4/4,7472,59,789.6,7,6
2022/4/5,7472,57,762.8,12,6
2022/4/6,7472,34,455,11,5
2022/4/7,7472,45,602.2,8,6
2022/4/8,7472,46,615.6,8,6
2022/4/9,7472,43,575.5,6,6
2022/4/10,7472,40,535.3,2,6
2022/4/11,7472,37,495.2,6,5
2022/4/12,7472,33,441.6,3,5
2022/4/13,7472,31,414.9,5,5
2022/4/14,7472,29,388.1,2,5
2022/4/15,7472,27,361.3,5,5
2022/4/16,7472,34,455,11,5
2022/4/17,7472,41,548.7,6,6
2022/4/18,7472,44,588.9,7,6
2022/4/19,7472,39,521.9,5,6
2022/4/20,7472,43,575.5,12,6
2022/4/21,7472,54,722.7,14,6
2022/4/22,7472,53,709.3,2,6
2022/4/23,7472,49,655.8,7,6
2022/4/24,7472,46,615.6,7,6
2022/4/25,7472,47,629,7,6
2022/4/26,7472,43,575.5,3,6
2022/4/27,7472,34,455,6,5
2022/4/28,7472,35,468.4,10,5
2022/4/29,7472,38,508.6,7,6
2022/4/30,7472,34,455,2,5
2022/5/1,7472,36,481.8,6,5
2022/5/2,7472,78,1043.9,15,7
2022/5/3,7472,41,548.7,8,6
2022/5/4,7472,38,508.6,5,6
2022/5/5,7472,48,642.4,19,6
2022/5/6,7472,57,762.8,15,6
2022/5/7,7472,61,816.4,7,6
2022/5/8,7472,60,803,7,6
