date,population,active,rate,new,band
2022/1/1,2940,7,238.1,1,6
2022/1/2,2940,5,170.1,3,6
2022/1/3,2940,9,714.3,1,6
2022/1/4,2940,9,884.4,7,6
2022/1/5,2940,12,1020.4,5,6
2022/1/6,2940,5,918.4,2,6
2022/1/7,2940,9,986.4,3,6
2022/1/8,2940,9,782.3,1,6
2022/1/9,2940,4,646.3,3,6
2022/1/10,2940,5,714.3,8,6
2022/1/11,2940,5,714.3,4,6
2022/1/12,2940,13,646.3,10,6
2022/1/13,2940,19,646.3,10,6
2022/1/14,2940,19,646.3,10,6
2022/1/15,2940,10,340.1,2,5
2022/1/16,2940,11,374.1,1,5
2022/1/17,2940,13,442.2,3,5
2022/1/18,2940,12,408.2,1,5
2022/1/19,2940,7,612.2,7,5
2022/1/20,2940,4,680.3,1,5
2022/1/21,2940,5,646.3,1,5
2022/1/22,2940,5,918.4,2,5
2022/1/23,2940,8,986.4,3,5
2022/1/24,2940,11,782.3,1,5
2022/1/25,2940,11,646.3,3,5
2022/1/26,2940,21,714.3,8,5
2022/1/27,2940,21,714.3,4,5
2022/1/28,2940,19,646.3,1,5
2022/1/29,2940,14,476.2,0,5
2022/1/30,2940,8,272.1,2,5
2022/1/31,2940,10,340.1,2,5
2022/2/1,2940,11,374.1,1,5
2022/2/2,2940,13,442.2,3,5
2022/2/3,2940,12,408.2,1,5
2022/2/4,2940,18,612.2,7,6
2022/2/5,2940,20,680.3,1,6
2022/2/6,2940,19,646.3,1,6
2022/2/7,2940,13,442.2,1,5
2022/2/8,2940,13,442.2,3,5
2022/2/9,2940,15,510.2,5,6
2022/2/10,2940,18,612.2,7,6
2022/2/11,2940,19,646.3,3,6
2022/2/12,2940,22,748.3,4,6
2022/2/13,2940,22,748.3,3,6
2022/2/14,2940,23,782.3,2,6
2022/2/15,2940,19,646.3,2,6
2022/2/16,2940,17,578.2,2,6
2022/2/17,2940,12,408.2,0,5
2022/2/18,2940,10,340.1,1,5
2022/2/19,2940,7,238.1,0,5
2022/2/20,2940,4,136.1,1,4
2022/2/21,2940,5,170.1,2,4
2022/2/22,2940,5,170.1,3,4
2022/2/23,2940,8,272.1,2,5
2022/2/24,2940,11,374.1,3,5
2022/2/25,2940,11,374.1,0,5
2022/2/26,2940,13,442.2,3,5
2022/2/27,2940,13,442.2,1,5
2022/2/28,2940,13,442.2,2,5
2022/3/1,2940,9,306.1,0,5
2022/3/2,2940,8,272.1,0,5
2022/3/3,2940,10,340.1,2,5
2022/3/4,2940,9,306.1,3,5
2022/3/5,2940,9,306.1,3,5
2022/3/6,2940,12,408.2,3,5
2022/3/7,2940,12,408.2,1,5
2022/3/8,2940,14,476.2,2,5
2022/3/9,2940,15,510.2,3,6
2022/3/10,2940,19,646.3,3,6
2022/3/11,2940,22,748.3,3,6
2022/3/12,2940,19,646.3,3,6
2022/3/13,2940,13,442.2,1,5
2022/3/14,2940,7,238.1,0,5
2022/3/15,2940,5,170.1,0,4
2022/3/16,2940,21,714.3,7,6
2022/3/17,2940,26,884.4,7,6
2022/3/18,2940,30,1020.4,5,7
