date,population,active,rate,new,band
2022/1/1,29914,284,949.4,49,6
2022/1/2,29914,287,959.4,42,6
2022/1/3,29914,282,942.7,49,6
2022/1/4,29914,294,982.8,51,6
2022/1/5,29914,266,889.2,30,6
2022/1/6,29914,252,842.4,22,6
2022/1/7,29914,228,762.2,23,6
2022/1/8,29914,199,665.2,14,6
2022/1/9,29914,162,541.6,19,6
2022/1/10,29914,142,474.7,19,6
2022/1/11,29914,123,411.2,21,6
2022/1/12,29914,118,394.5,18,6
2022/1/13,29914,119,397.8,19,6
2022/1/14,29914,221,738.8,54,6
2022/1/15,29914,147,491.4,21,5
2022/1/16,29914,153,511.5,22,5
2022/1/17,29914,139,464.7,14,5
2022/1/18,29914,138,461.3,20,5
2022/1/19,29914,140,468,22,5
2022/1/20,29914,125,417.9,11,5
2022/1/21,29914,124,414.5,30,5
2022/1/22,29914,125,417.9,19,5
2022/1/23,29914,84,280.8,29,5
2022/1/24,29914,104,347.7,39,5
2022/1/25,29914,105,351,29,5
2022/1/26,29914,294,982.8,34,5
2022/1/27,29914,248,829,53,5
2022/1/28,29914,267,892.6,34,5
2022/1/29,29914,119,397.8,29,5
2022/1/30,29914,115,384.4,11,5
2022/1/31,29914,102,341,9,5
2022/2/1,29914,84,280.8,4,5
2022/2/2,29914,104,347.7,27,5
2022/2/3,29914,105,351,22,5
2022/2/4,29914,294,982.8,51,6
2022/2/5,29914,248,829,42,6
2022/2/6,29914,267,892.6,42,6
2022/2/7,29914,284,949.4,49,6
2022/2/8,29914,287,959.4,42,6
2022/2/9,29914,282,942.7,49,6
2022/2/10,29914,294,982.8,51,6
2022/2/11,29914,266,889.2,30,6
2022/2/12,29914,252,842.4,22,6
2022/2/13,29914,228,762.2,23,6
2022/2/14,29914,199,665.2,14,6
2022/2/15,29914,162,541.6,19,6
2022/2/16,29914,142,474.7,19,5
2022/2/17,29914,123,411.2,21,5
2022/2/18,29914,118,394.5,18,5
2022/2/19,29914,119,397.8,19,5
2022/2/20,29914,118,394.5,21,5
2022/2/21,29914,123,411.2,17,5
2022/2/22,29914,135,451.3,21,5
2022/2/23,29914,131,437.9,27,5
2022/2/24,29914,148,494.8,34,5
2022/2/25,29914,147,491.4,21,5
2022/2/26,29914,153,511.5,22,6
2022/2/27,29914,139,464.7,14,5
2022/2/28,29914,138,461.3,20,5
2022/3/1,29914,140,468,22,5
2022/3/2,29914,125,417.9,11,5
2022/3/3,29914,124,414.5,30,5
2022/3/4,29914,125,417.9,19,5
2022/3/5,29914,125,417.9,19,5
2022/3/6,29914,119,397.8,12,5
2022/3/7,29914,112,374.4,17,5
2022/3/8,29914,130,434.6,19,5
2022/3/9,29914,113,377.7,12,5
2022/3/10,29914,102,341,17,5
2022/3/11,29914,119,397.8,16,5
2022/3/12,29914,239,799,62,6
2022/3/13,29914,91,304.2,11,5
2022/3/14,29914,95,317.6,19,5
2022/3/15,29914,104,347.7,29,5
2022/3/16,29914,122,407.8,35,5
2022/3/17,29914,140,468,33,5
2022/3/18,29914,151,504.8,23,6
2022/3/19,29914,173,578.3,39,6
2022/3/20,29914,195,651.9,35,6
2022/3/21,29914,210,702,36,6
2022/3/22,29914,239,799,62,6
2022/3/23,29914,259,865.8,64,6
2022/3/24,29914,281,939.4,48,6
2022/3/25,29914,332,1109.8,79,7
2022/3/26,29914,345,1153.3,50,7
2022/3/27,29914,353,1180,55,7
2022/3/28,29914,389,1300.4,64,7
2022/3/29,29914,393,1313.8,73,7
2022/3/30,29914,402,1343.9,72,7
2022/3/31,29914,399,1333.8,64,7
2022/4/1,29914,374,1250.3,46,7
2022/4/2,29914,373,1246.9,49,7
2022/4/3,29914,367,1226.9,44,7
2022/4/4,29914,349,1166.7,46,7
2022/4/5,29914,339,1133.2,65,7
2022/4/6,29914,222,742.1,33,6
2022/4/7,29914,353,1180,66,7
2022/4/8,29914,361,1206.8,52,7
2022/4/9,29914,346,1156.6,38,7
2022/4/10,29914,347,1160,40,7
2022/4/11,29914,328,1096.5,34,7
2022/4/12,29914,286,956.1,39,6
2022/4/13,29914,247,825.7,35,6
2022/4/14,29914,225,752.2,47,6
2022/4/15,29914,223,745.5,39,6
2022/4/16,29914,222,742.1,33,6
2022/4/17,29914,227,758.8,37,6
2022/4/18,29914,220,735.4,22,6
2022/4/19,29914,205,685.3,34,6
2022/4/20,29914,204,682,38,6
2022/4/21,29914,197,658.6,35,6
2022/4/22,29914,219,732.1,49,6
2022/4/23,29914,226,755.5,36,6
2022/4/24,29914,202,675.3,23,6
2022/4/25,29914,199,665.2,25,6
2022/4/26,29914,230,768.9,55,6
2022/4/27,29914,225,752.2,43,6
2022/4/28,29914,229,765.5,42,6
2022/4/29,29914,229,765.5,47,6
2022/4/30,29914,248,829,46,6
2022/5/1,29914,244,815.7,25,6
2022/5/2,29914,287,959.4,55,6
2022/5/3,29914,237,792.3,34,6
2022/5/4,29914,230,768.9,40,6
2022/5/5,29914,234,782.2,48,6
2022/5/6,29914,243,812.3,49,6
2022/5/7,29914,242,809,30,6
2022/5/8,29914,254,849.1,41,6
2022/5/9,29914,278,929.3,50,6
2022/5/10,29914,267,892.6,44,6
2022/5/11,29914,326,1089.8,47,7
2022/5/12,29914,287,959.4,55,6
2022/5/13,29914,315,1053,43,7
2022/5/14,29914,308,1029.6,52,7
2022/5/15,29914,302,1009.6,40,7
2022/5/16,29914,243,812.3,49,6
2022/5/17,29914,310,1036.3,61,7
2022/5/18,29914,309,1033,58,7
2022/5/19,29914,309,1033,52,7
2022/5/20,29914,319,1066.4,59,7
2022/5/21,29914,326,1089.8,47,7
2022/5/22,29914,324,1083.1,52,7
2022/5/23,29914,315,1053,43,7
2022/5/24,29914,308,1029.6,52,7
2022/5/25,29914,325,1086.4,50,7
2022/5/26,29914,243,812.3,49,6
2022/5/27,29914,310,1036.3,57,7
2022/5/28,29914,309,1033,58,7
2022/5/29,29914,311,1039.6,40,7
2022/5/30,29914,318,1063,52,7
2022/5/31,29914,307,1026.3,55,7
2022/6/1,29914,302,1009.6,42,7
2022/6/2,29914,288,962.8,36,6
2022/6/3,29914,228,762.2,22,6
2022/6/4,29914,241,805.6,37,6
2022/6/5,29914,228,762.2,22,6
2022/6/6,29914,155,518.2,33,6
2022/6/7,29914,189,631.8,33,6
2022/6/8,29914,154,514.8,25,6
2022/6/9,29914,155,518.2,24,6
2022/6/10,29914,211,705.4,42,6
2022/6/11,29914,187,625.1,20,6
2022/6/12,29914,168,561.6,39,6
2022/6/13,29914,166,554.9,28,6
2022/6/14,29914,179,598.4,41,6
2022/6/15,29914,158,528.2,23,6
2022/6/16,29914,155,518.2,33,6
2022/6/17,29914,151,504.8,19,6
2022/6/18,29914,154,514.8,25,6
2022/6/19,29914,155,518.2,24,6
2022/6/20,29914,146,488.1,23,5
2022/6/21,29914,148,494.8,26,5
2022/6/22,29914,168,561.6,39,6
2022/6/23,29914,166,554.9,28,6
2022/6/24,29914,179,598.4,41,6
2022/6/25,29914,176,588.4,24,6
2022/6/26,29914,171,571.6,17,6
2022/6/27,29914,173,578.3,25,6
2022/6/28,29914,163,544.9,20,6
2022/6/29,29914,165,551.6,40,6
2022/6/30,29914,154,514.8,22,6
2022/7/1,29914,159,531.5,34,6
2022/7/2,29914,156,521.5,18,6
2022/7/3,29914,175,585,42,6
2022/7/4,29914,185,618.4,34,6
2022/7/5,29914,194,648.5,39,6
2022/7/6,29914,208,695.3,40,6
2022/7/7,29914,214,715.4,40,6
2022/7/8,29914,222,742.1,40,6
2022/7/9,29914,241,805.6,40,6
2022/7/10,29914,335,1119.9,57,7
2022/7/11,29914,267,892.6,55,6
2022/7/12,29914,379,1267,98,7
2022/7/13,29914,389,1300.4,60,7
2022/7/14,29914,317,1059.7,57,7
2022/7/15,29914,332,1109.8,54,7
2022/7/16,29914,342,1143.3,54,7
2022/7/17,29914,364,1216.8,65,7
2022/7/18,29914,348,1163.3,47,7
2022/7/19,29914,337,1126.6,49,7
2022/7/20,29914,335,1119.9,57,7
2022/7/21,29914,352,1176.7,74,7
2022/7/22,29914,379,1267,98,7
2022/7/23,29914,389,1300.4,60,7
2022/7/24,29914,380,1270.3,45,7
2022/7/25,29914,370,1236.9,44,7
2022/7/26,29914,373,1246.9,57,7
2022/7/27,29914,364,1216.8,65,7
2022/7/28,29914,382,1277,73,7
2022/7/29,29914,340,1136.6,46,7
2022/7/30,29914,326,1089.8,52,7
2022/7/31,29914,315,1053,34,7
2022/8/1,29914,313,1046.3,44,7
2022/8/2,29914,149,498.1,25,5
2022/8/3,29914,289,966.1,41,6
2022/8/4,29914,255,852.4,34,6
2022/8/5,29914,252,842.4,33,6
2022/8/6,29914,118,394.5,17,5
2022/8/7,29914,111,371.1,15,5
2022/8/8,29914,187,625.1,18,6
2022/8/9,29914,178,595,34,6
2022/8/10,29914,164,548.2,18,6
2022/8/11,29914,99,330.9,10,5
2022/8/12,29914,149,498.1,25,5
2022/8/13,29914,85,284.1,9,5
2022/8/14,29914,81,270.8,12,5
2022/8/15,29914,127,424.6,18,5
2022/8/16,29914,118,394.5,17,5
2022/8/17,29914,111,371.1,15,5
2022/8/18,29914,66,220.6,9,5
2022/8/19,29914,113,377.7,19,5
2022/8/20,29914,57,190.5,15,4
2022/8/21,29914,99,330.9,10,5
2022/8/22,29914,94,314.2,9,5
2022/8/23,29914,85,284.1,9,5
2022/8/24,29914,81,270.8,12,5
2022/8/25,29914,65,217.3,10,5
2022/8/26,29914,63,210.6,14,5
2022/8/27,29914,28,93.6,7,3
2022/8/28,29914,66,220.6,9,5
2022/8/29,29914,56,187.2,2,4
2022/8/30,29914,57,190.5,15,4
2022/8/31,29914,59,197.2,8,4
2022/9/1,29914,53,177.2,6,4
2022/9/2,29914,51,170.5,7,4
2022/9/3,29914,29,96.9,2,3
2022/9/4,29914,35,117,2,4
2022/9/5,29914,31,103.6,5,4
2022/9/6,29914,29,96.9,5,3
2022/9/7,29914,28,93.6,7,3
2022/9/8,29914,31,103.6,8,4
2022/9/9,29914,29,96.9,2,3
2022/9/10,29914,29,96.9,2,3
2022/9/11,29914,29,96.9,2,3
2022/9/12,29914,29,96.9,2,3
2022/9/13,29914,29,96.9,2,3
2022/9/14,29914,29,96.9,2,3
2022/9/15,29914,29,96.9,2,3
2022/9/16,29914,29,96.9,7,3
