date,population,active,rate,new,band
2022/1/1,16100,141,875.8,16,6
2022/1/2,16100,139,863.4,17,6
2022/1/3,16100,130,807.5,22,6
2022/1/4,16100,121,751.6,16,6
2022/1/5,16100,120,745.3,25,6
2022/1/6,16100,119,739.1,24,6
2022/1/7,16100,124,770.2,19,6
2022/1/8,16100,136,844.7,22,6
2022/1/9,16100,141,875.8,26,6
2022/1/10,16100,146,906.8,21,6
2022/1/11,16100,141,875.8,16,6
2022/1/12,16100,129,801.2,19,6
2022/1/13,16100,155,962.7,34,6
2022/1/14,16100,155,962.7,24,6
2022/1/15,16100,118,732.9,27,6
2022/1/16,16100,133,826.1,23,6
2022/1/17,16100,136,844.7,22,6
2022/1/18,16100,157,975.2,41,6
2022/1/19,16100,171,1062.1,33,6
2022/1/20,16100,177,1099.4,30,6
2022/1/21,16100,172,1068.3,21,6
2022/1/22,16100,177,1099.4,22,6
2022/1/23,16100,170,1055.9,18,6
2022/1/24,16100,149,925.5,21,6
2022/1/25,16100,121,751.6,14,6
2022/1/26,16100,120,745.3,25,6
2022/1/27,16100,119,739.1,24,6
2022/1/28,16100,124,770.2,19,6
2022/1/29,16100,136,844.7,22,6
2022/1/30,16100,141,875.8,26,6
2022/1/31,16100,110,683.2,16,6
2022/2/1,16100,101,627.3,18,6
2022/2/2,16100,101,627.3,13,6
2022/2/3,16100,103,639.8,15,6
2022/2/4,16100,119,739.1,24,6
2022/2/5,16100,141,875.8,16,6
2022/2/6,16100,139,863.4,17,6
2022/2/7,16100,130,807.5,22,6
2022/2/8,16100,121,751.6,16,6
2022/2/9,16100,120,745.3,25,6
2022/2/10,16100,119,739.1,24,6
2022/2/11,16100,124,770.2,19,6
2022/2/12,16100,136,844.7,22,6
2022/2/13,16100,141,875.8,26,6
2022/2/14,16100,146,906.8,21,6
2022/2/15,16100,141,875.8,16,6
2022/2/16,16100,129,801.2,19,6
2022/2/17,16100,129,801.2,20,6
2022/2/18,16100,124,770.2,16,6
2022/2/19,16100,108,670.8,10,6
2022/2/20,16100,100,621.1,11,6
2022/2/21,16100,93,577.6,7,6
2022/2/22,16100,100,621.1,15,6
2022/2/23,16100,82,509.3,14,6
2022/2/24,16100,75,465.8,11,5
2022/2/25,16100,69,428.6,10,5
2022/2/26,16100,72,447.2,9,5
2022/2/27,16100,69,428.6,7,5
2022/2/28,16100,68,422.4,6,5
2022/3/1,16100,64,397.5,7,5
2022/3/2,16100,50,310.6,5,5
2022/3/3,16100,53,329.2,9,5
2022/3/4,16100,46,285.7,5,5
2022/3/5,16100,46,285.7,5,5
2022/3/6,16100,50,310.6,7,5
2022/3/7,16100,63,391.3,19,5
2022/3/8,16100,74,459.6,13,5
2022/3/9,16100,69,428.6,8,5
2022/3/10,16100,71,441,12,5
2022/3/11,16100,77,478.3,5,5
2022/3/12,16100,98,608.7,12,6
2022/3/13,16100,69,428.6,9,5
2022/3/14,16100,53,329.2,3,5
2022/3/15,16100,49,304.3,14,5
2022/3/16,16100,67,416.1,24,5
2022/3/17,16100,82,509.3,24,6
2022/3/18,16100,92,571.4,18,6
2022/3/19,16100,92,571.4,9,6
2022/3/20,16100,95,590.1,12,6
2022/3/21,16100,102,633.5,11,6
2022/3/22,16100,98,608.7,12,6
2022/3/23,16100,92,571.4,21,6
2022/3/24,16100,85,528,12,6
2022/3/25,16100,88,546.6,16,6
2022/3/26,16100,97,602.5,22,6
2022/3/27,16100,118,732.9,27,6
2022/3/28,16100,133,826.1,23,6
2022/3/29,16100,136,844.7,22,6
2022/3/30,16100,157,975.2,41,6
2022/3/31,16100,171,1062.1,33,7
2022/4/1,16100,177,1099.4,30,7
2022/4/2,16100,172,1068.3,21,7
2022/4/3,16100,177,1099.4,22,7
2022/4/4,16100,170,1055.9,18,7
2022/4/5,16100,149,925.5,21,6
2022/4/6,16100,120,745.3,18,6
2022/4/7,16100,142,882,32,6
2022/4/8,16100,127,788.8,17,6
2022/4/9,16100,121,751.6,14,6
2022/4/10,16100,107,664.6,6,6
2022/4/11,16100,106,658.4,12,6
2022/4/12,16100,99,614.9,18,6
2022/4/13,16100,106,658.4,29,6
2022/4/14,16100,112,695.7,32,6
2022/4/15,16100,115,714.3,20,6
2022/4/16,16100,120,745.3,18,6
2022/4/17,16100,126,782.6,13,6
2022/4/18,16100,119,739.1,14,6
2022/4/19,16100,129,801.2,36,6
2022/4/20,16100,127,788.8,19,6
2022/4/21,16100,122,757.8,26,6
2022/4/22,16100,129,801.2,22,6
2022/4/23,16100,137,850.9,20,6
2022/4/24,16100,142,882,27,6
2022/4/25,16100,148,919.3,19,6
2022/4/26,16100,138,857.1,19,6
2022/4/27,16100,134,832.3,30,6
2022/4/28,16100,133,826.1,20,6
2022/4/29,16100,139,863.4,24,6
2022/4/30,16100,128,795,21,6
2022/5/1,16100,129,801.2,16,6
2022/5/2,16100,177,1099.4,45,7
2022/5/3,16100,129,801.2,23,6
2022/5/4,16100,127,788.8,18,6
2022/5/5,16100,131,813.7,34,6
2022/5/6,16100,132,819.9,18,6
2022/5/7,16100,130,807.5,21,6
2022/5/8,16100,133,826.1,22,6
2022/5/9,16100,135,838.5,20,6
2022/5/10,16100,144,894.4,29,6
2022/5/11,16100,212,1316.8,34,7
2022/5/12,16100,177,1099.4,45,7
2022/5/13,16100,200,1242.2,22,7
2022/5/14,16100,210,1304.3,29,7
2022/5/15,16100,206,1279.5,20,7
2022/5/16,16100,132,819.9,18,6
2022/5/17,16100,212,1316.8,38,7
2022/5/18,16100,204,1267.1,28,7
2022/5/19,16100,201,1248.4,28,7
2022/5/20,16100,206,1279.5,40,7
2022/5/21,16100,212,1316.8,34,7
2022/5/22,16100,207,1285.7,20,7
2022/5/23,16100,200,1242.2,22,7
2022/5/24,16100,210,1304.3,29,7
2022/5/25,16100,208,1291.9,44,7
2022/5/26,16100,132,819.9,18,6
2022/5/27,16100,202,1254.7,29,7
2022/5/28,16100,204,1267.1,28,7
2022/5/29,16100,208,1291.9,23,7
2022/5/30,16100,200,1242.2,22,7
2022/5/31,16100,177,1099.4,24,7
2022/6/1,16100,169,1049.7,31,7
2022/6/2,16100,164,1018.6,30,7
2022/6/3,16100,192,1192.5,35,7
2022/6/4,16100,182,1130.4,43,7
2022/6/5,16100,192,1192.5,35,7
2022/6/6,16100,105,652.2,22,6
2022/6/7,16100,201,1248.4,35,7
2022/6/8,16100,106,658.4,16,6
2022/6/9,16100,104,646,14,6
2022/6/10,16100,166,1031.1,20,7
2022/6/11,16100,140,869.6,15,6
2022/6/12,16100,85,528,18,6
2022/6/13,16100,84,521.7,12,6
2022/6/14,16100,89,552.8,18,6
2022/6/15,16100,99,614.9,22,6
2022/6/16,16100,105,652.2,22,6
2022/6/17,16100,105,652.2,13,6
2022/6/18,16100,106,658.4,16,6
2022/6/19,16100,104,646,14,6
2022/6/20,16100,102,633.5,15,6
2022/6/21,16100,94,583.9,9,6
2022/6/22,16100,85,528,18,6
2022/6/23,16100,84,521.7,12,6
2022/6/24,16100,89,552.8,18,6
2022/6/25,16100,83,515.5,10,6
2022/6/26,16100,80,496.9,14,5
2022/6/27,16100,85,528,14,6
2022/6/28,16100,95,590.1,26,6
2022/6/29,16100,101,627.3,24,6
2022/6/30,16100,112,695.7,22,6
2022/7/1,16100,110,683.2,16,6
2022/7/2,16100,109,677,13,6
2022/7/3,16100,103,639.8,10,6
2022/7/4,16100,93,577.6,5,6
2022/7/5,16100,89,552.8,20,6
2022/7/6,16100,91,565.2,23,6
2022/7/7,16100,85,528,16,6
2022/7/8,16100,92,571.4,20,6
2022/7/9,16100,91,565.2,11,6
2022/7/10,16100,189,1173.9,42,7
2022/7/11,16100,103,639.8,19,6
2022/7/12,16100,214,1329.2,44,7
2022/7/13,16100,225,1397.5,39,7
2022/7/14,16100,119,739.1,25,6
2022/7/15,16100,119,739.1,22,6
2022/7/16,16100,127,788.8,18,6
2022/7/17,16100,151,937.9,33,6
2022/7/18,16100,165,1024.8,33,7
2022/7/19,16100,178,1105.6,36,7
2022/7/20,16100,189,1173.9,42,7
2022/7/21,16100,192,1192.5,38,7
2022/7/22,16100,214,1329.2,44,7
2022/7/23,16100,225,1397.5,39,7
2022/7/24,16100,231,1434.8,36,7
2022/7/25,16100,237,1472,35,7
2022/7/26,16100,241,1496.9,44,7
2022/7/27,16100,151,937.9,33,6
2022/7/28,16100,233,1447.2,34,7
2022/7/29,16100,222,1378.9,25,7
2022/7/30,16100,206,1279.5,22,7
2022/7/31,16100,189,1173.9,15,7
2022/8/1,16100,162,1006.2,18,7
2022/8/2,16100,94,583.9,14,6
2022/8/3,16100,137,850.9,28,6
2022/8/4,16100,121,751.6,17,6
2022/8/5,16100,118,732.9,16,6
2022/8/6,16100,73,453.4,15,5
2022/8/7,16100,71,441,8,5
2022/8/8,16100,121,751.6,15,6
2022/8/9,16100,115,714.3,21,6
